Date,Open,High,Low,Close,Volume,OpenInt
19700102,1.7717,1.8165,1.7717,1.8165,62982,0
19700105,1.8165,1.8275,1.8165,1.8275,80876,0
19700106,1.8275,1.8275,1.7884,1.794,94831,0
19700107,1.794,1.8165,1.7832,1.8165,71215,0
19700108,1.8165,1.878,1.8165,1.878,269819,0
19700109,1.878,1.9113,1.8275,1.8497,684571,0
19700112,1.8497,1.8497,1.8051,1.8165,69425,0
19700113,1.8165,1.8165,1.7998,1.8165,59043,0
19700114,1.8165,1.8165,1.7884,1.794,34354,0
19700115,1.794,1.7998,1.7832,1.7884,41869,0
19700116,1.7884,1.7998,1.7832,1.7832,47237,0
19700119,1.7832,1.8165,1.7832,1.794,56180,0
19700120,1.794,1.794,1.7717,1.7717,51533,0
19700121,1.7717,1.7832,1.7605,1.7717,98406,0
19700122,1.7717,1.7884,1.7605,1.7717,53319,0
19700123,1.7717,1.7884,1.7547,1.7605,45805,0
19700126,1.7605,1.7605,1.7101,1.7158,238688,0
19700127,1.7158,1.7158,1.699,1.699,184293,0
19700128,1.7158,1.7437,1.7158,1.7326,81587,0
19700129,1.7326,1.7326,1.699,1.699,101986,0
19700130,1.7158,1.7326,1.7158,1.7326,82663,0
19700202,1.7326,1.7493,1.7158,1.7158,89104,0
19700203,1.7158,1.7717,1.699,1.7605,89464,0
19700204,1.7605,1.8165,1.7547,1.7717,72642,0
19700205,1.7717,1.7717,1.7326,1.7326,83381,0
19700206,1.7326,1.7717,1.7326,1.7547,66561,0
19700209,1.7605,1.7884,1.7605,1.7717,99841,0
19700210,1.7717,1.7717,1.7547,1.7605,58688,0
19700211,1.7605,1.7832,1.7547,1.7717,50815,0
19700212,1.7832,1.7998,1.7832,1.7884,70855,0
19700213,1.7884,1.794,1.7605,1.7717,137417,0
19700216,1.7717,1.7998,1.7717,1.794,62625,0
19700217,1.794,1.8275,1.7717,1.8275,78010,0
19700218,1.8275,1.8724,1.8275,1.8724,86957,0
19700219,1.8724,1.878,1.8497,1.8724,89464,0
19700220,1.8724,1.9004,1.8724,1.8892,80876,0
19700224,1.8892,1.9004,1.878,1.8892,69065,0
19700225,1.8892,1.9673,1.8892,1.9505,134554,0
19700226,1.9505,1.9505,1.9113,1.9449,93757,0
19700227,1.9449,1.9673,1.9225,1.9449,95189,0
19700302,1.9449,1.9673,1.9338,1.9673,101986,0
19700303,1.9673,2.0122,1.9673,2.0122,116302,0
19700304,2.0122,2.0342,1.9953,2.0342,123101,0
19700305,2.0342,2.0625,2.0122,2.0342,108430,0
19700306,2.0231,2.0231,1.9953,2.0122,49739,0
19700309,1.9786,1.9786,1.9338,1.9561,65486,0
19700310,1.9561,1.9673,1.9338,1.9561,50815,0
19700311,1.9561,2.0008,1.9561,1.984,44017,0
19700312,1.984,1.984,1.9561,1.9786,59401,0
19700313,1.9786,1.984,1.9561,1.9786,53675,0
19700316,1.9505,1.9505,1.9171,1.9225,54393,0
19700317,1.9225,1.9561,1.9171,1.9505,67994,0
19700318,1.9505,1.9673,1.9225,1.9338,59760,0
19700319,1.9338,1.9338,1.9171,1.9171,29705,0
19700320,1.9171,1.9171,1.8892,1.9058,65486,0
19700323,1.9058,1.9171,1.8892,1.9058,62625,0
19700324,1.9058,1.9505,1.9004,1.9505,45448,0
19700325,1.9505,1.9786,1.9449,1.9673,92325,0
19700326,1.9673,1.9786,1.9505,1.9673,72642,0
19700330,1.9673,1.9786,1.9338,1.9338,44017,0
19700331,1.9338,1.9673,1.9171,1.9505,42943,0
19700401,1.9505,2.0008,1.9449,2.0008,70855,0
19700402,2.0008,2.0122,1.984,2.0122,67275,0
19700403,2.0008,2.0008,1.9786,2.0008,51891,0
19700406,1.9953,1.9953,1.9786,1.9953,56180,0
19700407,1.9953,2.051,1.984,2.0288,93757,0
19700408,2.0288,2.0399,2.0231,2.0288,43657,0
19700409,2.0288,2.0399,2.0231,2.0231,73361,0
19700410,2.0231,2.0288,1.9898,1.9898,56539,0
19700413,1.9898,2.0008,1.9673,1.9673,41869,0
19700414,1.9673,1.9786,1.9338,1.9561,61191,0
19700415,1.984,2.0122,1.984,2.0122,98051,0
19700416,2.0122,2.0122,1.9673,1.9673,85884,0
19700417,1.9673,1.984,1.9113,1.9225,50815,0
19700420,1.9225,1.9673,1.9171,1.9561,32920,0
19700421,1.9561,1.9786,1.9338,1.9505,49384,0
19700422,1.9505,1.9786,1.9338,1.9505,45805,0
19700423,1.9338,1.9338,1.878,1.9004,96621,0
19700424,1.9004,1.9113,1.878,1.8892,41154,0
19700427,1.8892,1.9004,1.8497,1.8497,64055,0
19700428,1.8497,1.9449,1.833,1.8497,131690,0
19700429,1.8497,1.8497,1.7832,1.8497,119880,0
19700430,1.8497,1.8892,1.8275,1.8388,55467,0
19700501,1.8388,1.8724,1.8051,1.8497,30061,0
19700504,1.8444,1.8444,1.794,1.8051,62982,0
19700505,1.8051,1.8275,1.794,1.8107,48310,0
19700506,1.8107,1.9004,1.8051,1.8275,93757,0
19700507,1.8275,1.8724,1.8165,1.8444,49739,0
19700508,1.8444,1.8724,1.8388,1.8611,45090,0
19700511,1.8611,1.8611,1.8444,1.8444,46878,0
19700512,1.8444,1.8833,1.8388,1.8611,72289,0
19700513,1.8611,1.8724,1.8388,1.8611,46878,0
19700514,1.8275,1.8275,1.7773,1.794,106282,0
19700515,1.794,1.8275,1.7661,1.8051,97693,0
19700518,1.8051,1.8275,1.794,1.8107,37217,0
19700519,1.8051,1.8051,1.7605,1.7661,55467,0
19700520,1.7661,1.7773,1.7493,1.7493,70495,0
19700521,1.7493,1.7493,1.7214,1.738,100557,0
19700522,1.738,1.794,1.7214,1.7214,99123,0
19700525,1.7214,1.7326,1.6655,1.6655,114155,0
19700526,1.6655,1.6655,1.6095,1.6319,169623,0
19700527,1.6431,1.7101,1.6431,1.699,132048,0
19700528,1.7101,1.7661,1.7101,1.7493,149582,0
19700529,1.7493,1.7832,1.738,1.7773,64413,0
19700601,1.7773,1.794,1.7493,1.794,58329,0
19700602,1.794,1.794,1.7493,1.7832,46521,0
19700603,1.7832,1.794,1.7605,1.7661,54035,0
19700604,1.7661,1.794,1.7605,1.7605,41511,0
19700605,1.7493,1.7493,1.7046,1.7046,63697,0
19700608,1.7046,1.7717,1.699,1.7326,41869,0
19700609,1.7326,1.7717,1.7214,1.7605,28271,0
19700610,1.7493,1.7493,1.7214,1.7326,28631,0
19700611,1.7326,1.7437,1.7101,1.7214,36501,0
19700612,1.7214,1.7326,1.7101,1.7214,26484,0
19700615,1.7214,1.738,1.7101,1.7214,33279,0
19700616,1.7214,1.8051,1.7214,1.794,117021,0
19700617,1.794,1.8165,1.7493,1.7493,48310,0
19700618,1.7493,1.7717,1.7437,1.7661,24691,0
19700619,1.7661,1.7717,1.7493,1.7493,35427,0
19700622,1.7437,1.7437,1.7214,1.7214,43299,0
19700623,1.7101,1.7101,1.6768,1.699,73717,0
19700624,1.699,1.7046,1.6601,1.6712,41154,0
19700625,1.6712,1.699,1.6543,1.6655,30776,0
19700626,1.6655,1.6877,1.6601,1.6655,33637,0
19700629,1.6655,1.6877,1.6543,1.6543,34354,0
19700630,1.6543,1.6712,1.6543,1.6601,46878,0
19700701,1.6601,1.6655,1.6431,1.6431,31851,0
19700702,1.6431,1.6655,1.6375,1.6431,44017,0
19700706,1.6431,1.6543,1.6208,1.6263,47953,0
19700707,1.6263,1.6263,1.5987,1.5987,92685,0
19700708,1.5987,1.6095,1.5928,1.6095,66204,0
19700709,1.6263,1.6655,1.6263,1.6601,65130,0
19700710,1.6601,1.6601,1.6319,1.6375,47237,0
19700713,1.6375,1.6601,1.6319,1.6375,37217,0
19700714,1.6375,1.6431,1.6263,1.6263,37576,0
19700715,1.6263,1.6319,1.5987,1.6208,69065,0
19700716,1.6208,1.6712,1.6208,1.6208,80876,0
19700717,1.6208,1.6375,1.6095,1.6208,82307,0
19700720,1.6208,1.6263,1.6208,1.6208,83022,0
19700721,1.6208,1.6263,1.5928,1.6095,84094,0
19700722,1.6095,1.6319,1.5928,1.5987,104135,0
19700723,1.6095,1.6319,1.6095,1.6208,52962,0
19700724,1.6208,1.6263,1.6095,1.6208,42225,0
19700727,1.6208,1.6263,1.5987,1.6095,35427,0
19700728,1.6095,1.6095,1.5928,1.5987,89464,0
19700729,1.6095,1.6543,1.6095,1.6375,88749,0
19700730,1.6375,1.6431,1.6208,1.6431,38646,0
19700731,1.6543,1.699,1.6543,1.6543,41154,0
19700803,1.6877,1.6877,1.6655,1.6768,36142,0
19700804,1.6768,1.6768,1.6431,1.6768,38646,0
19700805,1.6712,1.6712,1.6431,1.6543,30776,0
19700806,1.6543,1.6768,1.6431,1.6431,27553,0
19700807,1.6431,1.6543,1.6208,1.6431,97334,0
19700810,1.6319,1.6319,1.5928,1.6208,93400,0
19700811,1.6208,1.6208,1.604,1.6208,68707,0
19700812,1.6208,1.6208,1.604,1.604,40796,0
19700813,1.604,1.6208,1.5928,1.6208,43299,0
19700814,1.6208,1.6208,1.604,1.6208,37934,0
19700817,1.6208,1.6208,1.5928,1.604,83740,0
19700818,1.604,1.6208,1.5928,1.5928,64413,0
19700819,1.5928,1.6208,1.5928,1.5928,102703,0
19700820,1.5928,1.6208,1.5928,1.6208,33995,0
19700821,1.6208,1.6877,1.604,1.6877,131690,0
19700824,1.6877,1.6877,1.6375,1.6543,101986,0
19700825,1.6543,1.6712,1.6431,1.6712,62266,0
19700826,1.6712,1.6877,1.6655,1.6768,88391,0
19700827,1.6768,1.6877,1.6543,1.6655,54393,0
19700828,1.6712,1.7214,1.6712,1.7046,85168,0
19700831,1.7046,1.7214,1.7046,1.7101,51533,0
19700901,1.7101,1.7214,1.7046,1.7101,52962,0
19700902,1.7046,1.7046,1.6877,1.7046,40077,0
19700903,1.7101,1.7326,1.7101,1.7326,62266,0
19700904,1.7326,1.7437,1.7101,1.738,75149,0
19700908,1.738,1.7437,1.7101,1.738,96978,0
19700909,1.738,1.7437,1.7101,1.7214,66917,0
19700910,1.7214,1.7214,1.7046,1.7214,104135,0
19700911,1.7214,1.7214,1.7101,1.7101,28631,0
19700914,1.7101,1.7437,1.6877,1.7326,59401,0
19700915,1.7214,1.7214,1.699,1.699,64771,0
19700916,1.699,1.738,1.6877,1.7046,65130,0
19700917,1.7046,1.7326,1.6877,1.6877,162465,0
19700918,1.6877,1.7214,1.6877,1.699,77298,0
19700921,1.699,1.7101,1.6543,1.6543,74075,0
19700922,1.6543,1.6655,1.6319,1.6431,109148,0
19700923,1.6431,1.699,1.6431,1.6712,61551,0
19700924,1.6768,1.7605,1.6768,1.7493,131690,0
19700925,1.7493,1.7493,1.7326,1.7493,51891,0
19700928,1.7493,1.7493,1.7214,1.7437,50815,0
19700929,1.7437,1.7605,1.7214,1.7437,57256,0
19700930,1.7437,1.7605,1.738,1.7493,79443,0
19701001,1.7326,1.7326,1.6877,1.699,177495,0
19701002,1.6877,1.6877,1.6655,1.6655,39006,0
19701005,1.6655,1.6877,1.6543,1.6712,135982,0
19701006,1.6712,1.7832,1.6712,1.7661,234034,0
19701007,1.7661,1.7998,1.7101,1.7832,150657,0
19701008,1.7605,1.7605,1.7046,1.7214,84094,0
19701009,1.7214,1.7326,1.6877,1.699,67636,0
19701012,1.699,1.7046,1.6712,1.6877,51173,0
19701013,1.6877,1.6877,1.6543,1.6543,59401,0
19701014,1.6543,1.6768,1.6543,1.6655,51533,0
19701015,1.6655,1.6768,1.6543,1.6543,36501,0
19701016,1.6543,1.6655,1.6208,1.6375,128470,0
19701019,1.6375,1.6712,1.6208,1.6543,60836,0
19701020,1.6543,1.6655,1.6319,1.6431,66561,0
19701021,1.6431,1.6712,1.6375,1.6375,88391,0
19701022,1.6375,1.6431,1.6208,1.6431,77654,0
19701023,1.6375,1.6375,1.6208,1.6319,63341,0
19701026,1.6319,1.6319,1.6208,1.6208,84810,0
19701027,1.6208,1.6319,1.6208,1.6319,106996,0
19701028,1.6319,1.6431,1.6095,1.6208,97334,0
19701029,1.6208,1.6431,1.6208,1.6319,59760,0
19701030,1.6543,1.6543,1.6319,1.6431,68707,0
19701102,1.6431,1.6768,1.6319,1.6486,74075,0
19701103,1.6486,1.6712,1.6486,1.6543,51173,0
19701104,1.6543,1.6712,1.6486,1.6486,33995,0
