Date,Open,High,Low,Close,Volume,OpenInt
20050225,45.178,46.131,45.159,46.054,3655691,0
20050228,45.774,45.928,44.851,45.11,5688632,0
20050301,45.11,45.745,45.11,45.486,5253401,0
20050302,45.294,45.89,45.206,45.322,5021030,0
20050303,45.678,45.9,44.879,45.476,4871485,0
20050304,46.092,47.094,45.966,46.64,4938411,0
20050307,46.968,47.554,46.899,47.285,4826174,0
20050308,47.285,47.93,47.094,47.449,5491073,0
20050309,47.458,48.141,47.064,47.891,7885559,0
20050310,47.93,48.247,47.353,47.91,6586420,0
20050311,47.804,47.832,46.284,46.718,5745684,0
20050314,46.718,47.188,46.572,47.131,3674711,0
20050315,47.651,47.871,46.775,47.006,4575930,0
20050316,46.563,46.795,45.813,46.294,5182421,0
20050317,45.957,46.294,45.206,45.582,7935230,0
20050318,45.592,46.169,45.004,46.15,8740322,0
20050321,46.073,46.487,45.398,45.534,6037915,0
20050322,45.649,45.88,44.456,44.495,6053400,0
20050323,44.495,44.668,43.696,44.446,6043111,0
20050324,44.312,44.851,44.177,44.407,5896060,0
20050328,44.436,44.571,44.109,44.312,4624045,0
20050329,44.331,44.851,42.802,42.821,14338853,0
20050330,42.955,44.407,42.821,44.158,18301012,0
20050331,45.294,46.005,45.11,45.727,18420318,0
20050401,45.918,47.188,45.206,45.428,14328563,0
20050404,47.131,48.007,45.486,46.572,27116681,0
20050405,45.534,46.333,44.715,45.091,13886374,0
20050406,45.091,45.447,44.735,45.206,11256606,0
20050407,44.851,45.11,44.216,44.715,9204027,0
20050408,44.812,44.966,44.177,44.465,6984340,0
20050411,44.351,44.524,43.138,43.407,8892362,0
20050412,43.292,44.032,42.811,43.734,10416079,0
20050413,44.004,44.004,42.176,42.435,14301959,0
20050414,42.001,42.494,41.463,41.8,13814770,0
20050415,41.771,42.262,41.059,41.127,9918912,0
20050418,41.214,41.57,40.742,41.204,6564493,0
20050419,41.656,41.916,41.165,41.319,7117051,0
20050420,40.982,41.117,39.942,40.088,10964583,0
20050421,40.655,40.953,39.751,40.887,7277506,0
20050422,40.887,41.319,39.847,40.136,5329680,0
20050425,40.376,41.097,40.232,40.916,5168393,0
20050426,40.819,41.29,40.366,40.366,5406169,0
20050427,40.616,41.03,40.059,40.887,6265921,0
20050428,40.742,41.376,40.27,40.289,5587513,0
20050429,40.694,42.338,40,42.03,16741234,0
20050502,40.184,40.472,38.999,39.453,25143601,0
20050503,39.424,39.828,39.058,39.472,12643872,0
20050504,39.79,40.289,39.615,40.242,9683421,0
20050505,40.252,40.521,39.819,40.136,5179097,0
20050506,40.318,40.415,39.942,39.981,5511752,0
20050509,40.068,40.626,39.895,40.54,5882548,0
20050510,39.857,40.097,39.375,39.472,8301351,0
20050511,39.472,40.039,38.789,39.819,7523180,0
20050512,40.01,40.136,39.394,39.462,7575765,0
20050513,39.559,39.809,38.066,38.52,11495213,0
20050516,38.461,39.038,38.144,38.98,7971399,0
20050517,38.98,39.038,38.201,38.866,7299641,0
20050518,39.126,39.279,38.662,39.077,7693406,0
20050519,39.116,40.097,38.866,40.059,7626791,0
20050520,39.78,40.01,39.615,39.942,4951193,0
20050523,39.78,40.232,39.663,39.847,5299960,0
20050524,39.857,39.857,39.058,39.472,6496837,0
20050525,39.577,39.942,39.269,39.54,6877298,0
20050526,39.702,39.838,39.135,39.346,5057610,0
20050527,39.336,39.634,39.184,39.346,2715711,0
20050531,39.269,39.336,38.904,39.106,4308846,0
20050601,39.297,40.049,39.145,39.99,6958879,0
20050602,39.924,39.924,39.307,39.365,5140749,0
20050603,39.203,39.615,38.904,39.067,4211783,0
20050606,39.019,39.326,38.828,39.231,3921006,0
20050607,39.482,39.857,39.25,39.25,3857095,0
20050608,39.297,39.587,39.26,39.492,3503550,0
20050609,39.54,39.819,39.394,39.644,3531918,0
20050610,39.78,39.857,39.433,39.847,4489050,0
20050613,41.348,41.589,40.425,40.645,23034075,0
20050614,40.579,40.953,40.136,40.415,11343798,0
20050615,40.569,40.645,40.097,40.425,7048773,0
20050616,40.54,41.618,40.53,41.454,11177418,0
20050617,41.732,41.732,40.982,41.04,8194626,0
20050620,41.04,41.405,40.858,41.185,5389437,0
20050621,41.262,41.386,40.674,40.713,4930929,0
20050622,40.972,41.338,40.357,40.357,9934188,0
20050623,40.579,41.618,40.472,41.309,11135849,0
20050624,41.531,42.532,40.742,42.435,13342647,0
20050627,42.338,42.406,41.58,42.377,10047049,0
20050628,42.377,42.503,41.982,42.348,6380445,0
20050629,42.733,42.733,42.196,42.589,5365431,0
20050630,42.753,42.945,41.82,41.916,12057851,0
20050701,42.137,42.484,42.099,42.358,4644208,0
20050705,42.561,43.138,42.426,42.955,6055891,0
20050706,42.955,43.041,42.618,42.618,4879278,0
20050707,42.118,42.656,41.868,42.608,5108638,0
