Date,Open,High,Low,Close,Volume,OpenInt
20050225,59.359,59.975,59.135,59.63,1239532,0
20050228,59.284,60.199,59.284,59.901,1899008,0
20050301,59.816,60.05,58.79,59.778,2275142,0
20050302,58.714,59.742,58.443,59.592,1904960,0
20050303,59.592,59.854,57.865,58.136,2666634,0
20050304,58.63,58.677,56.417,57.79,4224522,0
20050307,57.865,59.246,57.295,58.901,3340964,0
20050308,58.21,62.076,57.407,58.752,5445011,0
20050309,58.79,59.359,58.248,58.481,1956141,0
20050310,59.284,59.518,58.331,58.976,1749068,0
20050311,60.199,60.237,58.294,58.406,1642941,0
20050314,58.901,59.246,58.594,59.246,1321431,0
20050315,59.284,59.433,58.369,58.63,1805714,0
20050316,59.05,60.199,58.172,58.331,2978918,0
20050317,58.752,58.901,57.911,57.985,1500863,0
20050318,57.444,57.715,57.024,57.407,3502207,0
20050321,58.061,58.172,56.763,57.024,1823610,0
20050322,58.023,58.294,57.295,57.331,3108818,0
20050323,57.827,57.949,56.799,57.182,1981261,0
20050324,57.369,57.64,56.838,57.145,1214781,0
20050328,57.295,57.865,56.875,56.986,1774171,0
20050329,56.949,57.258,56.185,56.305,1810426,0
20050330,56.22,57.221,56.22,57.182,1838616,0
20050331,56.911,57.603,56.799,57.258,2263653,0
20050401,57.565,58.136,56.838,56.949,2305476,0
20050404,56.949,57.024,56.454,56.875,1520703,0
20050405,56.875,57.603,56.641,57.491,1884889,0
20050406,57.024,57.827,56.763,57.145,1501886,0
20050407,57.369,58.714,57.221,58.518,2015004,0
20050408,58.518,58.518,57.911,58.136,1704463,0
20050411,57.949,58.023,57.331,57.79,956311,0
20050412,57.369,58.939,57.145,58.443,1583418,0
20050413,58.098,59.667,58.061,58.443,2426105,0
20050414,58.443,59.667,57.527,57.64,1660042,0
20050415,57.407,57.444,56.417,56.417,2336070,0
20050418,56.033,56.305,55.38,55.884,2012772,0
20050419,56.38,56.725,55.764,56.305,1331953,0
20050420,56.799,57.369,56.343,57.108,2629812,0
20050421,60.507,61.124,59.778,60.928,5984071,0
20050422,60.928,61.124,59.901,60.357,1803403,0
20050425,60.657,60.816,59.742,60.32,1436617,0
20050426,59.854,61.002,59.854,60.816,1853960,0
20050427,60.433,60.582,59.937,60.05,1794072,0
20050428,59.592,59.901,58.714,58.79,1696662,0
20050429,58.939,59.135,57.752,58.677,1520198,0
20050502,58.677,59.518,58.294,59.173,1028054,0
20050503,59.321,59.667,58.714,59.556,1268288,0
20050504,59.518,60.507,59.173,60.05,1589507,0
20050505,59.667,60.62,59.556,60.088,1638135,0
20050506,60.32,61.086,59.778,60.013,1711209,0
20050509,59.63,60.433,59.63,60.32,1547135,0
20050510,60.89,61.124,59.901,60.395,2472439,0
20050511,60.507,60.778,59.284,60.433,1368759,0
20050512,60.703,61.086,60.161,60.507,1636485,0
20050513,61.124,62.693,60.62,62.002,4224234,0
20050516,62.114,62.46,61.656,62.114,1904762,0
20050517,61.965,62.916,61.46,62.805,2242773,0
20050518,63.029,64.794,62.954,64.635,4211291,0
20050519,65.98,67.391,65.708,66.204,5563134,0
20050520,66.624,66.662,65.598,65.98,1999066,0
20050523,66.017,67.007,65.98,66.624,1982238,0
20050524,66.362,66.662,66.055,66.437,1527449,0
20050525,66.362,66.362,65.139,65.673,1503401,0
20050526,65.98,67.167,65.98,66.783,1760588,0
20050527,66.82,66.858,66.166,66.326,1180761,0
20050531,66.055,66.783,65.673,66.437,1630700,0
20050601,66.166,67.24,65.98,66.895,1350756,0
20050602,66.933,68.007,66.895,68.007,1644470,0
20050603,67.848,68.119,67.391,67.848,1778682,0
20050606,67.736,68.538,67.736,68.538,2230061,0
20050607,68.884,70.762,68.838,69.343,3930548,0
20050608,70.379,70.724,69.033,69.192,2889124,0
20050609,69.343,69.995,68.959,69.726,2182122,0
20050610,69.501,69.837,68.427,69.071,1279611,0
20050613,68.614,69.65,68.352,69.416,1536947,0
20050614,68.959,70.071,68.959,69.612,1661493,0
20050615,69.959,70.528,68.884,69.229,1333684,0
20050616,69.229,69.875,69.033,69.379,1460768,0
20050617,69.875,69.875,68.884,69.65,1967493,0
20050620,69.071,69.875,69.071,69.454,1117264,0
20050621,69.155,69.959,69.155,69.688,956282,0
20050622,69.921,72.097,69.921,71.911,3487567,0
20050623,72.059,73.63,72.022,72.172,4193793,0
20050624,72.293,72.452,70.677,70.949,2087832,0
20050627,70.033,70.874,69.229,69.575,2100790,0
20050628,70.071,70.639,69.763,70.183,2320744,0
20050629,71.527,71.985,70.604,70.874,2282483,0
20050630,71.444,72.097,69.726,69.837,2388384,0
20050701,70.033,70.22,69.379,69.875,1302432,0
20050705,69.416,70.837,69.033,70.799,2525351,0
20050706,71.294,72.293,70.677,70.762,2247913,0
20050707,69.688,71.565,69.267,71.219,2048548,0
20050708,71.565,71.602,70.604,70.911,2505435,0
20050711,71.33,72.442,71.294,72.332,3249135,0
20050712,72.787,74.506,72.332,73.703,4414050,0
20050713,74.086,74.431,73.741,74.395,2330211,0
20050714,74.89,75.506,73.554,73.778,4074019,0
20050715,73.63,75.076,73.358,74.581,3059502,0
20050718,74.778,74.778,73.899,74.431,2086118,0
20050719,75.459,76.263,74.814,75.926,4397500,0
20050720,75.693,77.028,74.964,76.226,6317235,0
20050721,76.15,76.681,75.001,75.272,4021336,0
20050722,75.422,76.495,73.816,76.495,3324642,0
20050725,79.176,79.474,78.41,78.56,6268102,0
20050726,79.176,80.203,77.448,79.139,6559172,0
20050727,79.288,80.278,78.981,80.129,4095571,0
20050728,80.24,82.194,80.166,81.51,3773437,0
20050729,80.623,81.127,79.904,81.006,3988082,0
20050801,80.708,82.426,80.399,82.267,3200294,0
20050802,81.931,83.453,81.773,83.416,3750674,0
20050803,83.341,84.565,82.799,84.294,3010230,0
20050804,83.192,84.527,82.847,84.145,2762117,0
20050805,83.341,84.294,81.884,82.501,2574454,0
20050808,82.501,82.809,81.773,82.809,1806220,0
20050809,82.958,83.994,82.007,82.687,2181542,0
20050810,83.266,83.874,81.427,81.811,1935966,0
20050811,81.884,83.192,81.847,83.071,1633485,0
20050812,82.426,82.539,81.044,82.007,2084361,0
20050815,81.165,81.586,80.091,80.932,2375504,0
20050816,80.362,81.044,79.018,79.092,2565628,0
20050817,79.018,79.671,78.252,79.092,2213235,0
20050818,78.718,79.055,77.831,78.718,1896131,0
20050819,78.83,78.981,78.102,78.214,1614716,0
20050822,79.363,80.166,78.83,79.98,1825645,0
20050823,80.278,81.811,79.942,81.314,2134260,0
20050824,80.857,82.267,80.017,80.166,2411071,0
20050825,80.586,81.006,79.745,80.475,2237206,0
20050826,80.623,81.202,80.055,80.781,1584934,0
20050829,80.24,81.51,79.745,81.278,1488440,0
20050830,81.314,83.92,80.932,83.836,3073514,0
20050831,83.798,85.293,82.539,83.687,3713809,0
20050901,83.23,85.144,82.921,84.91,3083703,0
20050902,84.948,85.863,83.92,84.145,1795419,0
20050906,84.91,85.863,84.91,85.714,2834011,0
20050907,85.901,86.516,85.182,85.527,3223711,0
20050908,85.527,86.937,84.872,86.666,2667077,0
20050909,87.011,88.272,86.862,87.507,3253405,0
20050912,87.591,88.085,87.171,87.507,1994844,0
20050913,87.974,89.842,87.32,89.691,3750565,0
20050914,89.123,91.41,89.123,91.298,4158060,0
20050915,91.373,91.755,89.655,90.533,4356917,0
20050916,90.644,90.953,89.691,90.57,2867481,0
20050919,89.963,90.384,87.74,88.962,2490474,0
20050920,88.739,89.383,86.516,86.666,2973212,0
20050921,85.293,86.666,84.677,85.144,3140375,0
20050922,84.34,85.565,83.341,84.723,3491178,0
20050923,84.723,87.32,84.723,87.171,2327900,0
20050926,87.89,88.617,85.863,86.629,2402153,0
20050927,86.824,86.975,84.986,85.565,2232159,0
20050928,86.022,86.404,84.378,84.723,2140298,0
20050929,84.677,85.984,83.761,84.948,2231101,0
20050930,85.369,85.479,83.958,84.257,2736327,0
20051003,84.948,86.591,84.948,85.825,2772793,0
20051004,86.366,87.049,85.096,85.369,3055770,0
20051005,84.415,85.182,82.267,84.145,3565338,0
20051006,83.836,84.145,80.708,81.697,3284564,0
20051007,81.697,83.033,81.51,82.612,1828368,0
20051010,82.463,82.463,79.092,79.634,2542438,0
20051011,79.942,82.314,77.831,78.597,3351425,0
20051012,77.831,78.83,74.778,75.617,5094439,0
20051013,75.617,76.805,74.395,76.15,3765711,0
20051014,80.325,80.325,76.113,77.112,4422663,0
20051017,78.102,78.41,75.768,76.263,3038774,0
20051018,77.224,78.485,76.15,77.15,4934158,0
20051019,80.325,80.895,78.027,80.399,6098615,0
20051020,81.006,81.427,79.708,79.904,3360177,0
20051021,79.858,80.325,78.522,79.176,2665807,0
20051024,79.559,80.362,79.401,80.278,2100513,0
20051025,79.942,80.278,79.176,80.091,2115766,0
20051026,80.091,81.735,79.783,81.006,2636591,0
20051027,80.819,81.66,79.671,79.942,1862632,0
20051028,80.436,81.278,79.176,80.661,1891514,0
20051031,80.895,85.479,80.857,84.761,4344786,0
20051101,84.761,85.293,83.491,84.91,2515855,0
20051102,84.257,88.543,84.181,88.123,4883206,0
20051103,88.357,88.925,87.553,87.974,3156850,0
20051104,87.431,89.038,87.207,88.272,1931575,0
20051107,87.974,88.851,87.553,88.085,1771446,0
20051108,87.703,88.889,87.282,88.693,2149446,0
20051109,88.198,90.57,88.198,90.223,2931437,0
20051110,90.261,90.644,89.159,90.607,2518359,0
20051111,90.457,91.186,89.767,90.112,1459163,0
20051114,89.842,89.842,86.899,87.431,4358356,0
20051115,87.395,87.582,85.677,86.208,4046820,0
20051116,86.284,87.207,85.901,87.133,2236091,0
20051117,87.974,90.261,87.469,90.074,3511369,0
20051118,91.101,91.643,89.925,91.262,3353095,0
20051121,91.065,91.793,90.457,91.41,1780811,0
20051122,91.065,91.793,90.729,91.793,1653281,0
20051123,91.717,95.584,91.607,94.165,4446479,0
20051125,94.165,94.857,93.138,94.744,1097210,0
20051128,95.314,95.352,91.989,92.101,2905571,0
20051129,92.98,93.363,91.755,92.371,2718887,0
20051130,92.829,93.521,92.026,92.138,2230416,0
20051201,92.708,93.176,91.905,92.559,2720050,0
20051202,92.559,94.361,90.15,90.223,4012372,0
20051205,90.384,90.644,89,89.076,2555089,0
20051206,89.767,90.953,89,89.691,2791592,0
20051207,90.036,90.384,87.591,88.198,2371970,0
20051208,89.076,90.644,88.543,89.272,2337891,0
20051209,89.729,90.15,89.038,89.543,1697319,0
20051212,89.579,90.457,88.357,88.617,1887642,0
20051213,88.617,89.345,87.553,87.627,2484356,0
20051214,87.553,88.011,86.06,86.899,2527401,0
20051215,88.272,89.272,87.171,87.282,3279194,0
20051216,87.282,87.282,85.677,85.714,3650326,0
20051219,85.984,86.824,85.144,85.405,2163430,0
20051220,85.405,86.824,84.948,86.022,2594297,0
20051221,86.442,87.778,86.097,87.591,2416378,0
20051222,87.89,89.038,87.89,88.962,2494544,0
20051223,89.579,90.419,89.543,89.842,1852399,0
20051227,89.691,90.384,87.703,87.778,1564114,0
20051228,88.161,88.777,87.133,87.591,1603259,0
20051229,87.684,88.925,87.011,87.207,1883589,0
20051230,86.629,86.975,85.863,86.404,1552932,0
20060103,87.553,89.878,86.553,88.469,3249457,0
20060104,88.739,90,88.739,89.495,2263761,0
20060105,89.495,90.346,89.123,89.963,2767500,0
20060106,91.569,93.595,91.065,93.091,4030561,0
20060109,93.091,94.361,91.989,93.82,2682543,0
20060110,92.942,93.091,91.531,91.717,2645140,0
20060111,92.371,92.371,90.841,91.485,2994107,0
20060112,92.288,92.484,90.878,91.262,2407903,0
20060113,91.755,92.026,90.99,91.905,1882184,0
20060117,91.028,91.868,89.729,89.963,2535312,0
20060118,88.543,90.419,88.543,90.299,1851787,0
20060119,91.298,93.363,90.953,93.138,5813482,0
20060120,89.459,89.579,85.901,85.984,9863653,0
20060123,86.591,86.703,84.64,84.835,4386272,0
20060124,85.331,87.133,85.256,86.246,2623435,0
20060125,86.703,87.358,86.246,86.787,2149202,0
20060126,86.899,88.319,86.246,87.778,3075639,0
20060127,87.89,88.655,85.752,86.06,3339694,0
20060130,86.06,86.787,84.91,86.479,2505573,0
20060131,85.984,87.703,85.479,86.862,2700057,0
20060201,86.17,87.507,86.097,87.207,1562967,0
20060202,86.666,86.703,81.127,83.453,3231637,0
20060203,83.537,83.537,80.661,80.968,4814964,0
20060206,81.278,81.623,78.102,78.522,5979940,0
20060207,79.176,81.969,78.981,80.325,4235828,0
20060208,81.931,83.033,81.548,82.958,3151621,0
20060209,83.341,83.958,81.969,82.651,2349055,0
20060210,82.352,83.033,80.586,82.612,2382113,0
20060213,82.501,83.192,81.165,82.772,2152400,0
20060214,82.809,85.182,82.772,84.986,3542161,0
20060215,85.293,85.901,84.181,85.825,1766645,0
20060216,85.984,86.022,84.527,84.91,2250084,0
20060217,84.527,84.527,82.042,82.194,3027242,0
20060221,82.194,83.071,81.427,82.501,1830326,0
20060222,83.192,83.761,82.426,83.266,1802685,0
20060223,83.435,83.949,82.734,83.453,1608659,0
20060224,82.866,83.453,82.501,82.958,1419513,0
20060227,83.071,84.294,82.809,83.192,1649841,0
20060228,82.314,83.192,81.24,81.847,2392560,0
20060301,81.847,85.714,81.811,84.49,3627335,0
20060302,84.49,85.863,83.874,84.872,2360131,0
20060303,84.107,84.835,83.798,84.07,1496398,0
20060306,85.096,85.946,84.07,84.07,2507409,0
20060307,84.107,84.527,82.23,82.958,1974239,0
20060308,82.501,82.539,80.708,81.389,3266086,0
20060309,81.586,83.574,81.389,81.389,2084022,0
20060310,82.042,82.042,78.914,79.858,5405254,0
20060313,79.634,80.091,77.336,79.942,4608412,0
20060314,80.026,83.117,79.858,81.548,4020386,0
