Date,Open,High,Low,Close,Volume,OpenInt
20130122,23.199,23.241,23.041,23.18,821854,0
20130123,23.216,23.216,22.998,23.163,780568,0
20130124,23.207,23.207,22.606,22.799,973054,0
20130125,22.929,23.041,22.86,22.973,545430,0
20130128,22.921,22.921,22.694,22.694,1322149,0
20130129,22.825,23.076,22.781,22.833,3503403,0
20130130,22.72,22.754,22.52,22.564,1584637,0
20130131,22.546,22.624,22.347,22.564,1638945,0
20130201,22.738,22.903,22.606,22.763,2136161,0
20130204,22.295,22.295,22.069,22.085,701066,0
20130205,22.129,22.347,22.102,22.233,1679619,0
20130206,22.259,22.389,22.146,22.337,812106,0
20130207,22.468,22.468,21.754,21.806,1075953,0
20130208,21.782,21.851,21.669,21.833,151363,0
20130211,21.65,21.782,21.65,21.702,300181,0
20130212,21.676,21.894,21.641,21.858,545421,0
20130213,22.077,22.154,21.842,21.858,1835317,0
20130214,21.641,21.858,21.511,21.833,4077343,0
20130215,21.73,21.73,21.477,21.511,212161,0
20130219,22.129,22.129,21.754,21.867,287391,0
20130220,21.754,21.754,21.164,21.199,1215849,0
20130221,20.955,20.955,20.486,20.572,1462198,0
20130222,20.885,20.885,20.555,20.66,3106415,0
20130225,20.877,20.999,20.433,20.443,572573,0
20130226,20.137,21.19,20.137,21.19,867107,0
20130227,20.45,20.608,20.286,20.598,2485311,0
20130228,20.372,20.529,20.32,20.347,869365,0
20130301,20.129,20.129,19.85,19.955,2809624,0
20130304,19.832,19.972,19.459,19.869,1350256,0
20130305,19.963,19.999,19.737,19.746,468425,0
20130306,19.911,20.015,19.859,20.015,313071,0
20130307,20.076,20.104,19.869,19.938,281191,0
20130308,20.119,20.172,20.024,20.172,148926,0
20130311,20.303,20.347,20.259,20.286,338096,0
20130312,20.546,20.546,20.251,20.347,212928,0
20130313,20.076,20.076,19.877,20.067,463257,0
20130314,20.329,20.372,20.216,20.372,345907,0
20130315,20.443,20.443,20.224,20.224,14576,0
20130318,19.826,19.902,19.704,19.713,390304,0
20130319,19.704,19.704,19.234,19.303,661877,0
20130320,19.417,19.469,19.215,19.39,103936,0
20130321,19.155,19.328,19.129,19.198,581411,0
20130322,19.129,19.172,18.981,19.042,50126,0
20130325,19.129,19.129,18.772,18.928,347818,0
20130326,18.86,18.938,18.798,18.938,86365,0
20130327,18.917,18.917,18.404,18.404,591793,0
20130328,18.483,18.607,18.43,18.536,2215836,0
20130401,18.634,18.634,18.298,18.404,75966,0
20130402,18.094,18.094,17.776,17.82,588644,0
20130403,17.934,17.97,17.82,17.943,738437,0
20130404,18.014,18.076,17.794,17.82,184407,0
20130405,17.554,17.784,17.458,17.741,316445,0
20130408,17.617,17.872,17.607,17.82,621159,0
20130409,17.846,18.466,17.846,18.421,1708480,0
20130410,18.324,18.404,18.103,18.192,1629598,0
20130411,17.925,18.12,17.89,18.032,1098752,0
20130412,18.085,18.085,17.82,18.04,124196,0
20130415,17.803,17.803,17.228,17.421,2593326,0
20130416,17.66,17.66,17.465,17.607,2109097,0
20130417,17.465,17.67,16.926,17.67,791302,0
20130418,17.626,17.626,16.89,17.076,1215800,0
20130419,17.281,17.564,16.997,17.52,3966209,0
20130422,17.43,17.458,17.166,17.315,2249655,0
20130423,17.564,17.741,17.492,17.545,907131,0
20130424,17.811,18.164,17.811,18.085,1354544,0
20130425,18.085,18.306,18.085,18.182,1006370,0
20130426,17.88,18.05,17.811,17.979,127303,0
20130429,18.289,18.351,18.2,18.27,32941,0
20130430,18.005,18.351,17.909,18.315,212186,0
20130501,18.395,18.395,18.014,18.103,666979,0
20130502,18.111,18.209,17.934,18.182,448186,0
20130503,18.447,18.581,18.413,18.474,23983,0
20130506,18.581,18.597,18.421,18.544,140492,0
20130507,18.643,18.669,18.483,18.669,299593,0
20130508,18.377,18.739,18.298,18.616,233908,0
20130509,18.934,19.022,18.554,18.597,103313,0
20130510,19.085,19.422,18.934,19.155,2796831,0
20130513,18.908,19.085,18.89,18.908,690217,0
20130514,18.722,18.846,18.669,18.731,267860,0
20130515,18.713,18.713,18.447,18.554,259843,0
20130516,18.447,18.704,18.368,18.597,125750,0
20130517,18.864,18.934,18.634,18.917,166070,0
20130520,18.926,19.155,18.873,19.112,426749,0
20130521,19.261,19.385,19.191,19.191,568005,0
20130522,19.367,19.475,18.89,19.032,157100,0
20130523,18.802,18.908,18.713,18.908,344887,0
20130524,18.758,18.917,18.749,18.802,235983,0
20130528,19.208,19.208,18.846,18.846,201749,0
20130529,18.997,19.05,18.767,18.828,591123,0
20130530,18.828,19.155,18.828,19.022,165966,0
20130531,19.094,19.094,18.572,18.66,365593,0
20130603,18.899,18.908,18.696,18.908,426615,0
20130604,18.952,18.952,18.643,18.802,245263,0
20130605,18.846,18.846,18.342,18.342,191298,0
20130606,18.528,18.528,18.227,18.421,346531,0
20130607,18.359,18.44,18.209,18.386,235974,0
20130610,18.333,18.359,18.192,18.262,123883,0
20130611,18.032,18.032,17.846,17.856,344478,0
20130612,17.872,17.872,17.527,17.607,319233,0
20130613,17.827,18.103,17.784,18.103,434724,0
20130614,18.164,18.174,17.89,18.014,254746,0
20130617,18.103,18.12,17.776,17.864,77180,0
20130618,18.058,18.058,17.864,18.023,636036,0
20130619,18.164,18.164,17.617,17.617,2884816,0
20130620,17.297,17.395,17.148,17.297,811398,0
20130621,17.281,17.281,17.095,17.209,1628822,0
20130624,17.12,17.12,16.581,16.793,100735,0
20130625,16.943,17.156,16.812,17.076,48737,0
20130626,17.006,17.076,16.89,17.006,695966,0
20130627,17.123,17.342,17.078,17.114,193476,0
20130628,17.265,17.265,17.109,17.238,347718,0
