Date,Open,High,Low,Close,Volume,OpenInt
20050225,8.9317,9.0405,8.9218,9.0009,1432501,0
20050228,9.0602,9.1888,9.0504,9.0701,911831,0
20050301,9.08,9.0899,9.0009,9.0306,506617,0
20050302,8.991,9.0405,8.9514,9.0306,628748,0
20050303,8.991,9.0207,8.9416,8.9712,710134,0
20050304,9.0108,9.0701,8.991,9.0504,852585,0
20050307,9.0405,9.0504,9.0009,9.0207,426849,0
20050308,9.0108,9.0108,8.9218,8.9514,569502,0
20050309,9.0998,9.169,9.0504,9.1394,532702,0
20050310,9.0701,9.169,9.0602,9.1493,549181,0
20050311,9.3273,9.3669,9.2086,9.2086,1018290,0
20050314,9.2383,9.2778,9.1789,9.2284,1376794,0
20050315,9.2086,9.2086,9.1196,9.1394,534218,0
20050316,9.1394,9.1394,8.991,9.0207,542306,0
20050317,9.0108,9.1097,8.9811,9.1097,1263561,0
20050318,9.0998,9.1295,9.0602,9.0998,438475,0
20050321,9.0701,9.0899,9.0108,9.08,1258304,0
20050322,9.0504,9.1196,9.0009,9.0306,1865719,0
20050323,8.9811,8.9811,8.8921,8.9218,1222817,0
20050324,8.6745,8.8426,8.6646,8.8229,1126367,0
20050328,8.813,8.813,8.7239,8.7239,665144,0
20050329,8.6646,8.6646,8.5261,8.6053,1043262,0
20050330,8.5558,8.6547,8.5558,8.625,557775,0
20050331,8.6053,8.6151,8.5063,8.5558,882612,0
20050401,8.5459,8.7338,8.5459,8.7042,622277,0
20050404,8.6349,8.6349,8.4569,8.536,839139,0
20050405,8.5657,8.5756,8.5162,8.5459,395406,0
20050406,8.5657,8.6844,8.5657,8.6349,388835,0
20050407,8.7239,8.7239,8.6053,8.625,432308,0
20050408,8.6349,8.6844,8.5855,8.6349,410470,0
20050411,8.6745,8.7239,8.6646,8.6943,419367,0
20050412,8.625,8.7239,8.5657,8.7141,420985,0
20050413,8.7042,8.7141,8.5657,8.6151,384386,0
20050414,8.536,8.6053,8.5063,8.5459,361942,0
20050415,8.447,8.5162,8.3778,8.3778,480938,0
20050418,8.081,8.2887,8.0711,8.1404,1168526,0
20050419,8.3184,8.4668,8.3184,8.4569,654023,0
20050420,8.536,8.5756,8.3778,8.4074,396721,0
20050421,8.447,8.6151,8.447,8.5756,381252,0
20050422,8.6053,8.6151,8.4866,8.5063,325141,0
20050425,8.5459,8.7141,8.5459,8.7141,315435,0
20050426,8.6053,8.625,8.4668,8.5162,695171,0
20050427,8.4965,8.5459,8.4173,8.5063,203921,0
20050428,8.3778,8.5261,8.3778,8.4074,383780,0
20050429,8.4569,8.5756,8.4173,8.5558,394395,0
20050502,8.6448,8.6547,8.5558,8.6448,504899,0
20050503,8.6646,8.6646,8.4569,8.5459,685667,0
20050504,8.5657,8.6943,8.5657,8.6448,477500,0
20050505,8.7239,8.7635,8.6547,8.7141,368008,0
20050506,8.6844,8.7833,8.6844,8.7536,213323,0
20050509,8.6349,8.6349,8.5756,8.6053,259021,0
20050510,8.5063,8.5261,8.4074,8.447,278331,0
20050511,8.4272,8.5063,8.3975,8.4668,256595,0
20050512,8.3778,8.4074,8.2096,8.2788,617323,0
20050513,8.269,8.2887,8.1404,8.2294,1673324,0
20050516,8.1898,8.269,8.1799,8.2492,597811,0
20050517,8.1602,8.2294,8.1305,8.1997,834387,0
20050518,8.1602,8.2294,8.1206,8.1997,785960,0
20050519,8.2591,8.3481,8.2393,8.3283,1138398,0
20050520,8.2887,8.2887,8.2096,8.2294,473962,0
20050523,8.2096,8.3481,8.2096,8.2887,1033860,0
20050524,8.2887,8.358,8.2788,8.3382,492564,0
20050525,8.3085,8.3184,8.2195,8.2887,436251,0
20050526,8.2294,8.2294,8.17,8.1799,670603,0
20050527,8.1503,8.1503,8.0711,8.1107,586993,0
20050531,8.1898,8.2788,8.1898,8.2096,605696,0
20050601,8.269,8.3877,8.2195,8.3382,999890,0
20050602,8.3085,8.358,8.2788,8.2986,349506,0
20050603,8.269,8.3778,8.2492,8.2887,310481,0
20050606,8.3085,8.3975,8.3085,8.3778,342328,0
20050607,8.3481,8.4668,8.3481,8.4173,223636,0
20050608,8.4965,8.4965,8.358,8.3778,363357,0
20050609,8.3184,8.4074,8.3085,8.3679,264986,0
20050610,8.3283,8.4074,8.2591,8.269,482555,0
20050613,8.2591,8.269,8.2096,8.2393,208572,0
20050614,8.2492,8.2788,8.2294,8.269,391564,0
20050615,8.3382,8.4569,8.3382,8.4272,806787,0
20050616,8.5063,8.6053,8.4767,8.5657,661201,0
20050617,8.625,8.6547,8.5855,8.6151,384386,0
20050620,8.5855,8.5855,8.4569,8.5063,321299,0
20050621,8.5261,8.6745,8.5261,8.625,512684,0
20050622,8.6547,8.6844,8.4668,8.5459,530174,0
20050623,8.6745,8.6745,8.5063,8.5162,278028,0
20050624,8.4668,8.5261,8.3975,8.4569,783735,0
20050627,8.2986,8.447,8.2986,8.4074,467390,0
20050628,8.3382,8.447,8.3283,8.3877,468502,0
20050629,8.4074,8.4866,8.3877,8.4074,340609,0
20050630,8.4668,8.4767,8.3679,8.3877,421490,0
20050701,8.2986,8.3877,8.2986,8.358,715796,0
20050705,8.3778,8.4371,8.3085,8.4173,530275,0
20050706,8.3481,8.3481,8.2195,8.2591,556764,0
20050707,8.1898,8.3382,8.1602,8.3283,490037,0
20050708,8.3085,8.3975,8.2788,8.3975,440396,0
20050711,8.3778,8.4074,8.3481,8.3877,337475,0
20050712,8.3975,8.4767,8.358,8.4569,471333,0
20050713,8.3778,8.3778,8.2986,8.3481,412391,0
20050714,8.3184,8.3679,8.2887,8.3184,337678,0
20050715,8.269,8.358,8.2492,8.3283,279848,0
20050718,8.2986,8.358,8.2986,8.3283,380949,0
20050719,8.1898,8.2096,8.1503,8.17,741475,0
20050720,8.1305,8.1404,7.992,8.1305,752192,0
20050721,8.1305,8.2096,8.1008,8.17,431904,0
20050722,8.1107,8.1602,8.0612,8.0909,461526,0
20050725,8.1107,8.1305,8.0415,8.1206,434128,0
20050726,7.992,8.0612,7.8634,8.0118,475579,0
20050727,8.1008,8.1898,8.0711,8.1404,663526,0
20050728,8.17,8.269,8.1503,8.269,742183,0
20050729,8.269,8.3085,8.1997,8.2096,373872,0
20050801,8.3085,8.3778,8.2887,8.3679,871997,0
20050802,8.358,8.5162,8.3481,8.4866,1153765,0
20050803,8.447,8.5063,8.4272,8.4272,318772,0
20050804,8.4272,8.4965,8.4074,8.4173,445350,0
20050805,8.3975,8.3975,8.2393,8.2887,641486,0
20050808,8.3085,8.3877,8.3085,8.3481,454045,0
20050809,8.447,8.5261,8.4173,8.4569,455258,0
20050810,8.6547,9.0009,8.6547,8.7635,2260013,0
20050811,8.9712,9.1888,8.9613,9.1888,1391454,0
20050812,9.1394,9.2482,9.0998,9.2284,917189,0
20050815,9.3965,9.664,9.3965,9.664,2084603,0
20050816,9.594,9.644,9.4658,9.4856,1133950,0
20050817,9.565,9.634,9.555,9.575,883421,0
20050818,9.584,9.584,9.4064,9.565,1051856,0
20050819,9.604,9.693,9.594,9.634,795160,0
20050822,10.089,10.178,9.97,10.138,2866620,0
20050823,9.98,10.03,9.792,9.832,1674840,0
20050824,10.188,10.297,10.188,10.208,1553216,0
20050825,10.069,10.089,9.95,10.039,897575,0
20050826,10.138,10.138,9.95,9.99,536644,0
20050829,9.921,9.98,9.871,9.96,883219,0
20050830,10.02,10.128,10,10.079,970267,0
20050831,10.079,10.237,10.049,10.237,1061359,0
20050901,10.039,10.188,10.01,10.109,1162763,0
20050902,10.158,10.158,10.03,10.059,754113,0
20050906,10.128,10.297,10.109,10.287,1393375,0
20050907,10.059,10.138,10.03,10.089,2478290,0
20050908,9.901,9.941,9.881,9.921,1995027,0
20050909,10.099,10.287,10.099,10.257,1401160,0
20050912,10.485,10.672,10.435,10.524,2758846,0
20050913,10.485,10.504,10.376,10.405,1149115,0
20050914,10.356,10.376,10.178,10.208,871592,0
20050915,10.415,10.613,10.415,10.583,1267403,0
20050916,10.682,10.86,10.663,10.831,1275592,0
20050919,10.821,10.831,10.712,10.752,2012316,0
20050920,10.949,11.127,10.89,10.979,3110678,0
20050921,11.009,11.127,10.969,10.969,2484559,0
20050922,10.999,11.048,10.88,11.038,871896,0
20050923,11.038,11.127,10.92,10.94,998879,0
20050926,11.048,11.118,10.949,11.009,1261438,0
20050927,11.068,11.375,11.068,11.325,4291942,0
20050928,12.067,12.176,12.057,12.107,2364451,0
20050929,12.601,12.71,12.512,12.7,3146366,0
20050930,12.878,12.908,12.473,12.888,1985018,0
20051003,12.403,12.502,12.216,12.314,1231209,0
20051004,12.117,12.255,12.067,12.077,1537848,0
20051005,12.067,12.146,11.899,11.919,1523088,0
20051006,11.622,11.919,11.543,11.662,2479504,0
20051007,11.82,11.968,11.761,11.929,1468999,0
20051010,11.968,11.988,11.82,11.85,1404597,0
20051011,12.601,12.849,12.522,12.69,3803725,0
20051012,12.572,12.641,12.394,12.433,2817080,0
20051013,12.76,12.987,12.621,12.809,2108867,0
20051014,12.562,12.849,12.492,12.809,1967123,0
20051017,12.117,12.196,11.968,12.186,3032527,0
20051018,12.037,12.067,11.879,12.018,2252026,0
20051019,11.909,12.225,11.879,12.216,2438659,0
20051020,12.196,12.245,11.958,11.968,1885434,0
20051021,12.453,12.453,12.117,12.275,1736916,0
20051024,12.107,12.265,12.047,12.216,1617010,0
20051025,12.067,12.216,11.968,12.018,1641275,0
20051026,12.117,12.433,12.117,12.265,1489219,0
20051027,12.364,12.443,12.166,12.166,1070863,0
20051028,12.334,12.463,12.176,12.463,1263763,0
20051031,12.463,12.601,12.463,12.552,1536534,0
20051101,12.858,13.036,12.789,12.947,1156293,0
20051102,13.333,13.759,13.205,13.729,2749241,0
20051103,13.778,13.838,13.709,13.778,2746410,0
20051104,13.768,14.035,13.768,13.917,2692524,0
20051107,13.996,14.026,13.927,13.946,1333321,0
20051108,13.729,13.729,13.491,13.501,1787972,0
20051109,13.145,13.373,12.987,13.294,2084401,0
20051110,13.106,13.155,12.918,13.125,1835187,0
20051111,13.254,13.294,13.155,13.195,1075412,0
20051114,12.849,12.997,12.75,12.898,2204205,0
20051115,12.621,12.858,12.562,12.601,2019292,0
20051116,12.661,12.76,12.641,12.69,1563326,0
20051117,13.036,13.402,13.017,13.313,3006746,0
20051118,13.313,13.353,13.076,13.155,1120604,0
20051121,13.056,13.056,12.878,12.997,2067719,0
20051122,12.542,12.7,12.433,12.69,2864598,0
20051123,12.809,12.997,12.631,12.898,1328468,0
20051125,13.195,13.195,12.967,13.007,1111303,0
20051128,12.809,12.809,12.591,12.7,1417134,0
20051129,12.938,12.967,12.819,12.829,1176109,0
20051130,12.562,12.621,12.512,12.512,2591220,0
20051201,12.858,13.036,12.809,13.036,2722045,0
20051202,12.858,12.878,12.69,12.74,1346868,0
20051205,13.036,13.036,12.878,12.947,1250721,0
20051206,13.244,13.541,13.234,13.482,1772807,0
20051207,13.353,13.393,13.185,13.294,1079962,0
20051208,13.036,13.135,12.938,13.017,1635108,0
20051209,13.304,13.462,13.284,13.432,950249,0
20051212,13.59,13.699,13.59,13.669,1279232,0
20051213,13.65,13.788,13.551,13.729,1685658,0
20051214,13.759,13.838,13.65,13.66,1264572,0
20051215,13.719,13.788,13.64,13.709,1113123,0
20051216,13.848,14.016,13.838,13.917,1145071,0
20051219,14.055,14.184,13.966,14.016,1804654,0
20051220,14.194,14.322,14.154,14.214,1201788,0
20051221,14.134,14.204,14.075,14.174,964605,0
20051222,14.035,14.144,13.996,14.115,1590926,0
20051223,14.214,14.322,14.174,14.204,1743185,0
20051227,14.115,14.134,13.788,13.848,1909294,0
20051228,13.946,14.026,13.867,13.907,794048,0
20051229,13.749,13.798,13.59,13.64,839948,0
20051230,13.64,13.65,13.373,13.541,722367,0
20060103,13.65,14.243,13.65,13.976,1494981,0
20060104,13.877,14.085,13.877,14.075,2059024,0
20060105,14.045,14.045,13.6,13.828,1775133,0
20060106,13.778,13.976,13.709,13.838,1423503,0
20060109,13.946,14.026,13.867,14.026,1217762,0
20060110,13.353,13.452,13.195,13.254,2947399,0
20060111,13.333,13.561,13.333,13.521,1589612,0
20060112,13.402,13.402,13.046,13.175,1275592,0
20060113,13.125,13.165,13.036,13.106,1200272,0
20060117,13.254,13.264,13.155,13.215,2201274,0
20060118,12.977,13.175,12.868,13.106,1908080,0
20060119,13.304,13.442,13.224,13.393,2022527,0
20060120,13.155,13.165,12.661,12.769,2063776,0
20060123,12.957,13.066,12.868,13.036,2317641,0
20060124,13.056,13.195,13.046,13.076,1172166,0
20060125,13.224,13.224,13.066,13.116,882815,0
20060126,13.551,13.798,13.521,13.719,1609125,0
20060127,13.966,14.233,13.966,14.124,1508832,0
20060130,14.243,14.243,13.946,14.085,1414202,0
20060131,14.263,14.322,14.095,14.293,1378614,0
20060201,14.095,14.144,13.946,14.134,824884,0
20060202,14.134,14.174,13.927,13.966,786162,0
20060203,13.927,14.134,13.867,14.026,1086129,0
20060206,13.798,13.828,13.63,13.709,1161651,0
20060207,13.679,13.808,13.65,13.699,1013336,0
