Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.806,10.07,9.767,9.993,1020985,0
20050228,9.993,10.168,9.953,10.08,1136654,0
20050301,10.09,10.295,10.08,10.275,1025073,0
20050302,10.09,10.393,10.06,10.247,1181613,0
20050303,10.247,10.285,10.159,10.247,1176299,0
20050304,10.247,10.423,10.237,10.334,1260497,0
20050307,10.334,10.364,10.257,10.295,1064309,0
20050308,10.237,10.334,10.168,10.257,330246,0
20050309,10.257,10.285,10.09,10.168,660494,0
20050310,10.178,10.305,10.1,10.178,764308,0
20050311,10.178,10.334,10.178,10.325,829295,0
20050314,10.325,10.344,10.09,10.168,812537,0
20050315,10.208,10.315,10.208,10.247,501910,0
20050316,10.247,10.334,10.168,10.305,1479161,0
20050317,10.267,10.334,10.227,10.315,826434,0
20050318,10.334,10.344,10.188,10.334,1541288,0
20050321,10.325,10.384,10.159,10.247,313898,0
20050322,10.267,10.334,10.168,10.188,326568,0
20050323,10.188,10.188,9.993,10.011,422618,0
20050324,10.021,10.168,10.002,10.1,347004,0
20050328,10.1,10.218,10.011,10.041,441827,0
20050329,10.002,10.119,9.689,9.728,772074,0
20050330,9.728,9.875,9.728,9.865,746734,0
20050331,9.855,9.973,9.806,9.885,583245,0
20050401,9.904,10.09,9.835,10.002,1569489,0
20050404,10.002,10.002,9.728,9.904,621666,0
20050405,9.904,10.129,9.845,9.855,628614,0
20050406,9.845,10.06,9.835,9.835,604907,0
20050407,9.835,9.963,9.738,9.845,367440,0
20050408,9.816,9.826,9.669,9.728,523572,0
20050411,9.719,9.719,9.552,9.571,454089,0
20050412,9.542,9.61,9.2973,9.601,1289923,0
20050413,9.63,9.64,9.3853,9.4147,835834,0
20050414,9.3756,9.405,9.1115,9.1504,900821,0
20050415,9.1504,9.1504,8.9058,8.9646,1006271,0
20050418,8.9547,9.0037,8.8179,8.8569,1157090,0
20050419,8.8764,8.9646,8.7884,8.9058,1903823,0
20050420,8.994,9.3364,8.9841,9.219,2204233,0
20050421,9.2776,9.444,9.1407,9.444,809268,0
20050422,9.3951,9.3951,9.268,9.3267,927797,0
20050425,9.356,9.522,9.3168,9.512,573845,0
20050426,9.4934,9.689,9.3853,9.571,1403140,0
