Date,Open,High,Low,Close,Volume,OpenInt
20050225,12.025,12.049,12.017,12.049,4610,0
20050228,12.049,12.137,12,12.065,23545,0
20050301,12.137,12.201,12.098,12.104,17315,0
20050302,12.137,12.137,12.058,12.112,3615,0
20050303,12.177,12.177,12.104,12.128,7352,0
20050304,12.168,12.185,12.112,12.112,4734,0
20050307,12.017,12.089,12.009,12.089,21801,0
20050308,12.089,12.137,12.041,12.058,16697,0
20050309,12.058,12.058,11.872,11.872,30269,0
20050310,11.953,11.953,11.841,11.903,9346,0
20050311,11.865,11.872,11.8,11.865,3363,0
20050314,11.872,11.945,11.791,11.945,13078,0
20050315,11.945,11.945,11.903,11.92,4734,0
20050316,11.849,11.936,11.849,11.903,4485,0
20050317,11.865,11.865,11.832,11.865,3982,0
20050318,11.872,11.903,11.857,11.857,9219,0
20050321,11.865,11.889,11.849,11.889,9593,0
20050322,11.832,11.849,11.808,11.808,7352,0
20050323,11.881,11.881,11.679,11.752,27036,0
20050324,11.672,11.672,11.536,11.544,18684,0
20050328,11.462,11.552,11.358,11.366,16447,0
20050329,11.407,11.407,11.343,11.351,9838,0
20050330,11.351,11.407,11.351,11.374,13955,0
20050331,11.327,11.575,11.327,11.544,14200,0
20050401,11.616,11.616,11.511,11.511,8843,0
20050404,11.552,11.599,11.486,11.599,11585,0
20050405,11.616,11.616,11.591,11.616,1992,0
20050406,11.632,11.632,11.591,11.616,3736,0
20050407,11.575,11.656,11.575,11.591,5728,0
20050408,11.632,11.632,11.582,11.582,10088,0
20050411,11.616,11.72,11.582,11.648,16315,0
20050412,11.686,11.736,11.686,11.736,8343,0
20050413,11.711,11.736,11.679,11.72,6103,0
20050414,11.679,11.752,11.648,11.745,4113,0
20050415,11.672,11.686,11.599,11.599,13705,0
20050418,11.64,11.686,11.632,11.632,5728,0
20050419,11.694,11.72,11.694,11.72,5110,0
20050420,11.672,11.745,11.632,11.745,8591,0
20050421,11.672,11.784,11.672,11.784,10964,0
20050422,11.784,11.784,11.745,11.76,624,0
20050425,11.8,11.8,11.76,11.791,5480,0
20050426,11.857,12.025,11.841,11.936,11836,0
20050427,12.058,12.137,12.058,12.137,8223,0
20050428,12.168,12.168,12.058,12.137,6233,0
20050429,12.234,12.234,12,12.162,17693,0
20050502,12.234,12.298,12.185,12.291,13078,0
20050503,12.306,12.313,12.065,12.065,19433,0
20050504,12.12,12.194,12.098,12.154,11336,0
20050505,12.168,12.209,12.145,12.209,11460,0
20050506,12.177,12.201,12.154,12.185,4610,0
20050509,12.185,12.403,12.185,12.249,12336,0
20050510,12.274,12.386,12.274,12.37,15200,0
