Date,Open,High,Low,Close,Volume,OpenInt
20100823,19.57,19.8,19.57,19.8,62606,0
20100824,19.69,19.9,19.5,19.88,116858,0
20100825,19.8,19.8,19.46,19.65,64230,0
20100826,19.62,20,19.51,19.99,63605,0
20100827,20.05,20.25,19.9,20.25,106245,0
20100830,20.3,20.8,20.1,20.8,99650,0
20100831,20.01,20.39,19.93,20.24,82512,0
20100901,20.15,20.27,20.01,20.01,70101,0
20100902,20.11,20.13,19.96,20.05,36692,0
20100903,20.1,20.23,20.1,20.15,50130,0
20100907,20.15,20.15,19,19.05,106761,0
20100908,19,19.52,18.15,19.5,288830,0
20100909,19.75,20.03,19.55,19.96,111945,0
20100910,19.89,19.95,19.25,19.38,67105,0
20100913,19.4,19.81,19.4,19.6,86485,0
20100914,19.78,19.78,19.52,19.71,49350,0
20100915,19.69,19.88,19.26,19.26,75677,0
20100916,19.45,19.95,19.28,19.9,141903,0
20100917,19.85,20,19.8,20,49415,0
20100920,19.99,20,19.85,19.96,71915,0
20100921,20,20.18,19.97,20.09,104041,0
20100922,19.66,20.05,19.66,20.05,58730,0
20100923,19.99,20.04,19.86,19.96,45439,0
20100924,20,20.05,20,20.05,65131,0
20100927,20.05,20.05,19.86,20,49425,0
20100928,20.05,20.05,19.95,20.01,67672,0
20100929,20,20.04,19.85,19.93,105643,0
20100930,20,20.09,19.98,20.04,34929,0
20101001,20.12,20.2,20.1,20.1,35085,0
20101004,20.21,20.84,20.2,20.82,101404,0
20101005,20.9,21.35,20.75,21,112017,0
20101006,21.2,21.6,21.2,21.33,73535,0
20101007,21.5,22,21.5,21.98,82241,0
20101008,21.77,22,21.6,22,51499,0
20101011,22.07,22.08,21.82,22.04,74176,0
20101012,22.1,22.5,22.1,22.49,102124,0
20101013,22.5,22.98,22.48,22.86,136603,0
20101014,22.8,22.98,22.11,22.35,120688,0
20101015,22.38,22.91,21.05,21.65,92160,0
20101018,21.45,21.6,21.02,21.22,70519,0
20101019,21.44,22.07,21.44,21.61,31311,0
20101020,21.75,22.3,21.75,22.13,32065,0
20101021,22.29,22.58,21.59,21.98,104315,0
20101022,21.99,22,21.55,21.7,122600,0
20101025,22.4,22.4,21.6,21.6,61489,0
20101026,21.54,21.9,21.4,21.52,58435,0
20101027,21.41,21.57,21.11,21.57,105357,0
20101028,21.6,21.6,21.31,21.33,28905,0
20101029,21.42,21.49,21,21,31760,0
20101101,21.1,21.19,20.75,20.8,70528,0
20101102,21.01,21.15,20.5,20.87,76700,0
20101103,20.7,20.9,20.7,20.85,52919,0
20101104,20.85,20.85,20.74,20.81,78124,0
20101105,20.78,20.8,20.17,20.35,73134,0
20101108,20.25,20.4,20.1,20.1,99152,0
20101109,20.4,20.43,20.12,20.4,57379,0
20101110,20.3,20.48,20.2,20.42,129129,0
20101111,20.28,20.5,20.2,20.2,60889,0
20101112,20.23,20.5,20.17,20.5,44745,0
20101115,20.49,20.8,20.27,20.8,51019,0
20101116,20.56,20.56,19.55,19.9,113103,0
20101117,19.99,20.5,19.99,20.26,39198,0
