Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.3299,9.4505,9.3241,9.4179,221420,0
20050228,9.4119,9.4179,9.3741,9.3859,267404,0
20050301,9.4258,9.4634,9.3995,9.4119,246056,0
20050302,9.4119,9.693,9.3859,9.52,505930,0
20050303,9.52,9.591,9.4065,9.4179,340052,0
20050304,9.4634,9.4882,9.4179,9.4822,308986,0
20050307,9.4575,9.577,9.4575,9.546,290628,0
20050308,9.502,9.571,9.502,9.52,250923,0
20050309,9.4882,9.4882,9.2978,9.3173,420401,0
20050310,9.3037,9.3105,9.1379,9.2088,372223,0
20050311,9.2088,9.2522,9.0304,9.1254,299097,0
20050314,9.1141,9.1141,8.9338,8.9338,614992,0
20050315,8.9984,9.0173,8.9338,8.9788,564462,0
20050316,8.9918,9.0239,8.8448,8.8448,553478,0
20050317,8.87,9.0239,8.7999,8.9918,357159,0
20050318,9.1254,9.1314,8.87,8.946,292513,0
20050321,8.9216,8.9216,8.692,8.7943,484741,0
20050322,8.7815,8.8959,8.7175,8.7943,337860,0
20050323,8.7557,8.7621,8.6094,8.6286,499337,0
20050324,8.6156,8.946,8.6156,8.87,518953,0
20050328,8.87,8.8829,8.7175,8.7815,319813,0
20050329,8.6984,8.8568,8.6856,8.7999,239466,0
20050330,8.8383,8.8959,8.7621,8.8959,188623,0
20050331,8.9851,9.0173,8.8959,8.959,204944,0
20050401,9.005,9.0371,8.8504,8.9404,229583,0
20050404,8.9085,9.1638,8.8959,9.0428,495410,0
20050405,9.1254,9.1254,9.0428,9.0807,185486,0
20050406,9.1512,9.1694,9.1199,9.1254,226128,0
20050407,9.094,9.1694,9.0304,9.0617,246056,0
20050408,9.1074,9.1314,9.0173,9.0428,181407,0
20050411,9.005,9.0874,8.9657,8.9657,168220,0
20050412,8.9525,8.9722,8.8504,8.8959,348846,0
20050413,8.7943,8.8317,8.7815,8.7999,216716,0
20050414,8.7432,8.8128,8.6346,8.7111,274619,0
20050415,8.673,8.692,8.5709,8.622,261432,0
20050418,8.622,8.622,8.4628,8.5071,381641,0
20050419,8.4755,8.692,8.4755,8.6346,276188,0
20050420,8.6409,8.7111,8.6286,8.6346,206832,0
20050421,8.6156,8.8203,8.6156,8.788,231777,0
20050422,8.8064,8.8763,8.7751,8.8383,293293,0
20050425,8.8448,8.8959,8.8128,8.8383,223619,0
20050426,8.8383,8.8504,8.6856,8.7111,340052,0
20050427,8.705,8.7999,8.6475,8.788,212637,0
20050428,8.7999,8.8633,8.7815,8.8128,171990,0
20050429,8.7943,8.8317,8.7432,8.7432,175599,0
20050502,8.7369,8.8128,8.705,8.7999,186740,0
20050503,8.8064,8.8633,8.7815,8.8633,162572,0
