Date,Open,High,Low,Close,Volume,OpenInt
19841019,2.6048,2.6225,2.5611,2.5787,2360145,0
19841022,2.5787,2.6048,2.4908,2.5611,506347,0
19841023,2.5787,2.5787,2.5171,2.5349,586499,0
19841024,2.5349,2.5349,2.4908,2.5171,837906,0
19841025,2.4733,2.4997,2.447,2.447,985217,0
19841026,2.447,2.4733,2.447,2.447,126558,0
19841029,2.4733,2.4733,2.447,2.4733,1859611,0
19841030,2.447,2.5171,2.447,2.4997,88365,0
19841031,2.4997,2.5171,2.4733,2.4997,117325,0
19841101,2.4997,2.5436,2.4997,2.5171,230656,0
19841102,2.4997,2.5436,2.4997,2.5436,41844,0
19841105,2.5171,2.5611,2.4997,2.5436,83232,0
19841106,2.5436,2.5873,2.5436,2.5873,164183,0
19841107,2.5611,2.5611,2.5436,2.5611,53815,0
19841108,2.5436,2.5611,2.5171,2.5436,107747,0
19841109,2.5436,2.5611,2.5171,2.5171,74112,0
19841112,2.5171,2.5171,2.4997,2.5171,202721,0
19841113,2.5171,2.5171,2.4733,2.4733,61911,0
19841114,2.4997,2.4997,2.4733,2.4997,26797,0
19841115,2.4997,2.5171,2.4733,2.5171,478528,0
19841116,2.5171,2.5436,2.4997,2.4997,132600,0
19841119,2.5171,2.5436,2.5171,2.5171,165893,0
19841120,2.5171,2.5436,2.4997,2.5171,303969,0
19841121,2.5171,2.5436,2.4733,2.5436,471230,0
19841123,2.5436,2.5873,2.5171,2.5436,234532,0
19841126,2.5436,2.5611,2.5171,2.5436,131802,0
19841127,2.5171,2.5436,2.5171,2.5436,38765,0
19841128,2.5171,2.5611,2.5171,2.5436,179347,0
19841129,2.5171,2.5436,2.5171,2.5436,71945,0
19841130,2.5171,2.5436,2.5171,2.5171,85513,0
19841203,2.5436,2.5436,2.4997,2.5171,117666,0
19841204,2.4997,2.5171,2.4997,2.4997,39449,0
19841205,2.4997,2.5436,2.4733,2.4997,198504,0
19841206,2.4733,2.4997,2.447,2.4733,39449,0
19841207,2.447,2.447,2.403,2.4295,323921,0
19841210,2.4295,2.4295,2.3857,2.4295,130777,0
19841211,2.4295,2.4295,2.403,2.4295,420720,0
19841212,2.403,2.4295,2.403,2.4295,110823,0
19841213,2.403,2.4295,2.403,2.4295,67839,0
19841214,2.4295,2.4295,2.403,2.4295,392217,0
19841217,2.403,2.403,2.3416,2.3593,286526,0
19841218,2.3593,2.403,2.3593,2.3857,433492,0
19841219,2.3857,2.5873,2.3857,2.4295,317536,0
19841220,2.403,2.4295,2.3857,2.4295,260300,0
19841221,2.403,2.4295,2.3857,2.4295,186533,0
19841224,2.447,2.4733,2.4295,2.447,101360,0
19841226,2.4733,2.4733,2.4295,2.4733,249124,0
19841227,2.4733,2.4733,1.9822,2.1402,1986170,0
19841228,2.0699,2.1136,2.0524,2.1136,890013,0
19841231,2.0699,2.1402,1.9381,2.0961,569057,0
19850102,2.0699,2.0961,2.0261,2.0699,945426,0
19850103,2.0699,2.0961,2.0084,2.0261,455837,0
19850104,2.0084,2.0524,1.9647,2.0261,394268,0
19850107,2.0524,2.0699,2.0084,2.0699,361317,0
19850108,2.0699,2.1576,2.0524,2.1136,515813,0
19850109,2.1402,2.1839,2.1402,2.1576,448085,0
19850110,2.1839,2.2278,2.1576,2.2015,589010,0
19850111,2.1839,2.2278,2.1402,2.1839,241602,0
19850114,2.2015,2.2015,2.1839,2.1839,171935,0
19850115,2.1839,2.2015,2.1402,2.1839,373404,0
19850116,2.1576,2.2015,2.1402,2.1839,242399,0
19850117,2.1839,2.2015,2.1839,2.2015,218912,0
19850118,2.2015,2.2015,2.1576,2.1576,131575,0
19850121,2.1839,2.1839,2.1402,2.1839,256082,0
19850122,2.1576,2.2979,2.1402,2.1576,212413,0
19850123,2.1576,2.1576,2.1402,2.1576,978037,0
19850124,2.1576,2.1576,2.1402,2.1576,1084752,0
19850125,2.1402,2.2365,2.1402,2.2102,1672623,0
19850128,2.2102,2.2102,2.1664,2.1839,330991,0
19850129,2.1664,2.1839,2.1664,2.1839,103414,0
19850130,2.1664,2.2102,2.1664,2.1839,699150,0
19850131,2.1839,2.2102,2.1664,2.1839,708158,0
19850201,2.2102,2.2102,2.1664,2.1839,157001,0
19850204,2.1839,2.1839,2.1402,2.1839,341820,0
19850205,2.1664,2.1839,2.1402,2.1664,132830,0
19850206,2.1402,2.1839,2.1402,2.1664,729706,0
19850207,2.1402,2.1839,2.1136,2.1664,823657,0
19850208,2.1136,2.1664,2.0961,2.1402,1104023,0
19850211,2.1402,2.1664,2.1136,2.1136,247985,0
19850212,2.1136,2.1839,2.1136,2.1664,713972,0
19850213,2.1664,2.2102,2.1664,2.2102,389707,0
19850214,2.1839,2.2102,2.1664,2.1664,244793,0
19850215,2.1839,2.2102,2.1664,2.2102,392443,0
19850219,2.1839,2.2102,2.1839,2.1839,121884,0
19850220,2.1839,2.2102,2.1664,2.2102,316851,0
19850221,2.2102,2.2102,2.1839,2.1839,104668,0
19850222,2.2102,2.254,2.1839,2.254,303284,0
19850225,2.2365,2.2365,2.1839,2.1839,141038,0
19850226,2.1839,2.2365,2.1839,2.1839,201696,0
19850227,2.1839,2.2365,2.1839,2.2102,102845,0
19850228,2.2102,2.2102,2.1839,2.2102,192687,0
19850301,2.1839,2.2365,2.1839,2.2102,134768,0
19850304,2.2102,2.2102,2.1839,2.2102,184021,0
19850305,2.1839,2.2102,2.1839,2.2102,173533,0
19850306,2.2102,2.2365,2.1839,2.2102,243882,0
19850307,2.2102,2.2365,2.2102,2.2102,590605,0
19850308,2.2102,2.2365,2.2102,2.2365,72969,0
19850311,2.2102,2.2365,2.1839,2.2102,75363,0
19850312,2.2102,2.2365,2.2102,2.2102,94634,0
19850313,2.2102,2.254,2.1839,2.2102,314800,0
19850314,2.2102,2.2365,2.2102,2.2365,541122,0
19850315,2.2102,2.2365,2.2102,2.2102,57579,0
19850318,2.2365,2.254,2.2102,2.2365,62252,0
19850319,2.2365,2.2804,2.2365,2.2365,248555,0
19850320,2.254,2.2804,2.254,2.254,149703,0
19850321,2.2804,2.2804,2.2365,2.2365,540323,0
19850322,2.2365,2.2979,2.2365,2.2365,41047,0
19850325,2.2365,2.254,2.2102,2.2365,97714,0
19850326,2.254,2.254,2.2365,2.2365,77646,0
19850327,2.2365,2.2804,2.2365,2.254,42645,0
19850328,2.254,2.2804,2.254,2.2804,502015,0
19850329,2.254,2.2804,2.254,2.2804,46064,0
19850401,2.2804,2.2979,2.2804,2.2979,35118,0
19850402,2.2804,2.2979,2.2804,2.2804,58036,0
19850403,2.2804,2.2979,2.2804,2.2979,185960,0
19850404,2.2804,2.2979,2.254,2.2979,994564,0
19850408,2.2804,2.2979,2.2365,2.254,267483,0
19850409,2.2365,2.2804,2.2365,2.254,113332,0
19850410,2.2365,2.254,2.2365,2.254,69322,0
19850411,2.254,2.2804,2.254,2.2804,54841,0
19850412,2.2804,2.2804,2.2365,2.254,615235,0
19850415,2.254,2.2804,2.2365,2.2365,529835,0
19850416,2.2365,2.254,2.2102,2.254,139787,0
19850417,2.254,2.2804,2.2365,2.2804,54615,0
19850418,2.2804,2.2804,2.254,2.2804,384919,0
19850419,2.254,2.2804,2.2102,2.254,467353,0
19850422,2.254,2.2804,2.2365,2.254,151073,0
19850423,2.254,2.2804,2.2365,2.2804,435541,0
19850424,2.254,2.254,2.2102,2.254,227692,0
19850425,2.254,2.3066,2.254,2.254,165893,0
19850426,2.254,2.3066,2.254,2.254,140012,0
19850429,2.254,2.254,2.2365,2.2365,104552,0
19850430,2.2365,2.254,2.2365,2.254,85852,0
19850501,2.2365,2.254,2.2102,2.2102,167263,0
19850502,2.2102,2.2365,2.1664,2.1839,207509,0
19850503,2.1664,2.1839,2.1664,2.1664,65447,0
19850506,2.1664,2.1839,2.1136,2.1136,549559,0
19850507,2.1136,2.1402,2.0436,2.1136,510796,0
19850508,2.0873,2.1136,2.0699,2.1136,300890,0
19850509,2.1136,2.1402,2.0873,2.1402,783297,0
19850510,2.1136,2.1664,2.0873,2.1136,474649,0
19850513,2.1136,2.1402,2.0873,2.0873,323809,0
19850514,2.0873,2.1136,2.0699,2.0873,443980,0
19850515,2.1136,2.1402,2.0873,2.1136,157341,0
19850516,2.1402,2.1664,2.1136,2.1402,178894,0
19850517,2.1664,2.2365,2.1664,2.2102,482062,0
19850520,2.254,2.2804,2.1664,2.1664,1140166,0
19850521,2.1664,2.2102,2.1664,2.2102,679654,0
19850522,2.1839,2.1839,2.0873,2.1136,1435468,0
19850523,2.1136,2.1402,2.0873,2.1136,289944,0
19850524,2.1136,2.1402,2.1136,2.1136,198162,0
19850528,2.1136,2.1402,2.0873,2.0873,213668,0
19850529,2.1136,2.1136,2.0873,2.0873,622300,0
19850530,2.1136,2.1136,2.0699,2.0873,232709,0
19850531,2.0873,2.1136,2.0436,2.1136,824684,0
19850603,2.0873,2.1402,2.0873,2.1136,783297,0
19850604,2.1136,2.1664,2.1136,2.1664,973702,0
19850605,2.1839,2.2102,2.1664,2.1839,482290,0
19850606,2.1839,2.2102,2.1664,2.2102,394384,0
19850607,2.1839,2.2102,2.1664,2.1839,114930,0
19850610,2.1664,2.2102,2.1664,2.1839,734951,0
19850611,2.1839,2.2102,2.1839,2.2102,478528,0
19850612,2.2102,2.2365,2.2102,2.2102,198959,0
19850613,2.2365,2.2365,2.1839,2.2365,104552,0
19850614,2.2365,2.2365,2.2102,2.2365,434291,0
19850617,2.2365,2.254,2.2102,2.2365,572022,0
19850618,2.254,2.2804,2.2365,2.2804,769157,0
19850619,2.2804,2.3769,2.254,2.333,873709,0
19850620,2.333,2.3769,2.3066,2.3769,437367,0
19850621,2.3769,2.3769,2.2804,2.333,1001180,0
19850624,2.3066,2.3066,2.254,2.2804,641116,0
19850625,2.2804,2.2804,2.2365,2.2804,699264,0
19850626,2.254,2.2804,2.2365,2.2804,159053,0
19850627,2.2804,2.3066,2.254,2.3066,433492,0
19850628,2.3066,2.333,2.2804,2.3066,370897,0
19850701,2.333,2.3507,2.3066,2.3507,740196,0
19850702,2.3507,2.3769,2.333,2.3507,720927,0
19850703,2.333,2.3507,2.333,2.3507,89049,0
19850705,2.3507,2.3507,2.333,2.3507,113903,0
19850708,2.3507,2.3507,2.3066,2.333,154380,0
19850709,2.3507,2.3507,2.3066,2.3507,222445,0
19850710,2.333,2.3507,2.333,2.333,680109,0
19850711,2.3507,2.3507,2.333,2.333,907232,0
19850712,2.3507,2.3769,2.333,2.3769,2654308,0
19850715,2.3769,2.447,2.3507,2.4205,1434333,0
19850716,2.4205,2.447,2.4205,2.447,227350,0
19850717,2.447,2.447,2.4205,2.4205,150275,0
19850718,2.4205,2.447,2.403,2.447,140012,0
19850719,2.4205,2.447,2.3507,2.3769,565294,0
19850722,2.403,2.403,2.3507,2.3769,316966,0
19850723,2.3769,2.3769,2.3066,2.3066,759693,0
19850724,2.3507,2.3507,2.333,2.3507,528695,0
19850725,2.3593,2.3769,2.333,2.3593,285383,0
19850726,2.3593,2.3593,2.2804,2.333,274209,0
19850729,2.2804,2.3066,2.2804,2.3066,86423,0
19850730,2.2804,2.3066,2.2804,2.2804,332815,0
19850731,2.2804,2.3066,2.2365,2.254,526870,0
19850801,2.254,2.2804,2.2365,2.254,198846,0
19850802,2.254,2.2804,2.2365,2.2804,609761,0
19850805,2.2804,2.3066,2.254,2.2804,137504,0
19850806,2.2804,2.3066,2.254,2.2804,212072,0
19850807,2.2804,2.3066,2.254,2.3066,75136,0
19850808,2.3066,2.3066,2.2804,2.2804,620021,0
19850809,2.3066,2.3066,2.2804,2.3066,86196,0
19850812,2.3066,2.3593,2.3066,2.3593,82546,0
19850813,2.3593,2.3593,2.333,2.3593,85513,0
19850814,2.3593,2.3593,2.333,2.3593,133285,0
