Date,Open,High,Low,Close,Volume,OpenInt
20100511,13.437,13.437,13.437,13.437,0,0
20100512,12.781,13.096,12.454,12.52,19533338,0
20100513,12.552,12.598,12.29,12.52,2577371,0
20100514,12.414,12.454,12.237,12.315,1309910,0
20100517,12.315,12.454,12.231,12.421,670628,0
20100518,12.487,12.526,12.362,12.421,581806,0
20100519,12.329,12.454,11.635,11.805,1421621,0
20100520,11.549,11.863,11.149,11.863,741980,0
20100521,11.424,11.942,11.182,11.851,528137,0
20100524,11.772,12.198,11.693,11.97,441390,0
20100525,11.863,11.863,11.47,11.766,328323,0
20100526,11.798,12.093,11.712,11.97,413456,0
20100527,12.172,12.467,12.021,12.427,427409,0
20100528,12.323,12.434,12.067,12.355,215376,0
20100601,12.323,12.48,12.158,12.165,182912,0
20100602,12.402,12.402,11.747,12.204,161158,0
20100603,12.191,12.329,12.06,12.25,68774,0
20100604,12.125,12.283,11.87,12.106,113944,0
20100607,12.106,12.114,11.863,11.995,93378,0
20100608,11.981,12.172,11.851,11.935,181438,0
20100609,11.845,12.021,11.818,11.863,160065,0
20100610,11.863,11.962,11.798,11.858,130984,0
20100611,11.805,11.97,11.701,11.87,167744,0
20100614,11.863,11.877,11.72,11.766,232178,0
20100615,11.739,11.831,11.543,11.818,286873,0
20100616,11.798,11.995,11.602,11.903,215168,0
20100617,11.818,11.949,11.752,11.845,176442,0
20100618,11.805,12.258,11.766,12.225,293325,0
20100621,12.29,12.454,11.93,12.041,229596,0
20100622,12.244,12.244,11.582,11.891,471286,0
20100623,11.995,12.323,11.726,12.086,411695,0
20100624,11.995,12.204,11.896,12.158,328077,0
20100625,12.132,12.329,12.114,12.315,138016,0
20100628,12.191,12.408,12.125,12.158,257446,0
20100629,12.12,12.191,11.975,12.132,253676,0
20100630,12.182,12.295,12.021,12.168,230423,0
20100701,12.021,12.054,11.752,11.988,207081,0
20100702,11.981,12.204,11.858,12.028,209473,0
20100706,12.06,12.158,11.877,11.995,145508,0
20100707,12.041,12.303,11.956,12.25,217498,0
20100708,12.29,12.388,12.204,12.303,215799,0
20100709,12.29,12.454,12.158,12.454,183902,0
20100712,12.421,12.44,12.258,12.329,114036,0
20100713,12.277,12.611,12.277,12.454,467750,0
20100714,12.388,12.52,12.191,12.454,406993,0
20100715,12.408,12.585,12.382,12.526,284493,0
20100716,12.532,12.578,12.421,12.454,223275,0
20100719,12.454,12.546,12.348,12.454,219168,0
20100720,12.323,12.65,12.198,12.65,168740,0
20100721,12.657,12.722,12.454,12.677,139602,0
20100722,12.657,12.748,12.546,12.65,449491,0
20100723,12.585,12.677,12.559,12.632,315329,0
20100726,12.65,12.682,12.617,12.682,288781,0
20100727,12.728,12.748,12.552,12.65,311545,0
20100728,12.592,12.664,12.473,12.657,142000,0
20100729,12.611,12.611,12.414,12.552,245424,0
20100730,12.552,12.578,12.388,12.578,183388,0
20100802,12.632,12.716,12.532,12.716,265850,0
20100803,12.736,12.743,12.546,12.65,246092,0
20100804,12.703,12.847,12.637,12.728,269239,0
20100805,12.716,12.847,11.766,12.617,197148,0
20100806,12.493,12.493,12.191,12.264,301784,0
20100809,12.336,12.388,12.191,12.244,190491,0
20100810,12.074,12.218,11.962,12.179,281943,0
20100811,11.995,12.125,11.97,12.06,338806,0
20100812,11.975,12.211,11.935,12.204,265345,0
20100813,12.204,12.421,12.12,12.421,105137,0
20100816,12.382,12.388,12.231,12.297,126287,0
20100817,12.323,12.323,12.125,12.172,561860,0
20100818,12.165,12.303,12.125,12.139,1280275,0
20100819,12.114,12.25,12.06,12.125,113893,0
20100820,12.125,12.132,12.06,12.125,51157,0
20100823,12.125,12.165,12.086,12.158,75482,0
20100824,12.158,12.165,11.896,12.132,223050,0
