Date,Open,High,Low,Close,Volume,OpenInt
20130603,22.37,22.505,22.08,22.162,166735,0
20130604,22.143,22.143,21.71,22.054,88970,0
20130605,21.855,22.133,21.791,21.872,136074,0
20130606,21.791,22.37,21.791,21.936,85976,0
20130607,22.117,22.117,21.928,21.963,74352,0
20130610,22.099,22.099,21.24,21.584,57569,0
20130611,21.087,21.466,21.087,21.213,126978,0
20130612,21.194,21.547,20.318,20.833,69874,0
20130613,20.516,21.14,20.002,20.914,74858,0
20130614,20.924,21.168,20.57,21.032,22828,0
20130617,21.15,21.312,20.86,21.105,207692,0
20130618,21.105,21.105,20.354,21.059,38884,0
20130619,21.231,21.231,20.833,20.905,46730,0
20130620,20.617,20.617,20.119,20.336,76162,0
20130621,20.318,20.462,19.893,19.893,48633,0
20130624,19.297,19.713,18.366,19.161,89297,0
20130625,19.341,19.586,18.981,19.07,50285,0
20130626,19.477,20.39,19.253,20.228,75540,0
20130627,20.119,21.041,20.119,20.652,21102,0
20130628,20.998,22.125,20.998,22.125,283432,0
20130701,21.339,21.592,21.312,21.456,71198,0
20130702,21.43,21.801,21.43,21.655,82587,0
20130703,21.791,21.855,21.511,21.773,30233,0
20130705,21.629,21.629,21.285,21.285,105424,0
20130708,21.312,21.674,21.249,21.556,119998,0
20130709,21.484,21.737,21.448,21.71,45162,0
20130710,21.61,21.655,21.448,21.538,66905,0
20130711,21.574,21.674,21.556,21.556,57699,0
20130712,21.566,21.629,21.348,21.384,47372,0
20130715,21.339,21.384,21.087,21.176,49287,0
20130716,21.077,21.186,20.959,21.113,108640,0
20130717,21.168,21.393,21.095,21.348,379779,0
20130718,21.421,21.456,21.168,21.24,101841,0
20130719,21.294,21.602,21.168,21.602,801786,0
20130722,21.484,21.511,21.393,21.448,123274,0
20130723,21.33,21.33,21.123,21.176,139398,0
20130724,21.087,21.113,20.617,20.734,75709,0
20130725,20.246,20.418,19.975,20.363,68745,0
20130726,20.409,20.409,20.011,20.066,19841,0
20130729,20.129,20.129,19.875,19.893,67465,0
20130730,20.029,20.029,19.848,19.867,43960,0
20130731,20.056,20.082,19.459,20.074,60025,0
20130801,19.739,20.264,19.739,20.165,94410,0
20130802,20.173,20.192,19.586,19.883,43177,0
20130805,19.577,19.875,19.451,19.522,27413,0
20130806,19.514,19.514,19.125,19.306,83099,0
20130807,19.323,19.36,19.07,19.133,34036,0
20130808,19.243,19.396,19.025,19.205,55286,0
20130809,19.205,19.205,19.061,19.133,27583,0
20130812,19.142,19.18,19.025,19.117,49208,0
20130813,18.99,18.99,18.637,18.935,96550,0
20130814,18.601,18.664,18.239,18.483,141858,0
20130815,18.329,18.446,17.797,18.302,43535,0
20130816,18.095,18.582,18.095,18.258,64226,0
20130819,18.212,18.212,17.816,17.895,54698,0
20130820,17.895,18.502,17.895,18.176,72647,0
20130821,17.942,18.357,17.942,18.239,36320,0
20130822,18.221,18.61,18.221,18.483,18623,0
20130823,18.411,18.791,18.393,18.645,585810,0
20130826,18.773,18.917,18.446,18.537,25397,0
20130827,18.51,18.637,18.321,18.439,43243,0
20130828,18.626,18.699,18.302,18.699,35320,0
20130829,18.507,18.81,18.33,18.699,344548,0
20130830,18.81,18.93,18.782,18.792,23260,0
20130903,18.782,18.865,18.395,18.616,180244,0
20130904,18.607,18.736,18.579,18.635,33500,0
20130905,18.542,18.644,18.275,18.459,48363,0
20130906,18.459,18.671,18.441,18.507,47761,0
20130909,18.478,18.691,18.321,18.395,37725,0
20130910,18.561,18.635,18.238,18.368,70051,0
20130911,18.302,18.507,18.219,18.469,35656,0
20130912,18.395,18.404,18.238,18.348,42267,0
20130913,18.247,18.459,18.247,18.459,30800,0
20130916,18.514,18.514,18.302,18.385,53566,0
20130917,18.413,18.507,18.284,18.376,405527,0
20130918,18.321,18.755,18.219,18.755,180144,0
20130919,18.755,18.764,18.459,18.736,37459,0
20130920,18.727,18.727,18.33,18.571,39923,0
20130923,18.561,18.561,18.275,18.385,27464,0
20130924,18.358,18.385,18.247,18.321,89368,0
20130925,18.294,18.358,18.238,18.312,18744,0
20130926,18.312,18.432,18.275,18.358,62552,0
20130927,18.368,18.497,18.145,18.348,50396,0
20130930,18.257,18.348,18.072,18.173,66664,0
20131001,18.136,18.312,18.09,18.247,33056,0
20131002,18.183,18.34,18.164,18.294,609023,0
20131003,18.33,18.34,18.21,18.302,82481,0
20131004,18.275,18.376,18.238,18.275,22078,0
