Date,Open,High,Low,Close,Volume,OpenInt
20140703,18.517,19.014,18.347,18.934,2172651,0
20140707,19.044,19.044,18.397,18.795,2727570,0
20140708,18.795,19.889,18.009,19.352,12058994,0
20140709,19.093,19.889,18.845,19.69,3660724,0
20140710,19.491,19.949,19.093,19.889,5789616,0
20140711,19.75,19.899,19.451,19.839,3605403,0
20140714,20.048,20.048,19.073,19.829,4240852,0
20140715,19.581,19.71,18.845,19.143,4522660,0
20140716,18.994,19.093,18.517,18.715,3619675,0
20140717,18.596,19.024,18.477,18.815,2145611,0
20140718,18.954,19.213,18.735,19.213,1411308,0
20140721,19.083,19.173,18.636,18.855,614881,0
20140722,18.725,19.034,18.696,18.785,1330584,0
20140723,18.894,18.894,18.656,18.815,659755,0
20140724,18.696,18.934,18.586,18.765,648067,0
20140725,18.725,18.894,18.338,18.775,772480,0
20140728,18.556,18.775,18.556,18.656,1025322,0
20140729,18.586,18.775,18.566,18.646,653172,0
20140730,18.646,18.735,18.308,18.338,1129947,0
20140731,18.149,18.198,17.771,17.81,2057404,0
20140801,17.751,18.228,17.661,17.681,1557512,0
20140804,17.801,17.87,17.522,17.622,1368660,0
20140805,18.755,18.845,17.93,17.96,9279155,0
20140806,17.86,17.989,17.651,17.82,2440450,0
20140807,17.88,18.437,17.83,18.099,2108590,0
20140808,18.029,18.248,17.999,18.228,1985923,0
20140811,18.228,18.745,18.129,18.705,2228403,0
20140812,18.705,18.825,18.318,18.357,795628,0
20140813,18.258,18.417,18.059,18.268,1321541,0
20140814,18.178,18.328,18.129,18.318,503919,0
20140815,18.029,18.457,18.029,18.347,761637,0
20140818,18.367,18.586,18.328,18.437,714171,0
20140819,18.357,18.457,18.208,18.258,1207253,0
20140820,18.149,18.357,17.999,18.318,1235441,0
20140821,18.447,18.646,18.318,18.606,1517481,0
20140822,18.596,18.636,18.367,18.497,904174,0
20140825,18.497,18.636,18.407,18.596,482649,0
20140826,18.646,18.755,18.497,18.715,955008,0
20140827,18.676,18.705,18.397,18.616,1087459,0
20140828,18.616,18.646,18.407,18.447,873432,0
20140829,18.407,18.586,18.347,18.387,994049,0
20140902,18.477,18.696,18.357,18.646,1306342,0
20140903,18.526,18.875,18.507,18.616,1496837,0
20140904,19.143,19.233,18.855,18.984,2541092,0
20140905,18.914,19.66,18.894,19.6,1902747,0
20140908,19.461,19.571,19.213,19.312,793297,0
20140909,19.183,19.68,19.153,19.551,1878725,0
20140910,19.65,19.73,19.242,19.302,926348,0
20140911,19.143,19.342,19.083,19.312,1563245,0
20140912,19.242,19.312,18.904,19.044,2232903,0
20140915,19.054,19.133,18.656,18.845,1008919,0
20140916,18.845,18.855,18.427,18.775,1193135,0
20140917,18.904,19.024,18.765,18.835,726622,0
20140918,19.034,19.133,18.715,18.795,1485297,0
20140919,18.586,18.974,18.546,18.894,2431716,0
20140922,18.735,19.004,18.417,18.556,1744953,0
20140923,18.536,18.576,18.288,18.328,1549201,0
20140924,18.417,18.457,18.149,18.298,723621,0
20140925,18.298,18.437,18.119,18.377,880685,0
20140926,18.387,18.626,18.268,18.556,639715,0
20140929,18.517,18.705,18.268,18.517,832125,0
20140930,18.497,18.517,18.208,18.318,998090,0
20141001,18.298,18.298,17.95,18.059,990174,0
20141002,18.029,18.139,17.691,18.119,1364157,0
20141003,18.258,18.646,18.248,18.556,2852385,0
20141006,18.576,18.894,18.526,18.825,1397076,0
20141007,18.775,18.775,18.616,18.715,1239138,0
20141008,18.745,18.894,18.417,18.815,913672,0
20141009,18.845,18.845,18.188,18.188,1378430,0
20141010,18.178,18.318,17.273,17.283,3608684,0
20141013,17.254,17.273,16.329,16.369,2696606,0
20141014,15.931,16.637,15.921,16.607,4557071,0
20141015,16.309,17.114,15.971,16.707,1824248,0
20141016,16.657,16.955,16.488,16.687,1381367,0
20141017,16.796,17.562,16.796,17.224,1622167,0
20141020,17.124,17.532,17.035,17.502,570514,0
20141021,17.522,18.039,17.522,17.622,1446677,0
20141022,17.532,17.791,17.283,17.363,1107890,0
20141023,17.383,17.552,17.204,17.462,1830554,0
20141024,17.373,17.701,17.333,17.661,291175,0
20141027,17.572,17.701,17.353,17.552,389001,0
20141028,17.532,17.9,17.462,17.87,452554,0
20141029,17.771,17.801,17.144,17.333,1849585,0
20141030,17.363,17.572,17.254,17.403,958112,0
20141031,17.701,18.089,17.582,18.019,1767172,0
20141103,18.019,18.099,17.671,17.701,1803003,0
20141104,17.582,18.079,17.542,17.701,1776726,0
20141105,17.761,18.049,17.671,17.9,3464194,0
20141106,18.06,19.95,17.77,19.54,5366658,0
20141107,19.63,20.22,19.3,20.14,1870127,0
20141110,20.1,20.41,19.96,20.27,1804481,0
20141111,20.18,20.85,20.1,20.72,2171273,0
20141112,20.97,21.14,20.56,20.83,1637153,0
20141113,20.74,20.8,20.24,20.59,1154766,0
20141114,20.59,21.23,20.59,20.98,1326839,0
20141117,21.07,21.26,20.96,20.99,1212990,0
20141118,21.05,21.51,21,21.42,1641121,0
20141119,21.42,21.5,20.88,20.99,752170,0
20141120,20.93,21.18,20.65,20.83,428450,0
20141121,20.88,21.1,20.82,20.85,436550,0
20141124,20.8,21.25,20.73,21.22,435898,0
20141125,21.17,21.33,20.8,21.18,488168,0
20141126,21.21,21.24,20.96,21.18,359697,0
20141128,21.15,21.15,20.9,20.95,209763,0
20141201,20.99,20.99,20.29,20.45,1067111,0
20141202,20.45,20.98,20.43,20.88,551156,0
20141203,20.91,21.12,20.57,20.75,950879,0
20141204,21.02,21.49,20.96,21.38,1399388,0
20141205,21.4,21.56,21.2,21.52,761284,0
20141208,21.47,21.62,21.11,21.2,510310,0
20141209,21,21.53,20.73,21.5,726586,0
20141210,21.51,21.63,20.99,21.04,591838,0
20141211,21.1,21.47,20.93,21,383536,0
20141212,20.85,21.13,20.73,20.76,657354,0
20141215,20.9,21.04,20.57,20.66,569230,0
20141216,20.57,20.89,20.31,20.32,1139760,0
20141217,20.3,21.36,20.2,21.08,1478536,0
20141218,21.48,22.02,21.39,21.99,869898,0
20141219,22.05,22.05,21.44,21.76,1820421,0
20141222,21.8,22,21.76,21.85,476723,0
20141223,22,22.35,22,22.23,435539,0
20141224,22.24,22.43,22.08,22.38,178829,0
20141226,22.37,22.65,22.37,22.49,318756,0
20141229,22.38,22.75,22.38,22.66,510467,0
20141230,22.68,22.9,22.33,22.48,530538,0
20141231,22.45,22.69,22.31,22.57,475801,0
20150102,22.57,22.79,22.32,22.56,1220478,0
20150105,22.42,22.54,21.55,21.85,1405132,0
20150106,21.8,21.95,21.17,21.34,1263498,0
20150107,21.49,21.49,21.11,21.36,896200,0
20150108,21.4,21.65,21.3,21.41,542168,0
20150109,21.42,21.78,20.92,21.62,1056338,0
20150112,21.61,21.7,21.05,21.44,815618,0
20150113,21.55,21.9,21.08,21.29,597016,0
20150114,21,21.32,20.8,21.15,1130504,0
20150115,21.16,21.18,20.53,20.56,918448,0
20150116,20.46,21.03,20.32,20.9,1072339,0
