Date,Open,High,Low,Close,Volume,OpenInt
20050225,10.995,11.004,10.98,10.98,4801,0
20050228,11.121,11.121,10.946,10.955,17515,0
20050301,11.004,11.004,10.955,11.004,2279,0
20050302,11.029,11.046,10.98,10.988,7797,0
20050303,10.971,11.038,10.971,10.98,6360,0
20050304,10.964,11.08,10.946,10.971,37423,0
20050307,10.98,10.995,10.98,10.995,1312,0
20050308,10.98,11.029,10.964,10.988,7318,0
20050309,10.988,10.988,10.904,10.938,20031,0
20050310,10.92,10.955,10.92,10.955,6958,0
20050311,10.854,10.871,10.814,10.814,12835,0
20050314,10.846,10.854,10.78,10.806,11393,0
20050315,10.83,10.83,10.806,10.806,4918,0
20050316,10.814,10.814,10.736,10.762,25069,0
20050317,10.806,10.814,10.729,10.762,14512,0
20050318,10.754,10.754,10.688,10.705,24591,0
20050321,10.688,10.754,10.637,10.722,49536,0
20050322,10.754,10.78,10.629,10.629,18950,0
20050323,10.605,10.68,10.605,10.662,15354,0
20050324,10.662,10.736,10.662,10.662,17871,0
20050328,10.637,10.771,10.637,10.754,18473,0
20050329,10.788,10.822,10.68,10.696,17515,0
20050330,10.745,10.745,10.662,10.671,10795,0
20050331,10.729,10.745,10.662,10.688,18713,0
20050401,10.754,10.83,10.688,10.696,12953,0
20050404,10.705,10.745,10.68,10.745,4077,0
20050405,10.671,10.745,10.671,10.68,18473,0
20050406,10.68,10.754,10.671,10.754,11158,0
20050407,10.729,10.771,10.722,10.736,10555,0
20050408,10.729,10.771,10.722,10.754,15831,0
20050411,10.754,10.797,10.736,10.797,12353,0
20050412,10.771,10.797,10.771,10.797,4317,0
20050413,10.754,10.871,10.722,10.854,45460,0
20050414,10.788,10.895,10.736,10.895,48461,0
20050415,10.854,10.929,10.814,10.929,8275,0
20050418,10.888,11.046,10.837,11.046,24828,0
20050419,11.004,11.004,10.854,10.895,53738,0
20050420,10.83,10.929,10.814,10.822,16556,0
20050421,10.863,10.863,10.797,10.837,4801,0
20050422,10.854,10.854,10.806,10.806,4676,0
20050425,10.846,10.863,10.762,10.822,9715,0
20050426,10.871,10.88,10.822,10.863,5156,0
20050427,10.904,10.92,10.837,10.846,25549,0
20050428,10.88,10.929,10.846,10.92,7797,0
20050429,10.971,10.98,10.904,10.946,6360,0
20050502,10.946,10.946,10.904,10.929,11158,0
20050503,10.929,10.938,10.912,10.912,2876,0
20050504,10.904,10.92,10.871,10.888,13915,0
20050505,10.888,10.895,10.871,10.871,11158,0
20050506,10.895,10.895,10.83,10.854,13915,0
20050509,10.837,10.871,10.806,10.837,49661,0
20050510,10.888,10.904,10.854,10.871,6838,0
20050511,10.797,10.88,10.797,10.88,15354,0
20050512,10.863,10.895,10.846,10.846,10196,0
20050513,10.888,10.929,10.871,10.88,18713,0
20050516,10.871,10.946,10.822,10.946,36225,0
20050517,10.938,10.964,10.938,10.964,7318,0
20050518,10.971,10.995,10.971,10.988,8158,0
20050519,10.988,11.004,10.946,10.946,15831,0
20050520,10.946,10.98,10.904,10.92,22549,0
20050523,10.938,10.988,10.929,10.988,14757,0
20050524,10.995,11.013,10.955,10.971,17273,0
20050525,11.004,11.004,10.964,10.971,7797,0
20050526,10.971,10.995,10.888,10.98,18594,0
20050527,10.995,11.029,10.995,11.029,8758,0
20050531,11.029,11.063,11.029,11.029,21830,0
20050601,11.063,11.146,11.046,11.096,21349,0
20050602,11.087,11.146,11.087,11.138,12353,0
20050603,11.105,11.163,11.105,11.154,28069,0
20050606,11.172,11.196,11.105,11.105,6234,0
20050607,11.13,11.163,11.112,11.138,14512,0
20050608,11.146,11.163,11.146,11.154,3959,0
20050609,11.138,11.163,11.121,11.154,13675,0
20050610,11.146,11.163,11.121,11.163,12718,0
20050613,11.105,11.112,11.029,11.063,17030,0
20050614,11.046,11.105,11.046,11.096,12475,0
20050615,11.046,11.096,11.046,11.08,13798,0
20050616,11.055,11.154,11.055,11.096,9715,0
20050617,11.055,11.105,11.038,11.072,8995,0
20050620,11.087,11.13,11.087,11.096,5636,0
20050621,11.105,11.146,11.105,11.112,4077,0
20050622,11.087,11.138,11.087,11.138,8032,0
20050623,11.121,11.222,11.112,11.187,16074,0
20050624,11.187,11.222,11.179,11.204,4200,0
20050627,11.213,11.23,11.179,11.179,5039,0
20050628,11.213,11.213,11.179,11.179,2756,0
20050629,11.179,11.196,11.121,11.13,20512,0
20050630,11.172,11.172,11.13,11.13,15715,0
20050701,11.172,11.179,11.13,11.138,1557,0
20050705,11.13,11.138,11.063,11.063,9359,0
20050706,11.121,11.121,11.105,11.112,1681,0
20050707,11.13,11.138,11.13,11.138,4317,0
20050708,11.138,11.179,11.138,11.163,11755,0
20050711,11.196,11.196,11.112,11.196,24470,0
20050712,11.213,11.23,11.13,11.154,8995,0
20050713,11.154,11.213,11.146,11.146,7318,0
20050714,11.187,11.187,11.154,11.154,3838,0
20050715,11.187,11.187,11.179,11.187,3118,0
20050718,11.163,11.187,11.112,11.121,5761,0
20050719,11.072,11.163,11.046,11.138,9473,0
20050720,11.172,11.172,11.096,11.105,5997,0
20050721,11.13,11.138,11.096,11.138,5761,0
20050722,11.146,11.146,11.096,11.138,8275,0
20050725,11.146,11.146,11.096,11.146,2513,0
20050726,11.13,11.138,11.096,11.105,10196,0
20050727,11.138,11.172,11.072,11.121,11994,0
20050728,11.105,11.179,11.087,11.13,10677,0
20050729,11.172,11.187,11.087,11.096,6234,0
20050801,11.146,11.146,11.087,11.121,17273,0
20050802,11.121,11.154,11.096,11.096,8758,0
20050803,11.163,11.179,11.105,11.172,10677,0
20050804,11.13,11.138,11.112,11.112,9235,0
20050805,11.087,11.096,11.055,11.055,12593,0
20050808,11.013,11.08,11.013,11.046,5636,0
20050809,11.046,11.13,11.046,11.087,22794,0
20050810,11.112,11.112,11.055,11.072,2157,0
20050811,11.072,11.121,11.013,11.121,7920,0
20050812,11.112,11.13,11.038,11.038,14871,0
20050815,11.087,11.105,11.013,11.055,7676,0
20050816,11.072,11.13,11.038,11.121,12237,0
20050817,11.172,11.172,11.038,11.038,3001,0
20050818,11.063,11.121,11.063,11.121,2279,0
20050819,11.072,11.146,11.072,11.08,9715,0
20050822,11.13,11.138,11.08,11.138,7797,0
20050823,11.096,11.179,11.08,11.179,12953,0
20050824,11.13,11.179,11.105,11.105,9715,0
20050825,11.179,11.179,11.087,11.112,4801,0
20050826,11.112,11.154,11.105,11.154,8158,0
20050829,11.163,11.163,11.112,11.121,17273,0
20050830,11.112,11.146,11.105,11.121,15831,0
20050831,11.112,11.23,11.112,11.213,21111,0
20050901,11.172,11.23,11.172,11.23,9715,0
20050902,11.23,11.238,11.187,11.23,10677,0
20050906,11.23,11.246,11.196,11.238,16556,0
20050907,11.238,11.38,11.23,11.371,24591,0
20050908,11.371,11.388,11.354,11.354,13557,0
20050909,11.354,11.395,11.346,11.371,16314,0
20050912,11.388,11.388,11.337,11.346,5397,0
20050913,11.371,11.371,11.297,11.297,8758,0
20050914,11.297,11.346,11.271,11.271,9715,0
20050915,11.238,11.288,11.154,11.187,12237,0
20050916,11.121,11.196,11.096,11.112,8397,0
20050919,11.154,11.187,11.072,11.121,7920,0
20050920,11.087,11.096,11.029,11.072,11512,0
20050921,11.038,11.154,11.038,11.13,15954,0
20050922,11.146,11.154,11.029,11.072,15831,0
20050923,11.046,11.163,11.046,11.138,32506,0
20050926,11.087,11.163,11.072,11.138,11638,0
20050927,11.072,11.172,11.055,11.146,18950,0
20050928,11.146,11.172,11.121,11.163,11638,0
20050929,11.172,11.179,11.038,11.087,9473,0
20050930,11.13,11.13,11.046,11.046,10437,0
20051003,11.038,11.105,11.038,11.105,7676,0
20051004,11.105,11.121,11.046,11.121,6599,0
20051005,11.154,11.187,11.08,11.163,10437,0
20051006,11.196,11.204,11.055,11.055,8877,0
20051007,11.055,11.112,11.038,11.105,6958,0
20051010,11.105,11.105,11.021,11.029,11393,0
20051011,11.063,11.121,11.063,11.121,19432,0
20051012,11.138,11.138,10.971,10.98,18950,0
20051013,10.955,11.004,10.946,10.955,13915,0
20051014,10.946,10.971,10.871,10.971,10555,0
20051017,10.955,10.971,10.88,10.888,22670,0
20051018,10.92,10.971,10.895,10.971,43303,0
20051019,10.895,10.98,10.854,10.98,26029,0
20051020,10.98,10.98,10.895,10.895,7920,0
20051021,10.895,11.004,10.895,11.004,8995,0
20051024,10.971,11.004,10.854,10.964,17754,0
20051025,11.004,11.004,10.955,11.004,7318,0
20051026,10.98,11.038,10.895,10.895,24470,0
20051027,10.98,11.004,10.854,10.854,20632,0
20051028,10.854,10.912,10.854,10.904,2645,0
20051031,10.988,11.038,10.92,11.021,22434,0
20051101,11.046,11.063,10.988,11.038,11874,0
20051102,11.038,11.072,10.946,11.055,14634,0
20051103,11.046,11.072,10.955,10.971,14871,0
20051104,10.92,11.096,10.92,11.096,5156,0
20051107,11.046,11.046,10.971,10.995,6838,0
20051108,10.995,11.063,10.971,11.063,18473,0
20051109,11.112,11.13,11.021,11.063,31310,0
20051110,11.046,11.063,10.888,11.046,23032,0
20051111,11.087,11.087,10.929,10.938,6717,0
20051114,10.854,10.895,10.846,10.871,22794,0
20051115,10.871,10.955,10.854,10.955,32866,0
20051116,10.946,10.946,10.888,10.888,5520,0
20051117,10.955,10.971,10.88,10.912,4200,0
20051118,10.929,10.964,10.88,10.964,7797,0
20051121,10.964,11.038,10.92,11.038,12237,0
20051122,10.92,11.046,10.895,10.988,12475,0
20051123,11.029,11.038,11.029,11.029,1681,0
20051125,10.988,11.08,10.92,10.964,25549,0
20051128,10.929,11.072,10.929,11.072,36106,0
20051129,11.038,11.163,11.021,11.087,18234,0
20051130,11.138,11.138,10.98,11.105,29869,0
