Date,Open,High,Low,Close,Volume,OpenInt
20050225,14.343,14.39,14.313,14.39,953974,0
20050228,14.343,14.422,14.337,14.343,966065,0
20050301,14.374,14.467,14.343,14.414,856917,0
20050302,14.337,14.406,14.227,14.297,1114394,0
20050303,14.313,14.321,14.219,14.265,1288516,0
20050304,14.313,14.429,14.281,14.366,928178,0
20050307,14.475,14.536,14.398,14.422,857401,0
20050308,14.467,14.475,14.313,14.414,1088599,0
20050309,14.467,14.731,14.414,14.577,1497628,0
20050310,14.591,14.692,14.366,14.499,789526,0
20050311,14.506,14.552,14.414,14.429,597988,0
20050314,14.429,14.52,14.414,14.475,1148413,0
20050315,14.483,14.577,14.219,14.219,2528023,0
20050316,14.211,14.321,14.134,14.243,960588,0
20050317,14.25,14.297,14.181,14.219,776465,0
20050318,14.289,14.321,13.771,14.103,1932938,0
20050321,14.018,14.126,14.002,14.049,724873,0
20050322,14.041,14.158,13.824,13.856,654577,0
20050323,13.816,13.925,13.778,13.848,1328826,0
20050324,13.893,14.002,13.84,13.856,677957,0
20050328,13.917,14.018,13.886,13.955,749537,0
20050329,13.955,14.118,13.87,13.893,901092,0
20050330,13.933,14.134,13.84,14.088,825799,0
20050331,14.08,14.103,13.893,13.925,677472,0
20050401,13.955,14.08,13.615,13.661,1400893,0
20050404,13.722,13.793,13.6,13.699,777106,0
20050405,13.706,13.856,13.677,13.816,948171,0
20050406,13.848,13.925,13.714,13.722,460622,0
20050407,13.714,13.893,13.693,13.856,624104,0
20050408,13.925,13.94,13.714,13.738,594602,0
20050411,13.848,13.848,13.73,13.754,689241,0
20050412,13.778,14.01,13.661,13.963,744705,0
20050413,13.986,13.986,13.738,13.771,486257,0
20050414,13.778,13.816,13.661,13.693,601052,0
20050415,13.661,14.211,13.584,13.584,835634,0
20050418,13.584,13.693,13.451,13.608,564130,0
20050419,13.568,13.645,13.429,13.56,737290,0
20050420,13.615,13.653,13.32,13.336,1001858,0
20050421,13.482,13.661,13.429,13.637,816932,0
20050422,13.661,13.693,13.451,13.499,549941,0
20050425,13.615,13.778,13.429,13.568,588474,0
20050426,13.592,13.661,13.374,13.389,687467,0
20050427,13.344,13.6,13.234,13.552,672150,0
20050428,13.507,13.986,13.359,13.986,1730764,0
