Date,Open,High,Low,Close,Volume,OpenInt
20050225,16.349,16.558,16.301,16.407,215278,0
20050228,16.407,16.49,16.196,16.253,444524,0
20050301,16.358,16.358,16.046,16.142,296911,0
20050302,16.245,16.279,16.083,16.236,193846,0
20050303,16.403,16.715,16.403,16.428,317860,0
20050304,16.519,16.685,16.445,16.454,216722,0
20050307,16.458,16.74,16.445,16.737,202516,0
20050308,16.737,17.019,16.645,16.711,192883,0
20050309,16.737,16.903,16.611,16.855,236229,0
20050310,16.772,16.848,16.483,16.577,250194,0
20050311,16.764,16.772,16.475,16.74,115346,0
20050314,16.65,16.673,16.296,16.366,293781,0
20050315,16.471,16.475,16,16.134,268016,0
20050316,16.134,16.328,16.096,16.328,160856,0
20050317,16.328,16.483,16.134,16.205,168081,0
20050318,16.611,16.881,16.362,16.84,483529,0
20050321,16.777,16.955,16.777,16.935,247305,0
20050322,16.964,16.981,16.57,16.573,212147,0
20050323,16.407,16.428,15.573,15.922,710372,0
20050324,16.066,16.196,15.987,16.096,330381,0
20050328,16.009,16.092,15.227,15.474,607066,0
20050329,15.369,15.776,15.369,15.676,336161,0
20050330,15.676,15.676,15.41,15.506,226114,0
20050331,15.573,16.258,15.573,16.092,293059,0
20050401,16.196,16.332,15.781,16.051,300763,0
20050404,16.138,16.4,16.138,16.288,173138,0
20050405,16.196,16.379,16.138,16.279,184455,0
20050406,16.153,16.4,15.987,16.113,273549,0
20050407,16.212,16.449,16.196,16.436,184214,0
20050408,16.441,16.441,16.196,16.288,130035,0
20050411,16.288,16.32,16.075,16.134,203718,0
20050412,16.138,16.166,15.909,15.987,232134,0
20050413,15.885,16.279,15.885,16.096,219372,0
20050414,16.175,16.266,15.992,16.022,134851,0
20050415,16,16.138,15.885,15.897,235265,0
20050418,15.93,16.175,15.897,16.129,172419,0
20050419,16.336,16.502,16.192,16.466,170970,0
20050420,16.519,16.777,16.502,16.673,264642,0
20050421,16.694,17.06,16.673,17.03,461379,0
20050422,16.947,17.121,16.864,17.055,377340,0
20050425,17.159,17.761,17.11,17.504,453914,0
20050426,17.462,17.591,17.167,17.38,278370,0
