Date,Open,High,Low,Close,Volume,OpenInt
19800102,0.7832,0.7914,0.7832,0.7832,48930,0
19800103,0.7832,0.7914,0.7832,0.7832,65321,0
19800104,0.7832,0.7914,0.7832,0.7914,32544,0
19800107,0.7914,0.7914,0.7832,0.7914,28978,0
19800108,0.7914,0.7914,0.7832,0.7832,36580,0
19800109,0.7832,0.7914,0.7746,0.7832,228266,0
19800110,0.7832,0.7832,0.7746,0.7832,27792,0
19800111,0.7832,0.7832,0.7746,0.7746,47031,0
19800114,0.7746,0.7832,0.7746,0.7746,41568,0
19800115,0.7746,0.7832,0.7746,0.7746,49168,0
19800116,0.7746,0.7832,0.7746,0.7832,57721,0
19800117,0.7832,0.7832,0.7662,0.7746,173158,0
19800118,0.7746,0.7746,0.7578,0.7578,124467,0
19800121,0.7578,0.7662,0.7326,0.741,105228,0
19800122,0.741,0.7578,0.7326,0.741,68171,0
19800123,0.741,0.7578,0.741,0.741,36580,0
19800124,0.741,0.7495,0.741,0.741,66034,0
19800125,0.741,0.741,0.7242,0.7326,189787,0
19800128,0.7326,0.7495,0.7326,0.7326,100711,0
19800129,0.7326,0.7495,0.7326,0.741,63420,0
19800130,0.741,0.741,0.7157,0.7242,249170,0
19800131,0.7242,0.7242,0.7242,0.7242,49168,0
19800201,0.7242,0.7326,0.7242,0.7242,43943,0
19800204,0.7242,0.741,0.7242,0.741,174348,0
19800205,0.7326,0.7326,0.7157,0.7242,141332,0
19800206,0.7242,0.7242,0.7157,0.7242,43470,0
19800207,0.7242,0.7326,0.7242,0.7242,112591,0
19800208,0.7242,0.741,0.7242,0.7326,102615,0
19800211,0.7326,0.7326,0.7072,0.7157,91449,0
19800212,0.7157,0.7157,0.682,0.6904,134204,0
19800213,0.6904,0.7072,0.6904,0.6904,228980,0
19800214,0.6904,0.6988,0.6904,0.6904,45605,0
19800215,0.6904,0.6904,0.682,0.6904,128026,0
19800219,0.6904,0.6904,0.6738,0.6738,165560,0
19800220,0.6738,0.682,0.6651,0.6738,142278,0
19800221,0.6738,0.682,0.6651,0.682,115200,0
19800222,0.682,0.682,0.6651,0.682,119477,0
19800225,0.682,0.682,0.6651,0.682,88834,0
19800226,0.682,0.682,0.6738,0.682,70311,0
19800227,0.682,0.682,0.6738,0.6738,145605,0
19800228,0.6738,0.682,0.6738,0.6738,79098,0
19800229,0.6738,0.7157,0.6738,0.7157,78146,0
19800303,0.7157,0.7157,0.682,0.6988,70070,0
19800304,0.682,0.682,0.6738,0.682,88834,0
19800305,0.682,0.6904,0.6651,0.6738,138243,0
19800306,0.6738,0.6738,0.6568,0.6651,77433,0
19800307,0.6651,0.6738,0.6568,0.6651,82185,0
19800310,0.6738,0.6904,0.6738,0.6904,77674,0
19800311,0.6904,0.7157,0.6904,0.7072,66034,0
19800312,0.7072,0.7157,0.682,0.6904,187651,0
19800313,0.6904,0.6904,0.682,0.682,70311,0
19800314,0.682,0.6988,0.6738,0.682,89787,0
19800317,0.682,0.6904,0.6738,0.682,54869,0
19800318,0.682,0.6988,0.6738,0.682,65082,0
19800319,0.682,0.6988,0.682,0.6904,97149,0
19800320,0.6904,0.6988,0.682,0.682,46556,0
19800321,0.682,0.6988,0.682,0.6904,45844,0
19800324,0.6904,0.6904,0.6738,0.682,69596,0
19800325,0.682,0.682,0.6738,0.6738,50830,0
19800326,0.6738,0.682,0.6738,0.6738,49880,0
19800327,0.6738,0.6738,0.6568,0.6651,142996,0
19800328,0.6738,0.682,0.6738,0.6738,60569,0
19800331,0.682,0.6988,0.682,0.6988,110451,0
19800401,0.6988,0.7157,0.6904,0.7157,127793,0
19800402,0.7157,0.7242,0.6988,0.7157,92636,0
19800403,0.7157,0.741,0.7157,0.741,70547,0
19800407,0.741,0.741,0.7326,0.741,42517,0
19800408,0.741,0.7495,0.741,0.741,42043,0
19800409,0.741,0.7662,0.741,0.7578,245844,0
19800410,0.7662,0.7746,0.7662,0.7662,181711,0
19800411,0.7662,0.7662,0.7578,0.7662,44179,0
19800414,0.7662,0.7746,0.741,0.7578,97626,0
19800415,0.7578,0.7578,0.7495,0.7495,48458,0
19800416,0.7578,0.7914,0.7578,0.7914,273159,0
19800417,0.7914,0.7914,0.7832,0.7914,67698,0
19800418,0.7914,0.7998,0.7914,0.7998,165320,0
19800421,0.7998,0.8167,0.7914,0.7914,271735,0
19800422,0.7914,0.8167,0.7914,0.8167,147506,0
19800423,0.8167,0.8336,0.8167,0.8252,238243,0
19800424,0.8252,0.8589,0.8252,0.8419,322329,0
19800425,0.8419,0.8419,0.8252,0.8336,68171,0
19800428,0.8336,0.8419,0.8336,0.8336,58671,0
19800429,0.8336,0.8419,0.8336,0.8336,64846,0
19800430,0.8336,0.8419,0.8336,0.8419,41329,0
19800501,0.8419,0.8419,0.8336,0.8336,128980,0
19800502,0.8336,0.8419,0.8252,0.8252,90261,0
19800505,0.8252,0.8419,0.8252,0.8336,1545610,0
19800506,0.8336,0.8336,0.8252,0.8252,349884,0
19800507,0.8419,0.8589,0.8419,0.8504,63657,0
19800508,0.8589,0.8589,0.8589,0.8589,465798,0
19800509,0.8589,0.8674,0.8589,0.8589,496438,0
19800512,0.8589,0.8589,0.8589,0.8589,174823,0
19800513,0.8589,0.8674,0.8589,0.8674,200711,0
19800514,0.8674,0.8757,0.8674,0.8674,303325,0
19800515,0.8674,0.8674,0.8589,0.8674,147506,0
19800516,0.8674,0.8757,0.8589,0.8674,109028,0
19800519,0.8674,0.8674,0.8419,0.8504,329930,0
19800520,0.8504,0.8589,0.8419,0.8504,90024,0
19800521,0.8504,0.8504,0.8336,0.8419,114016,0
19800522,0.8419,0.8419,0.8336,0.8419,59382,0
19800523,0.8419,0.8419,0.8336,0.8419,125179,0
19800527,0.8504,0.8504,0.8336,0.8504,74348,0
19800528,0.8504,0.8674,0.8504,0.8674,574110,0
19800529,0.8674,0.8674,0.8504,0.8674,96199,0
19800530,0.8674,0.8757,0.8589,0.8674,168647,0
19800602,0.8674,0.8674,0.8504,0.8674,87410,0
19800603,0.8674,0.8674,0.8504,0.8589,46317,0
19800604,0.8589,0.8674,0.8504,0.8674,129217,0
19800605,0.8674,0.8674,0.8504,0.8504,64371,0
19800606,0.8504,0.8589,0.8504,0.8504,102138,0
19800609,0.8504,0.8589,0.8419,0.8504,54869,0
19800610,0.8504,0.8504,0.8336,0.8504,97866,0
19800611,0.8504,0.8589,0.8336,0.8589,52733,0
19800612,0.8589,0.8674,0.8589,0.8674,64133,0
19800613,0.8674,0.8841,0.8674,0.8674,281949,0
19800616,0.8674,0.8841,0.8674,0.8841,165320,0
19800617,0.8841,0.9009,0.8757,0.8841,330641,0
19800618,0.8841,0.9009,0.8841,0.9009,354396,0
19800619,0.9009,0.9009,0.8841,0.8841,109739,0
19800620,0.8841,0.8925,0.8757,0.8841,136579,0
19800623,0.8841,0.8925,0.8757,0.8757,400474,0
19800624,0.8757,0.8925,0.8757,0.8757,189787,0
19800625,0.8757,0.8925,0.8757,0.8841,77199,0
19800626,0.8925,0.9009,0.8925,0.9009,681474,0
19800627,0.9009,0.9095,0.9009,0.9009,86461,0
19800630,0.9009,0.9009,0.8925,0.8925,105464,0
19800701,0.8925,0.9009,0.8925,0.9009,75298,0
19800702,0.9009,0.9009,0.8674,0.8841,53444,0
19800703,0.8841,0.9009,0.8841,0.9009,91449,0
19800707,0.9009,0.9095,0.9009,0.9009,86698,0
19800708,0.9009,0.9009,0.9009,0.9009,74820,0
19800709,0.9009,0.9009,0.8925,0.8925,90975,0
19800710,0.8925,0.9009,0.8925,0.8925,55821,0
19800711,0.8925,0.9009,0.8925,0.8925,72209,0
19800714,0.8925,0.9009,0.8925,0.8925,55345,0
19800715,0.8925,0.9009,0.8925,0.9009,77674,0
19800716,0.9009,0.9095,0.8925,0.9009,145132,0
19800717,0.9009,0.9009,0.8674,0.8925,1741098,0
19800718,0.8925,0.8925,0.8674,0.8841,50593,0
19800721,0.8841,0.8925,0.8757,0.8841,82896,0
19800722,0.8841,0.8925,0.8841,0.8925,135157,0
19800723,0.8841,0.8841,0.8674,0.8674,106889,0
19800724,0.8674,0.8757,0.8674,0.8757,109977,0
19800725,0.8757,0.8757,0.8674,0.8674,71734,0
19800728,0.8674,0.8674,0.8674,0.8674,68408,0
19800729,0.8674,0.8757,0.8674,0.8674,95486,0
19800730,0.8674,0.8757,0.8674,0.8674,69596,0
19800731,0.8674,0.8674,0.8504,0.8674,497388,0
19800801,0.8589,0.8589,0.8419,0.8504,87649,0
19800804,0.8504,0.8504,0.8336,0.8336,104275,0
19800805,0.8336,0.8504,0.8336,0.8336,130642,0
19800806,0.8336,0.8336,0.8252,0.8252,133016,0
19800807,0.8252,0.8336,0.8167,0.8252,498576,0
19800808,0.8252,0.8336,0.8252,0.8252,110926,0
19800811,0.8252,0.8419,0.8252,0.8336,58907,0
19800812,0.8336,0.8336,0.8252,0.8336,235867,0
19800813,0.8336,0.8419,0.8252,0.8336,126604,0
19800814,0.8336,0.8419,0.8252,0.8336,73873,0
19800815,0.8336,0.8504,0.8336,0.8419,41329,0
19800818,0.8419,0.8419,0.8336,0.8336,88834,0
19800819,0.8336,0.8419,0.8336,0.8419,346081,0
19800820,0.8419,0.8504,0.8252,0.8336,84562,0
19800821,0.8336,0.8504,0.8252,0.8336,81948,0
19800822,0.8336,0.8419,0.8336,0.8419,48930,0
19800825,0.8419,0.8419,0.8336,0.8419,219954,0
19800826,0.8419,0.8419,0.8336,0.8336,42281,0
19800827,0.8336,0.8336,0.8252,0.8336,111639,0
19800828,0.8336,0.8336,0.8252,0.8336,44656,0
19800829,0.8336,0.8504,0.8336,0.8504,187885,0
19800902,0.8589,0.8589,0.8419,0.8504,45131,0
19800903,0.8504,0.8589,0.8419,0.8589,54869,0
