Date,Open,High,Low,Close,Volume,OpenInt
19700102,1.5087,1.5174,1.5087,1.5174,937541,0
19700105,1.5174,1.5263,1.5087,1.5263,584158,0
19700106,1.5174,1.5174,1.5087,1.5174,540888,0
19700107,1.5174,1.5442,1.5174,1.5442,800517,0
19700108,1.5442,1.5618,1.5352,1.5618,598584,0
19700109,1.5618,1.5618,1.5442,1.5531,295686,0
19700112,1.5531,1.5531,1.5442,1.5442,418286,0
19700113,1.5442,1.5442,1.5352,1.5352,461558,0
19700114,1.5442,1.5797,1.5442,1.5442,670703,0
19700115,1.5442,1.5531,1.5442,1.5442,439924,0
19700116,1.5531,1.5886,1.5531,1.5618,461558,0
19700119,1.5618,1.5618,1.5442,1.5442,576948,0
19700120,1.5531,1.5618,1.5531,1.5531,302896,0
19700121,1.5531,1.5618,1.5442,1.5618,764458,0
19700122,1.5618,1.6063,1.5442,1.5973,1016873,0
19700123,1.5886,1.5886,1.5531,1.5531,3259759,0
19700126,1.5531,1.5531,1.5263,1.5263,598584,0
19700127,1.5352,1.5442,1.5352,1.5352,165872,0
19700128,1.5352,1.5442,1.5263,1.5263,930330,0
19700129,1.5263,1.5263,1.5174,1.5174,468772,0
19700130,1.5263,1.5442,1.5263,1.5263,490406,0
19700202,1.5263,1.5352,1.5174,1.5174,2762140,0
19700203,1.5174,1.5531,1.5174,1.5442,1391890,0
19700204,1.5442,1.5618,1.5442,1.5442,432714,0
19700205,1.5442,1.5531,1.5442,1.5531,512042,0
19700206,1.5531,1.5797,1.5442,1.5708,598584,0
19700209,1.5708,1.5886,1.5618,1.5886,721187,0
19700210,1.5886,1.5886,1.5797,1.5797,324535,0
19700211,1.5797,1.5886,1.5708,1.5886,742821,0
19700212,1.5886,1.6063,1.5886,1.5973,894271,0
19700213,1.5973,1.5973,1.5708,1.5797,1745269,0
19700216,1.5797,1.6063,1.5797,1.5797,490406,0
19700217,1.5797,1.5797,1.5087,1.5263,1738057,0
19700218,1.5174,1.5174,1.482,1.4909,1464007,0
19700219,1.4909,1.4997,1.4731,1.4997,2322220,0
19700220,1.4997,1.5087,1.4909,1.4909,951963,0
19700224,1.4909,1.4997,1.482,1.4997,1110626,0
19700225,1.4997,1.5087,1.482,1.4909,3259759,0
19700226,1.4642,1.4642,1.4554,1.4554,1968836,0
19700227,1.4642,1.5174,1.4642,1.5087,1319769,0
19700302,1.5087,1.5352,1.5087,1.5174,1738057,0
19700303,1.5174,1.5263,1.4997,1.5263,988025,0
19700304,1.5263,1.5263,1.5174,1.5174,1211593,0
19700305,1.5174,1.5263,1.5087,1.5087,1716421,0
19700306,1.4997,1.4997,1.4909,1.4997,432714,0
19700309,1.4997,1.5087,1.4997,1.5087,310110,0
19700310,1.5087,1.5174,1.5087,1.5174,483196,0
19700311,1.5174,1.5174,1.5087,1.5174,908692,0
19700312,1.5174,1.5174,1.5174,1.5174,1139474,0
19700313,1.5174,1.5263,1.4997,1.4997,1853450,0
19700316,1.4997,1.4997,1.4554,1.4642,2610692,0
19700317,1.4642,1.482,1.4554,1.4642,1283711,0
19700318,1.4642,1.4909,1.4642,1.482,584158,0
19700319,1.482,1.4909,1.4642,1.4642,295686,0
19700320,1.4642,1.482,1.4642,1.482,382227,0
19700323,1.482,1.482,1.4642,1.4642,216356,0
19700324,1.4731,1.482,1.4731,1.482,223568,0
19700325,1.482,1.5531,1.482,1.4997,1983262,0
19700326,1.4997,1.5174,1.4997,1.4997,475983,0
19700330,1.4909,1.4909,1.4642,1.482,598584,0
19700331,1.482,1.4997,1.482,1.4997,274052,0
19700401,1.5174,1.5263,1.5174,1.5263,908692,0
19700402,1.5263,1.5263,1.5174,1.5174,526467,0
19700403,1.5174,1.5174,1.5174,1.5174,187508,0
19700406,1.5174,1.5263,1.5087,1.5087,288474,0
19700407,1.5087,1.5174,1.5087,1.5174,706762,0
19700408,1.5174,1.5174,1.5087,1.5087,115392,0
19700409,1.5087,1.5174,1.4997,1.4997,418286,0
19700410,1.4997,1.4997,1.4909,1.4909,346171,0
19700413,1.4909,1.4909,1.4731,1.4731,526467,0
19700414,1.4731,1.4731,1.4554,1.4731,605797,0
19700415,1.4731,1.482,1.4554,1.4642,894271,0
19700416,1.4642,1.4642,1.4466,1.4466,613009,0
19700417,1.4466,1.482,1.4374,1.482,699550,0
19700420,1.482,1.4909,1.4642,1.4642,382227,0
19700421,1.4642,1.4731,1.4466,1.4466,439924,0
19700422,1.4466,1.4554,1.4374,1.4374,786094,0
19700423,1.4199,1.4199,1.4022,1.4022,490406,0
19700424,1.4022,1.4199,1.4022,1.4111,295686,0
19700427,1.4111,1.4199,1.349,1.3755,1738057,0
19700428,1.3755,1.4022,1.3666,1.3845,735608,0
19700429,1.3845,1.4022,1.3755,1.3933,706762,0
19700430,1.3933,1.4022,1.3666,1.3755,302896,0
19700501,1.3755,1.3845,1.3579,1.3579,439924,0
19700504,1.349,1.349,1.3223,1.3223,1399101,0
19700505,1.3133,1.3133,1.2779,1.2956,980813,0
19700506,1.2956,1.3398,1.2956,1.3045,1658729,0
19700507,1.3045,1.3398,1.3045,1.3398,807730,0
19700508,1.3398,1.3398,1.3133,1.3133,555314,0
19700511,1.3133,1.3133,1.2956,1.2956,252415,0
19700512,1.2868,1.2868,1.2779,1.2779,576948,0
19700513,1.2689,1.2689,1.2602,1.2689,944752,0
19700514,1.2689,1.2689,1.2602,1.2689,504829,0
19700515,1.2779,1.3312,1.2779,1.3312,728397,0
19700518,1.3312,1.3398,1.3223,1.3312,627433,0
19700519,1.3223,1.3223,1.2689,1.2779,778879,0
19700520,1.2689,1.2689,1.2423,1.2423,1088991,0
19700521,1.2423,1.2423,1.2158,1.2245,688732,0
19700522,1.2158,1.2158,1.1803,1.1891,584158,0
19700525,1.1715,1.1715,1.1447,1.1447,526467,0
19700526,1.136,1.136,1.1094,1.1094,746428,0
19700527,1.1272,1.2334,1.1272,1.2158,573342,0
19700528,1.2423,1.3223,1.2423,1.2868,638250,0
19700529,1.2868,1.3755,1.2423,1.349,310110,0
19700601,1.349,1.3755,1.3398,1.3398,551707,0
