Date,Open,High,Low,Close,Volume,OpenInt
20060728,16.257,16.366,16.031,16.147,936373,0
20060731,16.292,16.366,16.176,16.277,1334652,0
20060801,16.432,16.432,16.192,16.265,899804,0
20060802,16.497,16.497,16.337,16.403,1014189,0
20060803,16.452,16.452,16.236,16.337,750640,0
20060804,16.411,16.432,16.277,16.3,514588,0
20060807,16.548,16.767,16.459,16.76,814978,0
20060808,16.779,16.824,16.555,16.803,853745,0
20060809,16.803,16.97,16.803,16.898,898979,0
20060810,16.839,16.853,16.657,16.738,644230,0
20060811,16.884,16.912,16.779,16.824,507435,0
20060814,16.76,16.76,16.563,16.715,559954,0
20060815,16.701,16.853,16.701,16.787,520086,0
20060816,16.846,16.906,16.803,16.839,480901,0
20060817,16.816,16.816,16.366,16.633,934998,0
20060818,16.626,16.729,16.619,16.633,507298,0
20060821,16.709,16.809,16.649,16.767,793121,0
20060822,16.832,16.906,16.738,16.891,788309,0
20060823,16.948,17.006,16.839,16.876,988203,0
20060824,16.898,17.006,16.876,16.993,605597,0
20060825,17.058,17.093,17.02,17.093,714621,0
20060828,17.065,17.085,16.948,17.078,813605,0
20060829,16.948,17.043,16.701,16.868,732490,0
20060830,16.816,16.898,16.512,16.672,868186,0
20060831,16.68,16.891,16.555,16.868,641614,0
20060901,16.868,16.891,16.752,16.779,541533,0
20060905,16.664,16.767,16.585,16.729,558994,0
20060906,16.722,16.722,16.452,16.541,642302,0
20060907,16.403,16.452,16.207,16.359,971431,0
20060908,16.359,16.359,16.054,16.09,901041,0
20060911,16.01,16.047,15.094,15.274,2960485,0
20060912,14.991,15.632,14.948,15.362,1372873,0
20060913,15.508,15.733,15.392,15.697,821718,0
20060914,15.819,15.879,15.296,15.502,988203,0
20060915,15.495,15.495,15.094,15.151,1423874,0
20060918,15.151,15.456,15.094,15.377,843303,0
20060919,14.984,14.984,14.409,14.54,4432064,0
20060920,14.577,14.577,13.819,14.081,2961994,0
20060921,14.081,14.438,14.081,14.343,1739531,0
20060922,14.453,14.547,14.242,14.336,1251478,0
20060925,14.184,14.255,13.704,14.125,2264699,0
20060926,14.125,14.461,14.11,14.329,1488766,0
20060927,14.438,14.445,14.039,14.366,1263574,0
20060928,14.468,14.489,14.191,14.403,1181086,0
20060929,14.329,14.329,14.133,14.271,989032,0
20061002,14.358,14.409,14.11,14.184,1186724,0
20061003,14.184,14.184,13.318,13.443,2804173,0
20061004,13.26,13.347,12.547,13.027,4536413,0
20061005,13.428,13.448,13.165,13.406,2313095,0
20061006,13.4,13.406,13.085,13.165,1517910,0
20061009,13.245,13.644,13.245,13.42,1035223,0
20061010,13.428,13.448,13.202,13.268,1289013,0
20061011,13.392,13.428,13.131,13.173,1249277,0
20061012,13.18,13.362,13.165,13.362,3082020,0
20061013,13.471,13.907,13.428,13.857,1760700,0
20061016,14.039,14.235,13.9,14.184,1763455,0
20061017,14.329,14.329,14.003,14.054,1503063,0
20061018,14.039,14.102,13.879,13.914,2814070,0
20061019,13.914,14.302,13.914,14.235,1591741,0
