Date,Open,High,Low,Close,Volume,OpenInt
20050225,8.3246,8.3688,8.299,8.3498,630600,0
20050228,8.3626,8.3688,8.3053,8.318,453940,0
20050301,8.4005,8.4005,8.3246,8.3626,665935,0
20050302,8.3626,8.3815,8.3308,8.3561,898739,0
20050303,8.3561,8.3751,8.3435,8.3561,485172,0
20050304,8.3815,8.4133,8.3626,8.4005,785967,0
20050307,8.4133,8.4258,8.3815,8.4133,803944,0
20050308,8.3876,8.4258,8.3876,8.4258,506306,0
20050309,8.3561,8.3626,8.2167,8.2421,724133,0
20050310,8.2041,8.2421,8.1599,8.1849,800001,0
20050311,8.1531,8.1849,8.147,8.1531,460568,0
20050314,8.1531,8.1531,8.1025,8.1279,777761,0
20050315,8.1089,8.1217,8.001,8.0456,780915,0
20050316,8.0705,8.0705,7.8237,7.8553,1496213,0
20050317,7.8489,7.9631,7.8489,7.9631,885013,0
20050318,7.9631,7.9693,7.8489,7.8871,820662,0
20050321,7.8742,7.8932,7.7921,7.8363,858829,0
20050322,7.8171,7.8489,7.7411,7.7921,1102843,0
20050323,7.7095,7.7411,7.5702,7.6397,1742274,0
20050324,7.6652,7.8426,7.6588,7.7921,785336,0
20050328,7.8426,7.8742,7.7921,7.8363,678076,0
20050329,7.8426,7.8616,7.7921,7.8363,542273,0
20050330,7.8426,7.8932,7.7792,7.8742,417980,0
20050331,7.9186,7.9505,7.8997,7.9505,432019,0
20050401,8.0325,8.0456,7.9505,7.9505,672868,0
20050404,7.9123,7.9568,7.9123,7.9438,761513,0
20050405,7.9505,7.9505,7.8997,7.9186,474451,0
20050406,7.9186,7.9693,7.906,7.9693,390378,0
20050407,7.9505,7.9821,7.9312,7.9693,515615,0
20050408,7.9693,7.9884,7.9568,7.9693,534387,0
20050411,7.9693,7.9693,7.8489,7.8553,479019,0
20050412,7.8679,7.9505,7.7982,7.8997,472398,0
20050413,7.7982,7.8553,7.7411,7.7921,648895,0
20050414,7.7601,7.7921,7.646,7.6713,573183,0
20050415,7.646,7.7095,7.6206,7.6652,536436,0
20050418,7.6713,7.773,7.6588,7.7411,569395,0
20050419,7.7792,7.8171,7.7667,7.7921,594798,0
20050420,7.7921,7.8046,7.7667,7.7792,499686,0
20050421,7.8363,7.8363,7.7856,7.7982,557574,0
20050422,7.8299,7.8426,7.7921,7.7982,366880,0
20050425,7.8553,7.8932,7.7982,7.8171,608992,0
20050426,7.8107,7.8426,7.7348,7.7921,637221,0
20050427,7.7921,7.7921,7.7411,7.7538,542743,0
20050428,7.773,7.7856,7.7348,7.7411,552051,0
20050429,7.7538,7.7601,7.7221,7.7474,655365,0
20050502,7.7792,7.7856,7.7411,7.7667,553942,0
20050503,7.7667,7.7921,7.7474,7.7856,793693,0
20050504,7.8107,7.8679,7.7856,7.8553,679811,0
20050505,7.8807,7.8932,7.7921,7.8237,1272082,0
20050506,7.8107,7.8237,7.7921,7.8237,505048,0
20050509,7.8299,7.8553,7.8171,7.8489,672554,0
20050510,7.8489,7.8616,7.8237,7.8553,760411,0
20050511,7.7982,7.8426,7.7667,7.8426,385646,0
20050512,7.8107,7.8553,7.8046,7.8237,915142,0
20050513,7.7982,7.8426,7.7921,7.8171,352206,0
20050516,7.8171,7.8679,7.7921,7.8426,514831,0
20050517,7.8363,7.8426,7.773,7.8046,484853,0
20050518,7.8237,7.8807,7.7982,7.8742,561830,0
20050519,7.8807,7.8871,7.8107,7.8426,425079,0
20050520,7.8426,7.8932,7.8363,7.8807,499995,0
20050523,7.8807,8.001,7.8807,7.9693,630285,0
20050524,7.9438,8.0837,7.9438,7.9759,730911,0
20050525,7.9759,7.9759,7.9377,7.9693,895108,0
20050526,7.9884,8.0389,7.9884,8.0325,462303,0
20050527,8.0325,8.0389,8.001,8.0264,462934,0
20050531,8.0389,8.1025,8.0264,8.1025,909621,0
20050601,8.1156,8.1722,8.1025,8.1279,912148,0
20050602,8.1531,8.2672,8.1406,8.2547,886906,0
20050603,8.2672,8.3435,8.2672,8.2802,760880,0
20050606,8.299,8.318,8.2865,8.3118,416560,0
20050607,8.3246,8.4133,8.3118,8.3688,881071,0
20050608,8.2928,8.3246,8.1979,8.2609,849367,0
20050609,8.2292,8.2737,8.1089,8.1531,775081,0
20050610,8.1279,8.2103,8.1279,8.1786,433435,0
20050613,8.1786,8.2041,8.1406,8.1722,440219,0
20050614,8.1722,8.2609,8.1599,8.2103,551260,0
20050615,8.2547,8.2547,8.1849,8.2167,391329,0
20050616,8.2167,8.2547,8.1912,8.2041,341011,0
20050617,8.2103,8.2802,8.2103,8.2609,620348,0
20050620,8.2609,8.2609,8.1786,8.2103,949525,0
20050621,8.2103,8.2356,8.1912,8.223,475863,0
20050622,8.223,8.2928,8.2167,8.2609,633285,0
20050623,8.2421,8.2928,8.2421,8.2609,514985,0
20050624,8.2609,8.2928,8.2421,8.2865,431232,0
20050627,8.2737,8.3118,8.2737,8.2928,453470,0
20050628,8.3118,8.318,8.2672,8.3053,534539,0
20050629,8.3053,8.3118,8.2928,8.3118,408040,0
20050630,8.3053,8.3246,8.2928,8.318,478387,0
20050701,8.337,8.4133,8.3053,8.3815,528865,0
20050705,8.3751,8.4575,8.337,8.4385,988168,0
20050706,8.4575,8.4575,8.4258,8.4385,672868,0
20050707,8.4385,8.4385,8.3626,8.4133,602838,0
20050708,8.4385,8.445,8.4005,8.4321,424139,0
20050711,8.4385,8.4639,8.4133,8.4385,494639,0
20050712,8.4575,8.4639,8.4258,8.445,762303,0
20050713,8.4133,8.4133,8.3626,8.4133,729650,0
20050714,8.4133,8.4575,8.4133,8.4321,487857,0
20050715,8.4133,8.4639,8.4133,8.4385,346686,0
20050718,8.4321,8.4512,8.4133,8.4258,483914,0
20050719,8.4133,8.4639,8.4068,8.4575,460254,0
20050720,8.4512,8.4639,8.4005,8.4133,682495,0
20050721,8.4133,8.4195,8.3053,8.3308,677924,0
20050722,8.3308,8.4639,8.3308,8.4639,426656,0
20050725,8.4639,8.4639,8.4005,8.4133,632492,0
20050726,8.4195,8.4321,8.3815,8.4068,539121,0
20050727,8.4385,8.4575,8.4133,8.4385,506467,0
20050728,8.4575,8.4639,8.3815,8.4133,1156311,0
20050729,8.4258,8.4639,8.4133,8.4321,563565,0
20050801,8.4512,8.4639,8.4068,8.4133,648420,0
20050802,8.4321,8.4765,8.4133,8.4512,789588,0
20050803,8.4639,8.4828,8.445,8.4828,502045,0
20050804,8.4639,8.5019,8.4575,8.4704,509466,0
20050805,8.4765,8.4892,8.4258,8.4575,625391,0
20050808,8.4512,8.4575,8.2865,8.318,1065455,0
20050809,8.318,8.4133,8.318,8.3876,798108,0
20050810,8.3815,8.4133,8.3308,8.3688,638327,0
20050811,8.3626,8.4005,8.3246,8.3561,430760,0
20050812,8.3751,8.4258,8.3626,8.4068,331545,0
20050815,8.4133,8.4639,8.3942,8.4321,448107,0
20050816,8.445,8.4828,8.4133,8.445,449054,0
20050817,8.4512,8.4639,8.4258,8.4385,467982,0
20050818,8.4258,8.4639,8.4258,8.4639,362146,0
20050819,8.4704,8.4828,8.4512,8.4639,550157,0
20050822,8.4639,8.4828,8.4639,8.4828,459776,0
20050823,8.4892,8.4958,8.4639,8.4765,524605,0
20050824,8.5084,8.5084,8.4639,8.4704,564667,0
20050825,8.4639,8.4828,8.4133,8.4385,511676,0
20050826,8.4385,8.4575,8.4133,8.4512,302528,0
20050829,8.4639,8.5084,8.4639,8.4828,397792,0
20050830,8.4828,8.5148,8.4704,8.5148,432810,0
20050831,8.5148,8.5148,8.4575,8.4828,530915,0
20050901,8.5148,8.521,8.4828,8.5148,543690,0
20050902,8.4892,8.5524,8.4892,8.5274,722552,0
20050906,8.521,8.5908,8.521,8.5779,642744,0
20050907,8.5655,8.5779,8.4958,8.5464,408674,0
20050908,8.5716,8.5845,8.5337,8.5779,598738,0
20050909,8.5464,8.6033,8.5464,8.5779,567667,0
20050912,8.5845,8.6162,8.5655,8.6162,578864,0
20050913,8.6033,8.6289,8.5968,8.6098,672868,0
20050914,8.521,8.5274,8.4958,8.521,538961,0
20050915,8.521,8.521,8.4258,8.445,550000,0
20050916,8.445,8.4704,8.4258,8.445,370508,0
20050919,8.4639,8.4828,8.4258,8.4575,446058,0
20050920,8.445,8.5779,8.4385,8.4704,872868,0
20050921,8.521,8.521,8.4704,8.4892,399369,0
20050922,8.4958,8.5084,8.4195,8.4575,490375,0
20050923,8.4133,8.4321,8.3626,8.3751,500949,0
20050926,8.3815,8.4005,8.3246,8.3815,519244,0
20050927,8.3561,8.4005,8.3053,8.3561,613881,0
20050928,8.3435,8.4639,8.3435,8.3626,472555,0
20050929,8.3815,8.4133,8.3561,8.4133,378714,0
20050930,8.4385,8.4639,8.3876,8.4133,486275,0
20051003,8.4575,8.4639,8.4133,8.4258,464192,0
20051004,8.4385,8.4765,8.4133,8.445,669087,0
20051005,8.4575,8.4639,8.4005,8.4133,456463,0
20051006,8.4068,8.4385,8.3626,8.3876,505048,0
20051007,8.4195,8.4258,8.3876,8.4005,358831,0
20051010,8.3942,8.4258,8.3815,8.4195,425079,0
20051011,8.4385,8.4765,8.4258,8.4321,561512,0
20051012,8.4133,8.4195,8.3246,8.3498,645583,0
20051013,8.3498,8.3498,8.1025,8.1406,1007255,0
20051014,8.1279,8.1849,8.0837,8.0962,666090,0
20051017,8.0705,8.2421,8.0705,8.2356,532017,0
20051018,8.2356,8.3246,8.2103,8.2421,468453,0
20051019,8.1531,8.2672,8.1342,8.2103,352999,0
20051020,8.1912,8.2547,8.1849,8.1912,284390,0
20051021,8.1849,8.2103,8.1279,8.1979,370349,0
20051024,8.2356,8.3561,8.2167,8.3053,651416,0
20051025,8.2865,8.3498,8.2865,8.3053,371291,0
20051026,8.2928,8.2928,8.2041,8.2609,386910,0
20051027,8.2928,8.2928,8.223,8.2292,271925,0
20051028,8.2485,8.2609,8.2292,8.2547,330914,0
20051031,8.2865,8.2928,8.1912,8.2041,449688,0
20051101,8.2865,8.2865,8.1849,8.2041,492588,0
20051102,8.2041,8.4005,8.2041,8.3246,613250,0
20051103,8.3498,8.3688,8.318,8.3561,378230,0
20051104,8.3435,8.3561,8.3053,8.3246,351739,0
20051107,8.3053,8.3561,8.299,8.3053,505208,0
20051108,8.3053,8.3561,8.299,8.3435,365773,0
20051109,8.3435,8.3561,8.318,8.3246,301577,0
20051110,8.3435,8.3561,8.3053,8.3561,362304,0
20051111,8.3561,8.3751,8.3246,8.3561,378230,0
20051114,8.3561,8.3815,8.318,8.3435,418139,0
20051115,8.337,8.3435,8.2292,8.2547,578553,0
20051116,8.2041,8.2547,8.1912,8.2041,426343,0
20051117,8.2547,8.2609,8.1912,8.1912,386593,0
20051118,8.1849,8.2547,8.1849,8.2421,332964,0
20051121,8.2421,8.2672,8.1912,8.2103,386910,0
20051122,8.2167,8.2356,8.1979,8.2041,495272,0
20051123,8.2041,8.2292,8.1979,8.2167,449216,0
20051125,8.2167,8.2672,8.2041,8.2609,168773,0
