Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.04,11.148,11.024,11.116,13704,0
20050228,11.177,11.224,11.07,11.116,11876,0
20050301,11.116,11.224,11.116,11.184,24281,0
20050302,11.262,11.309,11.224,11.269,25061,0
20050303,11.331,11.331,11.24,11.24,14095,0
20050304,11.24,11.339,11.2,11.276,12920,0
20050307,11.284,11.339,11.284,11.331,14876,0
20050308,11.292,11.324,11.255,11.316,15661,0
20050309,11.148,11.192,11.124,11.148,6792,0
20050310,11.108,11.108,11.002,11.009,31065,0
20050311,10.98,11.078,10.98,11.002,23888,0
20050314,11.024,11.024,10.98,11.024,19448,0
20050315,11.002,11.032,10.987,10.987,24281,0
20050316,10.994,11.1,10.987,10.987,14622,0
20050317,10.987,11.032,10.924,10.994,13445,0
20050318,10.994,11.048,10.964,10.987,6653,0
20050321,10.948,10.994,10.931,10.939,5482,0
20050322,11.032,11.108,11.032,11.07,9529,0
20050323,10.994,10.994,10.839,10.839,21537,0
20050324,10.839,10.839,10.742,10.742,34850,0
20050328,10.726,10.726,10.496,10.51,52600,0
20050329,10.573,10.726,10.573,10.658,27411,0
20050330,10.726,10.763,10.611,10.658,16580,0
20050331,10.733,10.82,10.686,10.812,13184,0
20050401,10.886,10.931,10.82,10.894,15661,0
20050404,10.931,11.087,10.894,10.894,15791,0
20050405,10.972,11.024,10.894,10.902,9657,0
20050406,10.98,11.009,10.894,10.956,6263,0
20050407,10.902,11.07,10.894,11.032,16580,0
20050408,11.04,11.108,11.032,11.048,22840,0
20050411,11.07,11.177,11.07,11.078,9000,0
20050412,11.07,11.07,10.939,10.972,28328,0
20050413,10.918,10.964,10.918,10.931,9657,0
20050414,10.956,10.956,10.879,10.902,19315,0
20050415,10.902,10.931,10.886,10.924,12533,0
20050418,10.931,11.078,10.931,11.032,10966,0
20050419,10.964,11.148,10.964,11.148,12533,0
20050420,11.148,11.155,11.087,11.094,14750,0
20050421,11.108,11.163,11.032,11.032,9000,0
20050422,11.032,11.184,11.032,11.116,16187,0
20050425,11.108,11.184,11.032,11.108,37199,0
20050426,11.032,11.216,11.032,11.184,30412,0
20050427,11.262,11.262,11.124,11.184,10575,0
20050428,11.155,11.247,11.116,11.116,15267,0
20050429,11.192,11.192,11.116,11.116,7444,0
20050502,11.192,11.276,11.155,11.255,21801,0
20050503,11.247,11.262,11.192,11.255,19448,0
20050504,11.255,11.276,11.208,11.276,24281,0
20050505,11.269,11.269,11.262,11.269,5088,0
20050506,11.116,11.262,11.116,11.262,29371,0
20050509,11.184,11.3,11.124,11.208,18405,0
20050510,11.24,11.292,11.224,11.247,4570,0
20050511,11.14,11.262,11.07,11.184,27411,0
20050512,11.224,11.24,11.184,11.24,12665,0
20050513,11.24,11.247,11.224,11.24,15267,0
20050516,11.262,11.339,11.262,11.309,17230,0
20050517,11.339,11.339,11.269,11.269,17360,0
20050518,11.3,11.3,11.216,11.224,25587,0
20050519,11.224,11.417,11.216,11.377,38112,0
20050520,11.262,11.345,11.262,11.345,10966,0
20050523,11.331,11.331,11.269,11.324,3262,0
20050524,11.417,11.446,11.339,11.352,22840,0
20050525,11.377,11.43,11.269,11.269,22190,0
20050526,11.345,11.36,11.184,11.232,41245,0
20050527,11.292,11.417,11.269,11.3,15924,0
20050531,11.339,11.339,11.262,11.339,8483,0
20050601,11.377,11.385,11.276,11.309,35504,0
20050602,11.316,11.409,11.3,11.409,18018,0
20050603,11.417,11.529,11.417,11.417,21926,0
20050606,11.385,11.452,11.377,11.425,21144,0
20050607,11.452,12.026,11.452,11.66,129872,0
20050608,11.608,11.676,11.452,11.452,45554,0
20050609,11.452,11.529,11.417,11.484,18793,0
20050610,11.521,11.66,11.507,11.601,18273,0
20050613,11.637,11.645,11.569,11.615,14491,0
20050614,11.645,11.645,11.561,11.577,29628,0
20050615,11.585,11.585,11.452,11.513,28194,0
20050616,11.513,11.545,11.446,11.452,18018,0
20050617,11.461,11.461,11.369,11.393,18665,0
20050620,11.385,11.492,11.377,11.469,12533,0
20050621,11.469,11.529,11.469,11.521,12665,0
20050622,11.521,11.529,11.484,11.529,21667,0
20050623,11.452,11.569,11.452,11.553,34850,0
20050624,11.593,11.629,11.477,11.585,18793,0
20050627,11.593,11.621,11.446,11.553,37853,0
20050628,11.5,11.569,11.5,11.536,28848,0
20050629,11.569,11.569,11.521,11.553,16447,0
20050630,11.561,11.645,11.5,11.637,15791,0
20050701,11.529,11.608,11.529,11.585,15267,0
20050705,11.615,11.615,11.529,11.569,17493,0
20050706,11.569,11.569,11.484,11.507,28194,0
20050707,11.492,11.637,11.492,11.621,28452,0
20050708,11.608,11.705,11.608,11.705,34199,0
20050711,11.737,12.066,11.721,11.858,59650,0
20050712,11.821,11.954,11.805,11.906,26758,0
20050713,11.791,11.954,11.791,11.873,16968,0
20050714,11.829,11.954,11.777,11.865,31328,0
20050715,11.922,12.066,11.799,12.013,28061,0
20050718,12.013,12.026,11.821,11.85,20365,0
20050719,11.929,11.929,11.805,11.873,20624,0
20050720,11.937,11.937,11.829,11.837,24540,0
20050721,11.829,11.914,11.829,11.844,30806,0
20050722,11.882,11.99,11.882,11.99,36941,0
20050725,11.954,11.99,11.873,11.882,22579,0
20050726,11.882,11.906,11.813,11.865,21667,0
20050727,11.873,11.889,11.858,11.889,12790,0
20050728,11.906,12.034,11.873,12.013,42162,0
20050729,12.013,12.066,11.945,12.026,38245,0
20050801,12.066,12.066,11.929,11.954,21015,0
20050802,11.99,11.99,11.865,11.954,24409,0
20050803,12.026,12.066,11.873,12.066,27670,0
20050804,11.99,12.066,11.99,12.034,25975,0
20050805,12.034,12.034,11.821,11.873,25193,0
20050808,11.873,11.882,11.837,11.837,22190,0
20050809,11.813,11.858,11.529,11.601,97110,0
20050810,11.569,11.637,11.569,11.621,24015,0
20050811,11.637,11.669,11.529,11.585,51558,0
20050812,11.545,11.629,11.545,11.621,20755,0
20050815,11.545,11.569,11.492,11.569,23756,0
20050816,11.521,11.637,11.521,11.637,15791,0
20050817,11.637,11.645,11.593,11.593,32370,0
20050818,11.593,11.652,11.569,11.621,24931,0
20050819,11.637,11.637,11.561,11.569,16580,0
20050822,11.569,11.713,11.569,11.593,65786,0
20050823,11.593,11.629,11.577,11.601,13313,0
20050824,11.561,11.762,11.561,11.652,21926,0
20050825,11.682,11.73,11.682,11.705,22321,0
20050826,11.73,11.813,11.697,11.753,31459,0
20050829,11.813,11.873,11.721,11.837,28717,0
20050830,11.873,11.922,11.858,11.914,25061,0
20050831,12.026,12.026,11.85,11.873,32504,0
20050901,11.954,11.954,11.858,11.858,6653,0
20050902,11.873,11.954,11.873,11.914,14355,0
20050906,11.954,12.122,11.914,11.954,27282,0
20050907,12.026,12.098,11.914,11.954,31718,0
20050908,11.922,12.026,11.873,12.026,8744,0
20050909,12.026,12.175,11.937,12.175,18535,0
20050912,12.251,12.251,12.074,12.195,34983,0
20050913,12.158,12.386,12.158,12.234,52600,0
20050914,12.182,12.182,12.066,12.137,16580,0
20050915,12.129,12.29,12.129,12.195,51167,0
20050916,12.234,12.234,12.05,12.098,16702,0
20050919,12.175,12.182,12.034,12.066,18793,0
20050920,12.129,12.137,12.026,12.026,11226,0
20050921,12.144,12.144,12.026,12.042,24801,0
20050922,12.082,12.082,11.922,11.929,15404,0
20050923,11.954,11.954,11.844,11.906,26631,0
20050926,11.906,11.99,11.837,11.898,28061,0
20050927,11.882,11.968,11.873,11.922,22840,0
20050928,11.997,12.098,11.954,12.098,13966,0
20050929,12.098,12.182,12.034,12.182,12533,0
20050930,12.234,12.259,12.182,12.259,9270,0
20051003,12.298,12.298,12.182,12.187,10701,0
20051004,12.259,12.259,12.026,12.144,19058,0
20051005,12.182,12.234,12.106,12.218,8615,0
20051006,12.21,12.21,11.929,11.929,24015,0
20051007,11.889,11.975,11.865,11.929,22321,0
20051010,11.968,11.997,11.858,11.858,15267,0
20051011,11.954,11.954,11.821,11.829,16316,0
20051012,11.829,11.873,11.753,11.762,21926,0
20051013,11.682,11.697,11.561,11.569,38899,0
20051014,11.601,11.669,11.569,11.637,21277,0
20051017,11.569,11.645,11.569,11.645,31850,0
20051018,11.608,11.682,11.492,11.492,46856,0
20051019,11.5,11.513,11.276,11.3,41506,0
20051020,11.269,11.339,11.232,11.331,28061,0
20051021,11.352,11.553,11.352,11.553,15404,0
20051024,11.608,11.645,11.492,11.645,25193,0
20051025,11.601,11.615,11.569,11.608,7962,0
20051026,11.645,11.645,11.529,11.536,23237,0
20051027,11.608,11.645,11.593,11.593,6134,0
20051028,11.569,11.652,11.569,11.645,7306,0
20051031,11.645,11.66,11.615,11.652,22059,0
20051101,11.66,11.66,11.608,11.66,7182,0
20051102,11.569,11.615,11.561,11.561,7567,0
20051103,11.608,11.645,11.536,11.645,17620,0
20051104,11.645,11.669,11.545,11.569,12665,0
20051107,11.545,11.645,11.545,11.645,6915,0
20051108,11.682,11.762,11.645,11.676,17493,0
20051109,11.615,11.669,11.593,11.629,16316,0
20051110,11.569,11.637,11.529,11.529,54950,0
20051111,11.577,11.746,11.569,11.608,25845,0
20051114,11.553,11.608,11.536,11.585,7306,0
20051115,11.645,11.66,11.577,11.645,4309,0
20051116,11.615,11.621,11.529,11.585,20624,0
20051117,11.645,11.682,11.585,11.608,16316,0
20051118,11.645,11.682,11.561,11.569,4570,0
20051121,11.569,11.645,11.569,11.615,8615,0
