Date,Open,High,Low,Close,Volume,OpenInt
20100823,22.333,22.437,22.158,22.333,75272,0
20100824,22.367,22.419,22.21,22.244,36325,0
20100825,22.411,22.411,22.149,22.244,48726,0
20100826,22.288,22.437,22.183,22.227,48047,0
20100827,22.349,22.456,22.244,22.456,32360,0
20100830,22.49,22.578,22.315,22.48,33348,0
20100831,22.349,22.586,22.349,22.516,17883,0
20100901,22.594,22.656,22.508,22.647,19731,0
20100902,22.726,22.726,22.613,22.683,18876,0
20100903,22.735,22.77,22.594,22.77,23407,0
20100907,22.77,22.77,22.463,22.717,29071,0
20100908,22.683,22.745,22.622,22.631,34555,0
20100909,22.709,22.77,22.647,22.761,29270,0
20100910,22.77,23.12,22.683,23.12,34682,0
20100913,22.77,22.77,22.49,22.735,28857,0
20100914,22.77,22.778,22.358,22.456,75391,0
20100915,22.419,22.683,22.419,22.551,33274,0
20100916,22.665,22.77,22.437,22.586,44310,0
20100917,22.665,23.111,22.622,22.77,26874,0
20100920,22.954,22.954,22.7,22.761,20500,0
20100921,22.77,22.858,22.57,22.77,22886,0
20100922,22.84,22.84,22.524,22.594,23523,0
20100923,22.456,22.683,22.411,22.411,54274,0
20100924,22.578,22.578,22.403,22.516,36870,0
20100927,22.516,22.77,22.437,22.77,22778,0
20100928,22.761,22.849,22.56,22.674,16580,0
20100929,22.77,22.998,22.534,22.717,35512,0
20100930,22.936,23.129,22.622,22.753,33681,0
20101001,22.77,22.77,22.638,22.683,25400,0
20101004,22.831,22.849,22.437,22.613,41672,0
20101005,22.7,22.717,22.542,22.542,33990,0
20101006,22.674,22.892,22.586,22.892,23687,0
20101007,23.033,23.033,22.638,23.033,39254,0
20101008,22.954,22.954,22.622,22.761,31546,0
20101011,22.77,22.77,22.578,22.726,28012,0
20101012,22.726,22.761,22.578,22.638,15313,0
20101013,22.691,22.936,22.691,22.77,28762,0
20101014,22.726,22.91,22.56,22.665,19801,0
20101015,22.761,22.761,22.394,22.508,23430,0
20101018,22.622,22.7,22.472,22.674,17022,0
20101019,22.665,22.726,22.551,22.726,11083,0
20101020,22.849,22.945,22.516,22.717,21326,0
20101021,22.717,22.797,22.638,22.647,9313,0
20101022,22.726,22.92,22.594,22.77,20048,0
20101025,22.981,22.981,22.603,22.622,25005,0
20101026,22.717,22.717,22.613,22.674,10775,0
20101027,22.745,22.813,22.638,22.813,11956,0
20101028,22.981,22.981,22.665,22.691,11368,0
