Date,Open,High,Low,Close,Volume,OpenInt
20110418,21.671,21.671,21.496,21.567,233681,0
20110419,21.61,21.715,21.557,21.699,180646,0
20110420,21.671,21.847,21.645,21.847,183181,0
20110421,21.838,21.979,21.813,21.936,225559,0
20110425,21.936,22.016,21.822,21.908,245607,0
20110426,21.927,22.007,21.847,21.936,350985,0
20110427,21.998,22.007,21.884,21.979,284003,0
20110428,21.979,22.032,21.963,22.007,80336,0
20110429,21.979,22.323,21.963,22.253,177563,0
20110502,22.201,22.201,21.963,22.059,118557,0
20110503,21.963,22.069,21.945,21.998,107676,0
20110504,21.955,22.078,21.955,22.032,113088,0
20110505,22.024,22.086,21.979,22.041,111831,0
20110506,22.069,22.102,21.998,22.102,73359,0
20110509,22.102,22.112,21.979,22.024,213061,0
20110510,22.041,22.201,22.041,22.201,168683,0
20110511,22.244,22.271,22.078,22.209,276094,0
20110512,22.244,22.244,22.13,22.173,364353,0
20110513,22.156,22.209,22.112,22.164,120224,0
20110516,22.192,22.288,22.13,22.244,152744,0
20110517,22.28,22.28,22.156,22.226,190535,0
20110518,22.226,22.288,22.156,22.271,234221,0
20110519,22.244,22.35,22.201,22.323,84583,0
20110520,22.323,22.465,22.271,22.465,56217,0
20110523,21.794,22.536,21.576,22.412,114743,0
20110524,22.5,22.508,22.342,22.367,143808,0
20110525,22.42,22.465,22.271,22.323,123825,0
20110526,22.358,22.403,22.28,22.332,87383,0
20110527,22.332,22.446,22.297,22.42,75173,0
20110531,22.412,22.412,22.244,22.412,128216,0
20110601,22.385,22.482,22.35,22.456,98682,0
20110602,22.5,22.631,22.394,22.544,112676,0
20110603,22.57,23.125,22.561,22.993,87443,0
20110606,22.878,22.905,22.579,22.782,67121,0
20110607,22.711,22.791,22.65,22.73,59922,0
20110608,22.887,22.887,22.465,22.544,76371,0
20110609,22.631,22.773,22.474,22.474,66190,0
20110610,22.526,22.721,22.474,22.588,54036,0
20110613,22.262,22.446,22.094,22.412,102520,0
20110614,22.253,22.588,22.253,22.588,102041,0
20110615,22.367,22.588,22.297,22.332,68270,0
20110616,22.403,22.544,22.332,22.474,56739,0
20110617,22.544,22.668,22.5,22.668,45986,0
20110620,22.668,22.676,22.465,22.482,70601,0
20110621,22.579,22.579,22.235,22.288,141278,0
20110622,22.288,22.659,22.288,22.552,75154,0
20110623,22.588,22.597,22.403,22.552,60418,0
20110624,22.508,22.73,22.508,22.606,59206,0
20110627,22.825,22.825,22.526,22.614,44303,0
20110628,22.8,22.8,22.508,22.544,62757,0
20110629,22.5,22.754,22.5,22.597,35721,0
20110630,22.73,22.73,22.57,22.57,51946,0
20110701,22.764,22.773,22.659,22.721,16053,0
20110705,22.702,22.985,22.614,22.869,29943,0
