Date,Open,High,Low,Close,Volume,OpenInt
20050225,47.759,48.323,47.715,48.218,613943,0
20050228,48.243,48.323,47.214,47.601,846718,0
20050301,47.681,48.542,47.645,48.464,379581,0
20050302,48.288,48.674,47.866,48.49,402435,0
20050303,48.419,49.105,48.288,48.956,198430,0
20050304,49.51,51.277,49.492,50.556,827045,0
20050307,50.601,51.902,50.601,51.216,449967,0
20050308,51.216,51.243,50.802,50.997,278943,0
20050309,50.997,51.005,49.651,49.87,435529,0
20050310,50.134,50.733,49.861,50.425,471915,0
20050311,50.204,50.204,49.678,49.695,401866,0
20050314,49.378,50.398,49.114,50.398,338756,0
20050315,50.451,51.154,50.389,50.82,516608,0
20050316,50.82,51.005,50.645,50.75,449061,0
20050317,50.865,51.471,50.865,51.426,742556,0
20050318,51.384,51.558,51.207,51.207,465319,0
20050321,51.084,51.093,50.221,50.469,292816,0
20050322,50.556,50.9,49.308,49.414,348078,0
20050323,49.369,50.239,48.754,49.501,556519,0
20050324,49.537,50.495,49.466,49.537,338301,0
20050328,49.975,50.257,49.475,49.492,353312,0
20050329,49.554,49.87,49.343,49.466,303050,0
20050330,49.466,49.642,49.29,49.501,412441,0
20050331,49.51,50.179,49.29,49.678,415057,0
20050401,50.161,50.196,48.788,49.097,418585,0
20050404,48.77,49.158,48.243,49.062,262339,0
20050405,48.886,49.405,48.639,49.273,273483,0
20050406,49.361,49.563,49.149,49.317,173754,0
20050407,49.317,49.598,49.158,49.466,228566,0
20050408,49.642,49.642,49.22,49.255,219807,0
20050411,49.378,49.44,49.14,49.44,136004,0
20050412,49.22,50.293,49.017,50.257,216399,0
20050413,50.336,50.724,50.134,50.302,281330,0
20050414,49.993,50.161,49.44,49.528,193769,0
20050415,49.537,49.852,49.203,49.642,240049,0
20050418,49.729,49.888,49.203,49.414,239937,0
20050419,49.414,49.906,49.414,49.774,207418,0
20050420,49.774,49.774,49.175,49.326,191041,0
20050421,49.203,49.783,49.089,49.678,323858,0
20050422,49.712,49.774,49.194,49.378,796571,0
20050425,49.378,50.161,49.378,49.993,397888,0
20050426,49.993,50.248,49.686,50.248,276440,0
20050427,50.161,50.663,50.002,50.54,178191,0
20050428,50.574,50.636,50.266,50.389,177168,0
20050429,50.336,51.234,50.336,51.207,442122,0
20050502,51.12,51.207,50.425,51.04,296111,0
20050503,50.733,51.384,50.443,51.171,370483,0
20050504,51.129,52.175,51.066,52.175,232203,0
20050505,52.342,53.046,52.175,52.394,279167,0
20050506,51.911,52.412,51.523,51.63,503298,0
20050509,51.471,52.991,51.471,52.991,258018,0
20050510,52.562,53.046,52.316,53.01,279963,0
20050511,53.221,53.634,52.703,53.599,622813,0
20050512,53.388,53.608,53.213,53.45,390724,0
20050513,53.476,53.634,52.859,53.046,389245,0
20050516,53.089,53.784,53.08,53.784,345577,0
20050517,53.652,54.232,53.433,54.145,284740,0
20050518,54.145,54.479,53.845,54.004,372758,0
20050519,53.995,55.314,53.95,54.787,397545,0
20050520,54.743,54.98,54.461,54.962,177508,0
20050523,54.743,55.287,54.743,55.111,161020,0
20050524,54.962,55.033,54.196,54.277,354901,0
20050525,53.915,54.161,53.221,53.221,252560,0
20050526,53.221,53.915,52.517,52.605,278601,0
20050527,52.571,52.931,52.474,52.728,328181,0
20050531,52.685,53.046,52.456,52.456,1063002,0
20050601,52.544,53.467,52.544,53.424,514899,0
20050602,53.476,53.872,53.178,53.318,250285,0
20050603,53.318,54.056,53.089,53.089,336821,0
20050606,53.133,54.269,53.133,54.038,256994,0
20050607,54.038,55.164,53.89,54.725,449630,0
20050608,54.918,55.684,54.918,55.314,298275,0
20050609,55.138,55.138,54.452,54.689,173074,0
20050610,54.611,54.839,54.1,54.479,144984,0
20050613,53.959,55.147,53.872,55.138,284287,0
