Date,Open,High,Low,Close,Volume,OpenInt
20050225,30.153,30.397,30.105,30.26,456038,0
20050228,30.495,30.495,30.153,30.202,363561,0
20050301,30.192,30.524,30.192,30.495,150782,0
20050302,30.495,30.64,30.075,30.231,288529,0
20050303,30.231,30.319,30.143,30.202,130766,0
20050304,30.25,30.368,30.095,30.358,139593,0
20050307,30.495,30.855,30.358,30.835,237000,0
20050308,30.737,30.982,30.688,30.982,273440,0
20050309,30.884,31.166,30.698,31.098,315214,0
20050310,31.05,31.186,30.806,30.835,229816,0
20050311,30.835,30.933,30.64,30.64,273542,0
20050314,30.688,31.206,30.593,30.767,174801,0
20050315,30.835,30.855,30.688,30.806,131791,0
20050316,30.816,30.884,30.64,30.718,205901,0
20050317,30.718,30.776,30.202,30.417,287606,0
20050318,30.417,30.514,30.066,30.25,197179,0
20050321,30.241,30.485,29.958,30.105,188142,0
20050322,30.202,30.202,29.716,29.745,270255,0
20050323,29.745,29.755,29.373,29.412,187834,0
20050324,29.393,29.52,29.1,29.256,168028,0
20050328,29.266,29.52,29.256,29.442,102538,0
20050329,29.569,29.657,29.324,29.588,105415,0
20050330,29.598,29.667,29.354,29.412,188142,0
20050331,29.315,29.324,28.545,28.936,769510,0
20050401,28.936,28.975,28.049,28.157,627966,0
20050404,28.177,28.33,27.913,28.254,416421,0
20050405,28.254,28.35,28.186,28.196,325479,0
20050406,28.244,28.399,28.177,28.35,165870,0
20050407,28.35,28.496,28.301,28.389,93712,0
20050408,28.301,28.33,28.02,28.118,56557,0
20050411,28.157,28.35,28.079,28.079,150577,0
20050412,28.108,28.545,28.04,28.32,176544,0
20050413,28.399,28.643,28.234,28.282,161354,0
20050414,28.301,28.379,27.971,27.971,174388,0
20050415,27.981,28.108,27.727,27.727,106234,0
20050418,27.815,27.952,27.629,27.766,164639,0
20050419,27.864,27.874,27.435,27.57,286988,0
20050420,27.659,27.659,26.928,27.163,480263,0
20050421,27.163,27.173,26.781,26.84,1263733,0
20050422,26.84,27.075,26.704,26.791,504899,0
20050425,26.821,26.84,26.617,26.694,372285,0
20050426,26.684,26.694,26.208,26.286,307309,0
20050427,26.286,26.374,25.75,25.886,3157899,0
