Date,Open,High,Low,Close,Volume,OpenInt
20050225,8.8891,8.9132,8.8778,8.8826,330807,0
20050228,8.8778,8.8891,8.8482,8.8603,479566,0
20050301,8.9011,8.9309,8.8715,8.9066,410709,0
20050302,8.9244,8.9535,8.9066,8.9132,387243,0
20050303,8.9535,8.9764,8.9309,8.9414,320457,0
20050304,8.9706,8.9979,8.9469,8.9706,400528,0
20050307,8.9764,8.9924,8.9535,8.9535,340988,0
20050308,8.9365,8.9979,8.9365,8.9651,438491,0
20050309,8.8715,8.9011,8.7674,8.7674,653518,0
20050310,8.762,8.7972,8.7208,8.7208,309589,0
20050311,8.7151,8.75,8.7045,8.7271,407608,0
20050314,8.7088,8.7271,8.6452,8.6452,602784,0
20050315,8.6634,8.6691,8.5298,8.5711,577583,0
20050316,8.5414,8.5765,8.4315,8.5069,729099,0
20050317,8.5477,8.5765,8.4953,8.5711,508734,0
20050318,8.5414,8.5477,8.4315,8.4375,576380,0
20050321,8.4199,8.426,8.2345,8.2635,868877,0
20050322,8.2576,8.3213,8.1244,8.1997,824008,0
20050323,8.0375,8.1127,7.904,8.0028,1396939,0
20050324,8.0028,8.2168,7.9911,8.1533,688892,0
20050328,7.9969,8.0491,7.904,7.9156,2123966,0
20050329,7.904,8.0201,7.8984,8.0028,886310,0
20050330,8.0082,8.1358,7.9852,8.1244,530645,0
20050331,8.0721,8.1649,8.0721,8.1244,362393,0
20050401,8.1939,8.246,8.142,8.1593,555149,0
20050404,8.142,8.2635,8.1358,8.1821,740484,0
20050405,8.2345,8.246,8.1821,8.2056,332019,0
20050406,8.2285,8.3387,8.2285,8.333,432113,0
20050407,8.3213,8.333,8.2693,8.2923,321324,0
20050408,8.3158,8.3562,8.2923,8.3503,297503,0
20050411,8.3213,8.3503,8.1997,8.2111,396910,0
20050412,8.1649,8.3213,8.142,8.3158,349451,0
20050413,8.2693,8.2923,8.1187,8.1939,390173,0
20050414,8.2111,8.2111,8.0375,8.101,507350,0
20050415,8.1127,8.1304,7.9911,8.0432,441600,0
20050418,8.0375,8.101,8.0375,8.0721,371022,0
20050419,8.0895,8.2056,8.0895,8.1765,377578,0
20050420,8.1765,8.3158,8.1765,8.2635,349964,0
20050421,8.2923,8.2923,8.2285,8.2635,310107,0
20050422,8.246,8.3679,8.2285,8.362,445914,0
20050425,8.3735,8.3735,8.2809,8.2983,420721,0
20050426,8.2983,8.3503,8.2809,8.3387,344444,0
20050427,8.3387,8.4026,8.3271,8.3792,320978,0
20050428,8.3792,8.4141,8.3158,8.3735,312173,0
20050429,8.3735,8.3851,8.3503,8.362,247459,0
20050502,8.3735,8.3735,8.3158,8.3213,218817,0
20050503,8.3213,8.3969,8.3158,8.3503,267656,0
20050504,8.3446,8.426,8.3213,8.426,412955,0
20050505,8.4199,8.4719,8.3735,8.4199,405708,0
20050506,8.3851,8.4544,8.3679,8.4489,340647,0
20050509,8.4489,8.4544,8.426,8.443,284563,0
20050510,8.4315,8.4489,8.4026,8.4315,358598,0
20050511,8.3213,8.4141,8.3213,8.3851,273695,0
20050512,8.3851,8.4544,8.3735,8.4544,258158,0
20050513,8.4544,8.4719,8.4026,8.4141,228822,0
20050516,8.4664,8.4664,8.3735,8.4199,351176,0
20050517,8.4199,8.5298,8.4026,8.4084,476810,0
20050518,8.4315,8.5242,8.4199,8.478,427452,0
20050519,8.4895,8.5818,8.4315,8.4375,473006,0
20050520,8.4375,8.5185,8.4375,8.5069,201903,0
20050523,8.5298,8.5298,8.478,8.4835,346350,0
20050524,8.4953,8.5185,8.4605,8.5185,438491,0
20050525,8.5069,8.5884,8.478,8.5069,417612,0
20050526,8.5298,8.6119,8.5125,8.6054,313387,0
20050527,8.5884,8.6282,8.5884,8.6164,284736,0
20050531,8.6691,8.7916,8.6517,8.7853,329429,0
20050601,8.8666,8.8666,8.762,8.7796,474736,0
20050602,8.8036,8.837,8.7972,8.8036,284217,0
20050603,8.8666,8.959,8.8425,8.9244,505965,0
20050606,8.9132,8.9414,8.8715,8.9011,292674,0
20050607,8.959,9.0217,8.9244,8.9651,431245,0
20050608,8.8826,8.9469,8.8137,8.9066,424338,0
20050609,8.9066,8.9066,8.8193,8.837,319939,0
20050610,8.8036,8.837,8.762,8.7742,250226,0
