Date,Open,High,Low,Close,Volume,OpenInt
20050225,15.985,16.153,15.985,16.144,11863,0
20050228,16.251,16.277,16.162,16.224,12768,0
20050301,16.357,16.579,16.357,16.579,12540,0
20050302,16.595,16.685,16.489,16.498,15366,0
20050303,16.719,16.924,16.719,16.861,8248,0
20050304,16.994,17.171,16.994,17.1,34910,0
20050307,17.1,17.18,16.985,17.083,13669,0
20050308,17.304,17.357,17.242,17.348,63835,0
20050309,17.189,17.198,17.092,17.154,28019,0
20050310,17.163,17.198,17.047,17.171,12881,0
20050311,17.259,17.322,17.216,17.268,17626,0
20050314,17.039,17.1,16.976,17.1,15704,0
20050315,17.216,17.259,17.074,17.127,15930,0
20050316,16.818,16.818,16.552,16.685,152184,0
20050317,16.543,16.694,16.534,16.595,93774,0
20050318,16.48,16.48,16.339,16.375,7457,0
20050321,16.464,16.464,16.162,16.304,24176,0
20050322,16.259,16.331,16.083,16.091,17737,0
20050323,15.87,15.959,15.826,15.915,21917,0
20050324,16.764,16.87,16.64,16.703,28019,0
20050328,16.773,16.773,16.676,16.676,4067,0
20050329,16.728,16.906,16.703,16.711,55358,0
20050330,16.941,17.074,16.906,16.985,33668,0
20050331,17.021,17.083,16.906,17.039,14348,0
20050401,17.127,17.224,16.941,17.021,40899,0
20050404,16.782,16.818,16.64,16.809,48017,0
20050405,16.791,16.906,16.791,16.906,19093,0
20050406,16.728,16.87,16.728,16.826,50276,0
20050407,16.826,16.968,16.818,16.888,24403,0
20050408,16.906,17.163,16.879,17.012,59426,0
20050411,17.455,17.543,17.366,17.481,54682,0
20050412,17.295,17.295,16.994,17.277,37057,0
20050413,17.277,17.277,17.074,17.083,18981,0
20050414,17.189,17.304,17.171,17.171,22934,0
20050415,17.03,17.074,16.818,16.818,16270,0
20050418,16.835,16.861,16.703,16.764,34798,0
20050419,16.994,17.163,16.994,17.118,102923,0
20050420,16.676,16.906,16.489,16.489,146760,0
20050421,16.498,16.631,16.365,16.552,43611,0
20050422,16.534,16.534,16.331,16.365,9716,0
20050425,16.455,16.507,16.365,16.472,13332,0
20050426,16.339,16.357,16.259,16.268,22032,0
20050427,16.304,16.331,16.224,16.331,9490,0
20050428,16.091,16.127,15.967,15.985,19093,0
20050429,16.109,16.171,15.967,16.065,20450,0
20050502,16.065,16.118,16.056,16.1,4067,0
20050503,16.021,16.03,15.915,15.95,30505,0
20050504,16.021,16.304,16.021,16.286,21240,0
20050505,16.464,16.525,16.375,16.464,34798,0
20050506,16.525,16.552,16.339,16.339,13104,0
20050509,16.1,16.233,16.083,16.153,10280,0
20050510,15.976,15.976,15.791,15.817,26775,0
20050511,15.843,15.843,15.71,15.8,20563,0
20050512,15.888,15.897,15.728,15.764,10169,0
20050513,15.694,15.703,15.57,15.622,18416,0
20050516,15.48,15.622,15.428,15.561,12427,0
20050517,15.561,15.667,15.472,15.658,28583,0
20050518,15.71,16.118,15.631,16.109,29939,0
20050519,16.233,16.277,16.171,16.251,46095,0
20050520,16.259,16.259,16.065,16.242,90383,0
20050523,16.242,16.322,16.153,16.322,60556,0
20050524,16.339,16.339,16.1,16.224,28583,0
20050525,16.215,16.215,16.118,16.198,10054,0
20050526,16.03,16.18,15.95,16.18,14575,0
20050527,16.118,16.144,16.065,16.144,25194,0
20050531,16.047,16.047,15.941,15.959,20676,0
20050601,15.719,16.003,15.719,15.923,29826,0
20050602,15.843,15.915,15.719,15.852,17060,0
20050603,15.71,15.71,15.561,15.684,8248,0
20050606,15.71,15.773,15.658,15.773,9038,0
20050607,15.923,16.162,15.923,16.091,15592,0
20050608,16.189,16.224,15.843,15.959,19433,0
20050609,15.879,15.994,15.782,15.994,22597,0
20050610,16.065,16.065,15.843,15.87,4857,0
20050613,15.728,15.8,15.622,15.694,8134,0
20050614,15.694,15.906,15.694,15.8,8587,0
20050615,15.888,16.003,15.826,15.941,9264,0
20050616,16.047,16.047,15.879,15.932,8698,0
20050617,16.1,16.259,16.091,16.136,18190,0
20050620,16.003,16.074,15.915,16.021,4745,0
20050621,16.021,16.277,16.021,16.198,11748,0
20050622,16.295,16.357,16.277,16.286,7681,0
20050623,16.277,16.331,16.144,16.144,9378,0
20050624,16.109,16.18,15.985,15.985,5875,0
20050627,15.932,15.976,15.888,15.95,18416,0
20050628,15.923,15.985,15.87,15.976,99310,0
20050629,16.03,16.047,15.897,15.959,17626,0
20050630,16.003,16.1,15.897,15.897,14462,0
20050701,15.817,15.843,15.737,15.843,14798,0
20050705,15.773,16.056,15.773,15.888,19093,0
20050706,16.1,16.153,16.091,16.109,13104,0
20050707,15.516,15.852,15.428,15.764,178509,0
20050708,15.932,16.153,15.906,16.091,10394,0
20050711,16.331,16.685,16.331,16.64,18416,0
20050712,16.588,16.809,16.57,16.791,6666,0
20050713,16.588,16.64,16.464,16.595,20902,0
20050714,16.604,16.728,16.579,16.613,18755,0
20050715,16.437,16.552,16.383,16.489,14236,0
20050718,16.375,16.428,16.295,16.348,22934,0
20050719,16.189,16.401,16.144,16.259,15027,0
20050720,16.286,16.57,16.215,16.57,13445,0
20050721,16.507,16.719,16.455,16.658,43611,0
20050722,16.419,16.437,16.286,16.437,13219,0
20050725,16.242,16.401,16.242,16.304,19320,0
20050726,16.322,16.437,16.242,16.428,15930,0
20050727,16.764,16.994,16.711,16.826,37961,0
20050728,16.968,17.127,16.835,17.083,9604,0
20050729,16.879,16.924,16.826,16.879,13785,0
20050801,17.039,17.118,16.994,17.118,4632,0
20050802,17.127,17.304,17.127,17.277,11863,0
