Date,Open,High,Low,Close,Volume,OpenInt
20090930,8.1573,8.6858,7.9732,8.4498,7908401,0
20091001,8.4026,8.8697,8.3601,8.5112,1027903,0
20091002,8.2846,8.5112,8.2374,8.3271,603255,0
20091005,8.2846,8.4309,8.1714,8.379,293595,0
20091006,8.3742,8.6621,8.3742,8.6526,284617,0
20091007,8.8177,8.8177,8.4732,8.5866,318984,0
20091008,8.5017,8.8083,8.5017,8.747,281708,0
20091009,8.5064,8.8414,8.5064,8.8414,197993,0
20091012,8.9168,9.0961,8.8509,9.0536,239955,0
20091013,8.7989,9.1999,8.7989,9.0442,212611,0
20091014,9.1999,9.417,9.1055,9.1527,223128,0
20091015,9.1244,9.3178,9.0442,9.0725,141695,0
20091016,9.0819,9.1009,8.9216,8.9216,133953,0
20091019,9.0254,9.0254,8.728,8.7612,266546,0
20091020,8.7092,8.9545,8.7046,8.8838,192183,0
20091021,8.7092,9.0442,8.7092,8.8744,144408,0
20091022,8.9309,8.9309,8.6338,8.7329,204672,0
20091023,8.747,8.747,8.4922,8.5772,280532,0
20091026,8.5772,8.8131,8.3082,8.3129,289995,0
20091027,8.2846,8.9404,8.2846,8.3742,265161,0
20091028,8.3978,8.4309,7.9921,8.0581,303008,0
20091029,8.0252,8.2658,7.9167,8.2658,164702,0
20091030,8.1242,8.4639,7.8364,8.0817,265890,0
20091102,8.1242,8.4355,8.0015,8.0771,170606,0
20091103,7.8507,7.9874,7.8317,7.9874,103006,0
20091104,7.9119,8.1148,7.9119,8.0535,140990,0
20091105,8.0015,8.2422,7.9969,8.1997,138725,0
20091106,8.0865,8.228,8.0676,8.2091,109589,0
20091109,8.261,8.3224,8.1714,8.2799,135810,0
20091110,8.2564,8.2564,8.1525,8.2374,97381,0
20091111,8.3224,8.3224,8.1289,8.228,478463,0
20091112,8.3507,8.3507,7.9969,8.0299,284273,0
20091113,8.1478,8.1478,7.9496,8.0015,123998,0
20091116,8.1289,8.1573,7.8081,7.8176,381062,0
20091117,7.8413,8.0204,7.7987,8.0015,212094,0
20091118,7.9732,8.162,7.9639,8.1384,233454,0
20091119,8.195,8.195,7.978,8.0393,402390,0
20091120,8.0912,8.0912,8.0204,8.0676,203027,0
20091123,8.1478,8.3742,7.9732,8.0063,211370,0
20091124,8.0015,8.1148,7.9261,8.1006,137149,0
20091125,8.0299,8.261,7.6902,8.2374,216011,0
20091127,7.761,8.1195,7.6148,8.0771,224918,0
20091130,8.1667,8.1667,7.8554,7.9072,253924,0
20091201,8.0158,8.1054,7.9544,8.1054,256729,0
20091202,8.0252,8.2374,8.0252,8.1478,264082,0
20091203,8.2564,8.2941,8.1195,8.1714,277144,0
20091204,8.261,8.3507,8.0676,8.1573,243620,0
20091207,8.1809,8.1809,8.0204,8.0299,81022,0
20091208,7.9072,8.1054,7.9072,8.0204,109803,0
20091209,7.9685,8.0487,7.9261,7.9261,112323,0
20091210,8.11,8.1148,7.7704,7.7704,116749,0
20091211,7.8034,7.9167,7.6807,7.7373,113084,0
20091214,7.775,7.9826,7.775,7.9308,168693,0
20091215,8.0109,8.0109,7.7516,7.7516,155493,0
20091216,7.8034,7.8507,7.6667,7.6761,137112,0
20091217,7.6667,7.6761,7.5911,7.6053,123994,0
20091218,7.6005,7.6005,7.3883,7.4825,197126,0
20091221,7.5393,7.5393,7.2986,7.3316,123333,0
20091222,7.3505,7.5816,7.2938,7.5816,139838,0
20091223,7.5959,7.6902,7.4637,7.4968,107415,0
20091224,7.4354,7.6005,7.4354,7.5534,40635,0
20091228,7.577,7.6713,7.4779,7.5062,107969,0
20091229,7.4779,7.5722,7.459,7.5062,95231,0
20091230,7.4071,7.5487,7.4071,7.4307,130995,0
20091231,7.4402,7.4402,7.3647,7.3741,99725,0
20100104,7.4165,7.7939,7.4165,7.7704,235306,0
20100105,7.9969,8.0063,7.8741,8.0015,204699,0
20100106,7.9025,8.1006,7.8978,7.9639,123960,0
20100107,7.9732,8.0299,7.7845,7.978,133063,0
20100108,8.0299,8.0299,7.8413,7.8741,100756,0
20100111,7.9969,8.0109,7.8741,7.8835,115524,0
20100112,7.9025,8.0912,7.7845,7.8554,240558,0
20100113,7.8554,7.9402,7.7704,7.8554,65430,0
20100114,7.8413,8.0158,7.827,7.9921,206978,0
20100115,8.044,8.0629,7.9025,7.9685,138704,0
20100119,7.9449,8.2422,7.9449,8.1148,154874,0
20100120,7.879,8.1054,7.8034,8.0912,186289,0
20100121,8.1054,8.1054,7.8507,8.0204,246131,0
20100122,7.9308,7.9921,7.8317,7.9921,263949,0
20100125,7.9921,7.9921,7.8413,7.9732,219254,0
20100126,7.9025,8.0063,7.7845,7.9639,231535,0
20100127,8.0299,8.0299,7.8554,8.0204,248052,0
20100128,8.1148,8.1148,7.8081,7.9544,157403,0
20100129,8.0204,8.0393,7.8364,8.0393,281881,0
20100201,8.0346,8.0393,7.9308,8.0204,156236,0
20100202,8.11,8.11,7.978,8.0299,101021,0
20100203,8.0204,8.0204,7.8364,8.0158,129937,0
20100204,7.9308,8.0676,7.7704,8.0109,326065,0
20100205,8.0015,8.0723,7.8601,8.0629,421167,0
20100208,8.0535,8.0535,7.8364,7.9072,245295,0
20100209,8.0063,8.0063,7.9072,7.9874,214617,0
20100210,8.0393,8.1054,7.8507,8.0204,379928,0
20100211,8.0771,8.2091,8.0204,8.2091,330169,0
20100212,8.1006,8.1384,8.0723,8.1195,90453,0
