Date,Open,High,Low,Close,Volume,OpenInt
20100823,53.89,54.31,53.71,53.9,1090431,0
20100824,53,53.37,52.5,53.17,2123402,0
20100825,52.53,53.36,52.23,53.26,1678286,0
20100826,53.17,53.66,52.8,52.94,1459846,0
20100827,53.78,54.37,52.89,54.23,1767338,0
20100830,53.34,53.74,53.09,53.09,1309604,0
20100831,52.94,53.52,52.71,53.05,2414896,0
20100901,54.54,55.22,54.41,55.03,1622963,0
20100902,54.96,55.44,54.91,55.44,884533,0
20100903,56.26,56.52,55.94,56.28,824944,0
20100907,55.41,55.56,54.97,55.24,1475665,0
20100908,55.8,56.5,55.75,56.22,1399374,0
20100909,56.37,56.58,55.93,56.21,1534141,0
20100910,56.6,56.88,56.47,56.66,1190426,0
20100913,57.61,57.64,57.12,57.33,1477936,0
20100914,57.42,58.19,57.2,57.83,1539001,0
20100915,57.86,58.4,57.63,58.34,2230475,0
20100916,58.79,58.91,58.52,58.78,1793760,0
20100917,59.01,59.25,58.12,58.24,1478008,0
20100920,58.89,59.62,58.7,59.39,1507340,0
20100921,59.58,59.99,58.75,59.51,1624197,0
20100922,59.41,59.78,59.04,59.14,1410159,0
20100923,58.67,59.59,58.53,58.95,1348604,0
20100924,60.03,60.6,59.95,60.3,1566116,0
20100927,60.81,60.81,60.23,60.31,2195691,0
20100928,60.17,60.68,59.59,60.54,1698147,0
20100929,60.27,60.73,60.07,60.53,1901384,0
20100930,61.28,61.58,60.18,60.3,2754473,0
20101001,61.62,61.88,61.26,61.78,2518624,0
20101004,61,61.24,60.46,60.83,1635445,0
20101005,61.54,62.32,61.34,62.31,3881300,0
20101006,62.47,62.85,62.42,62.54,2453356,0
20101007,63.17,63.17,62.36,62.7,2558311,0
20101008,62.56,62.97,62.39,62.89,1349485,0
20101011,62.77,63.02,62.65,62.87,1164672,0
20101012,61.9,62.76,61.6,62.61,2030119,0
20101013,63.25,63.5,63.15,63.22,1707652,0
20101014,63.61,63.95,63.29,63.65,2078380,0
20101015,64.06,64.1,63.25,63.53,1858273,0
20101018,63.6,64.26,63.37,64.16,1726704,0
20101019,62.43,62.99,61.77,62.26,2308338,0
20101020,62.4,63.35,62.36,63,2191481,0
20101021,63.08,63.5,62.18,62.47,2020074,0
20101022,62.84,63.06,62.64,62.87,1494003,0
20101025,63.34,63.48,62.77,62.83,3782990,0
20101026,62.95,63.49,62.83,63.41,3572856,0
20101027,62.79,62.96,62.3,62.75,2452579,0
20101028,63.28,63.9,63.23,63.79,2889475,0
20101029,64.41,65.07,64.34,64.93,2188201,0
20101101,65.34,65.89,65.21,65.5,2898306,0
20101102,67.16,67.49,67.07,67.35,3328445,0
20101103,66.59,67.27,66.12,67.19,2526520,0
20101104,68.07,68.55,67.84,68.29,2032792,0
20101105,67.83,68.32,67.39,67.91,2051674,0
20101108,66.69,67.12,66.49,66.87,1578404,0
20101109,66.6,66.88,65.4,65.63,2211825,0
20101110,65.7,66.2,64.96,66.1,2221061,0
20101111,65.82,66.45,65.59,66.34,1588637,0
20101112,66,66.38,65.37,65.85,1340552,0
20101115,66.11,66.16,65.45,65.45,1020505,0
20101116,64.74,64.76,63.56,64.04,2244436,0
20101117,64.04,64.57,64.01,64.32,1892263,0
