Date,Open,High,Low,Close,Volume,OpenInt
20121106,21.779,21.797,21.727,21.727,570509,0
20121107,21.753,21.762,21.613,21.657,784405,0
20121108,21.701,21.779,21.648,21.735,1006089,0
20121109,21.735,21.735,21.657,21.691,255084,0
20121112,21.735,21.744,21.674,21.735,148322,0
20121113,21.735,21.735,21.613,21.701,727247,0
20121114,21.701,21.71,21.552,21.569,288589,0
20121115,21.613,21.639,21.227,21.639,428956,0
20121116,21.613,21.789,21.569,21.735,195374,0
20121119,21.735,21.789,21.701,21.744,659358,0
20121120,21.63,21.876,21.63,21.805,618451,0
20121121,21.823,21.866,21.691,21.866,132839,0
20121123,21.866,21.885,21.833,21.866,42508,0
20121126,21.85,21.866,21.744,21.805,649037,0
20121127,21.833,21.903,21.735,21.885,442198,0
20121128,21.876,21.876,21.762,21.805,189401,0
20121129,21.744,21.762,21.621,21.639,147628,0
20121130,21.682,21.753,21.648,21.718,170137,0
20121203,21.771,21.771,21.666,21.744,116397,0
20121204,21.744,21.779,21.71,21.727,182814,0
20121205,21.744,21.789,21.701,21.789,112428,0
20121206,21.789,21.833,21.718,21.833,189963,0
20121207,21.762,21.797,21.71,21.71,107785,0
20121210,21.744,21.753,21.666,21.701,104483,0
20121211,21.727,21.744,21.648,21.657,250374,0
20121212,21.674,21.682,21.587,21.666,202967,0
20121213,21.63,21.682,21.559,21.559,163309,0
20121214,21.559,21.63,21.507,21.569,193220,0
20121217,21.569,21.604,21.526,21.569,121314,0
20121218,21.578,21.691,21.569,21.674,91955,0
20121219,21.657,21.735,21.621,21.701,139496,0
20121220,21.718,21.779,21.657,21.779,129130,0
20121221,21.71,21.823,21.71,21.805,96696,0
20121224,21.753,21.814,21.71,21.71,55027,0
20121226,21.657,21.735,21.657,21.682,135022,0
20121227,21.674,21.727,21.657,21.682,120987,0
20121228,21.648,21.691,21.569,21.621,132279,0
20121231,21.674,21.701,21.595,21.691,67295,0
20130102,21.744,21.841,21.744,21.833,169816,0
20130103,21.841,21.998,21.833,21.972,293575,0
20130104,21.965,22.069,21.928,22.051,345178,0
20130107,22.051,22.078,22.026,22.042,445294,0
20130108,22.042,22.149,22.033,22.149,316446,0
20130109,22.156,22.235,22.112,22.235,280182,0
20130110,22.209,22.385,22.209,22.385,394808,0
20130111,22.357,22.612,22.357,22.464,352954,0
20130114,22.455,22.472,22.314,22.357,282912,0
20130115,22.341,22.357,22.27,22.357,229132,0
20130116,22.305,22.349,22.244,22.314,342977,0
20130117,22.349,22.349,22.227,22.262,291961,0
20130118,22.288,22.349,22.14,22.183,703412,0
20130122,22.121,22.121,21.92,22.051,218581,0
20130123,22.06,22.078,21.981,21.981,126598,0
20130124,21.998,22.033,21.981,21.981,199312,0
20130125,21.989,21.998,21.894,21.894,132865,0
20130128,21.946,21.981,21.876,21.876,146841,0
20130129,21.885,21.955,21.841,21.841,117014,0
20130130,21.858,21.876,21.789,21.797,86642,0
20130131,21.894,21.92,21.814,21.814,209406,0
20130201,21.965,22.078,21.858,21.946,65348,0
20130204,22.069,22.173,21.937,21.937,55302,0
20130205,21.937,21.989,21.928,21.981,90689,0
20130206,22.017,22.165,22.008,22.14,42142,0
20130207,22.156,22.209,22.095,22.209,76350,0
20130208,22.165,22.341,22.121,22.288,121946,0
20130211,22.253,22.253,22.095,22.183,71200,0
20130212,22.192,22.227,22.087,22.112,123759,0
20130213,22.112,22.183,22.078,22.156,94241,0
20130214,22.173,22.227,22.13,22.14,102834,0
20130215,22.209,22.253,22.121,22.192,70982,0
20130219,22.235,22.262,22.078,22.121,79952,0
20130220,22.13,22.217,22.121,22.183,50185,0
20130221,22.262,22.262,22.149,22.201,159321,0
20130222,22.209,22.349,22.156,22.332,101216,0
20130225,22.27,22.332,22.173,22.173,198457,0
20130226,22.27,22.28,22.149,22.235,114899,0
20130227,22.268,22.347,22.24,22.276,340020,0
20130228,22.293,22.347,22.24,22.259,227486,0
20130301,22.321,22.392,22.276,22.392,99038,0
20130304,22.392,22.658,22.365,22.561,491916,0
20130305,22.543,22.695,22.464,22.464,181708,0
20130306,22.472,22.668,22.472,22.668,143290,0
20130307,22.658,22.658,22.507,22.579,239473,0
20130308,22.579,22.632,22.499,22.57,94725,0
20130311,22.552,22.561,22.418,22.499,58755,0
20130312,22.464,22.526,22.427,22.517,154386,0
20130313,22.517,22.651,22.49,22.543,63074,0
20130314,22.57,22.588,22.472,22.49,72217,0
20130315,22.543,22.561,22.454,22.543,127944,0
20130318,22.624,22.624,22.507,22.543,43266,0
20130319,22.526,22.543,22.437,22.507,48921,0
20130320,22.49,22.588,22.472,22.579,111250,0
20130321,22.596,22.614,22.464,22.464,64768,0
20130322,22.507,22.561,22.48,22.526,123829,0
20130325,22.526,22.543,22.464,22.533,47749,0
20130326,22.543,22.642,22.507,22.588,85042,0
20130327,22.543,22.668,22.543,22.632,84430,0
20130328,22.668,22.792,22.651,22.748,59242,0
20130401,22.783,22.783,22.605,22.658,52433,0
20130402,22.668,22.695,22.552,22.561,66727,0
20130403,22.596,22.632,22.543,22.596,58132,0
20130404,22.561,22.632,22.561,22.632,29471,0
20130405,22.632,22.651,22.552,22.642,41236,0
20130408,22.632,22.685,22.614,22.642,43820,0
20130409,22.651,22.713,22.614,22.614,35637,0
20130410,22.695,22.695,22.605,22.632,106274,0
20130411,22.624,22.685,22.624,22.658,44888,0
20130412,22.642,22.695,22.614,22.677,36810,0
20130415,22.704,22.704,22.624,22.632,68746,0
20130416,22.685,22.776,22.632,22.73,66461,0
20130417,22.776,22.802,22.73,22.748,46366,0
20130418,22.829,22.855,22.713,22.846,52672,0
20130419,22.855,22.935,22.668,22.713,102123,0
20130422,22.766,22.802,22.713,22.721,51764,0
20130423,22.721,22.971,22.685,22.713,126825,0
20130424,22.766,22.766,22.668,22.73,108407,0
20130425,22.766,22.766,22.668,22.704,182875,0
20130426,22.721,22.766,22.651,22.757,225253,0
20130429,22.757,22.838,22.677,22.695,208630,0
20130430,22.721,22.864,22.704,22.864,119465,0
20130501,22.864,22.988,22.776,22.9,235006,0
20130502,22.9,22.962,22.838,22.917,196949,0
20130503,22.935,22.988,22.864,22.988,113436,0
20130506,22.944,23.166,22.935,23.104,171096,0
20130507,23.159,23.337,23.069,23.319,67845,0
20130508,23.319,23.523,23.228,23.47,75080,0
