Date,Open,High,Low,Close,Volume,OpenInt
20110810,18.565,19.685,18.154,19.211,655512,0
20110811,18.864,19.748,18.864,19.275,601346,0
20110812,19.732,20.396,19.109,19.22,560898,0
20110815,19.677,19.677,19.337,19.566,309755,0
20110816,19.496,19.544,19.101,19.447,303131,0
20110817,19.447,19.496,19.172,19.259,390746,0
20110818,19.054,19.054,18.549,18.864,363178,0
20110819,18.587,18.944,18.257,18.304,392471,0
20110822,18.517,18.738,17.364,17.514,638442,0
20110823,17.586,18.107,17.435,18.044,400209,0
20110824,18.052,18.225,17.483,18.193,305656,0
20110825,18.09,18.32,17.845,18.115,277224,0
20110826,17.965,18.35,17.862,18.193,288057,0
20110829,18.447,18.738,18.185,18.62,267901,0
20110830,18.486,18.944,18.398,18.699,278352,0
20110831,18.829,18.919,18.733,18.846,313440,0
20110901,18.983,19.038,18.477,18.524,371687,0
20110902,18.354,18.395,18.129,18.29,472383,0
20110906,17.908,18.13,17.751,17.98,392561,0
20110907,18.185,18.185,18.016,18.153,286294,0
20110908,18.083,18.193,17.878,18.011,342137,0
20110909,17.815,17.917,17.658,17.76,280003,0
20110912,17.633,17.641,17.215,17.531,371339,0
20110913,17.531,17.531,17.223,17.364,200767,0
20110914,17.452,17.452,17.096,17.318,440664,0
20110915,17.412,17.507,17.207,17.499,579434,0
20110916,17.499,17.546,17.136,17.325,434252,0
20110919,17.081,17.696,16.993,17.658,338070,0
20110920,17.688,18.035,17.531,17.933,597582,0
20110921,18.005,18.21,17.862,18.02,441260,0
20110922,17.76,17.806,17.38,17.586,660301,0
20110923,17.586,17.672,17.089,17.231,399117,0
20110926,17.325,17.467,16.946,17.16,274988,0
20110927,17.452,17.79,17.396,17.672,245840,0
20110928,17.68,17.782,17.144,17.16,264011,0
20110929,17.364,17.602,17.026,17.562,405046,0
20110930,17.346,17.723,17.297,17.682,215545,0
20111003,17.68,17.68,16.962,17.009,457438,0
20111004,16.777,16.929,16.109,16.648,633577,0
20111005,16.673,17.074,16.496,16.922,305411,0
20111006,16.744,17.252,16.623,17.099,382164,0
20111007,16.378,16.401,15.945,16.008,8616229,0
20111010,16.229,16.434,16.11,16.434,1293337,0
20111011,16.331,16.52,16.314,16.504,1770281,0
20111012,16.497,16.536,16.378,16.472,977455,0
20111013,16.378,16.52,16.307,16.52,790577,0
20111014,16.544,16.575,16.414,16.575,883580,0
20111017,16.567,16.709,16.489,16.567,936039,0
20111018,16.638,16.811,16.481,16.811,972525,0
20111019,16.852,17.286,16.797,17.136,4550362,0
20111020,17.151,17.743,16.97,17.672,1037746,0
20111021,17.686,17.839,17.477,17.703,870618,0
20111024,17.68,17.989,17.569,17.696,768650,0
20111025,17.694,17.79,17.396,17.526,887952,0
20111026,17.694,17.96,17.558,17.928,793140,0
20111027,18.073,18.338,18.073,18.211,800638,0
20111028,18.073,18.492,17.889,18.492,448399,0
20111031,18.534,18.552,18.19,18.296,522700,0
20111101,17.839,18.274,17.759,18.049,481071,0
20111102,18.194,18.54,18.185,18.388,777075,0
20111103,18.395,18.508,17.855,18.114,682620,0
20111104,18.073,18.137,17.833,17.92,477248,0
20111107,17.846,18.032,17.711,17.967,694261,0
20111108,17.951,17.993,17.501,17.734,775242,0
20111109,17.59,18.008,17.389,17.549,570455,0
20111110,17.742,18.025,17.582,18.008,526732,0
20111111,18.032,18.049,17.936,18.049,485307,0
20111114,18.001,18.185,17.951,18.12,538338,0
20111115,18.177,18.194,18.032,18.114,340210,0
20111116,18.064,18.267,18.041,18.114,356808,0
20111117,18.218,18.427,18.032,18.241,448602,0
20111118,18.17,18.41,18.105,18.332,360216,0
20111121,18.241,18.395,18.001,18.29,364864,0
20111122,18.314,18.516,18.058,18.388,430064,0
20111123,18.185,18.475,17.928,18.298,341042,0
20111125,18.323,18.483,17.993,18.105,106888,0
20111128,18.403,18.829,18.114,18.298,644418,0
20111129,18.395,18.516,18.194,18.41,347850,0
20111130,18.588,18.764,18.338,18.521,736865,0
20111201,18.557,19.361,18.557,19.336,743590,0
20111202,19.353,19.61,19.16,19.232,534612,0
20111205,19.28,19.409,18.935,18.982,402260,0
20111206,18.928,19.059,18.616,19.059,464540,0
20111207,19.063,19.401,18.919,19.256,603581,0
20111208,19.192,19.232,18.693,18.878,407271,0
20111209,18.878,18.991,18.717,18.829,643287,0
20111212,18.805,18.837,18.516,18.822,269186,0
20111213,18.902,19.256,18.7,18.991,448677,0
20111214,18.757,18.935,18.444,18.564,497286,0
20111215,18.677,18.886,18.629,18.805,351806,0
20111216,18.902,19.554,18.724,19.474,1165674,0
20111219,18.403,19.634,18.403,19.32,467667,0
20111220,19.441,19.716,19.063,19.554,631444,0
20111221,19.554,19.691,19.449,19.578,408097,0
20111222,19.505,19.675,19.329,19.426,260278,0
20111223,19.426,19.722,19.376,19.722,281721,0
20111227,19.722,20.125,19.708,20.029,242821,0
20111228,20.069,20.086,19.796,19.885,433076,0
20111229,19.941,20.086,19.722,19.82,547856,0
20111230,19.766,20.016,19.723,20.016,391929,0
