Date,Open,High,Low,Close,Volume,OpenInt
20140625,23.451,23.536,23.433,23.536,92584,0
20140626,23.536,23.575,23.489,23.528,103582,0
20140627,23.622,23.727,23.622,23.679,84184,0
20140630,23.717,23.785,23.689,23.727,102101,0
20140701,23.727,23.785,23.708,23.708,45895,0
20140702,23.727,23.765,23.661,23.737,37913,0
20140703,23.708,23.727,23.632,23.727,13987,0
20140707,23.823,23.842,23.765,23.794,140734,0
20140708,23.794,23.813,23.747,23.785,35871,0
20140709,23.775,23.823,23.765,23.823,66871,0
20140710,23.775,23.803,23.765,23.785,63884,0
20140711,23.775,23.813,23.756,23.785,74303,0
20140714,23.813,23.823,23.747,23.775,44886,0
20140715,23.775,23.775,23.689,23.717,10351,0
20140716,23.727,23.803,23.699,23.727,86090,0
20140717,23.699,23.785,23.603,23.651,63790,0
20140718,23.679,23.699,23.498,23.536,290210,0
20140721,23.555,23.67,23.555,23.584,11466,0
20140722,23.584,23.641,23.555,23.584,69081,0
20140723,23.555,23.679,23.489,23.517,137322,0
20140724,23.546,23.546,23.374,23.431,69368,0
20140725,23.45,23.489,23.355,23.479,38001,0
20140728,23.441,23.498,23.384,23.384,125368,0
20140729,23.422,23.46,23.364,23.374,46203,0
20140730,23.393,23.422,23.345,23.345,20042,0
20140731,23.326,23.336,23.136,23.278,75232,0
20140801,23.26,23.269,23.106,23.26,24050,0
20140804,23.26,23.278,23.164,23.202,20255,0
20140805,23.26,23.26,23.116,23.126,23149,0
20140806,23.116,23.23,23.116,23.154,41478,0
20140807,23.23,23.278,23.221,23.278,15138,0
20140808,23.288,23.374,23.269,23.326,14749,0
20140811,23.374,23.403,23.355,23.384,17039,0
20140812,23.393,23.412,23.345,23.393,17841,0
20140813,23.422,23.479,23.393,23.479,20879,0
20140814,23.489,23.575,23.489,23.565,23834,0
20140815,23.527,23.565,23.278,23.431,25721,0
20140818,23.479,23.517,23.441,23.441,8703,0
20140819,23.479,23.489,23.393,23.431,11877,0
20140820,23.46,23.46,23.393,23.393,5627,0
20140821,23.403,23.45,23.403,23.412,13174,0
20140822,23.441,23.441,23.384,23.431,8500,0
20140825,23.46,23.469,23.393,23.441,8160,0
20140826,23.46,23.479,23.355,23.431,17203,0
20140827,23.431,23.469,23.412,23.46,66554,0
20140828,23.46,23.517,23.298,23.374,71854,0
20140829,23.393,23.441,23.364,23.403,24178,0
20140902,23.412,23.441,23.298,23.326,17822,0
20140903,23.326,23.374,23.307,23.345,14171,0
20140904,23.355,23.364,23.25,23.336,20069,0
20140905,23.298,23.345,23.278,23.298,18980,0
20140908,23.345,23.393,23.221,23.307,34785,0
20140909,23.298,23.307,23.24,23.298,32513,0
20140910,23.298,23.374,23.25,23.278,13252,0
20140911,23.278,23.431,23.278,23.431,15253,0
20140912,23.441,23.441,23.25,23.298,38563,0
20140915,23.336,23.336,23.164,23.326,15525,0
20140916,23.26,23.26,23.097,23.164,63439,0
20140917,23.202,23.269,23.183,23.24,57914,0
20140918,23.269,23.326,23.25,23.298,10459,0
20140919,23.298,23.374,23.269,23.374,9427,0
20140922,23.393,23.422,23.345,23.345,11170,0
20140923,23.355,23.403,23.298,23.384,35180,0
20140924,23.393,23.403,23.23,23.25,17377,0
20140925,23.24,23.298,23.192,23.221,10211,0
20140926,23.192,23.269,23.192,23.212,9853,0
20140929,23.484,23.484,23.299,23.338,21715,0
20140930,23.338,23.455,23.299,23.377,16015,0
20141001,23.318,23.416,23.23,23.338,15747,0
20141002,23.338,23.367,23.26,23.328,101167,0
20141003,23.377,23.377,23.347,23.357,3724,0
20141006,23.416,23.416,23.347,23.357,16775,0
20141007,23.357,23.357,23.289,23.347,13393,0
20141008,23.338,23.406,23.279,23.279,16144,0
20141009,23.338,23.465,23.22,23.22,38366,0
20141010,23.289,23.318,23.152,23.22,10964,0
20141013,23.318,23.318,23.035,23.035,13341,0
20141014,23.24,23.299,23.015,23.094,25877,0
20141015,23.015,23.162,22.947,23.133,33672,0
20141016,23.133,23.279,23.035,23.191,12381,0
20141017,23.22,23.406,23.22,23.386,27266,0
20141020,23.523,23.523,23.386,23.484,17703,0
20141021,23.494,23.523,23.435,23.465,21206,0
20141022,23.435,23.523,23.416,23.523,16013,0
20141023,23.513,23.523,23.435,23.494,12143,0
20141024,23.494,23.523,23.24,23.426,43849,0
20141027,23.474,23.474,23.24,23.299,15622,0
20141028,23.299,23.338,23.26,23.26,15459,0
20141029,23.289,23.289,23.211,23.279,7607,0
20141030,23.308,23.367,23.094,23.172,69097,0
20141031,23.181,23.181,23.015,23.152,24773,0
20141103,23.201,23.201,23.064,23.113,40617,0
20141104,23.123,23.142,22.947,23.015,40112,0
20141105,23.045,23.084,22.908,22.957,41341,0
20141106,22.996,23.084,22.996,23.015,41587,0
20141107,23.113,23.26,23.094,23.26,46201,0
