Date,Open,High,Low,Close,Volume,OpenInt
20050225,35.954,36.62,35.939,36.575,258665,0
20050228,36.405,36.75,36.185,36.429,294591,0
20050301,36.49,37.232,36.467,37.126,244162,0
20050302,37.11,37.386,36.85,36.927,146448,0
20050303,36.98,37.041,35.863,36.023,387995,0
20050304,36.116,37.08,36.116,37.003,286492,0
20050307,36.957,37.126,36.054,36.137,296941,0
20050308,36.084,36.092,34.898,35.059,381726,0
20050309,35.059,35.059,33.107,34.049,698784,0
20050310,34.194,34.484,33.949,34.171,324639,0
20050311,34.171,34.171,33.345,33.39,347631,0
20050314,33.337,33.422,32.631,33.146,691208,0
20050315,33.366,34.033,32.984,33.13,436332,0
20050316,32.984,33.146,32.097,32.793,585261,0
20050317,32.984,33.052,32.648,32.831,219867,0
20050318,33.045,33.544,32.471,32.824,513802,0
20050321,32.824,33.077,32.594,32.793,379245,0
20050322,33.045,33.092,32.013,32.02,380420,0
20050323,32.02,32.594,31.574,32.533,796633,0
20050324,32.579,33.298,32.555,32.631,397926,0
20050328,32.786,33.098,32.533,32.793,342798,0
20050329,32.44,32.44,30.74,31.177,618310,0
20050330,31.4,32.947,31.4,32.947,454490,0
20050331,32.885,33.077,32.594,32.747,431238,0
20050401,33.175,33.374,32.097,32.287,371797,0
20050404,32.341,32.793,31.821,32.548,274993,0
20050405,32.663,32.908,32.349,32.586,153894,0
20050406,32.663,32.947,32.44,32.824,156113,0
20050407,32.809,32.847,32.533,32.709,394269,0
20050408,32.717,33.085,32.648,32.824,203273,0
20050411,33.114,33.114,32.533,32.678,215421,0
20050412,32.678,33.528,32.479,33.337,324375,0
20050413,33.305,33.589,33.085,33.244,369183,0
20050414,33.045,33.406,32.579,32.717,257490,0
20050415,32.778,33.207,32.242,32.518,528302,0
20050418,32.947,33.183,32.44,33.038,344887,0
20050419,33.13,33.429,32.586,32.763,220256,0
20050420,32.793,32.793,31.844,31.973,362782,0
20050421,32.119,33.007,32.05,32.631,484145,0
20050422,32.579,32.579,32.027,32.311,185767,0
20050425,32.28,32.816,32.25,32.41,228226,0
20050426,32.457,32.717,32.311,32.327,141874,0
20050427,32.365,32.625,31.951,32.486,341097,0
20050428,32.471,32.471,32.004,32.081,166826,0
20050429,32.081,32.242,31.506,32.066,233712,0
20050502,32.41,32.594,32.119,32.502,262453,0
20050503,32.502,32.717,32.119,32.165,183677,0
20050504,32.165,33.711,31.737,33.459,283748,0
20050505,33.65,34.154,33.528,34.003,259708,0
20050506,34.209,34.256,32.892,33.199,338613,0
20050509,33.429,33.881,33.098,33.459,271465,0
20050510,33.528,33.621,33.223,33.528,186683,0
20050511,33.528,33.842,33.045,33.765,150889,0
20050512,33.78,33.903,32.747,32.747,152193,0
20050513,32.87,33.154,32.189,32.327,133123,0
20050516,32.296,33.16,32.296,33.107,102945,0
20050517,33.207,33.459,32.854,33.414,137040,0
20050518,33.65,34.546,33.621,34.455,253832,0
20050519,34.807,34.807,34.455,34.5,189034,0
20050520,34.516,34.538,33.956,34.339,133380,0
20050523,34.325,34.707,34.14,34.6,116398,0
20050524,34.516,34.614,34.293,34.423,191645,0
20050525,34.293,34.293,33.215,33.36,194782,0
20050526,33.491,33.719,32.631,32.816,386818,0
20050527,32.763,33.183,32.631,33.183,273689,0
20050531,33.298,33.39,33.052,33.098,108299,0
20050601,33.337,33.903,33.215,33.65,187598,0
20050602,33.65,33.788,33.491,33.528,76163,0
20050603,33.642,34.133,33.251,33.298,152846,0
20050606,33.528,33.842,33.374,33.544,134425,0
20050607,33.605,34.056,33.552,33.559,288191,0
20050608,33.842,33.918,33.237,33.268,139131,0
20050609,33.337,33.751,33.237,33.751,154545,0
20050610,33.751,33.881,33.613,33.804,82824,0
20050613,33.751,34.033,33.719,34.003,142787,0
20050614,33.911,34.102,33.849,34.003,177669,0
20050615,34.041,34.187,33.918,34.11,299815,0
20050616,34.094,34.118,33.911,34.041,113393,0
20050617,34.041,34.094,33.918,34.041,181199,0
20050620,33.918,33.918,33.552,33.613,144747,0
20050621,34.072,34.072,33.552,33.589,99808,0
20050622,33.65,33.812,33.451,33.735,179366,0
20050623,33.78,33.881,33.459,33.497,119274,0
20050624,33.528,33.573,33.199,33.268,221824,0
20050627,33.268,33.39,33.007,33.207,122279,0
20050628,32.977,33.467,32.892,33.414,220780,0
20050629,33.39,33.459,32.947,32.947,109343,0
20050630,33,33.146,32.839,33.016,1579942,0
20050701,32.992,33.366,32.939,33.366,127112,0
20050705,33.237,33.589,33.061,33.528,129460,0
20050706,33.528,33.528,33.298,33.36,143441,0
20050707,33.228,33.635,32.885,33.483,109738,0
20050708,33.398,34.094,33.313,33.674,206931,0
20050711,33.804,34.256,33.682,34.148,231100,0
20050712,34.179,34.179,33.78,33.804,124500,0
20050713,33.735,33.751,33.366,33.621,149058,0
20050714,33.719,33.804,32.8,33.689,212287,0
20050715,33.589,33.666,33.292,33.443,93799,0
20050718,33.345,33.345,32.878,33.146,138736,0
20050719,33.298,34.003,33.228,33.926,159901,0
20050720,34.003,34.646,33.719,34.416,212680,0
20050721,34.293,34.293,33.65,33.765,166171,0
20050722,33.98,34.194,33.911,34.163,182764,0
20050725,34.049,34.24,33.788,34.018,138217,0
20050726,34.179,34.676,34.125,34.516,172835,0
20050727,34.516,34.569,34.125,34.455,134297,0
20050728,34.516,35.189,34.4,35.059,120970,0
20050729,34.937,35.158,34.585,34.738,164997,0
20050801,34.592,35.075,34.561,34.868,112220,0
20050802,34.868,35.274,34.868,35.173,94060,0
20050803,35.089,35.166,34.868,34.937,94714,0
20050804,34.937,34.959,34.546,34.553,172705,0
20050805,33.911,33.918,32.479,32.479,743071,0
20050808,32.479,32.479,31.712,31.836,432544,0
20050809,32.149,32.365,31.905,32.103,262453,0
