Date,Open,High,Low,Close,Volume,OpenInt
20120824,22.934,23.466,22.934,23.102,114467,0
20120827,23.102,23.209,22.951,23.111,66288,0
20120828,23.04,23.333,23.023,23.129,117816,0
20120829,23.209,23.556,23.129,23.29,102910,0
20120830,23.219,23.377,23.164,23.377,81983,0
20120831,23.333,23.903,23.333,23.849,201181,0
20120904,23.76,23.786,23.689,23.733,61060,0
20120905,23.751,23.778,23.689,23.77,44350,0
20120906,23.778,23.849,23.671,23.699,179538,0
20120907,23.84,23.84,23.733,23.822,10819,0
20120910,23.849,23.849,23.707,23.751,61356,0
20120911,23.822,23.822,23.689,23.778,352890,0
20120912,23.699,23.875,23.699,23.813,202460,0
20120913,23.858,23.911,23.689,23.778,281018,0
20120914,23.813,23.813,23.689,23.76,16721,0
20120917,23.778,23.778,23.59,23.644,34424,0
20120918,23.742,23.742,23.377,23.6,477246,0
20120919,23.6,23.6,23.369,23.423,49083,0
20120920,23.441,23.441,23.253,23.369,330974,0
20120921,23.404,23.404,23.271,23.271,79981,0
20120924,23.29,23.448,23.29,23.369,50788,0
20120925,23.369,23.423,23.333,23.361,84674,0
20120926,23.361,23.361,23.298,23.343,26728,0
20120927,23.343,23.476,23.343,23.432,119026,0
20120928,23.395,23.575,23.395,23.448,101173,0
20121001,23.519,23.538,23.281,23.404,44721,0
20121002,23.441,23.448,23.315,23.395,41051,0
20121003,23.457,23.547,23.441,23.511,65070,0
20121004,23.565,23.751,23.423,23.653,124747,0
20121005,23.778,23.778,23.637,23.644,85700,0
20121008,23.804,24.258,23.778,24,243275,0
20121009,24.116,24.48,23.929,24.48,166008,0
20121010,24.48,24.48,24.223,24.311,274045,0
20121011,24.418,24.525,24.204,24.258,32431,0
20121012,24.399,24.445,24.204,24.435,22298,0
20121015,24.533,24.533,24.337,24.489,84282,0
20121016,24.533,24.622,24.445,24.578,57923,0
20121017,24.693,24.693,24.489,24.542,503397,0
20121018,24.551,24.622,24.498,24.551,44184,0
20121019,24.702,24.844,24.374,24.542,589491,0
20121022,24.622,24.702,24.525,24.542,41866,0
20121023,24.604,24.604,24.294,24.337,34730,0
20121024,24.471,24.471,24.239,24.294,36111,0
20121025,24.427,24.427,24.275,24.32,61481,0
20121026,24.399,24.399,24.177,24.302,58787,0
20121031,24.435,24.435,24.106,24.285,15728,0
20121101,24.356,24.445,24.356,24.399,18701,0
20121102,24.435,24.435,24.187,24.382,22554,0
20121105,24.418,24.418,24.258,24.311,32353,0
20121106,24.347,24.347,24.249,24.275,31411,0
20121107,24.311,24.977,24.239,24.507,135707,0
20121108,24.489,24.613,24.294,24.294,34253,0
20121109,24.311,24.32,24.054,24.062,26771,0
20121112,24.427,24.427,24.124,24.177,9234,0
20121113,24.329,24.337,24.08,24.266,10579,0
20121114,24.32,24.32,23.858,23.919,51429,0
20121115,24.054,24.054,23.68,23.919,30135,0
20121116,24.062,24.214,23.903,23.991,17214,0
20121119,24.116,24.275,24,24.133,58146,0
20121120,24.214,24.311,24.054,24.266,25423,0
20121121,24.285,24.285,24.152,24.214,29578,0
20121123,24.374,24.374,24.32,24.337,8299,0
20121126,24.374,24.382,24,24.062,238817,0
20121127,24.152,24.195,23.929,24.009,30893,0
20121128,23.858,23.947,23.778,23.858,23570,0
20121129,24.009,24.009,23.786,23.849,30985,0
20121130,23.947,23.982,23.813,23.867,36358,0
20121203,24.009,24.009,23.796,23.894,12783,0
20121204,23.875,23.875,23.627,23.742,25800,0
20121205,23.875,23.875,23.699,23.733,18158,0
20121206,23.77,23.813,23.689,23.689,10567,0
20121207,23.813,23.813,23.575,23.644,9313,0
20121210,23.778,23.778,23.644,23.733,28203,0
20121211,23.813,23.903,23.627,23.689,225603,0
20121212,23.77,24.009,23.733,23.786,27377,0
20121213,23.973,24.071,23.832,23.867,26804,0
20121214,23.965,24.09,23.894,24.08,80383,0
20121217,24.204,24.204,24.036,24.071,9522,0
20121218,24,24.195,23.991,24,22892,0
20121219,24.239,24.239,24.009,24.036,13103,0
20121220,24.133,24.187,23.929,24,614622,0
20121221,24.071,24.152,23.911,23.938,12664,0
20121224,24.054,24.161,23.956,24.133,8677,0
20121226,24.133,24.161,24,24.044,11476,0
20121227,24.133,24.133,24,24,7903,0
20121228,24.098,24.177,24.044,24.062,31772,0
20121231,24.177,24.195,24.098,24.098,6278,0
20130102,24.204,24.214,24.106,24.187,19930,0
20130103,24.204,24.223,24.106,24.223,17873,0
20130104,24.239,24.258,24.161,24.258,13255,0
20130107,24.302,24.578,24.285,24.374,22827,0
20130108,24.427,24.427,24.302,24.374,15766,0
20130109,24.418,24.418,24.161,24.382,37814,0
20130110,24.409,24.445,24.32,24.427,25924,0
20130111,24.445,24.445,24.311,24.356,35802,0
20130114,24.356,24.356,24.266,24.266,13489,0
20130115,24.275,24.329,24.187,24.249,29152,0
20130116,24.266,24.266,24.054,24.106,23689,0
20130117,24.266,24.266,23.849,23.991,60296,0
20130118,24.044,24.133,24.044,24.133,15789,0
20130122,24.356,24.356,24.098,24.133,55872,0
20130123,24.169,24.177,24.098,24.116,21713,0
20130124,24.169,24.169,24.018,24.09,17692,0
20130125,24.09,24.09,24,24.027,44994,0
20130128,24.071,24.071,23.973,24.044,9524,0
20130129,24.09,24.09,23.911,23.929,57672,0
20130130,24,24,23.965,23.965,6841,0
20130131,24,24.044,23.947,23.973,41720,0
20130201,24,24.054,23.804,24.054,28156,0
20130204,24.09,24.09,23.956,24,6724,0
20130205,24,24.09,23.991,24.08,16863,0
20130206,24.133,24.133,24.018,24.116,12932,0
20130207,24.106,24.249,24.036,24.249,12452,0
20130208,24.232,24.285,24.152,24.249,14475,0
20130211,24.311,24.311,24.195,24.223,28038,0
20130212,24.337,24.418,24.223,24.356,16087,0
20130213,24.435,24.435,24.356,24.435,7015,0
20130214,24.435,24.445,24.232,24.266,39980,0
20130215,24.32,24.409,24.133,24.266,23106,0
20130219,24.285,24.285,24.204,24.223,36426,0
20130220,24.223,24.258,24.214,24.223,24398,0
20130221,24.285,24.285,24.09,24.214,82059,0
20130222,24.223,24.223,24.214,24.214,9681,0
20130225,24.275,24.48,24.275,24.462,13562,0
