Date,Open,High,Low,Close,Volume,OpenInt
20100823,22.789,22.823,22.578,22.675,33133,0
20100824,22.649,23.138,22.649,22.893,9801,0
20100825,22.893,22.893,22.639,22.639,21134,0
20100826,22.621,22.805,22.621,22.649,15952,0
20100827,22.526,23.329,22.36,23.19,13706,0
20100830,23.146,23.146,22.718,22.831,27625,0
20100831,22.779,22.963,22.446,22.823,36474,0
20100901,22.998,22.998,22.639,22.658,31275,0
20100902,22.658,22.771,22.596,22.718,4986,0
20100903,23.077,23.496,22.569,23.374,20844,0
20100907,23.164,23.164,22.762,22.893,35022,0
20100908,23.006,23.068,22.675,22.675,24721,0
20100909,22.658,22.831,22.308,22.378,14984,0
20100910,22.666,22.675,21.591,21.747,49020,0
20100913,21.809,21.931,21.617,21.679,6973,0
20100914,21.827,22.097,21.713,21.723,21363,0
20100915,21.853,21.992,21.459,21.6,31401,0
20100916,21.625,21.975,21.6,21.845,24278,0
20100917,21.845,22.219,21.032,21.809,136902,0
20100920,21.756,21.845,21.511,21.845,42084,0
20100921,21.845,22.21,21.775,22.045,20846,0
20100922,22.027,22.229,21.914,21.914,35856,0
20100923,21.992,22.256,21.495,21.495,48474,0
20100924,21.704,21.8,21.425,21.443,18836,0
20100927,21.74,21.906,21.556,21.723,10351,0
20100928,21.477,21.8,21.443,21.504,39585,0
20100929,21.67,21.836,21.504,21.836,37368,0
20100930,21.95,22.15,21.74,21.74,9614,0
20101001,21.853,21.906,21.539,21.539,20131,0
20101004,21.74,21.906,21.468,21.504,32329,0
20101005,21.713,21.792,21.468,21.511,32397,0
20101006,21.504,21.704,21.416,21.451,15097,0
20101007,21.468,21.617,21.425,21.504,17350,0
20101008,21.495,21.888,21.495,21.53,26472,0
20101011,21.53,21.6,21.443,21.443,9842,0
20101012,21.459,21.914,21.459,21.477,47580,0
20101013,21.477,21.775,21.232,21.433,742593,0
20101014,21.391,21.407,21.293,21.364,20483,0
20101015,21.391,21.416,21.067,21.416,29186,0
20101018,21.163,21.232,21.067,21.128,25599,0
20101019,20.961,21.381,20.961,21.32,39897,0
20101020,21.355,21.364,21.232,21.303,104724,0
20101021,21.32,21.391,21.232,21.303,343489,0
20101022,21.346,21.364,21.276,21.312,19732,0
20101025,21.268,21.32,21.084,21.084,52513,0
20101026,21.101,21.312,21.101,21.232,30288,0
20101027,21.163,21.303,21.154,21.189,34235,0
20101028,21.251,21.276,21.189,21.232,84313,0
20101029,21.276,21.276,21.145,21.154,160662,0
20101101,21.171,21.259,21.171,21.251,12144,0
20101102,21.251,21.251,21.101,21.101,113391,0
20101103,20.725,20.909,20.709,20.805,28924,0
20101104,20.769,20.971,20.769,20.961,38949,0
20101105,20.961,20.971,20.638,20.927,32521,0
20101108,20.848,20.953,20.709,20.839,38007,0
20101109,20.796,20.9,20.778,20.892,13970,0
20101110,20.927,20.927,20.752,20.866,45676,0
20101111,20.761,20.892,20.725,20.892,109119,0
20101112,20.883,20.918,20.534,20.734,42610,0
20101115,20.866,20.866,20.709,20.744,31754,0
20101116,20.638,20.778,20.367,20.638,120873,0
20101117,20.761,20.761,20.359,20.359,17597,0
20101118,20.577,20.709,20.489,20.534,58242,0
20101119,20.508,20.638,20.508,20.612,29248,0
20101122,20.534,20.656,20.315,20.359,160621,0
20101123,20.306,20.367,20.097,20.272,55653,0
20101124,20.385,20.648,20.245,20.385,50370,0
20101126,20.402,20.412,20.176,20.237,12806,0
20101129,20.114,20.306,19.476,19.843,51686,0
20101130,19.59,19.678,19.38,19.442,47977,0
20101201,19.757,20.001,19.564,19.564,56130,0
20101202,19.423,19.799,19.423,19.651,49604,0
20101203,19.634,20.009,19.582,19.634,25003,0
20101206,19.511,19.738,19.494,19.651,31852,0
20101207,19.678,19.765,19.573,19.573,47641,0
20101208,19.686,19.957,19.651,19.651,42400,0
20101209,19.659,20.551,19.659,19.791,94277,0
20101210,19.834,20.228,19.834,20.053,11844,0
20101213,20.114,20.367,20.114,20.272,56680,0
20101214,20.421,20.648,20.14,20.14,58459,0
20101215,20.114,20.342,19.949,20.149,22619,0
20101216,20.053,20.185,19.992,20.14,20763,0
20101217,20.07,20.14,19.834,20.14,39786,0
20101220,19.896,20.097,19.703,19.703,45008,0
20101221,19.703,19.878,19.651,19.817,14239,0
20101222,19.73,20.07,19.546,19.721,17290,0
20101223,19.651,20.097,19.651,19.791,36211,0
20101227,19.712,20.123,19.52,19.721,73360,0
20101228,19.695,20.114,19.695,19.747,81336,0
20101229,19.983,20.132,19.555,19.695,167700,0
20101230,19.617,19.659,19.239,19.617,21331,0
20101231,19.634,19.782,19.59,19.59,14480,0
20110103,19.59,19.747,19.459,19.459,46285,0
20110104,19.476,19.564,19.354,19.45,202605,0
20110105,19.529,19.773,19.459,19.459,84878,0
20110106,19.529,19.678,19.223,19.362,182008,0
20110107,19.319,19.371,18.996,19.163,59163,0
20110110,19.003,19.163,18.875,19.058,59042,0
20110111,18.988,19.423,18.875,19.171,56193,0
20110112,19.267,19.52,19.267,19.293,136468,0
20110113,19.415,19.45,19.178,19.223,106161,0
20110114,19.223,19.31,19.144,19.144,126886,0
20110118,19.171,19.284,19.11,19.118,95163,0
20110119,19.187,19.371,19.003,19.154,253396,0
20110120,19.083,19.354,19.083,19.178,449775,0
20110121,19.293,19.555,19.118,19.485,1043794,0
20110124,19.362,19.564,19.284,19.45,139071,0
20110125,19.45,19.791,19.45,19.459,157445,0
20110126,19.503,19.634,19.467,19.485,159218,0
20110127,19.476,19.573,19.45,19.485,61014,0
20110128,19.485,19.555,19.38,19.38,44163,0
20110131,19.371,19.45,19.223,19.337,90202,0
20110201,19.346,19.511,19.223,19.459,232258,0
20110202,19.38,19.686,19.38,19.678,68619,0
20110203,19.39,19.52,19.328,19.485,97938,0
20110204,19.546,19.573,19.354,19.485,73721,0
20110207,19.415,19.642,19.407,19.503,78026,0
20110208,19.511,19.703,19.267,19.354,308568,0
20110209,19.276,19.38,19.154,19.354,158176,0
20110210,19.354,19.476,19.337,19.476,48601,0
20110211,19.415,19.659,19.415,19.659,62040,0
20110214,19.659,19.721,19.617,19.678,100829,0
20110215,19.651,20.166,19.651,19.922,123007,0
20110216,19.922,20.621,19.896,20.289,88069,0
20110218,20.464,20.586,20.385,20.569,44245,0
20110222,20.664,20.664,20.158,20.333,82174,0
20110223,20.315,20.473,20.219,20.342,87986,0
20110224,20.298,20.376,20.228,20.262,47411,0
20110225,20.315,20.517,20.298,20.359,26036,0
20110228,20.402,20.489,20.324,20.421,74913,0
20110301,20.473,20.621,20.333,20.421,56386,0
20110302,20.517,20.534,20.412,20.534,74213,0
20110303,20.525,20.621,20.412,20.621,68652,0
20110304,20.603,20.638,20.412,20.489,32510,0
20110307,20.464,21.171,20.464,20.595,71796,0
20110308,20.586,20.796,20.586,20.63,37435,0
20110309,20.612,20.778,20.446,20.603,115873,0
20110310,20.525,20.534,20.385,20.421,45978,0
20110311,20.394,20.473,20.359,20.359,49531,0
20110314,20.359,20.489,20.315,20.394,69866,0
20110315,20.315,20.333,19.957,20.245,83963,0
20110316,20.342,20.481,20.289,20.385,32695,0
20110317,20.385,20.648,20.385,20.648,37049,0
20110318,20.612,20.944,20.517,20.621,42550,0
20110321,20.857,21.695,20.621,20.621,92461,0
20110322,20.778,21.075,20.769,20.892,55859,0
20110323,20.805,20.971,20.682,20.874,39471,0
20110324,20.831,20.971,20.761,20.883,16093,0
20110325,20.988,21.075,20.848,21.041,20409,0
20110328,21.041,21.293,20.883,21.014,44986,0
20110329,21.128,21.293,20.918,20.927,57237,0
20110330,20.953,21.251,20.927,20.988,50696,0
20110331,20.98,21.355,20.98,21.337,41860,0
20110401,21.241,21.312,21.014,21.084,43377,0
20110404,21.119,21.293,21.075,21.197,14455,0
20110405,21.18,21.284,21.11,21.145,31855,0
20110406,21.207,21.276,21.128,21.251,21778,0
20110407,21.189,21.32,21.101,21.189,29964,0
20110408,21.18,21.329,21.057,21.303,24635,0
20110411,21.232,21.329,21.101,21.207,17518,0
20110412,21.163,21.346,21.023,21.049,28481,0
20110413,21.041,21.582,21.032,21.548,52412,0
20110414,21.652,21.8,21.276,21.276,41772,0
20110415,21.425,21.425,21.224,21.303,17581,0
20110418,21.276,21.495,21.232,21.495,40552,0
