Date,Open,High,Low,Close,Volume,OpenInt
20130619,22.01,22.45,21.794,21.803,58909,0
20130620,21.893,22.422,21.893,21.973,17629,0
20130621,22.018,22.269,22.018,22.135,23358,0
20130624,22.18,22.269,22.18,22.269,4755,0
20130625,22.36,22.36,22.269,22.36,9154,0
20130626,22.315,22.315,22.018,22.135,7059,0
20130627,22.135,22.224,22.001,22.091,5362,0
20130628,22.453,22.463,22.37,22.463,2496,0
20130701,22.216,22.269,22.145,22.261,23052,0
20130702,22.315,22.441,22.288,22.36,17835,0
20130703,22.603,22.603,22.351,22.414,8183,0
20130705,22.36,22.657,22.224,22.584,7772,0
20130708,22.539,22.539,22.45,22.45,2784,0
20130709,22.45,22.45,22.36,22.45,5100,0
20130710,22.45,22.467,22.431,22.467,4872,0
20130711,22.711,22.711,22.422,22.422,2227,0
20130712,22.46,22.46,22.45,22.45,1560,0
20130715,22.46,24.947,22.45,22.899,49059,0
20130716,23.779,23.779,22.863,22.899,19611,0
20130717,22.845,23.5,22.809,22.809,13698,0
20130718,23.015,23.212,22.854,22.899,8296,0
20130719,23.204,23.204,22.899,23.033,1225,0
20130722,24.604,24.604,22.719,22.719,45837,0
20130723,23.233,23.233,22.879,22.879,6831,0
20130724,22.87,23.125,22.698,22.87,10468,0
20130725,22.87,23.142,22.733,22.733,1873,0
20130726,23.16,23.296,23.097,23.097,1884,0
20130729,23.142,23.142,22.879,22.961,2424,0
20130730,22.87,22.961,22.87,22.961,5841,0
20130731,22.915,22.915,22.707,22.87,2446,0
20130802,22.87,22.915,22.862,22.862,2369,0
20130805,22.87,22.87,22.778,22.788,2424,0
20130806,22.778,22.778,22.598,22.643,21989,0
20130807,22.771,22.771,22.553,22.688,5179,0
20130808,22.87,22.87,22.643,22.688,2287,0
20130809,22.915,22.915,22.915,22.915,1102,0
20130813,22.698,22.698,22.045,22.063,11350,0
20130814,22.47,22.915,22.053,22.688,14986,0
20130815,22.688,22.688,22.37,22.688,5179,0
20130819,22.688,22.688,22.688,22.688,1763,0
20130820,22.508,22.598,22.416,22.424,12787,0
20130821,22.28,22.289,22.28,22.289,597,0
20130822,22.698,22.698,22.508,22.579,5179,0
20130823,22.679,22.688,22.679,22.688,4958,0
20130826,22.915,22.915,22.688,22.688,6355,0
20130827,22.688,22.852,22.688,22.852,2699,0
20130828,22.797,22.797,22.643,22.778,2644,0
20130829,22.778,22.788,22.733,22.788,2341,0
20130903,22.778,22.87,22.778,22.778,3663,0
20130904,22.825,22.825,22.816,22.816,1763,0
20130905,22.688,22.733,22.688,22.688,1873,0
20130906,22.843,22.888,22.778,22.888,469,0
20130909,22.87,22.87,22.825,22.825,7680,0
20130910,22.87,22.888,22.87,22.87,8121,0
20130911,22.778,22.778,22.608,22.608,1091,0
20130912,22.643,22.688,22.463,22.688,3983,0
20130913,22.87,22.87,22.688,22.688,1433,0
20130916,22.825,22.897,22.653,22.825,2068,0
20130917,22.87,22.87,22.688,22.688,2094,0
20130918,22.778,22.778,22.47,22.771,5427,0
20130919,22.862,22.87,22.825,22.87,9884,0
20130920,22.915,22.915,22.707,22.707,1047,0
20130923,22.87,22.87,22.688,22.698,8276,0
20130924,22.733,22.733,22.724,22.724,2302,0
20130925,22.724,22.733,22.624,22.688,11460,0
20130926,22.716,22.716,22.679,22.716,7945,0
20130930,22.87,22.87,22.688,22.87,4451,0
20131001,22.688,22.825,22.688,22.825,4518,0
20131002,22.843,22.843,22.688,22.688,10468,0
20131003,22.825,22.825,22.698,22.825,9120,0
20131004,22.897,22.897,22.688,22.688,6940,0
20131007,22.716,22.716,22.688,22.688,3083,0
20131008,22.598,22.778,22.598,22.778,4931,0
20131009,22.825,22.825,22.825,22.825,550,0
20131011,22.87,22.87,22.688,22.778,5135,0
20131014,22.825,22.825,22.688,22.688,2981,0
20131015,22.833,22.833,22.616,22.616,2768,0
20131016,22.688,22.778,22.688,22.688,3967,0
20131017,22.907,22.907,22.688,22.778,4560,0
20131021,22.825,22.825,22.778,22.816,5041,0
20131022,22.825,23.052,22.825,23.052,11570,0
20131023,23.163,23.433,23.007,23.155,23106,0
20131024,23.433,23.433,23.247,23.247,1187,0
20131025,23.247,23.525,23.238,23.525,3995,0
20131028,23.488,23.488,23.386,23.469,1163,0
20131029,23.506,23.506,23.155,23.155,324,0
20131030,23.34,23.34,23.34,23.34,139,0
20131031,23.34,23.525,23.34,23.506,2052,0
20131101,23.423,23.469,23.423,23.469,1079,0
20131105,23.34,23.433,23.247,23.247,1144,0
20131106,23.396,23.396,23.349,23.349,853,0
20131107,23.479,23.479,23.219,23.247,4630,0
20131111,23.238,23.247,23.173,23.173,5789,0
20131112,23.182,23.182,23.155,23.155,3969,0
20131114,23.396,23.396,23.173,23.173,514,0
20131115,23.357,23.377,23.182,23.182,4201,0
20131118,23.479,23.525,23.349,23.386,985,0
20131119,23.849,23.849,23.849,23.849,432,0
20131120,23.709,23.709,23.386,23.386,3213,0
20131121,23.433,23.433,23.209,23.209,2375,0
20131126,23.701,23.997,23.655,23.997,1114,0
20131127,23.849,23.849,23.386,23.386,1297,0
20131204,23.386,23.386,23.357,23.357,647,0
20131205,23.433,23.433,23.34,23.34,1296,0
20131206,23.386,23.386,23.386,23.386,1620,0
20131209,23.617,23.617,23.182,23.265,2661,0
20131210,23.479,23.479,23.433,23.433,2024,0
20131211,23.386,23.386,23.386,23.386,249,0
20131212,23.386,23.386,23.247,23.247,756,0
20131216,23.386,23.396,23.275,23.275,1551,0
20131217,23.599,23.599,23.599,23.599,538,0
20131218,23.433,23.433,23.433,23.433,353,0
20131223,23.599,23.997,23.525,23.525,756,0
20131224,23.442,23.442,23.442,23.442,126,0
20131226,23.442,23.442,23.331,23.331,1440,0
20131231,23.905,23.905,23.358,23.803,2324,0
20140102,23.311,23.386,23.303,23.377,712,0
20140103,23.433,23.433,23.34,23.34,1955,0
20140107,23.349,23.386,23.34,23.386,1458,0
20140108,23.413,23.747,23.413,23.747,2544,0
20140109,23.59,23.59,23.59,23.59,408,0
20140110,23.535,23.544,23.525,23.544,1620,0
20140114,23.525,23.552,23.525,23.544,5614,0
20140115,23.933,23.933,23.933,23.933,108,0
20140116,23.96,24.025,23.96,24.025,4481,0
20140117,24.025,24.081,23.997,24.081,3164,0
20140121,24.118,24.45,24.118,24.302,837,0
20140122,24.549,24.755,24.549,24.549,7320,0
20140123,24.549,24.549,24.549,24.549,2114,0
20140127,24.549,24.596,24.549,24.596,2489,0
20140129,24.775,24.775,24.775,24.775,112,0
20140130,24.775,24.775,24.294,24.294,2404,0
20140203,24.275,24.275,23.613,23.764,3707,0
20140204,23.793,23.888,23.793,23.888,1016,0
20140206,23.841,23.888,23.841,23.888,1655,0
20140207,24.029,24.095,24.029,24.095,2507,0
20140213,23.944,24.095,23.935,24.095,1864,0
20140214,24.18,24.445,24.18,24.18,1546,0
20140218,24.123,24.218,24.123,24.218,1271,0
20140219,24.218,24.359,24.152,24.152,1588,0
20140221,24.284,24.284,24.284,24.284,106,0
20140224,24.302,24.406,24.302,24.406,664,0
20140228,24.453,24.453,24.453,24.453,614,0
20140305,24.501,25.077,24.501,25.077,2647,0
20140306,25.03,25.03,25.03,25.03,848,0
20140307,24.53,24.53,24.53,24.53,212,0
20140310,24.483,24.483,24.483,24.483,106,0
20140314,24.483,24.483,24.483,24.483,1059,0
20140321,24.549,24.549,24.51,24.51,848,0
20140325,24.549,24.614,24.473,24.473,2808,0
20140326,24.738,24.738,24.738,24.738,742,0
20140327,24.643,24.643,24.643,24.643,212,0
20140328,24.926,24.946,24.926,24.946,1223,0
20140401,24.596,24.963,24.596,24.738,1906,0
20140402,24.728,24.738,24.728,24.738,1165,0
20140407,24.652,24.652,24.652,24.652,107,0
20140408,24.661,24.661,24.661,24.661,878,0
20140410,24.785,24.926,24.661,24.661,2862,0
20140415,24.557,24.557,24.557,24.557,212,0
20140417,25.01,25.067,25.01,25.067,1218,0
20140421,24.643,24.832,24.614,24.822,2112,0
20140422,25.13,25.506,25.13,25.178,3637,0
20140423,25.534,25.534,25.264,25.506,8006,0
20140428,25.314,25.332,25.314,25.314,1125,0
20140430,25.168,25.168,25.168,25.168,1040,0
20140501,25.062,25.178,24.832,24.832,22520,0
20140502,25.678,25.678,25.024,25.024,4484,0
20140505,25.024,25.024,24.88,24.88,6690,0
20140506,24.908,25.024,24.908,25.005,4173,0
20140507,25.208,25.236,25.14,25.14,258294,0
20140508,25.314,25.67,25.12,25.476,45490,0
20140509,25.159,25.208,24.726,25.178,3275,0
20140512,25.198,25.198,24.726,24.928,5280,0
20140513,25.102,25.102,24.89,24.89,19378,0
20140514,25.024,25.024,24.938,24.938,1112,0
20140515,25.12,25.12,24.928,24.957,23005,0
20140516,25.12,25.168,25.034,25.072,5105,0
20140519,25.024,25.554,25.024,25.13,11525,0
20140520,25.216,25.216,25.216,25.216,104,0
20140521,25.314,25.314,25.216,25.216,271,0
20140523,25.11,25.216,25.024,25.024,3788,0
20140527,25.024,25.024,25.024,25.024,572,0
20140602,25.034,25.216,25.034,25.034,2736,0
20140603,25.198,25.332,25.024,25.024,8745,0
20140604,25.12,25.188,24.832,24.832,10866,0
20140605,25.005,25.005,25.005,25.005,2078,0
20140609,24.736,24.794,24.736,24.794,1455,0
20140610,25.092,25.102,25.034,25.102,1247,0
20140611,25.11,25.11,25.11,25.11,104,0
20140612,25.208,25.678,25.208,25.65,1510,0
20140616,25.159,25.236,25.14,25.236,826,0
20140617,25.621,25.678,25.554,25.554,760,0
20140618,25.188,25.4,25.188,25.314,1041,0
20140619,25.592,25.592,25.592,25.592,364,0
20140623,25.246,25.246,25.216,25.216,1039,0
20140624,25.216,25.216,25.216,25.216,476,0
20140625,25.072,25.072,24.976,24.976,1461,0
20140626,25.054,25.178,25.044,25.178,1352,0
20140627,25.13,25.13,25.12,25.12,671,0
20140630,25.12,25.264,25.11,25.264,4676,0
20140701,25.14,25.516,25.14,25.516,3598,0
20140702,25.516,25.516,25.516,25.516,104,0
20140703,25.506,25.506,25.506,25.506,208,0
20140707,25.592,25.592,25.314,25.314,1090,0
20140708,25.314,25.496,25.294,25.41,3454,0
20140709,25.41,25.428,25.314,25.314,4649,0
20140710,25.102,25.102,25.102,25.102,624,0
20140711,25.13,25.216,25.12,25.216,1553,0
20140714,25.284,25.284,25.024,25.024,2663,0
20140715,24.86,24.86,24.86,24.86,1039,0
20140718,25.024,25.024,25.024,25.024,673,0
20140722,25.216,25.506,25.024,25.39,8045,0
20140723,25.596,25.596,25.361,25.41,2242,0
20140724,25.567,25.576,25.508,25.508,917,0
20140725,25.469,25.469,25.321,25.321,306,0
20140728,25.312,25.312,25.312,25.312,1041,0
20140729,25.312,25.312,25.312,25.312,378,0
20140730,25.37,25.439,25.361,25.361,2548,0
20140731,25.508,25.508,25.066,25.194,6388,0
20140804,25.027,25.066,25.017,25.017,3364,0
20140805,25.017,25.017,24.772,24.782,2313,0
20140806,24.644,24.968,24.644,24.968,1729,0
20140807,25.007,25.007,25.007,25.007,306,0
20140808,24.949,25.017,24.85,25.017,2263,0
20140812,24.998,25.115,24.998,25.017,740,0
20140813,25.106,25.106,25.076,25.076,422,0
20140814,25.145,25.145,25.145,25.145,204,0
20140815,25.586,25.586,25.459,25.459,1005,0
20140818,25.508,25.508,24.85,24.85,815,0
20140821,26.734,27.264,25.753,25.753,5341,0
20140822,26.489,26.489,26.44,26.489,6497,0
20140826,26.538,26.577,26.391,26.391,11578,0
20140827,26.636,26.636,26.636,26.636,357,0
20140828,26.489,26.587,26.489,26.489,5381,0
20140829,26.577,26.587,26.577,26.577,1631,0
20140902,26.577,26.626,26.577,26.626,1097,0
20140903,26.636,26.636,26.636,26.636,729,0
20140905,26.636,26.636,26.636,26.636,917,0
20140908,26.636,26.685,26.587,26.587,1967,0
20140909,26.685,26.685,26.096,26.096,1835,0
20140910,26.057,26.587,25.262,26.489,9602,0
20140911,26.381,26.381,26.381,26.381,204,0
20140912,26.489,26.499,26.342,26.342,12334,0
20140915,26.244,26.391,26.096,26.096,16487,0
20140916,26.175,26.195,25.9,25.9,10299,0
20140917,26.096,26.096,26.096,26.096,920,0
20140919,26.293,26.656,26.195,26.195,13587,0
20140922,26.263,26.665,25.998,26.665,2269,0
20140924,26.244,26.979,26.106,26.979,4702,0
20140925,26.783,26.783,26.489,26.489,510,0
20140929,26.499,26.508,25.812,25.812,11466,0
20141002,26.302,26.302,26.008,26.008,2785,0
20141003,26.489,26.724,25.998,26.724,2048,0
20141006,26.587,26.587,26.489,26.577,762,0
20141007,26.44,26.587,26.44,26.577,1402,0
20141008,26.587,26.587,26.587,26.587,213,0
20141014,26.469,26.469,24.909,24.919,2535,0
20141015,25.115,25.115,24.87,25.115,1529,0
20141016,24.625,25.007,24.625,24.919,815,0
20141017,25.115,25.557,25.115,25.557,331,0
20141021,26.293,26.293,25.606,25.91,3675,0
20141023,25.87,25.87,25.85,25.85,425,0
20141024,25.87,26,25.85,26,700,0
