Date,Open,High,Low,Close,Volume,OpenInt
20140123,25.575,26.32,24.83,25.028,34328490,0
20140124,25.108,25.108,23.837,24.045,8089793,0
20140127,24.065,24.82,24.025,24.631,3565115,0
20140128,24.433,25.555,24.264,25.515,2786113,0
20140129,25.118,25.624,24.919,25.446,2966283,0
20140130,25.545,25.922,25.386,25.595,1131197,0
20140131,25.177,25.704,24.939,25.456,683414,0
20140203,25.783,25.783,25.068,25.078,1121000,0
20140204,25.028,25.287,24.591,25.009,968041,0
20140205,24.929,25.326,24.8,25.108,780811,0
20140206,25.227,25.227,24.452,24.552,1159030,0
20140207,24.383,24.919,24.135,24.909,843827,0
20140210,24.929,25.048,24.591,25.048,665213,0
20140211,24.87,25.267,24.78,25.207,346422,0
20140212,25.138,25.247,24.88,25.088,315249,0
20140213,24.83,25.336,24.661,25.317,709671,0
20140214,25.297,25.416,25.058,25.237,549817,0
20140218,25.247,25.515,25.098,25.326,480471,0
20140219,25.565,25.565,25.009,25.187,308814,0
20140220,25.098,25.366,24.989,25.257,591049,0
20140221,25.624,25.624,25.098,25.177,475900,0
20140224,25.148,25.356,24.919,25.108,550550,0
20140225,25.078,25.307,24.78,24.889,1889088,0
20140226,24.909,24.999,24.582,24.691,492194,0
20140227,24.671,24.959,24.254,24.711,769011,0
20140228,24.76,25.465,24.76,25.158,759957,0
20140303,25.088,25.783,24.75,25.724,931546,0
20140304,26.051,26.191,25.287,25.336,1295639,0
20140305,25.287,25.664,24.482,24.83,1379243,0
20140306,24.78,24.939,24.214,24.562,2160262,0
20140307,24.731,24.79,24.274,24.274,1784060,0
20140310,24.343,24.532,24.105,24.214,1073363,0
20140311,24.333,24.363,23.261,23.777,2257325,0
20140312,23.628,23.936,23.39,23.698,1661455,0
20140313,23.618,23.787,22.496,22.704,3258389,0
20140314,22.714,23.171,21.989,23.022,2659811,0
20140317,24.433,24.522,23.181,23.896,2904134,0
20140318,24.006,24.929,23.648,24.591,1285664,0
20140319,24.929,25.028,24.343,24.542,1355571,0
20140320,24.502,24.731,24.085,24.204,1492715,0
20140321,24.343,24.452,23.708,23.866,4651202,0
20140324,23.886,24.214,22.943,23.082,2154413,0
20140325,23.171,23.539,22.297,23.002,3888066,0
20140326,23.042,23.797,22.804,22.983,999200,0
20140327,22.754,23.251,22.645,22.953,1027630,0
20140328,23.002,23.598,23.002,23.34,1280324,0
20140331,23.489,23.916,23.469,23.916,6367974,0
20140401,24.025,24.085,23.727,23.837,1236942,0
20140402,23.837,24.055,23.807,23.946,1055892,0
20140403,23.857,24.025,23.261,23.618,2296749,0
20140404,23.678,23.678,22.774,22.834,1124433,0
20140407,22.734,22.943,22.178,22.327,1371887,0
20140408,22.277,22.645,22.158,22.436,1978651,0
20140409,22.337,22.853,22.327,22.645,1323507,0
20140410,22.585,23.032,22.456,22.555,1080503,0
20140411,22.466,22.536,21.801,22.138,1427838,0
20140414,22.347,22.406,21.84,22.079,1278373,0
20140415,22.297,22.625,22.099,22.546,2592807,0
20140416,23.34,23.489,22.724,22.863,1429629,0
20140417,22.804,22.903,22.575,22.774,903862,0
20140421,22.903,22.963,22.416,22.714,369876,0
20140422,22.694,23.002,22.565,22.903,868093,0
20140423,22.843,22.973,22.704,22.764,1321139,0
20140424,22.873,23.032,22.635,22.714,475869,0
20140425,22.565,22.983,22.397,22.615,540251,0
20140428,22.635,22.853,22.069,22.287,762053,0
20140429,22.367,23.012,22.228,22.685,475236,0
20140430,22.685,22.694,22.158,22.585,1235509,0
20140501,22.456,23.042,21.85,22.387,2594698,0
20140502,22.337,22.466,21.89,22.347,808099,0
20140505,22.903,22.903,22.357,22.575,1057360,0
20140506,22.526,22.685,22.287,22.377,506370,0
20140507,22.486,22.506,21.82,21.89,626488,0
20140508,21.83,22.25,21.83,22.11,759581,0
20140509,22.1,22.11,21.5,21.83,1435526,0
20140512,21.93,22.21,21.46,21.82,1128016,0
20140513,21.8,21.98,21.59,21.67,623450,0
20140514,21.69,21.75,21.54,21.55,223901,0
20140515,21.49,21.65,20.76,21.23,950635,0
20140516,21.24,21.35,20.82,21.08,538921,0
20140519,21.08,21.36,20.99,21.21,270190,0
20140520,21.12,21.33,20.95,21.25,454559,0
20140521,21.24,21.75,21.2,21.62,521736,0
20140522,21.67,21.73,21.13,21.5,820713,0
20140523,21.5,21.63,21.18,21.22,748443,0
20140527,21.24,21.57,21.19,21.21,458127,0
20140528,21.19,21.2,20.69,20.72,1366241,0
20140529,20.6,20.79,19.51,19.76,10241048,0
20140530,19.88,19.97,19.58,19.65,3395503,0
20140602,19.65,19.76,19.39,19.66,1994615,0
20140603,19.58,20.17,19.5,20.1,1422627,0
20140604,20.18,20.57,20.09,20.27,1444457,0
20140605,20.33,20.89,20.18,20.31,2810229,0
20140606,20.5,20.71,20.41,20.52,1714600,0
20140609,20.55,20.82,20.49,20.62,2029120,0
20140610,20.7,21.08,20.53,21.05,2505200,0
20140611,21,21.18,18.85,19.25,10558299,0
20140612,19.31,19.73,18.31,18.99,7886219,0
20140613,18.93,19.15,18.35,18.76,5423547,0
20140616,18.85,19.07,18.73,18.92,1075313,0
20140617,19.05,19.06,18.47,18.86,2474781,0
20140618,18.86,19.17,18.72,19.13,2419998,0
20140619,19.14,19.44,19.1,19.36,1518620,0
20140620,19.39,19.61,19.24,19.55,1883150,0
20140623,19.55,19.56,19.2,19.37,3351547,0
20140624,19.25,19.33,18.97,19.09,2606642,0
20140625,19.1,19.35,18.98,19.3,1183804,0
20140626,19.26,19.54,19,19.44,950039,0
20140627,19.48,19.67,19.14,19.6,2529997,0
20140630,19.64,19.69,19.38,19.44,2178146,0
20140701,19.53,19.82,19.44,19.76,3615111,0
20140702,19.72,19.9,19.6,19.7,1294200,0
20140703,19.81,19.87,19.71,19.73,717204,0
20140707,19.7,19.7,19.38,19.47,1033685,0
20140708,19.01,19.28,19,19.04,1476333,0
20140709,19.04,19.35,18.88,19.25,2048025,0
20140710,18.93,19.64,18.81,19.53,2879235,0
20140711,19.43,19.57,19.33,19.37,692416,0
20140714,19.48,19.6,19.33,19.36,851046,0
20140715,19.32,19.99,19.32,19.65,1277846,0
20140716,19.76,20.14,19.58,20.12,743587,0
20140717,20.11,20.13,19.7,19.83,702824,0
20140718,19.9,20.13,19.67,19.85,651313,0
20140721,19.8,19.84,19.66,19.81,413104,0
20140722,19.84,20.05,19.84,19.94,853761,0
20140723,20.04,20.09,19.95,20,1178835,0
20140724,20.04,20.08,19.94,19.95,955619,0
20140725,19.84,20.01,19.82,19.87,1248454,0
20140728,19.84,20.01,19.71,19.84,730815,0
20140729,19.84,20,19.44,19.55,1650974,0
20140730,19.63,19.75,19.46,19.65,758265,0
20140731,19.57,20.1,18.53,19.17,6060890,0
20140801,19.16,19.32,18.93,19.1,2891338,0
20140804,19.19,19.26,18.55,18.84,2188956,0
20140805,18.74,18.85,17.8,17.98,9973551,0
20140806,17.92,18.14,17.9,18.03,2035492,0
