Date,Open,High,Low,Close,Volume,OpenInt
20050225,14.77,15.158,14.742,15.042,937506,0
20050228,15.042,15.096,14.79,14.79,1049902,0
20050301,14.682,14.811,14.321,14.41,794553,0
20050302,14.274,14.538,14.177,14.362,770605,0
20050303,14.375,14.375,13.708,13.899,510405,0
20050304,13.708,14.451,13.708,14.395,550808,0
20050307,14.17,14.211,13.735,13.872,539055,0
20050308,13.687,13.701,13.435,13.558,837599,0
20050309,13.388,14.001,13.388,13.776,930751,0
20050310,13.701,14.041,13.469,13.94,793672,0
20050311,13.94,14.205,13.701,13.756,264018,0
20050314,13.769,14.075,13.701,14.069,425927,0
20050315,14.17,14.382,14.034,14.334,518486,0
20050316,14.375,14.553,14.192,14.307,537144,0
20050317,14.375,14.553,14.218,14.417,599001,0
20050318,14.246,14.362,14.041,14.293,505264,0
20050321,14.375,14.538,14.226,14.41,399332,0
20050322,14.41,14.443,14.144,14.226,209656,0
20050323,14.226,14.314,13.701,13.756,679365,0
20050324,13.756,14.293,13.756,14.062,420783,0
20050328,14.049,14.049,13.776,13.857,342915,0
20050329,13.735,13.756,13.368,13.435,632203,0
20050330,13.435,13.538,13.273,13.483,943092,0
20050331,13.627,13.748,13.457,13.571,762964,0
20050401,13.675,13.769,13.435,13.565,472500,0
20050404,13.701,13.824,13.538,13.776,504676,0
20050405,13.701,13.845,13.634,13.748,473675,0
20050406,13.64,13.899,13.517,13.769,717712,0
20050407,13.804,13.872,13.538,13.579,689355,0
20050408,13.687,13.687,13.415,13.457,423427,0
20050411,13.45,13.517,13.326,13.333,680980,0
20050412,13.368,13.491,13.333,13.415,463391,0
20050413,13.381,13.51,13.273,13.273,314264,0
20050414,13.252,13.266,13.102,13.137,629266,0
20050415,13.081,13.11,12.877,13.013,415643,0
20050418,12.905,13.102,12.769,13.034,342326,0
20050419,13.102,13.374,13.102,13.307,315295,0
20050420,13.368,13.368,13.034,13.048,427247,0
20050421,13.027,13.299,12.905,13.258,434888,0
20050422,13.307,13.333,13.122,13.238,249914,0
20050425,13.238,13.361,13.089,13.299,291201,0
20050426,13.361,13.429,13.178,13.368,254762,0
20050427,12.966,13.137,12.905,12.918,343652,0
20050428,12.579,12.687,12.265,12.497,858463,0
20050429,12.402,12.483,12.3,12.428,967335,0
20050502,12.442,12.749,12.442,12.557,417992,0
20050503,12.538,12.538,12.3,12.455,360986,0
20050504,12.436,12.66,12.367,12.633,393162,0
20050505,12.564,12.98,12.564,12.892,573433,0
20050506,12.898,13.225,12.898,13.156,303100,0
20050509,13.034,13.171,12.877,13.034,432537,0
20050510,13.034,13.054,12.87,12.918,321906,0
20050511,12.85,13.062,12.85,12.966,184535,0
20050512,12.959,13.115,12.572,12.734,418285,0
20050513,12.898,12.898,12.564,12.687,312060,0
20050516,12.687,12.817,12.469,12.538,284149,0
20050517,12.538,12.761,12.503,12.761,359225,0
20050518,12.823,12.844,12.516,12.652,471177,0
20050519,12.633,12.687,12.538,12.66,260492,0
20050520,12.652,12.687,12.442,12.49,349968,0
20050523,12.497,12.497,12.367,12.428,456043,0
20050524,12.428,12.428,12.218,12.218,408589,0
20050525,12.191,12.38,12.177,12.259,502179,0
20050526,12.259,12.524,12.237,12.326,348792,0
20050527,12.469,12.585,12.361,12.476,490132,0
20050531,12.421,13.013,12.231,12.933,908856,0
20050601,12.667,13.238,12.557,13.137,629852,0
20050602,13.287,13.599,13.218,13.498,777070,0
20050603,13.532,13.586,13.238,13.402,453398,0
20050606,13.368,13.538,13.252,13.368,282385,0
20050607,13.307,13.409,13.034,13.034,352025,0
20050608,12.721,12.803,12.354,12.803,420637,0
20050609,12.803,12.87,12.633,12.87,232575,0
20050610,12.87,12.87,12.633,12.734,328666,0
20050613,12.734,12.734,12.503,12.545,570203,0
20050614,12.51,12.516,12.244,12.402,795284,0
20050615,12.333,12.626,12.272,12.619,314706,0
20050616,12.598,12.605,12.3,12.421,462803,0
20050617,12.339,12.538,12.339,12.442,331750,0
20050620,12.408,12.469,12.237,12.279,319408,0
20050621,12.265,12.265,12.094,12.183,515695,0
20050622,12.265,12.449,12.265,12.373,311619,0
20050623,12.469,12.469,12.313,12.421,230816,0
20050624,12.469,12.564,12.402,12.414,233313,0
20050627,12.469,12.476,12.339,12.339,240805,0
20050628,12.339,12.524,12.333,12.524,255056,0
20050629,12.598,12.652,12.531,12.613,190117,0
20050630,12.613,12.715,12.592,12.674,163085,0
20050701,12.721,13.001,12.667,13.001,292226,0
20050705,13.006,13.13,13.001,13.006,351142,0
20050706,13.102,13.102,12.844,12.925,219942,0
20050707,12.87,12.994,12.761,12.938,133111,0
20050708,12.959,13.054,12.87,12.959,151917,0
20050711,13.054,13.062,12.938,12.953,136197,0
20050712,12.953,13.34,12.85,13.299,479257,0
20050713,13.361,13.402,13.171,13.171,357607,0
20050714,13.238,13.326,13.089,13.15,309564,0
20050715,13.321,13.355,13.171,13.238,155738,0
20050718,13.314,13.326,13.068,13.068,237571,0
20050719,13.102,13.137,13.006,13.075,203929,0
20050720,13.122,13.321,12.912,13.292,232284,0
20050721,13.238,13.34,13.137,13.163,186004,0
20050722,13.137,13.137,13.021,13.034,203338,0
20050725,13.027,13.15,12.885,12.892,205542,0
20050726,12.877,12.98,12.749,12.769,220530,0
20050727,12.829,12.898,12.66,12.667,328666,0
20050728,12.728,12.837,12.531,12.585,322199,0
20050729,12.572,12.721,12.531,12.598,268572,0
20050801,12.734,12.734,12.531,12.564,269604,0
20050802,12.545,12.646,12.469,12.639,694353,0
20050803,12.667,12.701,12.545,12.687,173662,0
20050804,12.674,12.905,12.572,12.829,290610,0
20050805,12.858,12.858,12.734,12.803,292813,0
20050808,12.741,12.803,12.455,12.469,301188,0
20050809,12.531,12.639,12.339,12.367,510993,0
20050810,12.367,12.557,12.367,12.402,268866,0
20050811,12.469,12.49,12.265,12.333,302951,0
20050812,12.3,12.354,12.231,12.231,257849,0
20050815,12.196,12.333,12.129,12.279,321174,0
20050816,12.265,12.49,12.231,12.469,314706,0
20050817,12.402,12.436,12.265,12.402,311324,0
20050818,12.462,12.462,12.361,12.395,243889,0
20050819,12.469,12.721,12.414,12.66,554629,0
20050822,12.564,12.734,12.469,12.646,610604,0
20050823,12.524,12.687,12.476,12.652,222291,0
20050824,12.87,13.45,12.87,13.368,1677846,0
20050825,13.402,13.735,13.402,13.64,932513,0
20050826,13.742,13.824,13.538,13.586,834956,0
20050829,13.634,13.653,13.504,13.538,410058,0
20050830,13.571,13.627,13.443,13.558,260639,0
20050831,13.545,13.96,13.463,13.776,739312,0
20050901,13.483,13.586,13.435,13.491,445466,0
20050902,13.476,13.565,13.435,13.435,548752,0
20050906,13.137,13.504,13.115,13.45,295459,0
20050907,13.409,13.469,13.299,13.402,387872,0
20050908,13.402,13.571,13.402,13.517,266662,0
20050909,13.538,13.552,13.435,13.483,450168,0
20050912,12.844,13.51,12.844,13.409,666874,0
20050913,13.368,13.435,13.171,13.361,315146,0
20050914,13.307,13.409,13.307,13.355,248886,0
20050915,13.333,13.402,13.299,13.368,590040,0
20050916,13.361,13.429,13.326,13.394,534059,0
20050919,13.374,13.422,13.307,13.422,277684,0
20050920,13.45,13.469,13.258,13.355,404182,0
20050921,13.422,13.45,13.156,13.198,267398,0
20050922,13.225,13.266,12.98,13.006,283411,0
20050923,12.966,13.048,12.898,12.905,543905,0
20050926,12.892,13.13,11.871,13.13,271804,0
20050927,13.102,13.171,12.966,13.102,295312,0
20050928,13.068,13.095,12.986,13.041,154708,0
20050929,12.973,13.307,12.973,13.287,124295,0
20050930,13.326,13.435,13.258,13.435,199668,0
20051003,13.374,13.605,13.292,13.605,550514,0
20051004,13.605,13.605,13.054,13.204,403887,0
20051005,13.15,13.171,12.864,12.864,245065,0
20051006,12.789,12.877,12.681,12.761,357754,0
20051007,12.741,13.178,12.741,13.102,287673,0
20051010,13.006,13.034,12.829,13.034,168959,0
20051011,13.089,13.163,13.013,13.068,208631,0
20051012,13.089,13.095,12.885,12.892,192762,0
20051013,12.817,12.817,12.428,12.619,406827,0
20051014,12.619,12.775,12.564,12.693,426661,0
20051017,12.639,12.823,12.639,12.749,97703,0
20051018,12.734,12.741,12.272,12.292,370829,0
20051019,12.292,12.292,11.925,12.129,509232,0
20051020,12.196,12.292,12.094,12.123,287525,0
20051021,12.163,12.163,12.027,12.06,311619,0
20051024,12.143,12.428,12.143,12.361,278561,0
20051025,12.421,12.524,12.361,12.476,153679,0
20051026,12.462,12.639,12.455,12.639,146776,0
20051027,12.572,12.585,12.313,12.49,141189,0
20051028,12.49,12.761,12.421,12.715,131056,0
20051031,12.667,12.837,12.619,12.789,274154,0
20051101,12.782,12.837,12.741,12.796,242271,0
20051102,12.761,12.966,12.708,12.829,332041,0
20051103,12.796,12.959,12.701,12.761,560652,0
20051104,12.761,12.803,12.633,12.803,230227,0
20051107,12.844,12.87,12.693,12.761,162203,0
20051108,12.674,12.749,12.585,12.701,368774,0
20051109,12.756,12.837,12.687,12.829,359812,0
20051110,12.761,12.85,12.667,12.681,194084,0
20051111,12.687,12.933,12.633,12.933,360547,0
20051114,13.001,13.225,12.823,12.864,604876,0
20051115,12.837,12.912,12.708,12.728,228756,0
20051116,12.701,12.701,12.592,12.613,377148,0
20051117,12.598,12.761,12.545,12.728,675694,0
20051118,12.734,12.892,12.715,12.829,327488,0
20051121,12.858,12.912,12.639,12.829,359812,0
20051122,12.885,12.966,12.769,12.966,386109,0
20051123,13.027,13.027,12.85,12.864,448699,0
20051125,12.66,12.66,12.367,12.49,308974,0
20051128,12.531,12.564,12.203,12.279,467798,0
20051129,12.292,12.428,12.251,12.38,449873,0
20051130,12.38,12.421,12.285,12.326,191879,0
20051201,12.361,12.598,12.347,12.585,445173,0
20051202,12.292,12.395,12.259,12.272,2119344,0
20051205,12.272,12.367,12.203,12.367,451933,0
20051206,12.3,12.428,12.196,12.292,619717,0
20051207,12.326,12.361,12.163,12.218,287525,0
20051208,12.211,12.231,12.047,12.067,630735,0
20051209,12.067,12.313,12.067,12.225,497183,0
20051212,12.292,12.292,12.082,12.135,217588,0
20051213,12.135,12.265,12.082,12.265,285911,0
20051214,12.149,12.265,12.082,12.183,519516,0
20051215,12.177,12.285,12.108,12.272,371565,0
20051216,12.265,12.285,12.06,12.108,219794,0
20051219,12.067,12.123,11.83,11.925,385081,0
20051220,11.931,11.993,11.741,11.958,572555,0
20051221,12.054,12.067,11.857,11.925,492043,0
20051222,11.946,11.958,11.789,11.905,373917,0
20051223,11.898,11.952,11.626,11.653,499533,0
20051227,11.653,11.741,11.449,11.53,348205,0
20051228,11.449,11.517,11.373,11.449,460745,0
20051229,11.449,11.537,11.347,11.381,455018,0
20051230,11.381,11.53,11.251,11.387,451489,0
20060103,11.483,11.857,11.483,11.803,335127,0
20060104,11.803,12.06,11.774,12.019,337627,0
20060105,12.06,12.088,11.946,11.979,585337,0
20060106,12.082,12.088,11.931,11.966,453694,0
20060109,11.966,12.244,11.966,12.123,436648,0
20060110,12.115,12.149,11.993,11.993,726675,0
20060111,12.06,12.231,12.06,12.203,772663,0
20060112,12.183,12.218,12.067,12.102,366272,0
20060113,12.102,12.177,11.918,12.143,441793,0
20060117,12.149,12.183,12.047,12.067,307361,0
