Date,Open,High,Low,Close,Volume,OpenInt
20141029,31.83,33.65,31.5,33.55,33437093,0
20141030,34,34.44,33.06,33.2,1907039,0
20141031,33.91,33.92,33.31,33.69,779010,0
20141103,34.43,34.66,33.75,33.8,854720,0
20141104,33.82,33.95,31.75,32.59,994400,0
20141105,32.74,32.89,31.7,31.95,857225,0
20141106,31.79,33.45,31.79,32.6,683339,0
20141107,32.86,35.23,32.5,34.18,472303,0
20141110,34.54,35.98,34.25,35.62,504449,0
20141111,36.03,37.08,35.55,36.84,387608,0
20141112,36.59,37.48,36.5,36.78,386890,0
20141113,37.15,37.23,33.96,34.74,474702,0
20141114,34.74,35.77,34.49,35.68,151916,0
20141117,35.86,36.14,35.1,35.37,334433,0
20141118,35.72,37.03,35.37,36.99,323865,0
20141119,37,37.5,36.5,36.62,247051,0
20141120,36.41,36.62,35.4,35.61,287907,0
20141121,35.97,36.95,35.06,35.22,218654,0
20141124,35.67,36.94,35.51,36.84,437337,0
20141125,36.85,39.44,36.85,38.2,475910,0
20141126,38.91,39.31,37.68,38.41,760000,0
20141128,37.74,38.19,35.52,36.52,887685,0
20141201,36.22,36.5,33.21,34.3,823745,0
20141202,34.22,37.67,34.2,34.28,397232,0
20141203,34.44,36.5,34.36,36.09,362816,0
20141204,36.49,37.47,35.57,36.7,417668,0
20141205,36.66,37.29,36.57,37.04,375831,0
20141208,36.82,37,34.49,34.6,744974,0
20141209,34.12,34.98,33.23,34.52,1452698,0
20141210,33.92,34.38,32.51,33.2,1044770,0
20141211,33.88,35.64,33.75,33.98,429769,0
20141212,33.91,34.45,33.25,33.86,1404874,0
20141215,33.97,34.6,33.51,34.19,223286,0
20141216,34.18,36.5,33.75,34.9,326972,0
20141217,35.41,37.4,34.68,36.18,372871,0
20141218,36.85,36.85,35.61,35.9,307240,0
20141219,35.95,36.11,34.5,35.33,743387,0
20141222,35.78,36.42,35.61,36.09,221427,0
20141223,36.09,36.7,35.12,35.59,265594,0
20141224,35.77,36.42,35.12,35.27,256957,0
20141226,35.62,36.1,35.11,36,219822,0
20141229,36.2,38.43,35.9,38.1,377543,0
20141230,38.04,40,37.16,39.49,256877,0
20141231,39.68,41.46,39.23,40.98,304794,0
20150102,41,42.83,40.52,41.99,415585,0
20150105,41.58,42.82,41.2,41.87,377856,0
20150106,41.71,42.11,39.66,40.95,298799,0
20150107,41.43,41.76,39.96,40.57,280747,0
20150108,41.07,41.76,40.59,41.19,100082,0
20150109,41.47,41.47,40.4,40.69,149711,0
20150112,40.8,40.89,37.28,37.74,263163,0
20150113,38.1,38.44,35.02,35.54,485216,0
20150114,35,36.29,35,35.74,451695,0
20150115,36.26,38.05,36.26,36.61,208137,0
20150116,37,38.03,36.27,37.54,284934,0
