Date,Open,High,Low,Close,Volume,OpenInt
19811231,7.3951,7.433,7.3575,7.4142,475607,0
19820104,7.2914,7.4142,7.1591,7.263,667460,0
19820105,7.0362,7.1497,6.8947,6.8947,1140103,0
19820106,6.8379,6.8852,6.7719,6.8379,1652135,0
19820107,6.7436,6.8664,6.6398,6.6963,1380238,0
19820108,6.8003,6.8475,6.7342,6.7814,1049472,0
19820111,6.6868,6.8664,6.4979,6.5359,1566586,0
19820112,6.6398,6.7342,6.5167,6.7152,1153659,0
19820113,6.7152,6.9326,6.4882,6.5735,1303581,0
19820114,6.649,6.7152,6.5735,6.7152,1131210,0
19820115,6.7342,6.7719,6.6868,6.7342,766986,0
19820118,6.6868,6.7814,6.5831,6.7814,950372,0
19820119,6.6868,6.7814,6.5831,6.5831,764446,0
19820120,6.4882,6.6017,6.347,6.4696,1961726,0
19820121,6.4412,6.5359,6.3373,6.4036,1256995,0
19820122,6.3754,6.4509,6.2713,6.2713,919029,0
19820125,6.4129,6.6114,6.2052,6.6114,2012550,0
19820126,6.5735,6.649,6.4696,6.4696,1210408,0
19820127,6.6114,6.7342,6.4979,6.649,1387861,0
19820128,6.8379,6.9513,6.6963,6.9326,1237935,0
19820129,7.1308,7.2158,7.0458,7.1591,3029830,0
19820201,6.8664,7.0173,6.7152,6.7436,1424284,0
19820202,6.7814,6.8475,6.6963,6.7719,1518729,0
19820203,6.6398,6.8379,6.4412,6.4882,1370919,0
19820204,6.5359,6.6398,6.4412,6.6398,1924881,0
19820205,6.7152,6.8379,6.5831,6.6963,1558538,0
19820208,6.4882,6.6017,6.3754,6.3846,1478493,0
19820209,6.4129,6.5359,6.2997,6.4509,1354403,0
19820210,6.5735,6.668,6.4509,6.4979,1213373,0
19820211,6.4129,6.5359,6.2997,6.3373,1439106,0
19820212,6.3846,6.4412,6.3187,6.3754,1252335,0
19820216,6.4129,6.6017,6.2336,6.6017,1777072,0
19820217,6.545,6.6017,6.4882,6.4979,1191351,0
19820218,6.5359,6.6017,6.4696,6.545,810188,0
19820219,6.5167,6.5831,6.4412,6.4882,820351,0
19820222,6.3846,6.5831,6.1864,6.2052,1505600,0
19820223,6.2052,6.3187,6.0636,6.2336,1694912,0
19820224,6.4036,6.545,6.2525,6.5167,1090553,0
19820225,6.4129,6.5167,6.2997,6.4129,835596,0
19820226,6.3846,6.4412,6.3187,6.347,677626,0
19820301,6.2713,6.3846,6.1391,6.2336,1035072,0
19820302,6.0636,6.2902,5.8557,5.8652,1453930,0
19820303,5.667,5.7426,5.6007,5.7046,2976471,0
19820304,5.667,5.7992,5.5442,5.7046,4750576,0
19820305,5.667,5.7517,5.5913,5.7233,2722361,0
19820308,5.5724,5.8275,5.3079,5.3458,2443263,0
19820309,5.629,5.8652,5.3834,5.6479,3026868,0
19820310,5.7708,5.9314,5.6007,5.7992,1695757,0
19820311,5.7708,5.8557,5.667,5.7708,1320524,0
19820312,5.7141,5.7802,5.6479,5.6858,1382355,0
19820315,5.7802,5.8842,5.667,5.8652,1296383,0
19820316,5.8557,5.9314,5.7708,5.7802,1178644,0
19820317,5.7708,5.8557,5.667,5.6858,804257,0
19820318,5.7708,5.8557,5.6858,5.7992,1318406,0
19820319,5.7992,5.8275,5.6858,5.7141,1483151,0
19820322,5.8275,5.903,5.7517,5.903,1191772,0
19820323,5.8652,5.9314,5.7802,5.903,1157048,0
19820324,5.9314,6.0068,5.8557,5.9314,1690675,0
19820325,5.9314,6.0352,5.8275,5.8652,1133329,0
19820326,5.7329,5.8557,5.6196,5.667,1218033,0
19820329,5.667,5.7329,5.5818,5.7329,682707,0
19820330,5.6858,5.7141,5.629,5.6858,839831,0
19820331,5.7046,5.7517,5.6479,5.6858,1184998,0
19820401,5.7708,5.903,5.629,5.903,1236244,0
19820402,6.0352,6.1485,5.9126,6.1014,1627573,0
19820405,6.0068,6.1014,5.903,5.9691,740730,0
19820406,6.0352,6.1014,5.9691,6.0823,821619,0
19820407,6.1485,6.2052,6.0823,6.1485,1543290,0
19820408,6.2525,6.3373,6.1485,6.2336,1640701,0
19820412,6.2052,6.2525,6.1391,6.1485,936815,0
19820413,6.1485,6.2145,6.0823,6.1014,851692,0
19820414,6.0539,6.1014,6.0068,6.0823,733528,0
19820415,6.0352,6.0636,5.9785,6.0352,479420,0
19820416,6.0352,6.1674,6.0164,6.0636,813999,0
19820419,6.0352,6.0823,5.9691,5.9785,755553,0
19820420,5.8557,5.9691,5.7329,5.7802,1168481,0
19820421,5.6196,5.7141,5.5157,5.629,2383125,0
19820422,5.8557,5.9785,5.7046,5.9785,3012892,0
19820423,6.2052,6.2997,6.1014,6.2618,2480957,0
