Date,Open,High,Low,Close,Volume,OpenInt
20120928,18.865,19.296,18.48,18.964,9570915,0
20121001,19.277,19.315,18.92,19.135,1340335,0
20121002,19.135,19.135,18.874,18.974,594786,0
20121003,18.92,19.054,18.685,18.83,403374,0
20121004,18.803,18.91,18.74,18.766,299094,0
20121005,18.865,18.936,18.74,18.775,203316,0
20121008,18.694,18.766,18.515,18.587,136561,0
20121009,18.587,18.641,18.461,18.569,208516,0
20121010,18.595,18.676,18.595,18.605,82813,0
20121011,18.623,18.902,18.569,18.794,276706,0
20121012,18.775,18.874,18.74,18.83,402260,0
20121015,18.91,18.91,18.731,18.856,89182,0
20121016,18.713,18.794,18.685,18.704,83342,0
20121017,18.704,18.874,18.704,18.74,88028,0
20121018,18.794,18.794,18.605,18.704,46711,0
20121019,18.641,18.659,18.227,18.56,135716,0
20121022,18.317,18.461,18.317,18.442,60306,0
20121023,18.416,18.623,18.147,18.47,190981,0
20121024,18.506,18.865,18.461,18.488,208224,0
20121025,18.532,18.595,18.407,18.416,57644,0
20121026,18.416,18.488,18.272,18.371,113560,0
20121031,18.497,18.506,18.049,18.147,264379,0
20121101,18.049,18.399,17.705,18.309,196545,0
20121102,18.39,18.542,18.147,18.21,51572,0
20121105,18.129,18.317,17.994,18.281,79046,0
20121106,18.191,18.856,17.975,18.794,87303,0
20121107,18.676,18.676,18.084,18.506,69949,0
20121108,18.452,18.551,18.12,18.129,227570,0
20121109,18.039,18.884,18.039,18.263,77652,0
20121112,18.327,18.497,18.12,18.156,98048,0
20121113,18.201,18.201,17.607,17.787,130528,0
20121114,17.743,18.003,17.14,17.222,681341,0
20121115,17.168,17.428,16.673,16.755,112300,0
20121116,16.853,17.492,16.808,17.033,131910,0
20121119,17.087,17.482,17.006,17.041,119345,0
20121120,17.104,17.464,16.934,16.988,113557,0
20121121,17.023,17.069,16.403,16.853,111883,0
20121123,16.88,17.113,16.771,17.069,13922,0
20121126,17.249,17.355,17.033,17.176,23196,0
20121127,17.266,17.814,17.069,17.563,81529,0
20121128,17.625,17.823,17.339,17.544,79865,0
20121129,17.544,17.833,17.428,17.671,30160,0
20121130,17.581,17.859,17.554,17.752,30287,0
20121203,17.724,17.967,17.671,17.904,42866,0
20121204,17.922,17.922,17.554,17.634,12309,0
20121205,17.877,17.904,17.437,17.607,32559,0
20121206,17.842,17.913,17.517,17.805,33307,0
20121207,18.327,18.327,17.563,17.795,67169,0
20121210,17.697,17.833,17.329,17.428,28618,0
20121211,17.355,17.625,17.293,17.501,35532,0
20121212,17.482,17.517,17.168,17.239,68215,0
20121213,17.266,17.715,16.898,17.329,161358,0
20121214,17.293,17.464,17.23,17.302,100217,0
20121217,17.653,17.653,17.302,17.492,9474,0
20121218,17.554,18.084,17.402,17.805,52691,0
20121219,17.535,18.39,17.392,17.733,62247,0
20121220,17.445,17.959,17.445,17.779,56068,0
20121221,17.581,18.003,17.293,17.392,126610,0
20121224,17.32,17.581,17.32,17.374,3827,0
20121226,17.348,17.348,17.104,17.194,35947,0
20121227,17.123,17.689,16.908,17.411,44462,0
20121228,17.293,17.509,17.113,17.293,75946,0
20121231,17.194,17.833,17.159,17.814,109574,0
20130102,17.994,18.336,17.814,18.129,106871,0
20130103,18.074,18.219,17.877,18.012,16253,0
20130104,18.012,18.191,17.913,18.012,15551,0
20130107,18.021,18.156,17.842,17.967,27882,0
20130108,17.814,18.111,17.814,17.869,208943,0
20130109,17.752,17.949,16.771,17.625,202936,0
20130110,17.842,18.057,17.705,17.869,114565,0
20130111,17.805,17.931,17.662,17.743,231644,0
20130114,17.715,17.85,17.535,17.752,10798,0
20130115,17.607,17.931,17.607,17.634,101333,0
20130116,17.671,17.949,17.445,17.662,65629,0
20130117,17.643,17.814,17.554,17.681,152571,0
20130118,17.607,17.913,17.572,17.653,208049,0
20130122,17.689,18.343,17.689,17.985,275441,0
20130123,17.959,18.156,17.85,18.065,100406,0
20130124,18.164,19.054,18.164,18.676,100424,0
20130125,18.811,19.206,18.775,19.163,134289,0
20130128,19.163,20.186,19.163,19.728,136230,0
20130129,19.728,19.889,19.566,19.656,68775,0
20130130,19.701,20.248,19.539,19.719,148003,0
20130131,19.898,20.069,19.315,19.647,158928,0
20130201,19.763,19.853,19.629,19.647,123051,0
20130204,19.656,19.673,19.215,19.638,105482,0
20130205,19.665,19.756,19.153,19.437,41933,0
20130206,19.464,19.665,19.318,19.546,60859,0
20130207,19.509,19.848,19.371,19.683,95289,0
20130208,19.629,20.123,19.464,19.913,23834,0
20130211,19.913,20.81,19.913,20.728,182744,0
20130212,20.819,20.902,20.598,20.791,63201,0
20130213,20.828,21.048,20.581,20.819,27336,0
20130214,20.81,21.057,20.672,20.993,55687,0
20130215,21.039,21.057,20.415,20.462,49735,0
20130219,20.424,20.746,20.234,20.507,155349,0
20130220,20.434,20.737,20.15,20.324,112547,0
20130221,20.197,20.324,19.922,19.976,79178,0
20130222,20.114,20.168,19.73,19.838,46584,0
20130225,20.078,20.168,19.564,19.683,46840,0
20130226,19.683,20.086,19.683,19.831,62834,0
20130227,19.949,20.371,19.857,20.168,216719,0
20130228,20.279,20.772,20.279,20.617,44236,0
20130301,21.039,21.148,20.415,20.993,78653,0
20130304,21.029,21.13,20.672,21.021,74638,0
20130305,21.011,21.891,21.002,21.24,72652,0
20130306,21.24,22.256,21.24,21.974,25794,0
20130307,21.974,22.192,21.578,22.119,26023,0
20130308,22.065,23.126,21.882,22.65,132846,0
20130311,22.595,23.529,22.531,22.797,64593,0
20130312,22.705,23.95,22.11,23.95,137405,0
20130313,23.941,24.299,23.374,23.557,105622,0
20130314,23.804,24.151,21.615,23.419,334932,0
20130315,23.51,24.472,23.273,23.795,133630,0
20130318,23.529,24.362,23.153,23.987,59571,0
20130319,24.014,24.352,23.858,24.161,57051,0
20130320,24.005,24.343,23.51,24.142,29224,0
20130321,24.216,25.36,24.041,24.637,155544,0
20130322,24.555,26.092,24.426,24.901,125074,0
20130325,24.81,25.231,24.582,24.829,91746,0
20130326,24.993,25.709,24.207,25.396,92404,0
20130327,25.131,25.579,25.057,25.396,67667,0
20130328,25.231,25.487,25.186,25.387,57558,0
20130401,25.35,25.709,25.195,25.442,80710,0
20130402,25.442,25.626,25.177,25.342,26340,0
20130403,25.342,25.405,23.84,24.435,131942,0
20130404,24.362,24.792,23.895,24.463,115512,0
20130405,24.169,24.508,24.005,24.352,26411,0
20130408,24.389,25.104,24.381,24.692,23200,0
20130409,24.901,25.726,24.747,25.525,47320,0
20130410,25.671,26.001,25.186,25.552,60916,0
20130411,25.634,25.845,25.304,25.561,24439,0
20130412,25.561,26.046,25.297,25.643,40742,0
20130415,25.506,25.936,24.92,25.057,211311,0
20130416,25.479,25.927,25.177,25.268,49372,0
20130417,25.369,25.854,25.085,25.304,30232,0
20130418,25.342,25.643,24.454,24.819,17207,0
20130419,24.993,25.487,24.49,24.645,24239,0
20130422,25.085,25.479,24.307,25.031,46114,0
20130423,24.901,25.506,24.536,24.967,107833,0
20130424,25.022,25.14,24.719,24.719,18556,0
20130425,24.674,25.094,24.582,24.838,82576,0
20130426,24.901,25.241,24.81,25.195,19774,0
20130429,24.747,25.25,24.728,25.131,49847,0
20130430,25.049,25.342,25.012,25.177,18496,0
20130501,25.149,25.297,24.957,24.967,49238,0
20130502,25.195,25.516,24.974,25.25,19480,0
20130503,25.186,25.342,24.967,25.14,73222,0
20130506,25.326,25.699,25.065,25.642,125247,0
20130507,25.679,25.699,25.336,25.447,10428,0
20130508,25.242,26.042,25.196,25.8,75853,0
20130509,25.558,25.987,25.558,25.987,27076,0
20130510,25.596,26.498,25.54,26.385,21763,0
20130513,26.404,26.498,26.061,26.311,37023,0
20130514,26.404,27.437,26.218,26.87,90327,0
20130515,26.944,27.26,26.395,26.73,45073,0
20130516,26.637,27.567,26.581,27.093,38687,0
20130517,27.139,28.98,27.139,28.654,256150,0
20130520,28.654,29.546,28.432,28.525,43419,0
20130521,28.748,29.045,27.697,28.645,64788,0
20130522,28.924,28.962,27.995,28.645,106145,0
20130523,28.19,29.695,28.088,28.757,43685,0
20130524,28.98,30.264,28.767,29.836,60910,0
20130528,30.113,30.765,28.998,29.64,98318,0
20130529,29.64,30.171,29.064,29.203,105472,0
20130530,29.073,29.51,28.626,28.98,164587,0
20130531,28.821,29.055,28.069,28.98,74872,0
20130603,28.98,29.175,28.58,28.802,52765,0
20130604,28.831,29.055,28.404,28.683,31031,0
20130605,29.11,30.206,28.738,29.575,97162,0
20130606,29.798,30.709,29.603,30.058,77365,0
20130607,30.068,30.765,29.752,30.264,64881,0
20130610,30.542,30.616,30.113,30.245,32978,0
20130611,30.105,31.099,29.938,30.635,44613,0
20130612,31.156,32.067,30.83,31.443,119316,0
20130613,31.594,31.899,31.016,31.555,46069,0
20130614,31.89,32.16,31.472,31.501,82615,0
20130617,31.862,32.254,30.682,31.565,87704,0
20130618,31.686,31.686,31.007,31.388,56938,0
20130619,31.174,31.501,30.7,31.258,19873,0
20130620,31.425,31.425,30.783,31.072,105697,0
20130621,31.099,32.002,30.774,32.002,43674,0
20130624,31.965,31.965,30.709,30.821,109695,0
20130625,30.857,31.072,30.235,30.57,211390,0
20130626,31.118,32.912,31.044,31.816,146528,0
20130627,32.076,32.225,31.899,32.067,93282,0
20130628,32.924,32.934,32.228,32.6,288161,0
20130701,31.89,32.541,31.703,32.337,80070,0
20130702,32.541,32.662,31.862,32.086,81420,0
20130703,31.992,32.346,31.23,31.89,51282,0
20130705,31.89,32.123,31.778,32.067,37673,0
20130708,32.187,32.504,31.89,32.383,119326,0
20130709,32.596,32.643,31.899,32.038,47667,0
20130710,32.067,32.383,31.751,31.835,31898,0
20130711,32.151,32.337,31.053,31.965,116236,0
20130712,32.254,32.392,31.221,31.61,113457,0
20130715,31.388,32.513,31.379,32.308,64933,0
20130716,31.955,32.429,31.639,31.909,51448,0
20130717,32.261,32.354,31.183,31.379,36690,0
20130718,31.379,32.187,31.258,31.398,31237,0
20130719,31.174,31.629,31.156,31.341,26711,0
20130722,31.62,31.77,31.24,31.443,21150,0
20130723,31.35,31.703,31.202,31.462,71688,0
20130724,31.501,32.048,31.146,31.527,36880,0
20130725,31.649,31.649,30.783,31.146,65545,0
20130726,31.165,31.983,31.165,31.937,79849,0
20130729,32.038,32.328,31.61,31.918,45994,0
20130730,32.16,32.299,31.192,31.601,30090,0
20130731,32.076,32.912,31.629,31.76,63821,0
20130801,32.727,32.857,31.946,32.429,30834,0
20130802,32.866,32.866,31.89,32.067,55607,0
20130805,31.94,32.278,31.752,32.062,37489,0
20130806,31.874,32.505,31.874,32.204,18800,0
20130807,32.015,32.326,31.996,32.204,90223,0
20130808,32.486,32.797,32.034,32.269,25796,0
20130809,31.977,32.57,31.874,32.241,40196,0
20130812,32.241,32.391,31.798,32.383,29481,0
20130813,32.157,32.909,31.742,31.968,10555,0
20130814,31.694,32.448,31.694,32.383,16683,0
20130815,32.74,32.749,31.638,31.648,16673,0
20130816,31.6,32.128,30.668,30.754,66648,0
20130819,30.819,31.365,30.696,31.121,30444,0
20130820,31.121,31.488,30.659,30.763,52310,0
20130821,30.875,31.149,30.602,30.696,33200,0
20130822,30.754,31.498,30.264,30.81,69989,0
20130823,30.716,30.904,30.31,30.31,110963,0
20130826,30.509,31.186,30.386,31.186,14591,0
20130827,30.696,32.137,30.696,32.091,19711,0
20130828,32.599,32.966,30.791,31.064,74066,0
20130829,30.942,32.174,30.386,31.064,52317,0
20130830,31.732,32.362,31.474,31.484,76186,0
20130903,31.355,31.874,30.358,31.016,51061,0
20130904,30.866,31.139,30.33,30.65,8628,0
20130905,30.612,31.186,29.773,30.095,112285,0
20130906,30.368,31.583,30.31,30.414,30308,0
20130909,30.188,30.32,29.773,30.32,52316,0
20130910,30.206,30.668,30.131,30.31,14964,0
20130911,30.339,31.177,30.131,30.555,10506,0
20130912,30.904,31.008,30.225,30.489,9629,0
20130913,30.349,30.988,30.349,30.763,25847,0
20130916,30.838,31.28,30.706,31.092,92063,0
20130917,31.252,31.309,30.856,30.98,9003,0
20130918,31.515,31.798,30.602,30.856,50103,0
20130919,30.838,30.97,30.255,30.895,5227,0
20130920,31.159,31.479,30.725,31.215,45687,0
20130923,30.791,32.204,30.499,31.515,31643,0
20130924,31.544,31.996,31.394,31.544,35877,0
20130925,31.365,32.58,31.365,32.448,32210,0
20130926,32.57,32.834,32.015,32.476,22212,0
20130927,32.269,32.807,31.677,32.58,15065,0
20130930,32.888,33.079,31.894,32.41,27728,0
20131001,32.157,32.927,31.817,32.006,75627,0
20131002,32.373,32.495,31.742,32.157,25616,0
20131003,32.174,32.391,31.779,32.015,16843,0
20131004,31.638,33.165,31.638,32.006,52411,0
20131007,32.174,32.852,31.449,31.534,32501,0
20131008,31.375,31.912,31.167,31.167,16814,0
20131009,31.13,31.864,31.026,31.026,42849,0
20131010,32.174,32.174,30.838,30.875,65090,0
