Date,Open,High,Low,Close,Volume,OpenInt
19900112,7.0528,7.0528,6.8566,7.0528,14183,0
19900115,6.9225,6.9225,6.8566,6.8566,1773,0
19900116,6.7928,6.7928,6.6596,6.7928,13296,0
19900117,6.7928,6.9869,6.7928,6.9869,4609,0
19900118,6.8566,6.9225,6.7928,6.9225,4963,0
19900119,6.9869,7.0528,6.8566,7.0528,4609,0
19900122,7.0528,7.0528,6.9869,7.0528,10106,0
19900123,7.0528,7.0528,6.8566,6.8566,10814,0
19900124,6.7928,6.7928,6.7275,6.7275,2836,0
19900125,6.7928,6.7928,6.7275,6.7275,3369,0
19900126,6.7275,6.7275,6.6596,6.6596,7978,0
19900129,6.5965,6.7275,6.5965,6.7275,6736,0
19900130,6.7928,6.8566,6.7275,6.7275,11169,0
19900131,6.7275,6.7275,6.6596,6.6596,2658,0
19900201,6.5965,6.7275,6.53,6.5965,13296,0
19900202,6.5965,6.5965,6.4656,6.5965,12942,0
19900205,6.7275,6.7275,6.4656,6.53,16310,0
19900206,6.6596,6.7275,6.6596,6.6596,2482,0
19900207,6.5965,6.7275,6.5965,6.7275,5142,0
19900208,6.8566,6.9869,6.6596,6.7275,18437,0
19900209,6.7275,6.8566,6.6596,6.8566,14183,0
19900212,6.8566,6.8566,6.7275,6.7275,26237,0
19900213,6.6596,6.7275,6.6596,6.6596,5851,0
19900214,6.53,6.6596,6.53,6.5965,4963,0
19900215,6.5965,6.5965,6.53,6.53,2482,0
19900216,6.6596,6.6596,6.53,6.53,10460,0
19900220,6.4656,6.6596,6.4656,6.4656,9396,0
19900221,6.4656,6.5965,6.4656,6.5965,15778,0
19900222,6.5965,6.5965,6.4656,6.53,15778,0
19900223,6.53,6.6596,6.53,6.6596,17727,0
19900226,6.6596,6.6596,6.4004,6.4004,14537,0
19900227,6.5965,6.5965,6.4004,6.4656,8509,0
19900228,6.4656,6.6596,6.4656,6.6596,36518,0
19900301,6.6596,6.6596,6.6596,6.6596,2658,0
19900302,6.6596,6.8566,6.6596,6.7928,31909,0
19900305,6.8566,7.2489,6.7928,7.1837,23400,0
19900306,7.3134,7.8369,7.2489,7.8369,96438,0
19900307,7.9672,7.9672,7.5755,7.5755,51942,0
19900308,7.5755,7.5755,7.3134,7.3134,27300,0
19900309,7.5755,7.5755,7.3134,7.3134,19677,0
19900312,7.4445,7.5104,7.3794,7.4445,26237,0
19900313,7.3134,7.3134,7.1837,7.3134,14714,0
19900314,7.3134,7.5104,7.1837,7.5104,32442,0
19900315,7.5755,7.7072,7.5104,7.6399,25528,0
19900316,7.7072,7.7072,7.5104,7.5104,11345,0
19900319,7.4445,7.5104,7.3794,7.5104,6914,0
19900320,7.3794,7.4445,7.3134,7.4445,10814,0
19900321,7.4445,7.4445,7.3794,7.4445,1418,0
19900322,7.4445,7.6399,7.4445,7.5755,23933,0
19900323,7.5755,7.8369,7.5755,7.8369,34924,0
19900326,7.9672,8.1627,7.8369,8.1627,51764,0
19900327,8.1627,8.1627,7.9672,7.9672,70201,0
19900328,7.9672,8.0989,7.9672,7.9672,39711,0
19900329,7.9672,8.1627,7.9672,8.0989,69847,0
19900330,8.0989,8.1627,7.8369,8.1627,54246,0
19900402,8.1627,8.1627,7.7716,7.9672,65238,0
19900403,7.8369,7.9013,7.7072,7.9013,19500,0
19900404,7.7716,7.8369,7.7072,7.7072,19500,0
19900405,7.7072,7.7072,7.3134,7.3134,36872,0
19900406,7.3794,7.3794,6.8566,6.8566,20741,0
19900409,6.9869,7.2489,6.9869,7.2489,18968,0
19900410,7.1837,7.2489,7.1186,7.1186,3545,0
19900411,7.1186,7.3134,6.9869,7.0528,19500,0
19900412,7.1837,7.3794,6.9869,7.0528,15246,0
19900416,6.9869,7.3134,6.9869,7.3134,9573,0
19900417,7.1186,7.1186,6.8566,6.9225,26770,0
19900418,6.8566,7.1186,6.8566,6.9869,11878,0
19900419,7.1186,7.1837,6.9869,6.9869,1951,0
19900420,6.9869,6.9869,6.7928,6.8566,19323,0
19900423,6.9869,6.9869,6.7928,6.7928,10636,0
19900424,6.7928,6.8566,6.7928,6.8566,1596,0
19900425,6.7275,6.7275,6.5965,6.6596,12587,0
19900426,6.5965,6.5965,6.53,6.5965,14891,0
19900427,6.53,6.53,6.4656,6.4656,5318,0
19900430,6.5965,6.5965,6.4004,6.4004,1242,0
19900501,6.4656,6.8566,6.4656,6.6596,36341,0
19900502,6.7928,6.7928,6.6596,6.7275,6027,0
19900503,6.6596,6.6596,6.4656,6.5965,6027,0
19900504,6.4656,6.53,6.4656,6.4656,3545,0
19900507,6.4656,6.6596,6.4656,6.5965,4963,0
19900508,6.5965,6.5965,6.53,6.5965,17195,0
19900509,6.5965,6.8566,6.5965,6.7928,11169,0
19900510,6.8566,6.8566,6.7275,6.8566,47864,0
19900511,6.9869,6.9869,6.9225,6.9225,19500,0
19900514,6.8566,6.8566,6.7275,6.8566,7091,0
19900515,6.5965,6.7275,6.5965,6.7275,16841,0
19900516,6.6596,6.8566,6.6596,6.8566,21982,0
19900517,6.8566,6.8566,6.7928,6.8566,5497,0
19900518,6.8566,6.8566,6.7275,6.7928,18082,0
19900521,6.7928,6.7928,6.7928,6.7928,14183,0
19900522,6.8566,6.8566,6.5965,6.5965,7978,0
19900523,6.7275,6.8566,6.7275,6.7928,5672,0
19900524,6.8566,6.8566,6.7275,6.7275,16841,0
19900525,6.8566,6.8566,6.6596,6.7275,10460,0
19900529,6.7928,6.8566,6.7275,6.8566,22337,0
19900530,6.8566,6.8566,6.6596,6.6596,8154,0
19900531,6.7928,6.7928,6.5965,6.7275,29073,0
19900601,6.6596,6.7275,6.5965,6.5965,9751,0
19900604,6.6596,6.6596,6.5965,6.6596,48396,0
19900605,6.7275,6.7928,6.6596,6.7275,7269,0
19900606,6.6596,6.7928,6.6596,6.7275,40596,0
19900607,6.6596,6.7928,6.6596,6.7275,42901,0
19900608,6.7928,6.8566,6.7275,6.8566,42191,0
19900611,6.8566,6.9225,6.8566,6.8566,21982,0
19900612,6.9225,6.9869,6.8566,6.9869,46092,0
19900613,7.1186,7.4445,7.0528,7.4445,71974,0
19900614,7.4445,7.5104,7.3134,7.3134,43788,0
19900615,7.4445,7.5104,7.3134,7.5104,37760,0
19900618,7.5104,7.7072,7.4445,7.6399,57969,0
19900619,7.5755,7.7716,7.5755,7.7716,26946,0
19900620,7.7716,7.7716,7.7716,7.7716,96438,0
19900621,7.7716,7.7716,7.5755,7.7716,34215,0
19900622,7.7716,7.7716,7.6399,7.7716,23400,0
19900625,7.6399,7.7072,7.4445,7.5104,23045,0
19900626,7.5104,7.6399,7.5104,7.6399,22691,0
19900627,7.5755,7.7072,7.5104,7.7072,10106,0
19900628,7.7716,7.7716,7.6399,7.7716,55843,0
19900629,7.7716,7.7716,7.7072,7.7716,9218,0
19900702,7.7072,7.7716,7.7072,7.7716,45205,0
19900703,7.7716,7.7716,7.7072,7.7072,154760,0
19900705,7.7072,7.7716,7.5755,7.6399,12233,0
19900706,7.5104,7.5104,7.4445,7.5104,15246,0
19900709,7.5104,7.5755,7.4445,7.5104,28896,0
19900710,7.5104,7.5104,7.4445,7.4445,17905,0
19900711,7.5104,7.5104,7.4445,7.5104,23933,0
19900712,7.5755,7.5755,7.5104,7.5104,11523,0
19900713,7.5104,7.6399,7.5104,7.5104,17905,0
19900716,7.5755,7.5755,7.5104,7.5104,13296,0
19900717,7.5104,7.5104,7.2489,7.3794,33328,0
19900718,7.2489,7.3794,7.1837,7.3134,17905,0
19900719,7.3134,7.5104,7.2489,7.5104,21982,0
19900720,7.3794,7.5104,7.3134,7.3794,6205,0
19900723,7.3134,7.3134,7.1186,7.1186,14183,0
19900724,7.1186,7.1837,7.1186,7.1837,10636,0
19900725,7.2489,7.2489,7.1186,7.1837,2658,0
19900726,7.1837,7.2489,7.1837,7.2489,1773,0
19900727,7.2489,7.3134,7.1837,7.1837,9396,0
19900730,7.1837,7.2489,7.0528,7.1186,22869,0
19900731,7.1186,7.2489,7.1186,7.2489,33860,0
19900801,7.1837,7.2489,7.1186,7.1837,7445,0
19900802,7.1837,7.1837,7.0528,7.0528,20564,0
19900803,7.0528,7.0528,6.8566,6.9225,17727,0
19900806,6.8566,6.8566,6.6596,6.6596,25882,0
19900807,6.7275,6.7928,6.6596,6.7275,15069,0
19900808,6.7275,6.7928,6.53,6.53,26946,0
19900809,6.5965,6.7928,6.5965,6.7928,8864,0
19900810,6.7928,6.8566,6.7275,6.8566,6205,0
19900813,6.8566,6.8566,6.6596,6.6596,14183,0
19900814,6.7928,6.8566,6.7275,6.7928,15423,0
19900815,6.7928,6.8566,6.7275,6.7275,20387,0
19900816,6.7928,6.7928,6.6596,6.7928,4078,0
19900817,6.7275,6.7275,6.6596,6.7275,12942,0
19900820,6.6596,6.7275,6.6596,6.6596,3545,0
