Date,Open,High,Low,Close,Volume,OpenInt
20050225,26.588,26.738,26.543,26.73,46601,0
20050228,26.73,26.783,26.512,26.701,78201,0
20050301,26.662,26.662,26.361,26.551,85899,0
20050302,26.543,26.551,26.4,26.475,62666,0
20050303,26.588,26.701,26.414,26.662,60676,0
20050304,26.588,26.964,26.414,26.776,85899,0
20050307,26.852,26.995,26.618,26.971,48726,0
20050308,26.889,27.055,26.813,27.048,63861,0
20050309,26.866,27.115,26.852,26.852,50719,0
20050310,26.859,26.859,26.512,26.701,89750,0
20050311,26.701,26.852,26.557,26.813,54967,0
20050314,26.813,26.964,26.701,26.881,60676,0
20050315,27.04,27.04,26.828,26.836,43283,0
20050316,26.738,26.828,26.662,26.662,48859,0
20050317,26.4,26.738,26.4,26.738,82050,0
20050318,26.588,26.926,26.588,26.776,40762,0
20050321,26.662,26.776,26.52,26.573,52709,0
20050322,26.438,26.678,26.438,26.609,67445,0
20050323,26.609,26.609,26.197,26.249,87492,0
20050324,26.355,26.438,25.805,25.843,167951,0
20050328,25.916,26.022,25.684,25.932,92406,0
20050329,25.932,25.932,25.609,25.737,91347,0
20050330,25.737,25.978,25.668,25.766,58019,0
20050331,25.819,26.06,25.766,25.94,73687,0
20050401,25.94,26.099,25.676,25.76,56692,0
20050404,25.872,25.872,25.617,25.864,37972,0
20050405,25.864,26.067,25.834,25.985,44477,0
20050406,26.075,26.099,25.623,25.721,83776,0
20050407,25.646,25.798,25.397,25.782,95593,0
20050408,25.858,25.858,25.495,25.609,42485,0
20050411,25.721,25.91,25.533,25.715,74218,0
20050412,25.609,25.684,25.382,25.503,102760,0
20050413,25.571,25.594,25.043,25.135,73286,0
20050414,24.945,25.059,23.763,24.48,331787,0
20050415,24.29,24.554,24.253,24.485,149364,0
20050418,24.614,24.848,24.48,24.667,112189,0
20050419,24.855,24.931,24.667,24.704,106746,0
20050420,24.63,24.855,24.48,24.524,126130,0
20050421,24.48,25.12,24.48,24.893,126395,0
20050422,25.082,25.104,24.704,24.855,142991,0
20050425,25.006,25.519,24.893,25.42,151224,0
20050426,25.495,25.752,25.435,25.511,60809,0
20050427,25.609,25.872,25.495,25.76,70898,0
20050428,25.798,26.112,25.76,25.858,53374,0
20050429,25.239,25.533,25.179,25.495,45939,0
20050502,25.495,25.609,25.382,25.519,38239,0
