Date,Open,High,Low,Close,Volume,OpenInt
20050225,15.509,15.764,15.509,15.582,137564,0
20050228,15.674,15.701,15.481,15.637,244080,0
20050301,15.49,16.038,15.49,15.937,268079,0
20050302,15.856,16.294,15.856,16.121,350631,0
20050303,16.202,16.432,16.13,16.348,272236,0
20050304,16.276,16.413,16.139,16.357,293510,0
20050307,16.157,16.768,16.102,16.294,723564,0
20050308,16.258,16.476,16.22,16.376,210111,0
20050309,16.258,16.276,15.701,15.984,439584,0
20050310,15.49,15.692,15.49,15.582,962196,0
20050311,15.153,15.235,14.952,15.207,612366,0
20050314,15.308,15.445,15.135,15.419,488277,0
20050315,15.49,15.901,15.354,15.774,853224,0
20050316,15.674,15.847,15.537,15.838,494780,0
20050317,15.728,15.892,15.481,15.655,392707,0
20050318,15.692,15.792,15.518,15.674,724518,0
20050321,15.71,15.71,15.318,15.318,574240,0
20050322,15.245,15.683,15.189,15.528,627656,0
20050323,15.472,15.564,15.108,15.226,602184,0
20050324,15.181,15.509,15.053,15.363,801741,0
20050328,15.454,15.764,15.308,15.308,445033,0
20050329,15.308,15.637,15.273,15.427,182972,0
20050330,15.427,15.6,15.372,15.518,369769,0
20050331,15.518,15.71,15.436,15.564,723867,0
20050401,15.655,15.728,15.217,15.308,292868,0
20050404,15.308,15.746,15.198,15.637,397571,0
20050405,15.701,15.701,15.391,15.4,452990,0
20050406,15.546,15.591,15.326,15.41,869194,0
20050407,15.546,16.175,15.528,16.175,1035272,0
20050408,16.23,16.622,16.139,16.258,764978,0
20050411,16.202,16.329,16.011,16.065,536099,0
20050412,15.993,16.568,15.819,16.541,683546,0
20050413,16.531,16.612,16.422,16.476,573206,0
20050414,16.577,16.612,15.874,16.02,672874,0
20050415,16.02,16.093,15.454,15.537,319952,0
20050418,15.692,15.847,15.254,15.556,566237,0
20050419,15.537,15.993,15.537,15.692,474109,0
20050420,15.947,16.166,15.172,15.172,547037,0
20050421,15.419,15.627,15.3,15.4,438606,0
20050422,15.454,15.454,15.217,15.3,274125,0
20050425,15.335,15.783,15.326,15.737,487706,0
20050426,15.627,15.984,15.609,15.719,486929,0
20050427,15.692,15.874,15.462,15.719,368477,0
20050428,15.683,15.683,15.308,15.308,278755,0
20050429,15.372,15.637,15.071,15.335,1020036,0
20050502,15.41,15.509,15.163,15.235,410521,0
20050503,15.245,15.318,15.098,15.163,489547,0
20050504,15.098,15.856,15.098,15.783,874622,0
20050505,15.81,15.92,15.4,15.683,847082,0
20050506,15.783,15.956,15.783,15.856,606743,0
20050509,15.801,16.002,15.801,16.002,552400,0
20050510,15.92,16.065,15.92,15.947,266548,0
20050511,15.947,16.13,15.829,16.121,259876,0
20050512,16.047,16.276,15.965,16.065,372381,0
20050513,15.993,16.038,15.5,15.646,503554,0
20050516,15.618,16.166,15.618,16.102,304996,0
20050517,16.038,16.192,15.975,16.002,469629,0
20050518,16.112,16.112,15.774,15.91,672661,0
20050519,15.245,15.975,15.144,15.582,1270845,0
20050520,15.728,15.856,15.41,15.6,424106,0
20050523,15.655,15.655,15.29,15.354,695677,0
20050524,15.436,15.719,15.29,15.665,330280,0
20050525,15.692,15.774,15.472,15.546,271596,0
20050526,15.701,15.984,15.692,15.892,407373,0
20050527,15.984,16.047,15.892,16.02,212047,0
20050531,15.965,15.993,15.591,15.838,604362,0
20050601,15.701,16.276,15.701,16.202,717690,0
20050602,16.311,17.078,16.23,17.059,1063779,0
20050603,17.087,17.196,16.777,16.978,757516,0
20050606,16.796,17.042,16.74,17.023,452708,0
20050607,16.914,17.361,16.86,16.96,688856,0
20050608,17.178,17.196,17.023,17.106,393660,0
20050609,16.978,17.38,16.969,17.233,490234,0
20050610,17.262,17.262,17.169,17.205,303399,0
20050613,17.169,17.314,17.068,17.224,488369,0
