Date,Open,High,Low,Close,Volume,OpenInt
20140519,24.86,24.86,24.8,24.86,1719,0
20140520,24.88,24.88,24.68,24.68,2648,0
20140521,24.89,25,24.69,25,6509,0
20140522,24.97,24.99,24.97,24.98,5479,0
20140523,24.97,24.98,24.92,24.92,1965,0
20140527,25,25,25,25,1667,0
20140528,24.91,25,24.9,25,1577,0
20140530,24.84,24.84,24.84,24.84,1000,0
20140602,24.56,24.74,24.31,24.55,10872,0
20140603,24.56,24.56,24.36,24.43,7920,0
20140604,24.56,24.56,24.31,24.31,4306,0
20140605,24.55,24.56,24.55,24.56,1010,0
20140606,24.43,24.43,24.28,24.39,10392,0
20140609,24.4,24.54,24.4,24.54,1950,0
20140610,24.47,24.47,24.47,24.47,200,0
20140611,24.52,24.59,24.52,24.56,1825,0
20140612,24.55,24.64,24.5,24.5,5171,0
20140613,24.41,24.45,24.4,24.44,2351,0
20140616,24.35,24.44,24.35,24.44,770,0
20140617,24.74,24.74,24.63,24.63,1049,0
20140618,24.6,24.64,24.6,24.64,3212,0
20140619,24.58,24.83,24.45,24.52,7475,0
20140620,24.75,24.78,24.67,24.78,2887,0
20140623,24.88,24.91,24.51,24.91,10600,0
20140624,24.84,24.84,24.84,24.84,1000,0
20140625,24.79,24.98,24.68,24.75,9995,0
20140626,24.59,24.77,24.59,24.77,2665,0
20140627,24.63,24.79,24.62,24.79,1630,0
20140630,24.77,24.77,24.77,24.77,146,0
20140701,24.73,24.8,24.66,24.66,622,0
20140702,24.7,24.99,24.7,24.99,700,0
20140703,24.72,24.72,24.72,24.72,200,0
20140707,24.96,24.96,24.71,24.71,381,0
20140708,24.84,24.97,24.55,24.72,5050,0
20140709,24.61,24.87,24.57,24.72,8270,0
20140710,24.6,24.66,24.57,24.57,2700,0
20140711,24.6,24.7,24.44,24.62,10485,0
20140714,24.64,24.66,24.43,24.55,3350,0
20140715,24.43,24.66,24.43,24.63,3425,0
20140716,24.5,24.5,24.33,24.43,4366,0
20140717,24.45,24.81,24.36,24.54,7877,0
20140718,24.46,24.6,24.45,24.6,400,0
20140721,24.5,24.74,24.48,24.57,1750,0
20140722,24.64,24.89,24.6,24.77,3903,0
20140723,24.97,24.97,24.7,24.7,2654,0
20140724,24.61,24.7,24.61,24.7,1200,0
20140725,24.65,24.65,24.61,24.61,600,0
20140728,24.66,24.75,24.61,24.75,1395,0
20140729,24.29,24.75,24.29,24.75,3325,0
20140730,24.73,24.73,24.71,24.71,300,0
20140731,24.74,24.75,24.42,24.73,4050,0
20140804,24.41,24.81,24.41,24.76,2500,0
20140806,24.63,24.63,24.58,24.58,552,0
20140807,24.54,24.68,24.54,24.68,2120,0
20140808,24.62,24.78,24.6,24.78,2480,0
20140811,24.82,24.84,24.68,24.84,2509,0
20140813,24.85,24.85,24.8,24.85,2403,0
20140814,24.84,24.84,24.69,24.73,2337,0
20140815,24.79,24.84,24.78,24.78,2337,0
20140818,24.84,24.84,24.75,24.75,1100,0
20140819,24.8,24.85,24.78,24.78,2700,0
20140820,24.8,24.95,24.8,24.81,3807,0
20140821,24.78,24.78,24.78,24.78,148,0
20140822,24.95,24.95,24.95,24.95,100,0
20140825,24.92,24.95,24.78,24.78,4900,0
20140826,24.66,24.76,24.66,24.76,500,0
20140827,24.76,24.98,24.76,24.92,6550,0
20140828,24.36,24.52,24.36,24.52,1400,0
20140829,24.53,24.6,24.41,24.42,3000,0
20140902,24.48,24.5,24.45,24.48,3000,0
20140903,24.43,24.57,24.4,24.5,6710,0
20140904,24.5,24.5,24.4,24.4,500,0
20140905,24.55,24.55,24.55,24.55,1000,0
20140908,24.51,24.51,24.4,24.4,1325,0
20140909,24.48,24.5,24.4,24.4,1000,0
20140910,24.4,24.41,24.39,24.39,2516,0
20140911,24.28,24.29,23.97,24.16,8458,0
20140912,24.03,24.09,23.96,23.99,13217,0
20140915,24,24,23.73,23.83,7333,0
20140916,24.1,24.17,23.9,23.92,10015,0
20140917,23.92,24.23,23.92,24.1,8018,0
20140918,23.97,24.13,23.92,24.03,10568,0
20140919,23.76,23.95,23.76,23.95,1362,0
20140922,23.96,24,23.94,23.94,400,0
