Date,Open,High,Low,Close,Volume,OpenInt
20121023,21.892,21.98,21.849,21.892,36509,0
20121024,21.918,21.936,21.83,21.892,103874,0
20121025,21.91,22.006,21.849,21.963,73296,0
20121026,21.963,22.234,21.936,22.234,65897,0
20121031,21.98,22.489,21.567,22.095,71265,0
20121101,22.753,22.753,22.129,22.243,19640,0
20121102,22.366,22.412,22.111,22.218,27808,0
20121105,22.323,22.323,22.19,22.252,15311,0
20121106,22.28,22.446,22.218,22.418,34162,0
20121107,22.464,22.464,22.418,22.464,2390,0
20121108,22.357,22.418,22.289,22.375,66447,0
20121109,22.296,22.375,22.289,22.375,796,0
20121112,22.375,22.412,22.261,22.28,5787,0
20121113,22.243,22.289,22.067,22.181,5996,0
20121114,22.234,22.234,21.453,22.015,13614,0
20121115,22.129,22.138,21.557,22.058,9912,0
20121116,22.138,22.2,21.778,22.147,21724,0
20121119,22.234,22.234,21.972,21.972,8850,0
20121120,21.953,22.35,21.839,22.2,34566,0
20121121,22.313,22.313,21.98,22.209,11650,0
20121123,22.243,22.243,22.243,22.243,682,0
20121126,22.243,22.243,21.83,22.129,8946,0
20121127,22.129,22.129,22.086,22.111,21953,0
20121128,22.05,22.058,21.972,21.98,16663,0
20121129,22.27,22.418,22.058,22.418,36399,0
20121130,22.234,22.234,22.156,22.2,75912,0
20121203,22.19,22.2,22.076,22.076,15337,0
20121204,22.111,22.19,21.963,21.963,6884,0
20121205,21.98,22.19,21.936,21.936,11730,0
20121206,22.103,22.103,21.892,21.944,9440,0
20121207,21.804,22.103,21.804,22.006,7515,0
20121210,22.024,22.024,21.972,21.98,12985,0
20121211,21.98,21.98,21.778,21.892,19190,0
20121212,21.98,21.98,21.892,21.91,7107,0
20121213,21.901,22.042,21.901,21.936,17572,0
20121214,21.901,21.901,21.646,21.849,15203,0
20121217,21.671,21.936,21.541,21.698,62778,0
20121218,21.698,21.707,21.541,21.602,45424,0
20121219,21.637,21.769,21.347,21.496,47865,0
20121220,21.505,21.628,21.417,21.541,39480,0
20121221,21.541,21.972,21.347,21.69,53927,0
20121224,21.619,21.637,21.557,21.584,8417,0
20121226,21.487,21.716,21.399,21.716,13723,0
20121227,21.856,21.856,21.557,21.83,5847,0
20121228,21.646,21.804,21.646,21.804,8611,0
20121231,21.849,22.2,21.197,21.33,29990,0
20130102,21.883,21.883,21.33,21.541,20190,0
20130103,21.821,21.865,21.584,21.865,13504,0
20130104,21.98,22.129,21.944,21.963,19300,0
20130107,21.98,21.98,21.804,21.804,7767,0
20130108,21.963,21.963,21.794,21.856,16736,0
20130109,21.874,21.874,21.751,21.849,15200,0
20130110,21.83,21.972,21.69,21.778,9105,0
20130111,21.794,21.883,21.671,21.794,13876,0
20130114,21.963,21.963,21.813,21.91,13653,0
20130115,21.742,21.91,21.69,21.769,22866,0
20130116,21.68,21.856,21.68,21.726,17767,0
20130117,21.698,21.883,21.698,21.759,16406,0
20130118,21.883,21.997,21.759,21.98,39373,0
20130122,22.058,22.067,21.997,22.033,11188,0
20130123,21.918,22.076,21.918,22.076,24227,0
20130124,22.024,22.111,21.865,21.944,29752,0
20130125,22.042,22.332,22.033,22.261,7357,0
20130128,22.156,22.156,22.058,22.129,8038,0
20130129,21.997,22.129,21.988,22.111,21817,0
20130130,22.033,22.209,22.006,22.058,13035,0
20130131,22.067,22.156,22.015,22.05,20659,0
20130201,22.067,22.181,21.988,22.181,17321,0
20130204,22.103,22.19,22.024,22.138,13115,0
20130205,22.111,22.28,22.042,22.28,14555,0
20130206,22.234,22.366,22.2,22.243,14644,0
20130207,22.227,22.289,22.165,22.173,7195,0
20130208,22.181,22.181,22.111,22.111,9583,0
20130211,22.252,22.357,22.234,22.341,5595,0
20130212,22.313,22.323,22.173,22.181,20574,0
20130213,22.129,22.289,22.129,22.234,11097,0
20130214,22.261,22.332,22.209,22.218,10919,0
20130215,22.156,22.304,22.156,22.243,8303,0
20130219,22.28,22.323,22.218,22.28,18779,0
20130220,22.243,22.418,22.243,22.296,12229,0
20130221,22.243,22.455,22.227,22.304,10990,0
20130222,22.418,22.418,22.332,22.35,6253,0
20130225,22.366,22.366,22.156,22.209,16597,0
20130226,22.243,22.289,22.165,22.261,6054,0
20130227,22.507,22.66,22.472,22.588,15644,0
20130228,22.623,22.704,22.623,22.704,7499,0
20130301,22.579,22.676,22.497,22.676,2968,0
20130304,22.597,22.676,22.56,22.623,8428,0
20130305,22.56,22.757,22.56,22.676,10257,0
20130306,22.588,22.632,22.56,22.604,8953,0
20130307,22.651,22.792,22.526,22.579,15692,0
20130308,22.579,22.748,22.579,22.695,19228,0
20130311,22.676,22.767,22.372,22.463,52723,0
20130312,22.507,22.516,22.354,22.479,34541,0
20130313,22.425,22.588,22.391,22.497,16453,0
20130314,22.472,22.569,22.472,22.488,11838,0
20130315,22.569,22.641,22.488,22.569,18154,0
20130318,22.651,22.666,22.551,22.641,8353,0
20130319,22.641,22.641,22.526,22.632,15739,0
20130320,22.641,22.641,22.463,22.516,11986,0
20130321,22.516,22.541,22.444,22.516,18680,0
20130322,22.56,22.623,22.463,22.623,13575,0
20130325,22.666,22.695,22.579,22.632,19860,0
20130326,22.695,22.695,22.435,22.479,13814,0
20130327,22.454,22.917,22.454,22.854,60354,0
20130328,22.873,22.873,22.81,22.873,23291,0
20130401,22.82,22.873,22.722,22.738,14751,0
20130402,22.767,22.767,22.651,22.66,10886,0
20130403,22.613,22.66,22.56,22.56,10238,0
20130404,22.604,22.66,22.535,22.569,22536,0
20130405,22.497,22.632,22.497,22.623,5551,0
20130408,22.551,22.579,22.488,22.497,19563,0
20130409,22.526,22.588,22.41,22.417,54970,0
20130410,22.454,22.738,22.417,22.613,13630,0
20130411,22.66,22.729,22.569,22.713,6160,0
20130412,22.748,22.748,22.604,22.685,5602,0
20130415,22.738,22.748,22.641,22.695,9097,0
20130416,22.651,22.945,22.651,22.738,14325,0
20130417,22.784,22.873,22.738,22.873,8917,0
20130418,22.738,22.864,22.738,22.854,18379,0
20130419,22.792,22.909,22.757,22.873,2128,0
20130422,22.864,22.892,22.854,22.892,2457,0
20130423,22.936,22.936,22.847,22.847,221,0
20130424,22.892,22.926,22.748,22.748,5960,0
20130425,22.892,22.909,22.829,22.854,3470,0
20130426,22.917,22.972,22.882,22.917,6380,0
20130429,22.917,23.008,22.917,22.972,17114,0
20130430,23.097,23.097,22.829,22.963,8339,0
20130501,22.839,22.917,22.713,22.917,5763,0
20130502,22.839,22.936,22.757,22.936,2557,0
20130503,22.847,23.025,22.847,22.873,3492,0
20130506,22.901,22.901,22.757,22.864,11567,0
20130507,22.757,22.909,22.757,22.839,8131,0
20130508,22.901,22.917,22.776,22.847,21845,0
20130509,22.81,22.926,22.729,22.839,8254,0
20130510,22.801,22.892,22.792,22.892,3246,0
20130513,22.873,23.042,22.873,23.042,4096,0
20130514,23.008,23.08,22.926,23.08,6105,0
20130515,23.051,23.051,22.738,23.051,9055,0
20130516,23.042,23.097,23.017,23.017,5148,0
20130517,23.097,23.391,23.097,23.391,2614,0
20130520,23.311,23.311,23.177,23.23,7398,0
20130521,23.221,23.276,22.864,22.873,12452,0
20130522,23.008,23.142,22.901,22.972,8316,0
20130523,22.901,23.186,22.892,23.051,7498,0
20130524,23.105,23.204,23.105,23.142,2602,0
20130528,23.221,23.221,23.221,23.221,862,0
20130529,23.107,23.335,22.845,23.272,8925,0
20130530,23.107,23.289,22.955,22.963,8175,0
20130531,23.09,23.262,23.018,23.19,10088,0
20130603,23.018,23.053,22.818,22.845,3084,0
20130604,22.917,23.117,22.818,23.009,4516,0
20130605,22.99,23.225,22.936,22.936,5473,0
20130606,22.789,22.963,22.773,22.909,5840,0
20130607,23.081,23.136,23.018,23.136,2423,0
20130610,22.963,23.027,22.827,23.027,1147,0
20130611,22.719,23.009,22.691,23.009,4629,0
20130612,22.782,22.917,22.328,22.773,4187,0
20130613,22.691,22.691,22.255,22.691,8129,0
20130614,22.691,23.081,22.691,23.081,3074,0
20130617,22.926,23.009,22.926,22.936,2092,0
20130618,23.081,23.208,23.044,23.053,5045,0
20130619,22.936,23.053,22.7,22.818,8284,0
20130620,22.764,22.782,22.291,22.474,9345,0
20130621,22.656,22.926,22.554,22.691,6334,0
20130624,22.691,22.691,22.237,22.255,5366,0
20130625,22.519,22.519,22.237,22.237,5806,0
20130626,22.411,22.681,21.792,22.573,8191,0
20130627,22.554,22.691,22.418,22.691,6777,0
20130628,23.063,23.985,23.026,23.303,17255,0
20130701,22.726,22.98,22.672,22.936,9167,0
20130702,22.901,23.19,22.901,23.053,12437,0
20130703,22.901,23.117,22.764,22.782,1653,0
20130705,22.973,23.063,22.782,22.917,3417,0
20130708,22.963,23.018,22.782,23.009,7273,0
20130709,22.827,23.044,22.691,22.837,8075,0
20130710,22.973,22.999,22.7,22.909,15816,0
20130711,22.735,23.009,22.735,23.009,2315,0
20130712,22.808,22.917,22.719,22.917,1115,0
20130715,22.789,22.789,22.538,22.691,3996,0
20130716,22.672,22.818,22.455,22.481,5452,0
20130717,22.554,22.827,22.474,22.474,6198,0
20130718,22.691,22.691,22.328,22.563,8914,0
20130719,22.601,22.735,22.601,22.601,9372,0
20130722,22.601,22.726,22.474,22.519,5619,0
20130723,22.474,22.601,22.465,22.601,5426,0
20130724,22.427,22.601,22.255,22.601,16528,0
20130725,22.636,22.636,22.382,22.636,4848,0
20130726,22.7,22.7,22.401,22.401,3073,0
20130729,22.465,22.474,22.347,22.391,6206,0
20130730,22.5,22.509,22.5,22.509,694,0
20130731,22.49,22.71,22.391,22.391,6833,0
20130801,22.156,22.735,22.156,22.337,8737,0
