Date,Open,High,Low,Close,Volume,OpenInt
20111213,38.848,39.601,38.347,38.824,90276,0
20111214,38.536,39.349,38.192,38.52,53154,0
20111215,38.889,38.987,38.52,38.987,82073,0
20111216,39.356,39.356,38.61,38.61,181922,0
20111219,39.217,39.233,38.75,38.938,75674,0
20111220,39.349,39.349,38.2,38.855,149606,0
20111221,38.996,39.315,38.627,39.307,122806,0
20111222,39.34,39.34,38.381,38.651,100630,0
20111223,38.938,39.037,38.586,38.741,109036,0
20111227,38.864,38.864,38.331,38.512,71453,0
20111228,38.446,38.708,38.052,38.684,81868,0
20111229,38.594,38.971,38.355,38.782,96084,0
20111230,38.665,38.92,38.534,38.886,84268,0
20120103,38.987,39.053,38.536,38.922,113267,0
20120104,38.946,39.127,38.667,39.011,123278,0
20120105,39.028,39.151,38.831,38.946,99649,0
20120106,38.764,39.097,38.139,38.412,231075,0
20120109,38.601,38.732,38.143,38.355,112108,0
20120110,38.708,39.02,38.152,38.355,110487,0
20120111,38.163,38.698,38.156,38.288,94027,0
20120112,38.281,38.323,37.863,38.188,124081,0
20120113,38.023,38.205,37.755,38.063,90378,0
20120117,38.063,38.281,37.746,38.281,154490,0
20120118,38.197,38.421,38.13,38.288,109455,0
20120119,38.238,38.73,38.13,38.488,97219,0
20120120,38.73,38.73,38.139,38.572,122811,0
20120123,38.722,39.03,38.63,38.646,202997,0
20120124,38.854,38.964,38.48,38.622,126574,0
20120125,38.689,38.989,38.538,38.872,157536,0
20120126,39.122,39.122,38.854,38.897,128783,0
20120127,38.922,39.055,38.756,38.939,96456,0
20120130,38.713,38.764,38.156,38.398,129848,0
20120131,38.348,38.473,38.129,38.446,133201,0
20120201,38.472,38.472,37.979,38.263,221739,0
20120202,38.43,38.43,38.014,38.139,151171,0
20120203,38.465,38.505,38.072,38.363,70295,0
20120206,38.447,38.456,38.172,38.305,62267,0
20120207,38.339,38.389,38.13,38.256,86702,0
20120208,38.23,38.497,38.188,38.197,120813,0
20120209,38.421,38.421,37.997,38.296,129079,0
20120210,38.296,38.296,37.723,37.881,127220,0
20120213,38.247,38.323,37.83,38.005,156488,0
20120214,38.989,39.172,37.772,38.139,253565,0
20120215,38.13,38.347,37.881,38.197,205796,0
20120216,38.389,38.523,38.163,38.398,127654,0
20120217,39.172,39.422,38.747,39.005,194398,0
20120221,39.172,39.422,39.005,39.172,116195,0
20120222,39.172,39.172,38.83,38.964,96453,0
20120223,39.064,39.172,38.964,39.088,133404,0
20120224,39.33,39.33,38.863,38.922,143982,0
20120227,38.964,38.972,38.722,38.872,87993,0
20120228,38.822,38.839,38.347,38.772,96557,0
20120229,38.671,38.926,38.484,38.706,83144,0
20120301,38.906,38.964,38.663,38.722,73632,0
20120302,38.897,39.073,38.089,38.314,119924,0
20120305,38.105,38.38,37.796,37.997,133830,0
20120306,37.772,38.13,37.455,37.656,93503,0
20120307,37.848,38.139,37.547,38.139,114496,0
