Date,Open,High,Low,Close,Volume,OpenInt
20141126,24.985,25.104,24.985,25.104,11042,0
20141128,25.104,25.104,24.856,25.054,6853,0
20141201,25.054,25.203,25.054,25.054,9322,0
20141202,25.104,25.154,25.084,25.104,5135,0
20141203,25.104,25.203,25.054,25.203,5538,0
20141204,25.243,25.451,25.203,25.322,3149,0
20141205,25.322,25.382,25.302,25.382,3225,0
20141208,25.451,25.451,25.263,25.302,12479,0
20141209,25.471,25.471,25.253,25.302,8012,0
20141210,25.054,25.203,25.054,25.203,5440,0
20141211,25.4,25.5,25.2,25.25,5700,0
20141212,25.26,25.66,25.26,25.66,5981,0
20141215,25.72,25.72,25.2,25.5,45879,0
20141216,25.5,25.62,25.2,25.62,9950,0
20141217,25.51,26.01,25.37,25.97,8300,0
20141218,25.89,25.9,25.66,25.8,3808,0
20141219,25.72,25.96,25.5,25.96,4226,0
20141222,25.76,25.85,25.76,25.77,808,0
20141223,26,26,25.77,25.9,9450,0
20141226,26,26,25.4,25.4,4575,0
20141229,26,26.25,26,26.22,4100,0
20141230,25.9,26,25.9,26,4300,0
20141231,26.09,26.15,25.79,25.81,9796,0
20150105,26.06,26.06,26.06,26.06,100,0
20150106,26,26,26,26,100,0
20150107,25.81,26.08,25.81,26.08,2700,0
20150112,26.1,26.1,26,26,500,0
20150113,25.88,26,25.8,25.8,12900,0
20150114,25.77,25.77,25.02,25.06,8306,0
20150115,25.09,25.25,24.85,25,21193,0
20150116,25,25.24,24.95,25.15,6980,0
