Date,Open,High,Low,Close,Volume,OpenInt
20120927,22.603,22.603,22.293,22.541,195720,0
20120928,22.471,22.56,22.4,22.471,273526,0
20121001,22.603,22.603,22.355,22.426,152820,0
20121002,22.435,22.506,22.364,22.364,185987,0
20121003,22.4,22.417,22.364,22.392,46163,0
20121004,22.515,22.515,22.364,22.426,90561,0
20121005,22.497,22.55,22.454,22.489,54343,0
20121008,22.603,22.603,22.444,22.541,50686,0
20121009,22.586,22.586,22.364,22.392,53363,0
20121010,22.462,22.56,22.417,22.56,60744,0
20121011,22.603,22.603,22.479,22.56,101408,0
20121012,22.603,22.603,22.515,22.586,350823,0
20121015,22.596,22.596,22.479,22.515,37086,0
20121016,22.515,22.55,22.479,22.525,64012,0
20121017,22.55,22.596,22.479,22.55,70354,0
20121018,22.596,22.596,22.506,22.56,20809,0
20121019,22.603,22.603,22.497,22.56,36748,0
20121022,22.603,22.603,22.525,22.541,48707,0
20121023,22.55,22.55,22.444,22.479,48628,0
20121024,22.56,22.603,22.497,22.541,59072,0
20121025,22.603,22.603,22.533,22.586,41293,0
20121026,22.586,22.658,22.577,22.658,58046,0
20121031,22.658,23.002,22.568,22.993,120700,0
20121101,22.976,22.993,22.798,22.958,27823,0
20121102,22.985,22.993,22.878,22.914,86313,0
20121105,22.958,23.002,22.798,22.798,63864,0
20121106,22.826,22.985,22.71,22.869,37927,0
20121107,22.958,22.993,22.826,22.922,26758,0
20121108,22.922,22.985,22.798,22.887,37790,0
20121109,22.932,22.949,22.869,22.897,30258,0
20121112,22.897,22.932,22.826,22.932,17488,0
20121113,22.922,22.993,22.843,22.993,39804,0
20121114,22.958,22.958,22.525,22.603,50260,0
20121115,22.79,22.79,22.249,22.258,47956,0
20121116,22.603,22.71,22.338,22.426,26624,0
20121119,22.596,22.674,22.454,22.55,10354,0
20121120,22.693,22.693,22.373,22.577,52799,0
20121121,22.577,22.693,22.515,22.693,11303,0
20121123,22.772,22.807,22.701,22.807,5816,0
20121126,22.807,22.807,22.693,22.736,35382,0
20121127,22.807,22.816,22.754,22.798,24741,0
20121128,22.603,22.603,22.471,22.471,21122,0
20121129,22.515,22.515,22.346,22.409,25599,0
20121130,22.471,22.471,22.409,22.471,34822,0
20121203,22.497,22.515,22.4,22.444,22767,0
20121204,22.515,22.577,22.426,22.568,30756,0
20121205,22.568,22.568,22.426,22.435,16979,0
20121206,22.55,22.55,22.285,22.382,31264,0
20121207,22.471,22.497,22.311,22.382,14043,0
20121210,22.364,22.471,22.338,22.426,34091,0
20121211,22.462,22.462,22.426,22.462,28700,0
20121212,22.506,22.596,22.382,22.506,30705,0
20121213,22.568,22.674,22.417,22.417,22815,0
20121214,22.56,22.603,22.4,22.577,11193,0
20121217,22.586,22.603,22.454,22.497,25338,0
20121218,22.577,22.586,22.373,22.392,37939,0
20121219,22.392,22.479,22.382,22.4,27410,0
20121220,22.426,22.426,22.346,22.346,26799,0
20121221,22.4,22.462,22.338,22.364,25623,0
20121224,22.462,22.577,22.364,22.426,4854,0
20121226,22.55,22.586,22.479,22.586,12000,0
20121227,22.577,22.603,22.568,22.596,6153,0
20121228,22.648,22.693,22.382,22.454,36050,0
20121231,22.489,22.489,22.4,22.426,15424,0
20130102,22.489,22.693,22.489,22.639,22154,0
20130103,22.693,22.932,22.63,22.807,31978,0
20130104,22.932,22.993,22.826,22.985,27665,0
20130107,23.03,23.206,22.932,23.002,108704,0
20130108,23.03,23.047,22.993,23.03,60074,0
20130109,23.047,23.144,22.887,23.126,55658,0
20130110,23.11,23.392,23.11,23.375,72358,0
20130111,23.357,23.631,23.33,23.419,68755,0
20130114,23.402,23.455,23.339,23.428,16266,0
20130115,23.392,23.402,23.065,23.357,36711,0
20130116,23.357,23.392,23.11,23.392,19574,0
20130117,23.384,23.384,23.126,23.206,57133,0
20130118,23.313,23.313,23.055,23.126,80621,0
20130122,23.047,23.047,22.764,22.993,35011,0
20130123,23.136,23.153,22.906,22.993,69381,0
20130124,22.985,23.172,22.932,23.047,23377,0
20130125,23.047,23.18,22.906,23.047,35920,0
20130128,23.172,23.172,22.798,22.798,28791,0
20130129,22.887,22.887,22.693,22.736,51602,0
20130130,22.736,22.835,22.462,22.693,26002,0
20130131,22.754,22.781,22.533,22.603,24291,0
20130201,22.665,22.897,22.648,22.745,22585,0
20130204,22.798,22.887,22.658,22.71,17464,0
20130205,22.693,22.798,22.648,22.764,42974,0
20130206,22.693,22.781,22.674,22.781,14829,0
20130207,22.719,22.835,22.701,22.764,20298,0
20130208,22.798,22.906,22.798,22.906,10004,0
20130211,22.861,22.861,22.719,22.807,7470,0
20130212,22.906,22.906,22.79,22.835,9535,0
20130213,22.869,22.869,22.807,22.843,7564,0
20130214,22.79,23.047,22.79,22.949,20384,0
20130215,22.949,23.047,22.914,23.02,12314,0
20130219,23.02,23.101,22.914,23.002,26315,0
20130220,22.993,22.993,22.94,22.993,11288,0
20130221,22.993,23.002,22.932,23.002,5317,0
20130222,23.002,23.277,23.002,23.172,11996,0
20130225,23.136,23.224,23.03,23.039,11894,0
20130226,23.126,23.215,22.878,22.976,16010,0
20130227,23.068,23.249,22.933,22.933,26871,0
20130228,22.971,23.122,22.971,23.087,10052,0
20130301,23.05,23.106,23.033,23.106,5810,0
20130304,23.114,23.285,23.024,23.114,16767,0
20130305,23.114,23.366,23.114,23.347,4624,0
20130306,23.519,23.519,23.312,23.366,20510,0
20130307,23.384,23.384,23.159,23.222,39588,0
20130308,23.241,23.257,23.132,23.212,8231,0
20130311,23.106,23.275,23.096,23.249,5149,0
20130312,23.203,23.384,23.178,23.375,39569,0
20130313,23.285,23.429,23.285,23.366,5449,0
20130314,23.384,23.582,23.33,23.447,30466,0
20130315,23.842,23.842,23.429,23.465,21021,0
20130318,23.456,23.717,23.429,23.698,9217,0
20130319,23.492,23.905,23.168,23.905,29370,0
20130320,23.563,23.789,23.563,23.789,27039,0
20130321,24.266,24.274,23.798,23.833,11472,0
20130322,23.87,24.238,23.87,24.013,14137,0
20130325,23.987,24.247,23.886,24.04,17412,0
20130326,23.987,24.194,23.879,23.879,38561,0
20130327,23.852,24.156,23.654,23.744,170610,0
20130328,23.707,23.943,23.698,23.735,22974,0
20130401,23.68,23.726,23.654,23.654,9050,0
20130402,23.663,23.735,23.663,23.672,14493,0
20130403,23.672,23.672,23.456,23.492,12588,0
20130404,23.545,23.582,23.519,23.519,1966,0
20130405,23.465,23.672,23.465,23.563,8114,0
20130408,23.672,23.707,23.599,23.599,6045,0
20130409,23.663,23.77,23.591,23.609,5677,0
20130410,23.591,23.744,23.591,23.698,4294,0
20130411,23.735,23.761,23.735,23.761,1778,0
20130412,23.744,23.798,23.707,23.798,6181,0
20130415,23.789,23.87,23.789,23.833,7850,0
20130416,23.798,23.842,23.707,23.77,7337,0
20130417,23.861,23.861,23.735,23.761,7281,0
20130418,23.789,23.833,23.77,23.77,5024,0
20130419,23.752,24.131,23.752,24.131,5755,0
20130422,24.013,24.149,24.013,24.14,11464,0
20130423,24.184,24.184,23.987,24.112,6878,0
20130424,24.031,24.103,23.949,24.068,7467,0
20130425,24.184,24.184,23.752,23.879,7395,0
20130426,23.914,24.031,23.852,24.031,5656,0
20130429,23.933,24.059,23.924,24.049,14949,0
20130430,24.059,24.131,24.059,24.103,3271,0
20130501,24.103,24.103,23.924,24.103,7420,0
20130502,24.103,24.149,23.977,24.149,13575,0
20130503,24.068,24.184,24.068,24.184,11043,0
20130506,24.084,24.149,24.084,24.149,4255,0
20130507,24.194,24.284,24.184,24.284,7687,0
20130508,24.194,24.723,24.194,24.31,12698,0
20130509,24.355,24.355,24.049,24.156,24326,0
20130510,24.266,24.266,24.175,24.266,6480,0
20130513,24.256,24.266,24.093,24.247,6971,0
20130514,24.131,24.247,24.031,24.131,8220,0
20130515,24.04,24.184,24.031,24.166,16182,0
20130516,24.04,24.175,23.933,24.059,9727,0
20130517,24.059,24.329,23.987,24.31,10799,0
20130520,24.31,24.31,24.084,24.175,10400,0
20130521,24.131,24.284,24.112,24.203,5256,0
20130522,24.212,24.66,24.212,24.329,18819,0
20130523,24.66,24.66,24.131,24.419,8140,0
20130524,24.329,24.391,24.131,24.175,3832,0
20130528,24.256,24.319,24.156,24.156,7205,0
20130529,24.197,24.197,22.583,23.576,63834,0
20130530,23.495,23.64,23.485,23.485,10343,0
20130531,23.485,23.576,23.266,23.303,19883,0
20130603,23.147,23.211,22.847,23.12,20333,0
20130604,22.819,23.074,22.819,22.966,3474,0
20130605,23.03,23.03,22.664,22.819,17765,0
20130606,22.81,23.112,22.783,23.112,20641,0
