Date,Open,High,Low,Close,Volume,OpenInt
20141208,69.56,70.5,67.55,68,85901,0
20141209,66.54,67.57,66.05,66.92,103455,0
20141210,66.31,67.61,66.08,66.75,255676,0
20141211,66.74,67.2,61.33,62.15,1026520,0
20141212,63.01,63.01,59.99,60.42,1166713,0
20141215,60,61.25,58.66,58.92,635041,0
20141216,57.02,58.09,56.2,56.7,1045204,0
20141217,57,57.53,56.25,57.16,345633,0
20141218,57.56,58.49,57.56,58.23,1130237,0
20141219,58.91,60.82,58.34,60.45,750737,0
20141222,60.41,61,60.16,60.25,310563,0
20141223,60.08,61.5,60.08,60.48,705445,0
20141224,60.5,60.5,59.63,59.92,157936,0
20141226,60.01,60.26,59.5,59.94,178100,0
20141229,59.58,60.3,59.38,59.75,350849,0
20141230,59.41,60,58.79,59.38,275425,0
20141231,59.58,60,59.33,59.77,251458,0
20150102,59.42,60.19,59.4,60,506901,0
20150105,59.67,59.97,58.56,59.17,250856,0
20150106,59.15,59.39,56.35,57.15,497164,0
20150107,57.93,58.29,57.01,57.62,449251,0
20150108,58.25,58.4,56.91,57.08,350590,0
20150109,57.02,58.03,56.64,56.97,146819,0
20150112,56.78,58.13,56.65,56.82,241447,0
20150113,57.46,57.57,55.52,56.05,459372,0
20150114,55.5,56.25,55.09,55.67,690108,0
20150115,55.97,56.1,55.58,55.69,694994,0
20150116,55.56,56.01,55.3,55.84,463234,0
