Date,Open,High,Low,Close,Volume,OpenInt
20050225,12.416,12.433,12.226,12.399,324556,0
20050228,12.386,12.652,12.386,12.615,83681,0
20050301,12.652,12.971,12.652,12.869,371360,0
20050302,12.911,13.021,12.666,12.949,70443,0
20050303,12.902,13,12.747,12.983,141358,0
20050304,13.008,13.331,13.008,13.274,161687,0
20050307,13.342,13.342,13.047,13.119,70205,0
20050308,13.22,13.537,13.22,13.431,59803,0
20050309,13.338,13.516,13.249,13.266,69968,0
20050310,13.253,13.318,13.03,13.03,47753,0
20050311,13.072,13.203,13.072,13.119,61461,0
20050314,13.119,13.144,12.958,13.042,60046,0
20050315,13.093,13.157,12.962,13.017,17492,0
20050316,13.114,13.132,12.785,12.844,86753,0
20050317,12.844,13.253,12.844,13.234,158619,0
20050318,13.283,13.46,12.979,13.017,147503,0
20050321,13.136,13.664,12.915,13.106,1545961,0
20050322,13.203,13.296,13.093,13.216,467334,0
20050323,13.136,13.376,13.097,13.27,532816,0
20050324,13.334,13.334,13.11,13.153,384127,0
20050328,13.173,13.173,12.962,13.148,281061,0
20050329,13.234,13.257,12.733,12.813,333775,0
20050330,12.818,12.962,12.699,12.962,329756,0
20050331,13.068,13.128,12.991,13.034,438257,0
20050401,13.14,13.14,12.831,12.906,195018,0
20050404,12.902,12.902,12.759,12.847,226456,0
20050405,12.881,12.886,12.785,12.84,303752,0
20050406,12.902,12.902,12.606,12.772,200215,0
20050407,12.797,12.898,12.759,12.806,277042,0
20050408,12.801,12.818,12.695,12.695,263334,0
20050411,12.691,12.865,12.572,12.844,306591,0
20050412,12.924,12.924,12.725,12.776,184854,0
20050413,12.754,12.878,12.666,12.75,416987,0
20050414,12.691,12.797,12.652,12.754,183435,0
20050415,12.738,12.813,12.518,12.543,108738,0
20050418,12.458,12.505,12.276,12.399,137344,0
20050419,12.192,12.332,12.044,12.302,845550,0
20050420,12.226,12.395,12.226,12.395,332831,0
20050421,12.395,12.395,12.268,12.395,137344,0
20050422,12.354,12.458,12.268,12.323,90540,0
20050425,12.28,12.298,12.069,12.221,219131,0
20050426,12.116,12.345,12.116,12.268,381761,0
20050427,12.162,12.336,12.116,12.336,176820,0
20050428,12.276,12.564,12.276,12.332,103068,0
20050429,12.509,12.657,12.505,12.657,288625,0
20050502,12.666,12.717,12.471,12.484,881484,0
20050503,12.391,12.391,12.268,12.302,194782,0
20050504,12.336,12.967,12.336,12.937,734924,0
20050505,12.979,13.234,12.915,13.173,219602,0
20050506,13.194,13.537,13.194,13.537,204001,0
20050509,13.609,13.824,13.571,13.677,144196,0
20050510,13.748,13.828,13.584,13.694,122923,0
20050511,13.642,13.642,13.148,13.431,312736,0
20050512,13.411,13.58,13.385,13.54,192651,0
20050513,13.474,13.474,13.314,13.385,118192,0
20050516,13.318,13.411,13.287,13.411,111809,0
20050517,13.411,13.411,13.274,13.338,65242,0
20050518,13.394,13.394,13.283,13.347,69731,0
20050519,13.367,13.435,13.342,13.411,56026,0
20050520,13.402,13.444,13.301,13.342,117486,0
20050523,13.504,13.791,13.431,13.748,238277,0
20050524,13.593,13.66,13.372,13.474,149633,0
20050525,13.5,13.516,13.338,13.338,169960,0
20050526,13.261,13.431,13.207,13.38,157197,0
20050527,13.444,13.58,13.415,13.533,102832,0
20050531,13.58,13.702,13.495,13.558,294777,0
20050601,13.584,13.753,13.545,13.622,211800,0
20050602,13.664,13.664,13.549,13.605,150816,0
20050603,13.589,13.647,13.545,13.593,96919,0
20050606,13.677,13.677,13.5,13.677,168306,0
20050607,13.724,13.824,13.655,13.824,122213,0
20050608,13.833,13.85,13.715,13.791,142069,0
20050609,13.809,14.201,13.727,14.172,273973,0
20050610,14.278,14.659,14.248,14.274,197384,0
20050613,14.101,14.282,14.045,14.282,189346,0
20050614,14.311,14.354,14.194,14.206,154596,0
20050615,14.345,14.482,14.265,14.278,233313,0
20050616,14.278,14.46,14.278,14.447,210383,0
20050617,14.493,14.493,14.256,14.456,212746,0
20050620,14.557,14.557,14.354,14.389,453153,0
20050621,14.442,14.633,14.358,14.629,240637,0
20050622,14.748,14.768,14.65,14.688,246788,0
20050623,14.752,14.861,14.688,14.696,118192,0
20050624,14.708,14.891,14.562,14.781,299972,0
20050627,14.806,14.806,14.464,14.548,201167,0
20050628,14.553,14.776,14.531,14.73,182256,0
20050629,14.739,14.76,14.595,14.708,202110,0
20050630,14.739,14.739,14.349,14.389,312266,0
20050701,14.493,14.659,14.493,14.575,94789,0
20050705,14.328,14.328,14.15,14.278,277518,0
20050706,14.314,14.557,14.198,14.358,302337,0
20050707,14.341,14.674,14.278,14.566,226456,0
20050708,14.595,14.794,14.54,14.692,149633,0
20050711,14.789,14.95,14.704,14.841,189816,0
20050712,14.929,15.005,14.849,14.865,117723,0
20050713,14.841,14.849,14.586,14.7,137813,0
20050714,14.845,14.845,14.323,14.376,153652,0
20050715,14.404,14.646,14.345,14.579,91009,0
20050718,14.819,14.841,14.345,14.451,162632,0
20050719,14.527,14.785,14.421,14.785,146795,0
20050720,14.764,14.785,14.404,14.451,255056,0
20050721,14.505,14.505,14.096,14.168,245605,0
20050722,14.109,14.485,14.075,14.477,171381,0
20050725,14.57,14.57,14.23,14.323,255768,0
