Date,Open,High,Low,Close,Volume,OpenInt
20140304,26.981,26.981,26.15,26.15,1007,0
20140311,25.585,25.585,25.585,25.585,106,0
20140312,25.991,25.991,25.991,25.991,106,0
20140320,25.991,25.991,25.991,25.991,110,0
20140326,25.443,25.443,25.443,25.443,212,0
20140411,24.396,24.396,24.396,24.396,897,0
20140417,25.113,25.113,25.094,25.113,549,0
20140428,25.085,25.085,25.085,25.085,202,0
20140502,26.698,26.698,26.698,26.698,192,0
20140507,25.84,25.84,25.84,25.84,292,0
20140508,25.943,25.943,25.943,25.943,108,0
20140519,26.226,26.226,26.226,26.226,106,0
20140520,26.698,27.424,26.698,27.424,954,0
20140522,27.414,27.414,27.414,27.414,238,0
20140528,26.323,26.323,25.787,25.836,785,0
20140529,25.894,25.894,25.894,25.894,149,0
20140602,28.22,28.726,28.22,28.726,579,0
20140604,27.743,27.743,27.743,27.743,150,0
20140610,27.743,27.743,27.743,27.743,103,0
20140613,28.697,28.707,28.697,28.707,352,0
20140619,29.067,31.091,29.037,29.855,1811,0
20140626,30.429,31.091,29.855,31.091,628,0
20140627,31.694,32.336,31.645,32.336,1330,0
20140630,32.959,32.959,32.959,32.959,366,0
20140701,32.297,32.297,32.297,32.297,657,0
20140702,32.297,32.297,32.297,32.297,206,0
20140708,34.886,35.586,34.886,35.586,418,0
20140714,45.541,45.541,45.541,45.541,411,0
20140721,36.433,36.433,36.433,36.433,241,0
20140728,35.703,35.703,35.703,35.703,215,0
20140729,34.584,34.915,34.555,34.915,404,0
20140730,34.545,34.545,34.545,34.545,206,0
20140804,33.864,33.864,33.854,33.854,206,0
20140826,33.922,33.922,33.922,33.922,206,0
20140905,31.957,31.957,26.293,26.293,568,0
20140911,27.539,27.539,27.539,27.539,175,0
20140922,29.067,44.13,29.067,37.358,5165,0
20140923,35.518,35.518,34.107,35.518,327,0
20140925,36.005,36.005,36.005,36.005,103,0
20140926,37.854,39.528,37.854,39.528,206,0
20140929,41.231,48.85,39.43,48.85,1410,0
20140930,51.088,54.689,51.088,51.575,1253,0
20141001,55.545,55.545,55.545,55.545,175,0
20141002,49.628,49.628,49.628,49.628,407,0
20141003,48.655,48.655,48.655,48.655,315,0
20141006,44.763,44.763,38.924,38.924,1041,0
20141103,29.193,29.193,29.193,29.193,262,0
20141106,27.247,27.247,27.237,27.247,2853,0
20141120,34.166,34.166,34.166,34.166,573,0
20141124,32.113,32.113,32.113,32.113,569,0
20141202,29.05,29.75,29.05,29.75,742,0
20141205,28.85,28.85,28.85,28.85,300,0
20141219,30.8,30.8,29,29,400,0
20150106,31.5,31.5,31.5,31.5,300,0
20150113,34.45,34.45,34.45,34.45,223,0
20150114,34.45,34.45,34.45,34.45,100,0
