Date,Open,High,Low,Close,Volume,OpenInt
20051117,3.25,3.25,3.25,3.25,0,0
20051118,7.75,7.75,6.0975,6.325,71853200,0
20051121,6.5075,6.7375,6.375,6.5375,16838272,0
20051122,6.375,6.4625,5.6875,5.875,12877600,0
20051123,5.985,6.025,5.8775,5.95,4126420,0
20051125,5.955,6,5.875,5.92,1165176,0
20051128,5.92,6.05,5.895,5.925,3242540,0
20051129,5.89,5.9125,5.27,5.3375,8120628,0
20051130,5.3325,5.6775,5.3175,5.6275,3216024,0
20051201,5.71,5.9325,5.65,5.7875,2918284,0
20051202,5.9275,6.25,5.8125,6.165,4717056,0
20051205,6.28,6.475,6.1375,6.415,2827128,0
20051206,6.515,6.54,6.13,6.175,2308596,0
20051207,6.2275,6.4125,6.2275,6.4125,1761480,0
20051208,6.375,6.47,6.325,6.375,996060,0
20051209,6.4,6.46,6.2,6.25,799684,0
20051212,6.25,6.395,6.1875,6.3725,1311264,0
20051213,6.44,6.475,6.3125,6.3975,1069124,0
20051214,6.5,6.8125,6.4675,6.75,4124380,0
20051215,6.75,6.9125,6.7,6.8475,2124892,0
20051216,6.845,6.91,6.6275,6.91,4018032,0
20051219,6.8975,6.9,6.2875,6.6225,3583764,0
20051220,6.885,7.0725,6.7125,7.0175,5790352,0
20051221,7.035,7.2,6.9725,7.1375,4942236,0
20051222,7.145,7.2075,6.9975,7.175,2142524,0
20051223,7.175,7.93,7.1375,7.805,7556628,0
20051227,7.975,8.73,7.88,8.315,16597164,0
20051228,8.5025,9.185,8.425,9.0875,14672736,0
20051229,9.738,10,9.57,9.965,18093588,0
20051230,9.908,9.935,9.3025,9.578,14679564,0
20060103,9.2975,9.3475,8.295,8.34,16334588,0
20060104,8.185,8.2975,7.82,7.9,15061804,0
20060105,8.13,8.925,8.0425,8.9075,14303828,0
20060106,8.8,9.0925,8.4125,8.8675,11111580,0
20060109,8.9825,8.9925,8.6925,8.9575,4255092,0
20060110,9.045,9.622,8.885,9.375,11871880,0
20060111,9.57,9.638,9.125,9.4225,5182604,0
20060112,9.285,9.85,9.285,9.628,6196152,0
20060113,9.702,10.085,9.628,9.755,4323304,0
20060117,9.79,9.852,9.2625,9.542,3730932,0
20060118,9.165,9.888,9.125,9.638,4031736,0
20060119,9.575,9.925,9.55,9.695,2503816,0
20060120,9.738,9.812,9.375,9.57,2681376,0
20060123,9.55,9.625,9.1225,9.33,3792804,0
20060124,9.3325,9.4625,9.1375,9.175,2969988,0
