Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.386,11.432,11.38,11.424,11400,0
20050228,11.448,11.462,11.372,11.372,21244,0
20050301,11.386,11.416,11.38,11.416,11659,0
20050302,11.38,11.409,11.38,11.409,2460,0
20050303,11.416,11.454,11.409,11.424,16581,0
20050304,11.432,11.462,11.401,11.454,13213,0
20050307,11.477,11.485,11.469,11.485,16715,0
20050308,11.448,11.469,11.448,11.469,19560,0
20050309,11.424,11.477,11.38,11.469,18393,0
20050310,11.401,11.448,11.401,11.448,17228,0
20050311,11.401,11.432,11.401,11.409,12953,0
20050314,11.432,11.439,11.409,11.409,6990,0
20050315,11.409,11.509,11.409,11.469,12309,0
20050316,11.416,11.448,11.416,11.432,9976,0
20050317,11.416,11.493,11.409,11.493,6737,0
20050318,11.462,11.469,11.454,11.454,8808,0
20050321,11.454,11.477,11.454,11.454,8033,0
20050322,11.477,11.477,11.365,11.424,15806,0
20050323,11.365,11.38,11.262,11.316,10236,0
20050324,11.357,11.357,11.187,11.232,11400,0
20050328,11.216,11.232,11.047,11.069,23965,0
20050329,11.099,11.107,11.054,11.084,4272,0
20050330,11.069,11.131,11.047,11.092,15155,0
20050331,11.114,11.163,11.069,11.077,14639,0
20050401,11.139,11.224,11.099,11.224,6872,0
20050404,11.163,11.163,11.061,11.131,15416,0
20050405,11.092,11.179,11.092,11.179,12953,0
20050406,11.171,11.224,11.147,11.216,4017,0
20050407,11.224,11.224,11.163,11.216,6221,0
20050408,11.216,11.348,11.216,11.348,12564,0
20050411,11.332,11.493,11.285,11.469,7513,0
20050412,11.424,11.485,11.276,11.38,8162,0
20050413,11.3,11.365,11.276,11.276,7380,0
20050414,11.269,11.357,11.269,11.269,6990,0
20050415,11.316,11.372,11.316,11.372,3236,0
20050419,11.393,11.485,11.372,11.439,12953,0
20050420,11.365,11.365,11.269,11.324,10236,0
20050421,11.324,11.365,11.262,11.262,6221,0
20050422,11.262,11.34,11.262,11.269,5439,0
20050425,11.3,11.348,11.269,11.285,5313,0
20050426,11.292,11.308,11.239,11.276,17099,0
20050427,11.285,11.308,11.269,11.269,7642,0
20050428,11.308,11.365,11.308,11.365,3888,0
20050429,11.372,11.401,11.365,11.38,3624,0
20050502,11.372,11.439,11.372,11.424,9585,0
20050503,11.448,11.454,11.409,11.416,5182,0
20050504,11.424,11.432,11.409,11.409,9845,0
20050505,11.432,11.469,11.409,11.439,7642,0
20050506,11.439,11.485,11.424,11.485,8553,0
20050509,11.501,11.564,11.477,11.564,18916,0
20050510,11.602,11.703,11.534,11.703,20214,0
20050511,11.67,11.787,11.633,11.711,22412,0
20050512,11.72,11.72,11.662,11.67,13860,0
20050513,11.679,11.749,11.679,11.679,5313,0
20050516,11.741,11.741,11.679,11.695,20857,0
20050517,11.687,11.757,11.687,11.749,19432,0
20050518,11.787,11.848,11.773,11.773,15675,0
20050519,11.787,11.864,11.787,11.864,8293,0
20050520,11.864,11.864,11.787,11.787,2460,0
20050523,11.831,11.831,11.787,11.824,11400,0
20050524,11.84,11.84,11.818,11.818,3888,0
20050525,11.824,11.88,11.787,11.88,27723,0
20050526,11.872,11.903,11.803,11.818,7642,0
20050527,11.88,11.903,11.824,11.84,9845,0
20050531,11.895,11.903,11.864,11.864,2978,0
20050601,11.864,11.958,11.734,11.824,26295,0
20050602,11.781,11.848,11.765,11.795,18136,0
20050603,11.781,11.848,11.773,11.795,9459,0
20050606,11.787,11.795,11.703,11.703,24874,0
20050607,11.749,11.773,11.711,11.711,25654,0
20050608,11.749,11.757,11.703,11.757,2717,0
20050609,11.725,11.741,11.646,11.662,16453,0
20050610,11.67,11.687,11.61,11.655,8678,0
20050613,11.646,11.646,11.534,11.579,14639,0
20050614,11.602,11.602,11.526,11.526,5052,0
20050615,11.526,11.542,11.462,11.477,18523,0
20050616,11.448,11.493,11.439,11.493,5182,0
20050617,11.493,11.517,11.485,11.501,7257,0
20050620,11.542,11.542,11.501,11.509,6737,0
20050621,11.501,11.61,11.501,11.571,16192,0
20050622,11.588,11.588,11.556,11.556,5829,0
20050623,11.549,11.571,11.526,11.571,8808,0
20050624,11.594,11.61,11.564,11.61,13860,0
20050627,11.61,11.633,11.61,11.633,3624,0
20050628,11.633,11.655,11.625,11.625,8033,0
20050629,11.633,11.662,11.625,11.625,7513,0
20050630,11.625,11.662,11.625,11.655,3236,0
20050701,11.67,11.741,11.655,11.741,12695,0
20050705,11.695,11.725,11.633,11.711,11012,0
20050706,11.72,11.725,11.662,11.725,8941,0
20050707,11.725,11.757,11.725,11.757,7127,0
20050708,11.765,11.795,11.734,11.795,14897,0
20050711,11.787,11.795,11.787,11.787,2330,0
20050712,11.795,11.831,11.795,11.811,10236,0
20050713,11.795,11.872,11.795,11.824,15545,0
20050714,11.831,11.831,11.811,11.818,7642,0
20050715,11.811,11.919,11.803,11.856,8419,0
20050718,11.818,11.911,11.818,11.88,11787,0
20050719,11.88,11.903,11.803,11.803,6872,0
20050720,11.803,11.888,11.795,11.84,12564,0
20050721,11.803,11.864,11.803,11.856,3236,0
20050722,11.872,11.919,11.811,11.818,7902,0
20050725,11.864,11.888,11.848,11.88,3888,0
20050726,11.895,11.911,11.803,11.88,5829,0
20050727,11.88,11.911,11.872,11.88,9327,0
20050728,11.903,11.973,11.895,11.934,22540,0
20050729,11.965,11.981,11.927,11.981,7127,0
20050801,11.996,12.049,11.911,11.911,6872,0
20050802,11.911,12.002,11.872,11.95,12953,0
20050803,11.95,12.049,11.95,11.989,45469,0
20050804,11.989,12.073,11.927,12.041,34461,0
20050805,11.965,11.965,11.872,11.888,23965,0
