Date,Open,High,Low,Close,Volume,OpenInt
20131016,38,39.64,35.06,37.16,13955906,0
20131017,37.13,42,37.1,41.6,2937769,0
20131018,43.7,44.99,43.59,44.39,1191126,0
20131021,49,49,45.39,46.24,1002678,0
20131022,47.96,48,41.77,42.95,1133546,0
20131023,42.47,42.93,39.57,40.15,953536,0
20131024,40.15,43.34,40.15,43.15,591821,0
20131025,44,44.62,40.6,43,392152,0
20131028,43.25,43.25,40.11,40.47,340616,0
20131029,40.48,41,38.01,38.72,528374,0
20131030,38.62,39,36.82,37.2,641492,0
20131031,36.9,39.49,35,38.91,1277100,0
20131101,39,40.3,37.55,38.58,401113,0
20131104,39.04,39.92,37.5,38.93,264504,0
20131105,39,39.56,37.9,38.19,281106,0
20131106,38.76,38.88,37.8,38.64,189591,0
20131107,38.64,38.7,37.68,38.11,260624,0
20131108,38.15,40.62,38.15,40.54,504298,0
20131111,40.23,40.59,37.09,37.19,721118,0
20131112,37.64,37.64,36.6,37.1,279817,0
20131113,37,38.77,36.75,38.71,184689,0
20131114,39.05,39.05,38.36,38.85,110931,0
20131115,39.44,41.05,38.48,38.59,365800,0
20131118,38.6,40.79,38.25,38.53,297522,0
20131119,38.25,38.32,36.81,37.01,272559,0
20131120,37.75,38.62,36.75,36.93,251851,0
20131121,37.16,37.99,36.85,37.55,417612,0
20131122,39.44,39.7,37.83,38.15,775483,0
20131125,39.18,40.78,38.38,39.49,726777,0
20131126,38.41,42.47,38.4,42.13,993946,0
20131127,42.44,43.69,41.02,41.91,521789,0
20131129,42.29,42.59,39.73,40.49,443555,0
20131202,40.03,42.22,40.03,41.22,390100,0
20131203,40.33,42.27,39.99,40.21,743665,0
20131204,40.35,41.89,39.95,40.14,825002,0
20131205,40.49,41.48,40.03,40.98,1118238,0
20131206,43.22,44.3,38.5,40.05,3305520,0
20131209,40.04,40.08,37.82,38.08,1406254,0
20131210,38.08,39.48,37.98,38.31,610152,0
20131211,38.4,38.91,37.78,37.88,508935,0
20131212,37.7,38.28,37.4,37.52,471993,0
20131213,37.83,37.86,36.67,36.93,752489,0
20131216,36.97,37.09,32.56,34.17,3465758,0
20131217,34.31,34.31,32.88,34.06,1625984,0
20131218,33.22,34.15,32.6,33.57,1090012,0
20131219,33.2,33.32,32.05,32.94,988015,0
20131220,33,33.99,32.25,33.69,2274669,0
20131223,33.6,33.9,32.53,32.7,643801,0
20131224,32.9,32.98,32.59,32.83,489302,0
20131226,32.75,33.49,32.08,32.31,459625,0
20131227,32.15,32.41,31.56,31.86,561499,0
20131230,31.8,32.4,31.43,31.88,528538,0
20131231,32.07,32.23,31.63,32.1,544748,0
20140102,32.08,32.43,31.9,32.33,392767,0
20140103,32.35,35.5,32,35.17,1605380,0
20140106,35.02,35.59,34.14,34.86,882112,0
20140107,34.69,34.91,33.7,34.34,807815,0
20140108,34.28,35,33.8,34.17,780405,0
20140109,34.07,34.38,32.11,32.63,925430,0
20140110,32.63,32.73,31.5,32.53,974601,0
20140113,32.91,33.1,32.47,33.07,609597,0
20140114,33.09,33.76,32.91,33.74,794819,0
20140115,33.29,33.5,28.71,32.02,5051867,0
20140116,32,32.36,31.31,31.94,1326023,0
20140117,31.9,31.99,31.32,31.5,916699,0
20140121,31.6,31.89,31.22,31.76,622364,0
20140122,31.96,31.97,31.14,31.29,468896,0
20140123,31.53,32.08,31.25,31.62,649679,0
20140124,31.41,32.01,30.91,31.89,556076,0
