Date,Open,High,Low,Close,Volume,OpenInt
20050225,12.07,12.095,12.07,12.095,512,0
20050228,12.115,12.132,12.109,12.109,1671,0
20050301,12.115,12.115,12.07,12.07,1671,0
20050302,12.087,12.087,12.047,12.047,3857,0
20050303,12.087,12.095,12.047,12.087,3728,0
20050304,12.124,12.146,12.109,12.109,3604,0
20050307,12.095,12.102,12.087,12.102,4110,0
20050308,12.07,12.109,12.07,12.109,5018,0
20050309,12.07,12.095,12.07,12.087,3728,0
20050310,12.031,12.28,12.031,12.28,3857,0
20050311,12.295,12.42,12.295,12.389,3604,0
20050314,12.333,12.358,12.226,12.226,2320,0
20050315,12.203,12.203,12.203,12.203,902,0
20050316,12.162,12.318,12.162,12.318,2958,0
20050317,12.132,12.132,12.078,12.078,2184,0
20050318,12.095,12.095,11.937,12.016,6949,0
20050321,11.937,11.937,11.821,11.9,5142,0
20050322,11.9,11.937,11.759,11.821,6687,0
20050323,11.805,11.805,11.549,11.549,5018,0
20050324,11.494,11.503,11.402,11.402,8746,0
20050328,11.409,11.439,11.316,11.316,8098,0
20050329,11.324,11.324,11.185,11.308,15046,0
20050330,11.299,11.299,11.216,11.216,12472,0
20050331,11.275,11.316,11.275,11.316,12087,0
20050401,11.332,11.394,11.332,11.386,6687,0
20050404,11.402,11.431,11.371,11.431,8485,0
20050405,11.409,11.409,11.363,11.386,4110,0
20050406,11.378,11.386,11.378,11.378,6949,0
20050407,11.363,11.363,11.363,11.363,246,0
20050408,11.394,11.394,11.394,11.394,246,0
20050411,11.371,11.371,11.356,11.356,902,0
20050412,11.34,11.371,11.332,11.363,8485,0
20050413,11.308,11.316,11.308,11.316,4110,0
20050414,11.324,11.471,11.324,11.348,7969,0
20050415,11.308,11.409,11.308,11.409,2698,0
20050418,11.416,11.511,11.348,11.511,4247,0
20050419,11.588,11.588,11.463,11.588,5788,0
20050420,11.471,11.549,11.416,11.549,5142,0
20050421,11.541,11.541,11.431,11.431,2443,0
20050422,11.416,11.471,11.402,11.455,1932,0
20050425,11.447,11.447,11.394,11.409,2184,0
20050426,11.423,11.526,11.332,11.332,7845,0
20050427,11.34,11.431,11.34,11.394,3728,0
20050429,11.471,11.519,11.471,11.479,5018,0
20050502,11.519,11.719,11.519,11.634,7460,0
20050503,11.65,11.704,11.634,11.704,3345,0
20050504,11.65,11.704,11.65,11.65,9389,0
20050505,11.65,11.759,11.642,11.759,4626,0
20050506,11.752,11.766,11.744,11.766,2958,0
20050509,11.704,11.704,11.704,11.704,766,0
20050510,11.728,11.759,11.728,11.759,1155,0
20050511,11.65,11.744,11.626,11.626,14270,0
20050512,11.666,11.719,11.666,11.704,4247,0
20050513,11.719,11.719,11.697,11.697,1030,0
20050516,11.697,11.704,11.683,11.683,6044,0
20050517,11.683,11.683,11.666,11.666,2320,0
20050518,11.666,11.712,11.65,11.712,5401,0
20050520,11.728,11.728,11.728,11.728,392,0
20050523,11.736,11.759,11.736,11.759,1283,0
20050524,11.704,11.719,11.704,11.719,1030,0
20050525,11.697,11.704,11.691,11.697,5401,0
20050526,11.691,11.691,11.674,11.691,3345,0
20050527,11.691,11.697,11.691,11.697,1283,0
20050531,11.719,11.759,11.666,11.759,3345,0
20050601,11.766,11.796,11.766,11.796,1932,0
20050602,11.796,11.853,11.766,11.821,7969,0
20050603,11.821,11.846,11.766,11.781,8871,0
20050606,11.796,11.862,11.781,11.796,4503,0
20050607,11.805,11.805,11.781,11.781,1542,0
20050608,11.796,11.884,11.774,11.829,3085,0
20050609,11.821,11.821,11.813,11.813,2184,0
20050610,11.829,11.829,11.781,11.821,3604,0
20050613,11.704,11.781,11.691,11.719,2830,0
20050614,11.65,11.65,11.65,11.65,2572,0
20050615,11.618,11.642,11.595,11.642,3604,0
20050616,11.602,11.65,11.573,11.642,3468,0
20050617,11.65,11.666,11.65,11.666,3212,0
20050620,11.588,11.642,11.541,11.642,9001,0
20050621,11.658,11.658,11.658,11.658,146,0
20050622,11.666,11.691,11.581,11.65,19286,0
20050623,11.658,11.658,11.61,11.618,2320,0
20050624,11.618,11.626,11.61,11.626,1932,0
20050627,11.602,11.691,11.602,11.61,2184,0
20050628,11.618,11.674,11.618,11.674,2320,0
20050630,11.691,11.704,11.683,11.704,4758,0
20050701,11.781,11.781,11.781,11.781,652,0
20050705,11.704,11.781,11.704,11.781,4247,0
20050706,11.781,11.781,11.781,11.781,1283,0
20050707,11.796,11.796,11.796,11.796,4110,0
20050708,11.796,11.846,11.796,11.837,7071,0
20050711,11.837,11.862,11.821,11.853,6433,0
20050712,11.821,11.846,11.821,11.846,2443,0
20050713,11.774,11.789,11.774,11.789,1797,0
20050714,11.789,11.789,11.781,11.781,2572,0
20050715,11.774,11.774,11.766,11.766,766,0
20050718,11.766,11.766,11.744,11.744,1671,0
20050719,11.704,11.759,11.683,11.752,4626,0
20050720,11.697,11.704,11.697,11.697,4110,0
20050721,11.728,11.736,11.728,11.728,2698,0
20050722,11.736,11.744,11.674,11.674,5018,0
20050725,11.752,11.796,11.744,11.744,6175,0
20050726,11.781,11.781,11.728,11.728,512,0
20050728,11.752,11.752,11.626,11.65,15691,0
20050729,11.728,11.744,11.697,11.697,2698,0
20050801,11.719,11.752,11.719,11.752,6687,0
20050802,11.666,11.712,11.666,11.712,1671,0
20050803,11.752,11.752,11.712,11.752,1797,0
20050804,11.744,11.759,11.719,11.752,2830,0
20050805,11.697,11.697,11.658,11.658,1283,0
20050808,11.595,11.736,11.595,11.674,1542,0
20050809,11.626,11.666,11.61,11.61,1671,0
20050810,11.691,11.728,11.691,11.719,6949,0
20050811,11.744,11.789,11.744,11.759,12472,0
20050812,11.789,11.796,11.744,11.781,14016,0
20050815,11.752,11.752,11.744,11.744,2572,0
20050816,11.704,11.796,11.704,11.736,3857,0
20050818,11.728,11.728,11.683,11.683,2698,0
20050819,11.719,11.736,11.683,11.728,3728,0
20050822,11.736,11.736,11.736,11.736,246,0
20050824,11.728,11.728,11.666,11.704,3212,0
20050825,11.719,11.719,11.704,11.704,5788,0
20050826,11.674,11.674,11.666,11.666,902,0
20050829,11.674,11.744,11.674,11.744,2572,0
20050830,11.736,11.752,11.719,11.719,9257,0
20050831,11.774,11.774,11.774,11.774,2061,0
20050901,11.774,11.846,11.759,11.759,4626,0
20050902,11.821,11.884,11.821,11.884,1932,0
20050906,11.853,11.853,11.853,11.853,246,0
20050908,11.837,11.923,11.837,11.907,4758,0
20050909,11.992,12.008,11.967,11.967,11574,0
20050912,11.96,11.96,11.944,11.944,2061,0
20050913,11.937,12.055,11.937,11.984,5532,0
20050914,11.984,11.984,11.862,11.862,8358,0
20050915,11.853,11.853,11.781,11.781,1932,0
20050916,11.704,11.744,11.704,11.744,1030,0
20050919,11.744,11.846,11.744,11.774,7460,0
20050920,11.766,11.766,11.728,11.728,5401,0
20050921,11.728,11.728,11.719,11.719,392,0
20050923,11.704,11.704,11.378,11.455,17876,0
20050926,11.394,11.431,11.394,11.431,652,0
20050927,11.447,11.494,11.394,11.431,7460,0
20050928,11.431,11.573,11.423,11.423,7582,0
20050929,11.394,11.394,11.394,11.394,1542,0
20050930,11.471,11.471,11.416,11.416,2572,0
20051003,11.455,11.463,11.394,11.409,4886,0
20051005,11.409,11.409,11.409,11.409,246,0
20051006,11.416,11.416,11.394,11.394,3085,0
20051007,11.356,11.423,11.356,11.394,1797,0
20051010,11.316,11.324,11.245,11.308,7714,0
20051011,11.283,11.283,11.283,11.283,512,0
20051012,11.275,11.332,11.275,11.316,3212,0
20051013,11.275,11.275,11.223,11.223,1418,0
20051014,11.153,11.153,10.894,10.903,17227,0
20051017,10.894,10.894,10.857,10.857,5788,0
20051018,10.857,10.857,10.715,10.732,7845,0
20051019,10.787,10.787,10.754,10.779,7200,0
20051020,10.795,10.894,10.795,10.886,8230,0
20051021,10.835,11.007,10.835,11.007,7071,0
20051024,11.036,11.073,11.036,11.073,3212,0
20051025,11.089,11.129,11.089,11.129,3212,0
20051026,11.129,11.129,11.058,11.082,7200,0
20051027,11.007,11.007,10.966,10.999,3985,0
20051031,11.052,11.096,11.052,11.096,2698,0
20051101,11.045,11.161,10.982,11.161,7845,0
20051102,11.12,11.12,11.045,11.045,1418,0
20051103,11.12,11.12,11.12,11.12,392,0
20051104,11.112,11.112,11.112,11.112,512,0
20051107,11.416,11.416,11.283,11.291,8098,0
20051108,11.371,11.371,11.237,11.308,14270,0
20051109,11.275,11.275,11.129,11.129,2061,0
20051110,11.089,11.089,11.058,11.058,4758,0
20051114,10.982,10.982,10.933,10.933,3468,0
20051115,10.894,10.925,10.835,10.835,11700,0
20051116,10.795,10.843,10.795,10.835,6949,0
20051117,10.865,10.879,10.851,10.857,1542,0
20051118,10.851,10.851,10.803,10.811,8485,0
20051121,10.865,10.949,10.865,10.925,7845,0
20051122,10.886,11.007,10.873,10.873,8485,0
20051123,10.873,10.903,10.803,10.903,9512,0
20051125,10.894,10.941,10.894,10.941,1155,0
20051128,10.999,10.999,10.925,10.925,4626,0
20051129,10.925,10.925,10.886,10.886,1030,0
20051130,10.933,10.933,10.694,10.732,25717,0
20051201,10.732,10.851,10.732,10.843,13117,0
20051202,10.851,10.865,10.771,10.843,41405,0
20051205,10.803,10.894,10.803,10.879,24172,0
20051206,10.865,11.045,10.828,10.958,26874,0
20051207,10.925,10.925,10.851,10.91,15429,0
20051208,10.894,10.91,10.835,10.903,17999,0
20051209,10.851,10.865,10.545,10.545,87821,0
20051212,10.536,10.64,10.413,10.536,55936,0
20051213,10.477,10.583,10.382,10.397,35105,0
20051214,10.397,10.485,10.382,10.429,43975,0
20051215,10.366,10.421,10.338,10.413,41663,0
20051216,10.366,10.452,10.35,10.397,48473,0
20051219,10.382,10.406,10.29,10.321,83838,0
20051220,10.226,10.321,10.226,10.306,62363,0
20051221,10.273,10.374,10.265,10.313,66091,0
20051222,10.33,10.33,10.211,10.282,58121,0
20051223,10.257,10.313,10.211,10.282,82555,0
20051227,10.33,10.436,10.282,10.436,133599,0
20051228,10.421,10.469,10.345,10.469,75606,0
20051229,10.469,10.553,10.461,10.5,86280,0
20051230,10.536,10.553,10.477,10.553,93994,0
20060103,10.6,10.811,10.592,10.715,36261,0
20060104,10.74,10.787,10.694,10.787,30985,0
20060105,10.803,10.873,10.803,10.828,27001,0
20060106,10.787,10.835,10.694,10.724,57734,0
20060109,10.732,10.74,10.679,10.74,46935,0
20060110,10.762,10.857,10.724,10.724,56702,0
20060111,10.671,10.795,10.632,10.687,57604,0
20060112,10.656,10.771,10.64,10.715,45905,0
20060113,10.648,10.873,10.648,10.873,39734,0
20060117,10.857,10.903,10.795,10.835,32148,0
20060118,10.835,10.903,10.835,10.873,46289,0
20060119,10.857,10.903,10.795,10.82,31629,0
20060120,10.835,10.91,10.828,10.903,46547,0
20060123,10.903,10.925,10.811,10.851,24815,0
20060124,10.958,10.966,10.851,10.886,18900,0
20060125,10.851,10.91,10.851,10.865,34590,0
20060126,10.828,10.828,10.74,10.771,25717,0
20060127,10.779,10.787,10.754,10.787,31889,0
20060130,10.811,10.811,10.694,10.754,26615,0
20060131,10.779,10.795,10.694,10.795,59791,0
20060201,10.811,10.843,10.746,10.787,31376,0
20060202,10.762,10.865,10.74,10.835,37291,0
20060203,10.754,10.795,10.732,10.795,14402,0
20060206,10.803,10.811,10.715,10.74,50658,0
20060207,10.771,10.771,10.715,10.746,20573,0
20060208,10.732,10.779,10.732,10.762,22247,0
20060209,10.779,10.843,10.715,10.811,23401,0
20060210,10.803,10.811,10.762,10.762,10932,0
20060213,10.732,10.843,10.732,10.762,37291,0
20060214,10.795,10.828,10.762,10.82,26874,0
20060215,10.835,10.857,10.771,10.828,27901,0
20060216,10.835,11.007,10.64,11.007,70979,0
20060217,11.007,11.029,10.949,11.014,12218,0
20060221,10.982,11.014,10.941,10.949,42177,0
20060222,10.925,11.021,10.903,11.014,19033,0
20060223,11.021,11.045,11.007,11.045,34461,0
20060224,11.045,11.082,10.949,10.949,16973,0
20060227,10.941,11.029,10.918,11.021,20957,0
20060228,11.029,11.073,10.99,11.014,23275,0
20060301,11.052,11.136,11.021,11.036,17487,0
20060302,11.036,11.058,10.941,10.999,16205,0
20060303,10.982,11.007,10.886,10.886,9389,0
20060306,10.857,10.857,10.687,10.828,45130,0
20060307,10.843,10.843,10.656,10.724,56576,0
20060308,10.74,10.779,10.715,10.779,12342,0
20060309,10.732,10.811,10.694,10.732,13502,0
20060310,10.771,10.811,10.694,10.708,19157,0
20060313,10.7,10.7,10.592,10.679,36261,0
