Date,Open,High,Low,Close,Volume,OpenInt
20120817,22.336,22.408,22.274,22.299,797696,0
20120820,22.274,22.318,22.175,22.318,1405818,0
20120821,22.318,22.346,22.274,22.299,888408,0
20120822,22.336,22.336,22.237,22.282,676929,0
20120823,22.318,22.327,22.228,22.237,512086,0
20120824,22.308,22.308,22.228,22.237,346343,0
20120827,22.29,22.308,22.237,22.29,253252,0
20120828,22.308,22.308,22.256,22.256,252754,0
20120829,22.308,22.318,22.265,22.308,321707,0
20120830,22.308,22.318,22.265,22.308,230712,0
20120831,22.318,22.389,22.274,22.389,496693,0
20120904,22.38,22.408,22.318,22.346,350687,0
20120905,22.361,22.371,22.308,22.318,503244,0
20120906,22.327,22.361,22.299,22.346,427093,0
20120907,22.371,22.371,22.29,22.361,601206,0
20120910,22.361,22.38,22.327,22.353,274456,0
20120911,22.361,22.451,22.299,22.361,455008,0
20120912,22.371,22.38,22.336,22.336,337597,0
20120913,22.38,22.38,22.299,22.308,420605,0
20120914,22.318,22.327,22.211,22.274,687527,0
20120917,22.282,22.282,22.228,22.256,215411,0
20120918,22.274,22.299,22.218,22.246,280212,0
20120919,22.274,22.299,22.246,22.29,244715,0
20120920,22.318,22.318,22.228,22.29,307707,0
20120921,22.29,22.318,22.256,22.274,195624,0
20120924,22.274,22.353,22.256,22.353,157020,0
20120925,22.346,22.433,22.346,22.361,282324,0
20120926,22.371,22.399,22.336,22.346,186020,0
20120927,22.399,22.495,22.399,22.488,326311,0
20120928,22.479,22.523,22.442,22.495,193974,0
20121001,22.514,22.523,22.451,22.495,130152,0
20121002,22.504,22.504,22.417,22.451,267479,0
20121003,22.488,22.495,22.408,22.451,439055,0
20121004,22.479,22.523,22.442,22.523,219140,0
20121005,22.532,22.666,22.495,22.631,167806,0
20121008,22.675,22.747,22.675,22.71,192759,0
20121009,22.737,22.782,22.622,22.737,430895,0
20121010,22.747,22.747,22.666,22.693,162350,0
20121011,22.702,22.756,22.693,22.747,155125,0
20121012,22.747,22.782,22.71,22.764,130892,0
