Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.251,11.459,11.251,11.26,212959,0
20050228,11.346,11.372,11.199,11.234,126191,0
20050301,11.234,11.372,11.19,11.363,261918,0
20050302,11.319,11.424,11.302,11.389,170320,0
20050303,11.459,11.468,11.382,11.433,181816,0
20050304,11.556,11.591,11.441,11.441,188140,0
20050307,11.459,11.556,11.441,11.468,204456,0
20050308,11.441,11.52,11.433,11.433,184002,0
20050309,11.372,11.433,11.234,11.277,256748,0
20050310,11.346,11.346,11.147,11.208,183308,0
20050311,11.111,11.26,11.093,11.102,172970,0
20050314,11.138,11.225,10.997,11.024,237786,0
20050315,11.024,11.102,11.006,11.033,233997,0
20050316,11.033,11.12,11.006,11.042,195036,0
20050317,11.033,11.164,11.033,11.042,164004,0
20050318,11.033,11.102,10.98,11.006,159059,0
20050321,11.006,11.05,10.954,10.971,152051,0
20050322,10.971,11.199,10.954,11.085,215948,0
20050323,11.042,11.076,10.947,10.947,182964,0
20050324,10.947,10.988,10.728,10.878,212504,0
20050328,10.886,10.963,10.85,10.92,174577,0
20050329,10.878,10.911,10.711,10.78,164232,0
20050330,10.719,10.92,10.676,10.833,124467,0
20050331,10.911,11.042,10.842,11.015,145382,0
20050401,11.076,11.147,10.963,11.085,124011,0
20050404,11.12,11.199,11.042,11.138,136310,0
20050405,11.302,11.302,10.971,11.006,229971,0
20050406,10.963,11.147,10.963,11.042,132737,0
20050407,11.015,11.058,10.911,10.954,130673,0
20050408,10.954,10.997,10.833,10.886,117229,0
20050411,10.886,10.886,10.711,10.711,161359,0
20050412,10.711,10.815,10.703,10.711,140214,0
20050413,10.667,10.745,10.631,10.64,191242,0
20050414,10.667,10.685,10.554,10.598,172970,0
20050415,10.563,10.667,10.547,10.615,118259,0
20050418,10.667,10.824,10.607,10.711,173654,0
20050419,10.711,10.904,10.694,10.886,107565,0
20050420,10.904,10.938,10.78,10.79,168026,0
20050421,10.833,10.869,10.745,10.807,128486,0
20050422,10.79,10.92,10.763,10.886,163082,0
20050425,10.833,10.911,10.719,10.763,198021,0
20050426,10.799,10.799,10.589,10.615,178372,0
20050427,10.685,10.711,10.615,10.667,137912,0
20050428,10.694,10.736,10.631,10.649,89529,0
20050429,10.711,10.728,10.667,10.667,112518,0
20050502,10.685,10.736,10.623,10.685,173544,0
20050503,10.728,10.745,10.631,10.649,157455,0
20050504,10.658,10.711,10.623,10.703,146187,0
20050505,10.719,10.728,10.615,10.64,140326,0
20050506,10.607,10.658,10.554,10.572,122857,0
20050509,10.607,10.658,10.554,10.658,131705,0
20050510,10.64,10.658,10.581,10.615,121826,0
20050511,10.589,10.631,10.459,10.539,408341,0
20050512,10.554,10.563,10.459,10.547,160324,0
20050513,10.512,10.563,10.512,10.539,108834,0
20050516,10.52,10.581,10.477,10.502,141134,0
20050517,10.502,10.554,10.477,10.529,213881,0
20050518,10.502,10.607,10.502,10.607,112061,0
20050519,10.615,10.615,10.547,10.581,184806,0
20050520,10.581,10.631,10.539,10.539,253643,0
20050523,10.539,10.563,10.512,10.529,233420,0
20050524,10.529,10.623,10.52,10.554,380416,0
20050525,10.539,10.598,10.52,10.529,341107,0
20050526,10.529,10.563,10.451,10.459,317664,0
20050527,10.477,10.563,10.433,10.563,158141,0
20050531,10.615,10.64,10.563,10.631,101024,0
20050601,10.607,10.719,10.607,10.694,182618,0
20050602,10.711,10.772,10.694,10.711,149179,0
20050603,10.711,10.815,10.711,10.79,200781,0
20050606,10.79,10.869,10.676,10.711,154005,0
20050607,10.728,10.79,10.694,10.711,94240,0
20050608,10.711,10.745,10.676,10.728,152511,0
20050609,10.685,10.763,10.676,10.703,120443,0
20050610,10.719,10.719,10.623,10.703,187792,0
20050613,10.676,10.685,10.52,10.539,223416,0
20050614,10.539,10.589,10.477,10.493,171585,0
20050615,10.512,10.547,10.459,10.477,177561,0
20050616,10.477,10.539,10.467,10.512,206986,0
20050617,10.572,10.589,10.493,10.581,119647,0
20050620,10.581,10.711,10.547,10.581,128486,0
20050621,10.581,10.667,10.529,10.623,171708,0
20050622,10.615,10.658,10.598,10.607,142627,0
20050623,10.563,10.649,10.554,10.607,137912,0
20050624,10.581,10.64,10.529,10.581,247097,0
20050627,10.581,10.64,10.563,10.64,199171,0
20050628,10.623,10.667,10.598,10.623,134922,0
20050629,10.623,10.685,10.563,10.64,256748,0
20050630,10.667,10.685,10.615,10.64,130445,0
20050701,10.64,10.64,10.581,10.607,139409,0
20050705,10.589,10.685,10.581,10.649,119758,0
20050706,10.685,10.703,10.623,10.703,129981,0
20050707,10.658,10.736,10.631,10.676,135268,0
20050708,10.694,10.703,10.615,10.649,123205,0
20050711,10.631,10.631,10.581,10.631,122173,0
20050712,10.598,10.649,10.563,10.581,278932,0
20050713,10.529,10.554,10.502,10.502,159517,0
20050714,10.502,10.529,10.467,10.493,199515,0
20050715,10.484,10.512,10.459,10.512,180435,0
20050718,10.52,10.547,10.477,10.493,178253,0
20050719,10.52,10.529,10.467,10.484,205720,0
20050720,10.493,10.493,10.459,10.477,155384,0
20050721,10.493,10.539,10.441,10.477,230203,0
20050722,10.493,10.589,10.477,10.547,202848,0
20050725,10.554,10.581,10.451,10.512,170211,0
20050726,10.512,10.539,10.388,10.467,175153,0
20050727,10.415,10.493,10.415,10.477,258704,0
20050728,10.433,10.547,10.406,10.529,236640,0
20050729,10.529,10.529,10.451,10.477,140442,0
20050801,10.52,10.607,10.502,10.589,251117,0
20050802,10.631,10.649,10.539,10.589,375933,0
20050803,10.581,10.623,10.52,10.572,336741,0
20050804,10.572,10.676,10.572,10.64,225835,0
20050805,10.607,10.685,10.598,10.623,214459,0
20050808,10.623,10.667,10.572,10.615,132737,0
20050809,10.563,10.623,10.554,10.598,158946,0
20050810,10.563,10.623,10.512,10.529,216297,0
20050811,10.451,10.539,10.451,10.529,166414,0
20050812,10.554,10.598,10.484,10.554,166992,0
20050815,10.607,10.607,10.502,10.539,106655,0
20050816,10.502,10.554,10.493,10.493,198827,0
20050817,10.512,10.554,10.477,10.529,265949,0
20050818,10.554,10.554,10.477,10.493,198482,0
20050819,10.539,10.539,10.477,10.484,161245,0
20050822,10.484,10.539,10.459,10.467,208023,0
20050823,10.459,10.52,10.459,10.502,173197,0
20050824,10.493,10.52,10.433,10.433,307548,0
20050825,10.433,10.529,10.433,10.493,269164,0
20050826,10.477,10.529,10.477,10.493,185493,0
20050829,10.477,10.539,10.441,10.477,426269,0
20050830,10.459,10.477,10.433,10.459,270426,0
20050831,10.477,10.589,10.477,10.589,244796,0
20050901,10.502,10.52,10.451,10.493,950457,0
20050902,10.477,10.529,10.477,10.502,636583,0
20050906,10.502,10.529,10.459,10.459,487642,0
20050907,10.467,10.512,10.459,10.493,388346,0
20050908,10.493,10.52,10.467,10.493,226296,0
20050909,10.493,10.539,10.493,10.502,189519,0
20050912,10.493,10.539,10.484,10.529,284678,0
20050913,10.512,10.529,10.512,10.512,311685,0
20050914,10.529,10.572,10.493,10.502,186757,0
20050915,10.493,10.493,10.451,10.467,243992,0
20050916,10.467,10.467,10.406,10.424,241811,0
20050919,10.415,10.441,10.372,10.406,291576,0
20050920,10.38,10.415,10.372,10.38,211239,0
20050921,10.372,10.433,10.372,10.415,261232,0
20050922,10.406,10.424,10.364,10.38,205031,0
20050923,10.38,10.433,10.355,10.372,203883,0
20050926,10.346,10.415,10.31,10.337,249510,0
