Date,Open,High,Low,Close,Volume,OpenInt
19900326,6.013,6.013,5.976,6.013,73097,0
19900327,5.976,6.013,5.9019,6.013,759386,0
19900328,6.013,6.013,5.939,6.013,23072,0
19900329,5.939,6.013,5.9019,5.939,969206,0
19900330,5.9019,5.976,5.9019,5.939,71397,0
19900402,5.939,5.939,5.8742,5.9019,488368,0
19900403,5.8742,5.976,5.8742,5.939,116324,0
19900404,5.9019,6.0409,5.9019,5.976,143766,0
19900405,6.0409,6.1151,5.976,6.013,178979,0
19900406,5.976,6.0409,5.9019,5.9019,63385,0
19900409,5.9019,5.976,5.9019,5.976,221478,0
19900410,5.9019,5.976,5.9019,5.939,39097,0
19900411,5.9019,5.976,5.9019,5.939,93738,0
19900412,5.9019,5.976,5.9019,5.9019,38857,0
19900416,5.9019,6.013,5.9019,5.9019,228763,0
19900417,5.9019,5.939,5.9019,5.939,140853,0
19900418,5.9019,5.976,5.9019,5.9019,77953,0
19900419,5.9019,5.9019,5.7999,5.7999,101267,0
19900420,5.7721,5.7999,5.735,5.7999,192092,0
19900423,5.735,5.7721,5.735,5.735,147164,0
19900424,5.735,5.837,5.735,5.735,70669,0
19900425,5.735,5.837,5.735,5.7721,141823,0
19900426,5.7721,5.837,5.7721,5.7721,37154,0
19900427,5.837,5.837,5.735,5.837,202050,0
19900430,5.7721,5.837,5.7721,5.837,34485,0
19900501,5.7721,5.837,5.7721,5.837,157121,0
19900502,5.7999,5.8742,5.7999,5.8742,185293,0
19900503,5.7999,5.8742,5.7999,5.7999,11413,0
19900504,5.8742,5.8742,5.7999,5.837,109282,0
19900507,5.7999,5.8742,5.7999,5.7999,34971,0
19900508,5.7999,5.9019,5.7999,5.9019,165138,0
19900509,5.8742,5.9019,5.837,5.9019,284616,0
19900510,5.8742,5.976,5.8742,5.8742,47112,0
19900511,5.976,6.2448,5.9019,6.2448,195247,0
19900514,6.2169,6.6615,6.2169,6.5226,436156,0
19900515,6.4855,6.5968,6.4576,6.5968,561223,0
19900516,6.5597,6.6615,6.5597,6.6615,541067,0
19900517,6.6244,6.6615,6.4855,6.4855,585022,0
19900518,6.5597,6.5597,6.4576,6.4576,103696,0
19900521,6.4576,6.5597,6.4576,6.5226,703775,0
19900522,6.5226,6.5226,6.4576,6.4576,92523,0
19900523,6.4576,6.5226,6.4576,6.5226,220263,0
19900524,6.4576,6.5226,6.4576,6.4576,75039,0
19900525,6.4946,6.6339,6.4946,6.5689,195978,0
19900529,6.6709,6.6709,6.5689,6.6339,43715,0
19900530,6.6709,6.6709,6.5968,6.6709,100541,0
19900531,6.6339,6.7079,6.6339,6.7079,174122,0
19900601,6.6339,6.7079,6.6339,6.7079,86453,0
19900604,6.6339,6.7079,6.6339,6.7079,64597,0
19900605,6.6339,6.7079,6.6339,6.7079,233134,0
19900606,6.6339,6.7356,6.6339,6.7356,88153,0
19900607,6.7079,6.7728,6.4576,6.7728,144980,0
19900608,6.7728,6.7728,6.7079,6.7728,240905,0
19900611,6.7356,6.7728,6.7356,6.7356,382728,0
19900612,6.7356,6.8749,6.7079,6.8749,209336,0
19900613,6.8099,6.8749,6.8099,6.8749,401912,0
19900614,6.8749,6.8749,6.7356,6.7728,324688,0
19900615,6.7728,6.7728,6.6339,6.7079,373743,0
19900618,6.7079,6.7356,6.7079,6.7079,125795,0
19900619,6.7356,6.7356,6.6709,6.6709,144010,0
19900620,6.6709,6.7356,6.6709,6.7356,83540,0
19900621,6.7079,6.7356,6.7079,6.7356,26713,0
19900622,6.7356,6.7728,6.7079,6.7728,253775,0
19900625,6.7356,6.7728,6.7356,6.7356,261305,0
19900626,6.7728,6.8099,6.7356,6.7356,136480,0
19900627,6.8099,6.8099,6.7356,6.7356,121181,0
19900628,6.7356,6.8099,6.7356,6.7356,21127,0
19900629,6.7356,6.8099,6.7356,6.7728,135022,0
19900702,6.7356,6.8099,6.7079,6.7728,190392,0
19900703,6.7079,6.7356,6.6339,6.6339,120940,0
19900705,6.6339,6.6709,6.5968,6.5968,150566,0
19900706,6.6339,6.6339,6.5689,6.5689,93255,0
19900709,6.532,6.6339,6.532,6.5689,95925,0
19900710,6.5968,6.6709,6.5689,6.6339,180922,0
19900711,6.6709,6.6709,6.5689,6.6339,61925,0
19900712,6.5689,6.6339,6.5689,6.6339,60469,0
19900713,6.5968,6.6709,6.5968,6.6339,222446,0
19900716,6.6339,6.6709,6.5968,6.5968,186991,0
19900717,6.5968,6.6709,6.5968,6.5968,176550,0
19900718,6.5968,6.5968,6.4946,6.5968,131622,0
19900719,6.5689,6.5689,6.532,6.532,171451,0
19900720,6.532,6.5689,6.4946,6.532,167566,0
19900723,6.532,6.5689,6.4298,6.4576,349699,0
19900724,6.532,6.532,6.291,6.328,126281,0
19900725,6.2539,6.3559,6.2539,6.3559,110252,0
19900726,6.291,6.3559,6.291,6.291,80139,0
19900727,6.291,6.328,6.2169,6.2539,640147,0
19900730,6.291,6.328,6.2539,6.328,73827,0
