Date,Open,High,Low,Close,Volume,OpenInt
20050225,26.894,27.361,26.813,27.014,33141,0
20050228,27.208,27.208,26.749,26.749,57096,0
20050301,26.692,27.014,26.297,26.378,55358,0
20050302,26.418,27.087,26.12,26.652,48160,0
20050303,26.539,26.982,26.539,26.701,40089,0
20050304,26.612,26.918,26.612,26.796,43815,0
20050307,26.934,27.805,26.934,27.604,65905,0
20050308,27.604,27.724,26.934,27.014,38228,0
20050309,27.022,27.062,26.217,26.274,68885,0
20050310,26.145,26.894,26.095,26.217,57590,0
20050311,26.104,26.418,25.782,26.297,61563,0
20050314,26.217,26.99,26.153,26.49,30905,0
20050315,26.378,26.652,26.177,26.177,20479,0
20050316,26.258,26.297,25.234,25.33,77700,0
20050317,25.307,25.307,24.824,25.113,47039,0
20050318,25.113,25.234,24.952,25.008,29663,0
20050321,25.081,25.193,23.889,24.477,108108,0
20050322,24.364,24.557,23.171,23.171,63921,0
20050323,23.332,24.701,23.171,24.364,91725,0
20050324,24.436,24.637,23.726,23.962,43689,0
20050328,23.825,24.017,23.567,23.567,49029,0
20050329,23.34,23.848,23.019,23.268,46171,0
20050330,23.389,23.703,22.977,23.114,45055,0
20050331,23.413,24.026,23.332,24.017,60944,0
20050401,24.042,24.323,23.14,23.646,46793,0
20050404,23.969,23.969,23.389,23.453,70250,0
20050405,23.389,23.494,22.857,22.994,50268,0
20050406,22.977,23.131,22.776,22.897,29167,0
20050407,22.857,23.59,22.857,23.453,32645,0
20050408,23.404,23.646,23.213,23.213,20233,0
20050411,23.148,23.148,22.793,22.939,25818,0
20050412,23.098,23.631,22.817,23.615,44062,0
20050413,23.453,23.567,23.332,23.43,26190,0
20050414,23.55,23.567,22.624,22.705,41950,0
20050415,22.776,22.817,21.753,22.148,59329,0
20050418,22.341,23.293,22.341,23.019,65040,0
20050419,22.977,23.293,22.946,23.067,29913,0
20050420,23.171,23.349,23.019,23.213,30781,0
20050421,23.171,23.848,23.076,23.509,46423,0
20050422,23.567,23.88,23.131,23.251,25818,0
20050425,23.098,23.969,23.059,23.784,32272,0
20050426,23.945,24.477,23.889,24.234,36244,0
20050427,24.138,24.138,23.494,23.534,33141,0
20050428,23.567,23.631,23.372,23.413,11543,0
20050429,23.453,23.494,23.148,23.494,14892,0
20050502,23.413,23.413,23.019,23.171,32272,0
20050503,23.357,23.574,23.098,23.293,38106,0
20050504,23.187,24.026,23.187,24.017,36615,0
20050505,24.042,24.122,23.453,23.711,44186,0
20050506,23.372,23.372,21.577,22.115,219692,0
20050509,22.148,22.148,20.965,21.318,257547,0
20050510,21.553,21.673,21.359,21.584,126973,0
20050511,21.424,21.632,21.424,21.592,51883,0
20050512,21.625,21.922,21.553,21.6,38351,0
20050513,21.431,21.673,21.359,21.512,58709,0
20050516,21.431,21.512,21.278,21.343,34752,0
20050517,21.213,21.318,20.844,21.294,101654,0
20050518,20.9,22.148,20.9,22.148,203928,0
20050519,22.148,23.293,22.148,23.213,76208,0
20050520,23.114,23.437,22.939,23.332,70996,0
20050523,23.098,23.437,23.098,23.357,61315,0
20050524,23.059,23.213,22.705,23.098,106991,0
20050525,23.019,23.059,22.736,22.897,63549,0
20050526,22.705,23.171,22.705,23.019,67024,0
20050527,22.939,23.019,22.825,22.897,47412,0
20050531,22.776,22.939,22.705,22.897,50889,0
20050601,22.776,23.213,22.776,23.14,76706,0
20050602,23.106,23.171,22.994,23.131,46793,0
20050603,23.098,23.251,23.059,23.131,17128,0
20050606,23.059,23.171,22.977,23.106,54985,0
20050607,23.059,23.324,23.019,23.14,25444,0
20050608,23.059,23.534,23.019,23.349,43442,0
20050609,23.349,23.567,23.251,23.372,15268,0
20050610,23.268,23.639,23.26,23.631,28422,0
20050613,23.622,23.735,23.372,23.567,35871,0
20050614,23.534,23.703,23.494,23.582,43566,0
20050615,23.646,23.719,23.494,23.696,33885,0
20050616,23.719,23.719,23.606,23.646,21596,0
20050617,23.567,23.719,23.453,23.534,31153,0
20050620,23.567,23.679,23.494,23.646,24949,0
20050621,23.567,23.719,23.567,23.719,25695,0
20050622,23.59,23.606,23.469,23.59,32395,0
20050623,23.534,23.567,23.251,23.558,30162,0
20050624,23.542,23.688,23.413,23.494,26686,0
20050627,23.413,23.615,23.187,23.503,26314,0
20050628,23.293,23.308,22.817,23.213,31901,0
20050629,23.171,23.213,23.019,23.131,33885,0
20050630,23.195,23.3,22.977,23.156,23583,0
20050701,22.897,23.098,22.776,23.098,25444,0
20050705,22.939,23.059,22.857,22.977,18867,0
20050706,22.939,23.213,22.939,23.098,19114,0
20050707,23.098,23.131,22.776,22.857,20479,0
20050708,22.761,23.042,22.761,22.954,19237,0
20050711,22.705,23.332,22.68,23.251,46049,0
20050712,23.453,23.494,23.019,23.372,26686,0
20050713,23.251,23.453,23.131,23.453,29913,0
20050714,23.413,23.517,23.213,23.477,30533,0
20050715,23.477,23.567,23.421,23.567,20479,0
20050718,23.598,23.606,23.34,23.542,41208,0
20050719,23.494,23.494,23.034,23.042,17874,0
20050720,23.011,23.011,22.897,22.946,37236,0
20050721,23.14,23.14,22.946,23.098,20602,0
20050722,23.213,23.228,22.939,23.059,15762,0
20050725,22.776,23.277,22.591,23.156,77700,0
20050726,23.059,23.091,22.939,22.986,24822,0
20050727,22.986,23.14,22.939,23.003,36864,0
20050728,22.939,23.366,22.939,23.131,24078,0
20050729,23.059,23.251,22.986,23.156,23459,0
20050801,22.986,23.163,22.986,23.034,32645,0
20050802,22.986,23.213,22.986,23.171,81299,0
20050803,23.059,23.277,22.946,23.171,23210,0
20050804,23.3,23.3,22.705,23.059,59329,0
20050805,22.939,23.372,22.817,22.817,77326,0
20050808,22.825,22.857,21.867,21.906,82913,0
20050809,21.762,21.947,20.762,21.343,92840,0
20050810,21.278,21.738,21.278,21.527,57218,0
20050811,21.407,21.753,21.399,21.577,31029,0
20050812,21.673,21.673,21.157,21.278,38106,0
20050815,21.399,21.472,21.037,21.237,56226,0
20050816,21.117,21.714,21.037,21.625,43936,0
20050817,21.463,21.899,21.382,21.382,32022,0
20050818,21.374,21.553,21.157,21.359,21719,0
20050819,21.237,21.359,21.117,21.117,18122,0
20050822,21.052,21.343,21.037,21.157,46049,0
20050823,21.037,21.237,20.48,20.9,67149,0
20050824,20.721,21.198,20.657,20.939,62929,0
20050825,20.844,21.149,20.802,21.117,33014,0
20050826,21.037,21.278,20.9,21.237,47538,0
20050829,21.237,21.472,20.9,21.326,56599,0
20050830,21.157,21.738,21.157,21.512,58583,0
20050831,21.553,21.955,21.416,21.914,60074,0
20050901,21.971,22.382,21.794,21.995,27803,0
20050902,22.067,22.067,21.794,21.955,11790,0
20050906,21.673,22.067,21.335,21.48,51138,0
20050907,21.407,21.834,21.359,21.447,26064,0
20050908,21.359,21.584,21.318,21.495,25938,0
20050909,21.318,21.553,21.198,21.326,54613,0
20050912,21.335,21.472,21.318,21.463,69010,0
20050913,21.439,21.48,21.359,21.463,20850,0
20050914,21.359,21.553,21.359,21.512,15268,0
20050915,21.399,21.553,21.237,21.431,33885,0
20050916,21.399,21.472,21.351,21.431,39718,0
20050919,21.407,21.463,21.359,21.424,31153,0
20050920,21.455,21.657,21.407,21.544,33014,0
20050921,21.553,21.689,21.359,21.68,51138,0
20050922,21.947,21.947,21.407,21.431,25568,0
20050923,21.399,21.714,21.359,21.359,27181,0
20050926,21.359,21.632,21.359,21.617,29415,0
20050927,21.632,21.689,21.359,21.447,42201,0
20050928,21.359,21.568,20.923,21.101,42572,0
20050929,21.037,21.237,20.721,21.166,110962,0
20050930,21.157,21.359,21.157,21.294,24701,0
20051003,21.359,21.359,21.157,21.359,26686,0
20051004,21.416,21.553,21.253,21.488,48160,0
20051005,21.512,21.714,21.359,21.553,33885,0
20051006,21.512,21.512,21.198,21.374,21350,0
20051007,21.374,21.906,21.374,21.834,28050,0
20051010,21.769,22.043,21.696,21.842,41950,0
20051011,21.738,21.738,21.592,21.673,21474,0
20051012,21.834,21.834,21.198,21.343,27428,0
20051013,21.399,21.512,21.206,21.335,27557,0
20051014,21.592,21.632,21.431,21.512,15391,0
20051017,21.632,21.632,21.359,21.359,25818,0
20051018,21.416,21.431,21.359,21.399,24203,0
20051019,21.359,21.407,21.278,21.351,33141,0
20051020,21.359,21.407,21.278,21.278,15888,0
20051021,21.278,21.278,20.965,21.198,90979,0
20051024,21.037,21.326,21.037,21.31,36367,0
20051025,21.198,21.359,21.101,21.101,58709,0
20051026,20.996,21.076,20.819,20.844,25321,0
20051027,20.721,20.779,19.772,19.997,95077,0
20051028,20.054,20.165,19.772,20.093,45055,0
20051031,19.932,20.287,19.932,20.287,50765,0
20051101,20.287,20.369,19.892,20.198,56970,0
20051102,20.093,20.279,19.892,20.085,29294,0
20051103,20.054,20.238,19.224,19.868,138145,0
20051104,19.853,19.973,19.618,19.868,46171,0
20051107,19.932,20.054,19.578,19.973,50516,0
20051108,19.932,20.054,19.779,19.932,45926,0
20051109,19.747,19.772,19.594,19.658,40215,0
20051110,19.627,19.924,19.627,19.803,42077,0
20051111,19.997,20.013,19.618,19.731,26560,0
20051114,19.772,19.924,19.731,19.868,38972,0
20051115,19.892,20.207,19.892,19.949,36367,0
20051116,20.126,20.207,20.054,20.11,38601,0
20051117,20.165,20.165,19.772,20.118,48032,0
20051118,20.118,20.521,19.964,20.343,43071,0
20051121,20.287,20.802,20.287,20.561,50141,0
20051122,20.488,20.529,19.853,20.303,67892,0
20051123,20.327,20.369,19.964,20.118,25444,0
20051125,20.013,20.165,20.013,20.013,18867,0
20051128,19.932,20.079,19.788,19.828,54738,0
20051129,19.779,19.964,19.779,19.868,42449,0
20051130,20.07,20.07,19.779,19.788,31402,0
20051201,19.868,19.964,19.675,19.7,41705,0
20051202,19.618,19.691,19.385,19.393,55730,0
20051205,19.142,19.232,19.061,19.184,132557,0
20051206,19.142,19.159,18.862,18.941,118162,0
20051207,18.982,19.103,18.876,18.982,76706,0
20051208,18.902,19.047,18.862,19.005,60074,0
20051209,18.941,19.055,18.926,18.982,67395,0
20051212,19.047,19.335,18.982,19.297,79188,0
20051213,19.022,19.297,18.902,19.297,62929,0
20051214,19.416,19.618,19.168,19.578,64169,0
20051215,19.256,19.731,19.256,19.667,68267,0
20051216,19.731,19.828,19.578,19.642,71491,0
20051219,19.618,19.706,19.416,19.458,98426,0
20051220,19.537,19.658,19.352,19.498,133305,0
20051221,19.297,19.537,19.256,19.327,66527,0
20051222,19.321,19.772,19.321,19.683,79930,0
20051223,19.618,19.772,19.335,19.651,114438,0
20051227,19.537,19.844,19.489,19.755,54488,0
20051228,19.249,19.755,19.184,19.715,134917,0
20051229,19.691,20.028,19.635,20.028,91599,0
20051230,19.973,20.165,19.941,20.061,75837,0
20060103,20.013,20.369,20.005,20.36,63549,0
20060104,20.165,20.721,20.165,20.674,55480,0
20060105,20.407,21.641,20.407,21.512,115058,0
20060106,21.431,21.431,20.715,21.052,30781,0
20060109,21.157,21.399,21.157,21.359,55233,0
20060110,21.294,21.553,21.271,21.553,46423,0
20060111,21.673,21.826,21.39,21.472,71369,0
20060112,21.439,21.553,21.278,21.278,54365,0
20060113,21.431,21.504,21.221,21.23,37730,0
20060117,21.343,21.343,21.029,21.076,92222,0
20060118,21.157,21.198,20.956,20.965,130449,0
20060119,20.956,21.343,20.786,20.786,229992,0
20060120,20.762,20.916,20.755,20.828,35871,0
20060123,20.793,21.237,20.779,20.859,39346,0
20060124,20.923,21.117,20.828,20.965,30285,0
20060125,20.965,21.02,20.859,20.866,37111,0
20060126,20.866,20.923,20.819,20.819,72733,0
20060127,20.828,21.003,20.81,20.819,20850,0
20060130,20.883,21.068,20.883,20.939,37111,0
20060131,20.981,21.02,20.875,20.947,45428,0
20060201,20.9,21.076,20.9,20.93,18742,0
20060202,20.923,21.109,20.916,21.084,43936,0
20060203,20.981,21.221,20.875,21.198,37730,0
20060206,21.221,21.221,20.875,20.956,39842,0
20060207,20.875,20.973,20.866,20.875,24822,0
20060208,20.875,20.939,20.793,20.892,20233,0
20060209,20.883,21.045,20.883,20.883,21350,0
20060210,20.875,20.93,20.844,20.875,10302,0
20060213,20.883,20.93,20.634,20.755,38351,0
20060214,20.698,20.828,20.617,20.746,20356,0
20060215,20.738,20.859,20.698,20.715,39967,0
20060216,20.802,20.923,20.721,20.844,30660,0
20060217,20.762,20.916,20.746,20.883,14772,0
20060221,20.965,20.965,20.721,20.851,35003,0
20060222,20.802,20.981,20.802,20.875,39346,0
20060223,20.859,20.883,20.746,20.819,57469,0
20060224,20.771,20.793,20.682,20.755,29294,0
20060227,20.642,20.69,20.57,20.642,21969,0
20060228,20.625,20.625,20.311,20.578,37359,0
20060301,20.505,20.536,20.287,20.433,55854,0
20060302,20.407,20.521,20.247,20.287,60696,0
20060303,20.263,20.755,20.263,20.665,43071,0
20060306,20.586,20.642,20.376,20.416,47661,0
20060307,20.384,20.617,20.369,20.561,27679,0
20060308,20.464,20.601,20.456,20.505,26314,0
20060309,20.407,20.642,20.369,20.536,28050,0
20060310,20.505,20.634,20.48,20.561,11543,0
20060313,20.505,20.561,20.433,20.441,14892,0
20060314,20.391,20.544,20.384,20.488,10551,0
20060315,20.407,20.48,20.376,20.471,54738,0
20060316,20.376,20.965,20.376,20.965,83903,0
20060317,20.965,21.052,20.923,21.052,31901,0
20060320,21.068,21.253,21.037,21.237,49650,0
20060321,21.318,21.318,21.14,21.14,40339,0
20060322,21.125,21.278,21.117,21.246,15268,0
20060323,21.117,21.182,21.076,21.173,25938,0
20060324,21.14,21.278,21.101,21.278,24078,0
20060327,21.198,21.335,21.189,21.246,20233,0
20060328,21.221,21.431,21.221,21.374,19114,0
20060329,21.278,21.673,21.149,21.625,98799,0
