Date,Open,High,Low,Close,Volume,OpenInt
20050225,35.241,35.393,35.062,35.259,455714,0
20050228,35.215,35.42,35.188,35.331,811136,0
20050301,35.331,36.162,35.241,36.135,968975,0
20050302,35.84,36.18,35.786,36.044,562737,0
20050303,36.044,36.044,35.465,35.715,686096,0
20050304,35.91,36.062,35.776,35.902,876511,0
20050307,35.858,35.956,35.786,35.902,700090,0
20050308,35.831,35.858,34.929,35.215,1161853,0
20050309,34.856,35.241,34.545,34.778,819532,0
20050310,34.616,34.884,33.892,34.284,1373085,0
20050311,34.33,34.528,33.821,33.964,532286,0
20050314,33.91,34.081,33.723,33.946,668073,0
20050315,33.91,33.946,33.41,33.491,727291,0
20050316,33.427,33.482,32.874,33.044,669416,0
20050317,33.098,33.356,32.936,33.231,576280,0
20050318,33.213,33.321,33.008,33.259,622065,0
20050321,33.268,33.464,33.187,33.356,799269,0
20050322,33.321,33.598,33.116,33.116,465906,0
20050323,33.052,33.098,32.499,32.553,701658,0
20050324,32.561,32.65,32.276,32.276,760650,0
20050328,32.338,32.508,32.159,32.338,1412604,0
20050329,32.159,32.276,32.025,32.115,1123007,0
20050330,32.115,32.936,32.115,32.785,849310,0
20050331,32.714,33.017,32.659,32.936,1458836,0
20050401,33.008,33.464,32.883,33.061,1234614,0
20050404,33.052,33.106,32.605,32.919,948264,0
20050405,32.964,32.964,32.776,32.821,289372,0
20050406,32.731,32.964,32.231,32.516,783150,0
20050407,32.526,32.65,32.222,32.445,784158,0
20050408,32.383,34.035,32.294,33.365,2325272,0
20050411,33.275,33.455,32.696,32.874,774868,0
20050412,32.874,32.964,32.204,32.714,666283,0
20050413,32.605,32.614,31.99,32.231,657773,0
20050414,32.167,32.167,31.498,31.712,1870784,0
20050415,31.544,31.936,31.364,31.936,1052148,0
20050418,31.936,32.033,31.444,31.535,1215922,0
20050419,31.535,31.775,31.535,31.73,558369,0
20050420,31.757,31.847,31.329,31.444,1150432,0
20050421,31.578,31.578,30.657,30.819,2460162,0
20050422,30.856,31.007,30.524,30.676,3506153,0
20050425,30.57,31.033,30.211,30.721,1414060,0
20050426,30.498,30.909,30.463,30.704,2858344,0
20050427,30.704,30.801,30.203,30.31,2370386,0
20050428,29.257,29.721,28.086,29.239,8572787,0
20050429,29.479,30.007,29.115,29.881,4540504,0
20050502,29.962,31.158,29.962,30.828,3391415,0
20050503,30.828,31.221,30.649,31.176,1565405,0
20050504,31.31,32.142,31.221,31.669,2008696,0
20050505,31.696,31.696,31.114,31.435,2619456,0
20050506,31.266,31.596,31.069,31.48,1635145,0
20050509,31.48,31.757,31.392,31.696,990918,0
20050510,31.578,31.578,31.043,31.203,1917241,0
20050511,31.176,31.176,30.649,30.801,1435218,0
20050512,30.657,30.748,30.203,30.301,1459954,0
20050513,30.167,30.354,29.98,30.167,1289580,0
20050516,30.167,30.346,30.122,30.31,686768,0
20050517,30.132,30.167,29.836,30.132,2323145,0
20050518,30.051,30.373,30.015,30.256,485381,0
20050519,30.167,30.498,30.149,30.381,392135,0
20050520,30.238,30.364,30.015,30.301,343999,0
20050523,30.301,30.614,30.195,30.506,408589,0
20050524,30.623,30.667,30.373,30.57,386203,0
20050525,30.551,30.551,30.132,30.284,1132186,0
20050526,30.195,30.381,30.149,30.373,818190,0
20050527,30.338,30.614,30.149,30.596,703671,0
20050531,30.596,30.667,30.551,30.614,327434,0
20050601,30.632,30.676,30.32,30.418,1061327,0
20050602,30.427,30.427,30.23,30.265,1385850,0
20050603,30.354,30.364,30.149,30.238,768038,0
20050606,30.149,30.256,30.015,30.087,923640,0
20050607,30.078,30.195,29.944,29.97,968303,0
20050608,29.935,30.104,29.748,29.748,1315438,0
20050609,29.712,29.774,29.391,29.479,1325851,0
20050610,29.373,29.382,28.158,28.755,1768019,0
20050613,28.755,29.408,28.639,29.248,949049,0
20050614,29.14,29.327,28.676,28.953,835765,0
20050615,28.585,28.612,27.872,27.997,1513575,0
20050616,27.906,28.639,27.906,28.183,1666040,0
20050617,28.049,28.497,28.049,28.354,649716,0
20050620,28.283,28.292,28.086,28.274,904385,0
20050621,28.399,28.569,28.283,28.45,711506,0
20050622,28.45,28.838,28.426,28.755,1181331,0
20050623,28.792,28.916,28.676,28.898,1631227,0
20050624,28.854,28.953,28.737,28.838,1424803,0
20050627,27.988,28.862,27.988,28.773,797033,0
20050628,28.577,28.944,28.569,28.862,843823,0
20050629,28.981,29.221,28.764,29.096,1467566,0
20050630,29.096,29.525,29.05,29.23,1263161,0
20050701,29.193,29.864,29.193,29.47,746768,0
20050705,29.399,29.479,29.041,29.292,426277,0
