Date,Open,High,Low,Close,Volume,OpenInt
20050225,20.925,21.927,20.925,21.579,24994,0
20050228,21.534,21.534,21.253,21.346,22536,0
20050301,21.392,21.534,21.373,21.534,17624,0
20050302,21.534,21.534,21.309,21.373,5660,0
20050303,21.299,21.524,21.205,21.524,13990,0
20050304,21.534,22.376,21.534,21.795,34928,0
20050307,22,22.834,22,22,27986,0
20050308,22.048,22.422,22.019,22.141,19654,0
20050309,22.189,23.864,22.189,22.956,70816,0
20050310,23.049,23.049,21.711,21.749,14525,0
20050311,21.701,22.609,21.701,22.329,10146,0
20050314,21.786,22.338,21.28,22,23071,0
20050315,22.095,22.609,22.095,22.245,20828,0
20050316,22.245,22.245,21.309,21.505,14846,0
20050317,21.534,22.609,21.524,21.908,36101,0
20050318,22.141,22.189,21.253,22.189,11322,0
20050321,22,22.283,21.543,22.245,16131,0
20050322,22.254,22.254,21.534,21.534,7691,0
20050323,21.768,21.768,19.286,19.313,22111,0
20050324,19.661,20.269,19.24,19.24,16555,0
20050328,19.005,19.005,18.069,18.743,15166,0
20050329,18.537,18.94,18.172,18.35,21362,0
20050330,17.976,18.443,17.976,18.35,9292,0
20050331,18.585,19.931,18.585,19.521,15700,0
20050401,19.988,19.988,19.427,19.474,17411,0
20050404,19.661,20.128,19.399,19.399,12605,0
20050405,19.165,19.474,19.005,19.474,9721,0
20050406,19.24,19.24,18.714,18.866,13990,0
20050407,18.967,19.276,18.632,18.632,9613,0
20050408,18.537,18.668,18.528,18.528,536,0
20050411,18.632,18.632,18.219,18.219,2564,0
20050412,18.332,18.332,17.966,17.995,2991,0
20050413,18.023,18.023,16.993,17.133,6943,0
20050414,17.18,17.367,17.18,17.18,1281,0
20050415,16.945,17.077,16.122,16.29,11110,0
20050418,16.233,16.411,15.12,15.467,20081,0
20050419,15.588,16.842,15.588,16.197,20081,0
20050420,16.206,16.618,16.188,16.29,4807,0
20050421,16.15,16.993,16.15,16.993,11642,0
20050422,17.086,18.115,17.086,17.704,21470,0
20050425,17.506,17.741,17.488,17.488,7155,0
20050426,17.695,17.695,16.664,16.806,7265,0
20050427,16.571,16.571,16.103,16.365,19440,0
20050428,16.29,16.29,15.916,15.916,7050,0
20050429,16.056,16.056,14.839,15.204,29695,0
20050502,15.204,16.103,15.204,16.103,5234,0
20050503,16.122,16.122,15.579,15.822,10361,0
20050504,15.907,15.907,15.448,15.532,5556,0
20050505,15.767,17.226,15.767,17.226,13565,0
20050506,17.133,18.35,17.133,17.47,19227,0
20050509,17.657,17.685,17.32,17.329,5769,0
20050510,17.46,17.881,17.46,17.506,6943,0
20050511,17.32,17.415,17.133,17.377,5234,0
20050512,17.273,17.46,17.039,17.46,10146,0
20050513,17.329,17.329,15.335,15.588,57786,0
20050516,15.729,16.009,15.064,15.476,25529,0
20050517,15.241,15.241,14.053,14.417,96025,0
20050518,14.043,15.168,14.043,14.989,31724,0
20050519,14.792,14.887,14.792,14.83,6300,0
20050520,14.745,15.149,14.745,15.12,7155,0
20050523,15.213,15.682,15.213,15.308,6622,0
20050524,15.168,15.213,15.111,15.213,749,0
20050525,15.213,15.907,15.213,15.822,3525,0
20050526,15.775,16.103,15.653,15.869,7476,0
20050527,15.775,15.785,15.775,15.785,1176,0
20050531,15.775,15.916,15.26,15.775,7905,0
20050601,15.588,15.812,15.391,15.419,4915,0
