Date,Open,High,Low,Close,Volume,OpenInt
20130617,5.2977,5.2977,5.2977,5.2977,112,0
20130618,5.1619,5.2433,5.1528,5.2433,2209,0
20130620,5.3248,5.3611,4.5279,5.3611,950,0
20130621,5.7052,5.7052,5.4154,5.4154,11069,0
20130624,5.5875,5.5875,5.5875,5.5875,112,0
20130625,5.5512,5.5512,5.5512,5.5512,2209,0
20130626,5.5694,5.5694,5.5694,5.5694,169,0
20130627,5.4162,5.471,5.0777,5.4619,2959,0
20130628,5.6588,5.6588,5.6588,5.6588,426,0
20130702,5.6174,5.6265,5.5991,5.5991,580,0
20130708,5.6265,5.6265,5.6265,5.6265,438,0
20130709,5.4985,5.4985,5.4985,5.4985,546,0
20130711,5.6265,5.6723,5.6265,5.6723,546,0
20130718,5.6265,5.6265,5.6265,5.6265,218,0
20130723,5.6174,5.6174,5.4892,5.4892,3069,0
20130802,5.6082,5.6082,5.6082,5.6082,438,0
20130822,5.6082,5.6082,5.6082,5.6082,1420,0
20130823,5.6082,5.6082,5.6082,5.6082,218,0
20130826,5.6082,5.6082,5.6082,5.6082,2733,0
20130829,5.4619,5.4619,5.4619,5.4619,438,0
20130830,5.5381,5.5845,5.5381,5.5845,598,0
20130905,5.4608,5.4608,5.4608,5.4608,328,0
20130909,5.4892,5.4892,5.4892,5.4892,1128,0
20130912,5.5991,5.5991,5.5351,5.5808,1312,0
20130913,5.4887,5.9259,5.4887,5.9259,438,0
20130916,5.773,5.773,5.5167,5.5167,218,0
20130917,6.3631,6.6516,6.3631,6.5864,1438,0
20130918,7.1632,7.3213,7.0889,7.1632,17865,0
20130919,7.1632,7.1632,7.1632,7.1632,110,0
20130920,7.1818,7.2563,7.0423,7.1539,10263,0
20130923,7.2655,7.2655,7.1911,7.1911,2295,0
20130924,7.1539,7.1539,6.8469,7.0609,721,0
20130925,7.1539,7.1539,6.8469,6.912,4854,0
20130926,7.0237,7.4145,7.0237,7.3587,14002,0
20130927,7.3401,7.3492,7.2843,7.2843,2431,0
20130930,7.0086,7.4519,7.0086,7.4143,894,0
20131002,7.3492,7.3492,7.0423,7.2097,1442,0
20131003,7.2283,7.3492,7.2097,7.3492,2473,0
20131004,7.3213,7.4703,7.3213,7.4515,21932,0
20131007,7.3492,7.4424,7.3492,7.4424,1397,0
20131008,7.3957,7.4145,7.3492,7.4145,2365,0
20131009,7.4424,7.4424,7.3492,7.4424,15643,0
20131010,7.4424,7.4424,7.3865,7.3865,484,0
20131011,7.3492,7.405,7.2097,7.3957,2714,0
20131014,7.2563,7.3492,7.1911,7.3492,9137,0
20131016,7.3492,7.3492,7.0795,7.3492,1575,0
20131017,7.2934,7.3492,7.2934,7.3492,430,0
20131018,7.1632,7.1632,7.1632,7.1632,269,0
