Date,Open,High,Low,Close,Volume,OpenInt
20110405,7.721,7.721,7.6438,7.6515,22904,0
20110406,7.6515,7.721,7.6438,7.721,48807,0
20110407,7.5278,7.721,7.5278,7.721,104782,0
20110408,7.721,7.721,7.6515,7.6515,12108,0
20110411,7.721,7.721,7.6978,7.721,13069,0
20110412,7.721,7.721,7.6592,7.6668,10701,0
20110413,7.721,7.721,7.6668,7.7055,12097,0
20110414,7.7055,7.7055,7.6438,7.6592,6831,0
20110415,7.6823,7.721,7.582,7.582,43392,0
20110418,7.5434,7.6205,7.5434,7.5896,10739,0
20110419,7.6668,7.7055,7.582,7.6052,9755,0
20110420,7.5665,7.582,7.5665,7.5665,4534,0
20110421,7.582,7.6052,7.5278,7.5356,9863,0
20110425,7.5356,7.6128,7.5356,7.6128,1553,0
20110426,7.6899,7.6899,7.582,7.6052,8095,0
20110427,7.5278,7.6128,7.3734,7.5665,16966,0
20110428,7.6438,7.6438,7.5665,7.5665,5441,0
20110429,7.4933,7.5658,7.4771,7.4771,7730,0
20110502,7.6823,7.6823,7.4506,7.4506,21791,0
20110503,7.4506,7.4506,7.2654,7.3426,13728,0
20110504,7.2886,7.3659,7.2422,7.3659,6993,0
20110505,7.3194,7.3349,7.0723,7.2963,18911,0
20110506,7.2192,7.2192,7.0723,7.0723,17876,0
20110509,7.1497,7.1959,7.0802,7.1185,10294,0
20110510,7.1497,7.2036,7.111,7.111,8643,0
20110511,7.1418,7.2036,6.9719,7.0183,30612,0
20110512,7.0339,7.1418,7.0339,7.0723,15160,0
20110513,7.1497,8.0221,7.0569,7.0569,28173,0
20110516,7.0955,7.3194,7.0802,7.0877,15297,0
20110517,7.2422,7.2498,7.0802,7.1265,15776,0
20110518,7.1805,7.2886,7.1418,7.2576,6477,0
20110519,7.2963,7.3734,7.1032,7.2345,9780,0
20110520,7.2345,7.2422,7.165,7.1959,1676,0
20110523,7.1728,7.1959,7.1032,7.1573,7382,0
20110524,7.2192,7.3119,7.0414,7.1805,19459,0
20110525,7.1032,7.1185,7.0106,7.0955,37885,0
20110526,7.0955,7.0955,6.9025,6.9874,17354,0
20110527,7.0183,7.1805,7.0183,7.1341,8548,0
20110531,7.0572,7.2464,7.0255,7.1755,11434,0
20110601,7.0647,7.0647,6.833,7.0259,42997,0
20110602,7.0259,7.0259,6.8639,6.9102,23960,0
20110603,6.8407,6.9643,6.7635,6.7943,11252,0
20110606,6.8407,6.887,6.6941,6.6941,22019,0
20110607,6.7402,6.7402,6.4622,6.4622,26162,0
20110608,6.3851,6.6168,6.3082,6.6168,30501,0
20110609,6.64,6.9257,6.64,6.9178,18132,0
20110610,6.8484,6.9178,6.725,6.7712,7103,0
20110613,6.8407,6.9025,6.5628,6.6941,14635,0
20110614,6.7635,6.7943,6.5935,6.6555,8937,0
20110615,6.7017,6.7017,6.6014,6.6476,1038,0
20110616,6.6941,6.7712,6.6168,6.7481,4658,0
20110617,6.8484,6.941,6.6476,6.6476,9843,0
20110620,6.64,6.7943,6.64,6.7095,3409,0
20110621,6.7095,6.7095,6.5628,6.6091,13161,0
20110622,6.6709,6.6709,6.64,6.64,388,0
20110623,6.64,6.64,6.5628,6.64,4888,0
20110624,6.64,6.7867,6.64,6.7327,20073,0
20110627,6.7943,6.9565,6.7172,6.9487,17641,0
20110628,6.9102,7.0027,6.9102,7.0027,12488,0
20110629,7.0259,7.111,6.9487,6.9951,18349,0
20110630,7.1145,7.1145,6.7924,7.018,36877,0
20110701,6.9565,6.9565,6.9565,6.9565,252,0
20110705,6.8793,6.9565,6.779,6.8099,1038,0
20110706,6.7481,6.8407,6.6863,6.6863,3787,0
20110707,6.6863,6.833,6.6863,6.833,3847,0
20110711,6.7327,6.7327,6.7172,6.7172,7124,0
20110712,6.6555,6.6631,6.5628,6.6091,12202,0
20110713,6.6091,6.6555,6.5628,6.5628,3692,0
20110714,6.5628,6.64,6.5628,6.64,7543,0
20110715,6.7557,6.7557,6.5628,6.5628,7901,0
20110718,6.5628,6.5706,6.5165,6.5165,4894,0
20110719,6.4392,6.5087,6.4159,6.4159,2722,0
20110720,6.4931,6.5241,6.4084,6.4469,2450,0
20110721,6.4855,6.4855,6.4084,6.4392,11199,0
20110722,6.4084,6.4469,6.2307,6.4392,7164,0
20110725,6.3696,6.4392,6.2848,6.2926,16839,0
20110726,6.2924,6.3948,6.2531,6.3003,12502,0
20110727,6.2695,6.3312,6.1304,6.2307,12492,0
20110728,6.1147,6.1767,6.0069,6.1381,4273,0
20110729,6.1031,6.2372,6.0794,6.2372,2984,0
20110801,6.3082,6.3851,5.9837,6.1845,6299,0
20110802,6.2531,6.2531,6.0164,6.0164,3116,0
20110803,6.0839,6.2848,6.0839,6.2231,4534,0
20110804,6.1689,6.1689,5.335,5.4203,39289,0
20110805,5.4972,5.4972,5.1885,5.4047,39114,0
20110808,5.2656,5.4203,4.9568,5.1345,18396,0
20110809,5.0958,5.1345,4.7947,4.9027,32426,0
20110810,4.9027,4.9415,4.6326,4.9027,23780,0
20110811,4.9027,4.98,4.8333,4.9722,8689,0
20110812,4.7483,5.1423,4.7483,5.1192,11692,0
20110815,5.1192,5.4203,5.1192,5.3892,3367,0
20110816,5.2888,5.366,5.2888,5.3276,6024,0
20110817,5.4356,5.7599,5.4356,5.5978,3757,0
20110818,5.5514,5.6286,5.397,5.4047,18195,0
20110819,5.5049,5.6672,5.3276,5.3276,5343,0
20110822,5.4047,5.4047,5.2501,5.2501,778,0
20110823,5.2501,5.4047,5.2501,5.3583,3822,0
20110824,5.366,5.4895,5.366,5.4895,5702,0
20110825,5.4819,5.4819,5.3196,5.3196,7642,0
20110826,5.2734,5.2734,5.1192,5.2734,6306,0
20110829,5.3507,5.3507,5.2888,5.3196,9942,0
20110830,5.3428,5.3815,5.1192,5.3043,12699,0
20110831,5.3662,5.4469,5.3662,5.4469,12435,0
20110901,5.4047,5.4047,5.0185,5.2349,21110,0
20110902,5.1728,5.1728,4.7136,4.8668,163604,0
20110906,4.7784,4.9047,4.7784,4.8967,22019,0
20110907,4.873,4.9912,4.8651,4.8651,10768,0
20110908,4.9518,5.0465,4.8651,4.8651,12305,0
20110909,4.9047,4.9835,4.8651,4.8651,7770,0
20110912,4.8719,5.0341,4.8719,5.0341,12295,0
20110913,5.0727,5.0727,4.9182,4.9182,13160,0
20110914,4.9182,5.335,4.9027,5.1962,16351,0
20110915,5.2579,5.366,5.2117,5.366,9471,0
20110916,5.291,5.4252,5.291,5.3855,27441,0
20110919,5.2888,5.3276,5.2117,5.2501,25303,0
20110920,5.1806,5.1885,4.9439,5.0071,11267,0
20110921,5.0543,5.0543,4.8651,4.873,6630,0
20110922,4.9439,5.0151,4.8651,4.8651,3367,0
20110923,4.7864,4.7864,4.7073,4.7073,3998,0
20110926,4.7073,4.7232,4.5024,4.6207,24536,0
20110927,4.668,4.7311,4.5813,4.6364,45580,0
20110928,4.6523,4.668,4.4947,4.534,47050,0
20110929,4.4866,4.5655,4.4789,4.534,17248,0
20110930,4.4935,4.5343,4.4935,4.4935,13698,0
20111003,4.4632,4.6207,4.4632,4.4947,24752,0
20111004,4.4947,4.5735,4.4234,4.4947,19452,0
20111005,4.4947,4.6128,4.4947,4.534,9711,0
20111006,4.6128,4.6839,4.6128,4.6444,3499,0
20111007,4.7311,4.7706,4.7311,4.7706,13999,0
20111010,4.7864,4.7864,4.7311,4.7311,9129,0
20111011,4.7311,4.7706,4.7311,4.7706,25845,0
20111012,4.8494,5.0465,4.7548,4.7548,15299,0
20111013,4.81,4.8809,4.6916,4.81,16996,0
20111014,4.8809,4.9518,4.8809,4.9518,2593,0
20111017,5.1253,5.2278,4.9677,4.9755,11833,0
20111018,5.0543,5.1332,4.9912,5.0151,6671,0
20111019,4.9835,4.9835,4.9835,4.9835,3485,0
20111020,4.9992,4.9992,4.8889,4.8889,13061,0
20111021,4.8967,5.0465,4.747,4.9835,31629,0
20111024,5.1175,5.1253,4.9598,5.1253,11332,0
20111025,5.0465,5.1253,5.0465,5.0782,8752,0
20111026,5.0782,5.1253,4.9992,4.9992,1997,0
20111027,5.0859,5.0938,5.0859,5.0938,1355,0
20111028,5.0543,5.1253,5.0386,5.0386,12985,0
20111031,5.0418,5.1728,5.0418,5.1238,4059,0
